0,1,2
"127.1683094,36.8371271","128.5879815,35.8822599","126.7331755,37.4341334"
"127.1682824,36.8371396","128.5880467,35.8822467","126.7331185,37.4341763"
"127.1682397,36.8371602","128.5891631,35.8819859","126.7331151,37.4341781"
"127.1680845,36.8372571","128.5894172,35.881934","126.7330245,37.4341973"
"127.1679013,36.8373675","128.5896702,35.8818831","126.7329512,37.434186"
"127.16778,36.837405","128.5896169,35.8817086","126.7329099,37.4341317"
"127.1676297,36.8373983","128.5894143,35.8810722","126.7329037,37.4340703"
"127.1674637,36.837396","128.5893853,35.8809814","126.7329178,37.4340253"
"127.1672934,36.8373649","128.5892567,35.8805651","126.7329521,37.4339859"
"127.1670808,36.8372561","128.5892232,35.8804654","126.7330269,37.4339666"
"127.1669546,36.8371233","128.5891443,35.8802082","126.7331287,37.4339546"
"127.1669011,36.837051","128.5890529,35.8799251","126.7331933,37.4339442"
"127.1668489,36.8369409","128.5890285,35.8798414","126.7333329,37.433882"
"127.1668429,36.8367777","128.5889995,35.8797416","126.7333828,37.4338697"
"127.1668849,36.8366597","128.5890285,35.8798414","126.7335255,37.4338418"
"127.1669571,36.8365481","128.5890529,35.8799251","126.7335708,37.4338358"
"127.1670822,36.8364151","128.5891443,35.8802082","126.7336126,37.4338334"
"127.1672195,36.8363064","128.5892232,35.8804654","126.733798,37.4338337"
"127.1674072,36.8362069","128.5892567,35.8805651","126.7338579,37.4338367"
"127.1676365,36.8360894","128.5893853,35.8809814","126.7339425,37.4338463"
"127.1689387,36.8355359","128.5894143,35.8810722","126.7340959,37.4338825"
"127.1689132,36.8354646","128.5896169,35.8817086","126.7341916,37.4339218"
"127.1688163,36.8353057","128.5896226,35.8817257","126.7343232,37.4339858"
"127.1687203,36.8352099","128.5896702,35.8818831","126.7343949,37.4340448"
"127.1681731,36.8346603","128.5897109,35.8820224","126.734405,37.4340557"
"127.167685,36.8342226","128.5897306,35.8820881","126.7344924,37.4341275"
"127.167609,36.8341593","128.5897632,35.8821996","126.7345436,37.4342098"
"127.167353,36.8339575","128.5899243,35.8827165","126.7345754,37.4343002"
"127.166659,36.8334111","128.5899869,35.8829233","126.7346413,37.4344899"
"127.1665785,36.8333478","128.5901371,35.8833745","126.7346588,37.4345495"
"127.1665573,36.8333333","128.5902063,35.8835713","126.7346683,37.4347244"
"127.166127,36.8329868","128.590325,35.8839047","126.7346434,37.4348405"
"127.1660577,36.8329353","128.5904697,35.8844417","126.7346002,37.4349746"
"127.1659605,36.8328611","128.5904999,35.8845451","126.7345667,37.4350419"
"127.1655078,36.8325154","128.5905466,35.8847177","126.7344321,37.4352772"
"127.1654172,36.8324566","128.5905478,35.8847213","126.7343447,37.4354173"
"127.1652461,36.8323425","128.5906857,35.8851691","126.7342822,37.4356765"
"127.1651712,36.8322963","128.5907182,35.885276","126.7342759,37.4360748"
