0,1,2,3,4,5,6,7,8,9,10
"127.1484758,37.5663079","126.9354063,37.5150129","127.0062326,37.5130236","126.7335413,37.4300733","127.1553152,37.2407191","126.9753391,37.5534576","126.7335413,37.4300733","128.5824192,35.8565318","126.9354063,37.5150129","127.0233666,37.5714755","127.136547,37.5641338"
"127.1488086,37.5663369","126.9394779,37.5157362","127.0064856,37.51326","126.7335998,37.4299908","127.1551926,37.2408955","126.97544,37.5534436","126.7335998,37.4299908","128.582254,35.8566054","126.9394779,37.5157362","127.0235174,37.5714346","127.1364897,37.5642661"
"127.1492047,37.5663948","126.9396722,37.5157696","127.0065734,37.5133369","126.7336767,37.4298777","127.1551273,37.2411197","126.9758547,37.5533995","126.7336767,37.4298777","128.5815749,35.8569081","126.9396722,37.5157696","127.0238101,37.5713547","127.1364667,37.5643427"
"127.1494943,37.5664425","126.941242,37.5160375","127.0069871,37.5137389","126.7337352,37.4297907","127.1551396,37.2413965","126.9759521,37.55339","126.7337352,37.4297907","128.5814296,35.8569734","126.941242,37.5160375","127.0243207,37.571199","127.136455,37.5644228"
"127.1496572,37.5664746","126.9420524,37.5161603","127.0072366,37.5139932","126.7338373,37.4296408","127.1552602,37.2416438","126.9763509,37.5533521","126.7338373,37.4296408","128.5812677,35.8570425","126.9420524,37.5161603","127.0248369,37.5710416","127.1364513,37.564485"
"127.1498213,37.5665066","126.9422209,37.5161846","127.0074918,37.514252","126.7339448,37.4294089","127.1555785,37.2420702","126.9764914,37.5533383","126.7339448,37.4294089","128.5810002,35.857163","126.9422209,37.5161846","127.0255732,37.5708282","127.1364487,37.5645445"
"127.1498937,37.5665212","126.9440554,37.5164501","127.0076121,37.5143751","126.7340487,37.4290851","127.1559561,37.2425878","126.9764909,37.5534059","126.7340487,37.4290851","128.5804124,35.8574243","126.9440554,37.5164501","127.026398,37.5705909","127.1364586,37.5646013"
"127.1499582,37.5665341","126.9449224,37.516575","127.0077999,37.5145562","126.7341422,37.4286756","127.1561423,37.2428038","126.9764962,37.553451","126.7341422,37.4286756","128.5796374,35.857773","126.9449224,37.516575","127.0264366,37.5705811","127.1366173,37.5652634"
"127.150242,37.5666088","126.9449405,37.5165778","127.0082316,37.5149735","126.7342327,37.4282156","127.15647,37.2431346","126.9765015,37.5535123","126.7342327,37.4282156","128.5795472,35.8578135","126.9449405,37.5165778","127.0264672,37.5705722","127.1366941,37.5655449"
"127.1507079,37.5667598","126.9454413,37.516645","127.0082496,37.5149916","126.7344127,37.4273046","127.1564779,37.2431419","126.9765373,37.5540524","126.7344127,37.4273046","128.5794118,35.8578742","126.9454413,37.516645","127.0265092,37.5705589","127.1368132,37.5659806"
"127.151151,37.5669243","126.9458846,37.5166849","127.0083508,37.5150885","126.7344363,37.427202","127.1568157,37.2434818","126.9765397,37.5541993","126.7344363,37.427202","128.5792346,35.8579578","126.9458846,37.5166849","127.0264913,37.5705137","127.1369119,37.5661594"
"127.1520742,37.5673326","126.9462013,37.5167","127.0084498,37.5151826","126.7344562,37.4271426","127.1570682,37.2437403","126.9765404,37.5542597","126.7344562,37.4271426","128.5791994,35.8579744","126.9462013,37.5167","127.0264824,37.5704921","127.1370617,37.5663257"
"127.1521115,37.5673498","126.9465623,37.5167034","127.0087421,37.515466","126.7344496,37.4268938","127.1571375,37.2438685","126.9765535,37.5544914","126.7344496,37.4268938","128.578532,35.8582545","126.9465623,37.5167034","127.0264391,37.5703549","127.1372694,37.5664606"
"127.1533647,37.567916","126.9468747,37.5166923","127.0089772,37.5156869","126.7344472,37.4268028","127.1576527,37.2443865","126.9765666,37.5547213","126.7344472,37.4268028","128.5776118,35.8586747","126.9468747,37.5166923","127.0264203,37.5702926","127.1376628,37.566597"
"127.1538856,37.5681527","126.947116,37.5166601","127.0090762,37.5157774","126.7344507,37.4266802","127.1577403,37.2444742","126.9765695,37.5547961","126.7344507,37.4266802","128.5775447,35.8587042","126.947116,37.5166601","127.0263992,37.5702258","127.138164,37.5666968"
"127.1561434,37.5691707","126.9474015,37.5166037","127.0096104,37.5162745","126.734457,37.4265","127.1578076,37.2445438","126.9766286,37.5549253","126.734457,37.4265","128.5774753,35.8587337","126.9474015,37.5166037","127.0264536,37.570208","127.1385475,37.5667575"
"127.1562406,37.5692151","126.947736,37.5165197","127.0097049,37.5163668","126.7344336,37.4262466","127.1594203,37.2462115","126.9766488,37.5549479","126.7344336,37.4262466","128.5771196,35.8588856","126.947736,37.5165197","127.0265376,37.5701813","127.1388995,37.5667955"
"127.1564903,37.5693276","126.9478891,37.5164717","127.009887,37.5165496","126.7343992,37.4261859","127.160825,37.2477822","126.9766634,37.5549588","126.7343992,37.4261859","128.5767442,35.8590467","126.9478891,37.5164717","127.0271447,37.5699863","127.1392867,37.5668048"
"127.1566124,37.5693829","126.9481931,37.516365","127.0102997,37.5169452","126.7340652,37.4255781","127.1614465,37.2484754","126.976792,37.5550333","126.7340652,37.4255781","128.5764942,35.8591563","126.9481931,37.516365","127.0273126,37.569941","127.139991,37.5668105"
"127.1566519,37.5694011","126.9488196,37.5161101","127.0103885,37.5170303","126.7336973,37.4248618","127.1625584,37.2497189","126.9769027,37.5550725","126.7336973,37.4248618","128.5762619,35.8592575","126.9488196,37.5161101","127.0278173,37.5698061","127.1404007,37.566856"
"127.1576373,37.5698402","126.9490124,37.5160605","127.0103942,37.5170358","126.7335278,37.4245281","127.1628165,37.2499999","126.9769901,37.5550306","126.7335278,37.4245281","128.5758491,35.8594415","126.9490124,37.5160605","127.0278661,37.5697918","127.1408029,37.5668211"
"127.1576385,37.5698402","126.9491359,37.5160359","127.0104335,37.5170729","126.7334602,37.4243934","127.163041,37.250234","126.9770742,37.5549841","126.7334602,37.4243934","128.5752624,35.8597082","126.9491359,37.5160359","127.0286216,37.5695803","127.1416219,37.5667488"
"127.1582182,37.5701024","126.9495989,37.5158577","127.0104616,37.5170991","126.7333893,37.4242568","127.1637372,37.2508868","126.9773891,37.5548115","126.7333893,37.4242568","128.5747781,35.8599335","126.9495989,37.5158577","127.0287884,37.5695332","127.1418179,37.5667314"
"127.1587516,37.5703437","126.9510049,37.5153136","127.0105752,37.5172186","126.7330449,37.4235605","127.1642608,37.2512993","126.977622,37.5546836","126.7330449,37.4235605","128.5745877,35.860019","126.9510049,37.5153136","127.0289211,37.5694959","127.1429111,37.5666346"
"127.1588115,37.5703745","126.9514731,37.5150381","127.0109989,37.517662","126.7327921,37.4230776","127.164932,37.2517537","126.977713,37.5546336","126.7327921,37.4230776","128.574537,35.8600411","126.9514731,37.5150381","127.0290878,37.5694569","127.1430697,37.5666207"
"127.1589493,37.5704425","126.9515821,37.5149882","127.0113159,37.5179752","126.7327467,37.4229907","127.1656644,37.252138","126.9778209,37.5545755","126.7327467,37.4229907","128.5743284,35.8601728","126.9515821,37.5149882","127.0292704,37.5694144","127.1443373,37.5665091"
"127.1603359,37.5710847","126.9517184,37.5149248","127.0119321,37.518578","126.7326912,37.4228876","127.1657431,37.252177","126.9778346,37.5545683","126.7326912,37.4228876","128.574257,35.8602185","126.9517184,37.5149248","127.0294609,37.5693692","127.1459085,37.566366"
"127.1621887,37.5718011","126.9518818,37.5148625","127.0120154,37.5186541","126.7323337,37.422148","127.1662282,37.252392","126.9780312,37.5544601","126.7323337,37.422148","128.5737745,35.8605762","126.9518818,37.5148625","127.0298532,37.5692977","127.1467218,37.566309"
"127.1631655,37.5721428","126.9519022,37.5148544","127.0120818,37.518704","126.7321562,37.4218296","127.1667585,37.2525765","126.9782164,37.5543591","126.7321562,37.4218296","128.5731247,35.8610914","126.9519022,37.5148544","127.0301432,37.5692754","127.1471783,37.566286"
"127.1632243,37.5721637","126.9520927,37.5148012","127.0121516,37.5187556","126.7320818,37.4216957","127.167344,37.2527728","126.9785096,37.5541999","126.7320818,37.4216957","128.5726871,35.8614082","126.9520927,37.5148012","127.0302497,37.5692677","127.1474444,37.5662814"
"127.1633374,37.572201","126.9534477,37.5144145","127.0122497,37.5188245","126.7320041,37.4215573","127.1675761,37.2528239","126.9785244,37.554191","126.7320041,37.4215573","128.5723802,35.8616534","126.9534477,37.5144145","127.030237,37.5691163","127.1479336,37.5662874"
"127.1641751,37.5725207","126.9544909,37.514112","127.0125763,37.519053","126.7318906,37.4213844","127.1679816,37.2529134","126.9786881,37.5541007","126.7318906,37.4213844","128.5723123,35.8617081","126.9544909,37.514112","127.0302276,37.5686349","127.1482981,37.5663011"
"127.1641762,37.5725207","126.9550227,37.5139675","127.0129708,37.5193016","126.7318561,37.421331","127.1683321,37.252973","126.9787336,37.5540657","126.7318561,37.421331","128.5722095,35.8618064","126.9550227,37.5139675","127.0302268,37.5685772","127.1484758,37.5663079"
"127.1649923,37.5728655","126.9551882,37.5139205","127.0131693,37.5194052","126.7318025,37.4212729","127.1700178,37.2532499","126.9787667,37.5540226","126.7318025,37.4212729","128.5721748,35.8618572","126.9551882,37.5139205","127.030237,37.5691163","127.1488086,37.5663369"
"127.1656873,37.5731956","126.9553629,37.5138645","127.0132798,37.5194633","126.7316796,37.4211279","127.1706003,37.2533669","126.9788207,37.5539156","126.7316796,37.4211279","128.5721575,35.8618907","126.9553629,37.5138645","127.0302497,37.5692677","127.1492047,37.5663948"
"127.1663934,37.5735761","126.9555502,37.5137852","127.014049,37.5198658","126.7319454,37.4211107","127.1710768,37.2534854","126.9788689,37.553822","126.7319454,37.4211107","128.5721467,35.8619107","126.9555502,37.5137852","127.030269,37.5694427","127.1494943,37.5664425"
"127.1666079,37.5737101","126.9557692,37.5136933","127.0141617,37.5199258","126.7320166,37.4211058","127.1716511,37.2536646","126.978877,37.553795","126.7320166,37.4211058","128.5721123,35.8619876","126.9557692,37.5136933","127.0302755,37.5694842","127.1496572,37.5664746"
