0,1,2,3,4,5,6,7,8,9,10,11
"126.8088073,37.3227437","127.1330196,37.5193679","127.1355276,37.4340821","126.8891994,37.5475749","126.7343232,37.4339858","126.9494675,37.4037412","128.5579373,35.8570248","126.9494675,37.4037412","127.0491352,37.575165","127.0535472,37.5835355","127.1355276,37.4340821","127.7561707,37.8945019"
"126.8088051,37.3227302","127.1330309,37.5193859","127.1352396,37.4340227","126.8889253,37.5477376","126.7343949,37.4340448","126.9494638,37.4036313","128.5576245,35.857491","126.9494638,37.4036313","127.0493239,37.5750494","127.0535963,37.5834671","127.1352396,37.4340227","127.756191,37.8944586"
"126.8088023,37.3226734","127.1331431,37.5195648","127.1352114,37.4340163","126.8883897,37.5480277","126.734405,37.4340557","126.9494884,37.4035187","128.5574621,35.8577728","126.9494884,37.4035187","127.0495648,37.5749034","127.0536865,37.5833332","127.1352114,37.4340163","127.7562997,37.894316"
"126.8087865,37.3224191","127.1331689,37.5196153","127.1351369,37.4339998","126.8878221,37.5483673","126.7344924,37.4341275","126.9496863,37.4028715","128.5574372,35.8578163","126.9496863,37.4028715","127.0498989,37.5747082","127.0537757,37.5831992","127.1351369,37.4339998","127.7563745,37.8942329"
"126.8087815,37.3223479","127.133262,37.5197977","127.1350861,37.4339888","126.8870493,37.5488662","126.7345436,37.4342098","126.9497048,37.4028112","128.5573823,35.857934","126.9497048,37.4028112","127.050091,37.574599","127.053858,37.5830778","127.1350861,37.4339888","127.7564085,37.8942004"
"126.8087597,37.322144","127.1333941,37.5200811","127.1349867,37.433966","126.8856661,37.5498037","126.7345754,37.4343002","126.9499049,37.4021839","128.5573748,35.8579494","126.9499049,37.4021839","127.0505614,37.5743313","127.053898,37.5830176","127.1349867,37.433966","127.7566579,37.8939637"
"126.80875,37.3219691","127.1334902,37.5203392","127.1349122,37.4339495","126.8856547,37.5498117","126.7346413,37.4344899","126.9499463,37.4020795","128.5572045,35.8578905","126.9499463,37.4020795","127.0505683,37.5743277","127.0539791,37.5828962","127.1349122,37.4339495","127.7567043,37.8939194"
"126.8088104,37.3210437","127.1335738,37.5206018","127.1349624,37.4338478","126.8854999,37.5499164","126.7346588,37.4345495","126.9500684,37.40177","128.5571878,35.8578852","126.9500684,37.40177","127.0505887,37.574317","127.0540682,37.5827641","127.1349624,37.4338478","127.7567871,37.8938426"
"126.8087919,37.3207272","127.1335882,37.5206487","127.1350115,37.4337497","126.8847366,37.5504992","126.7346683,37.4347244","126.9502012,37.4015327","128.5570299,35.8578307","126.9502012,37.4015327","127.0506364,37.574291","127.0542625,37.5824746","127.1350115,37.4337497","127.7568245,37.8938083"
"126.8087807,37.3205893","127.1338467,37.5207964","127.1351371,37.4334833","126.8842115,37.5508993","126.7346434,37.4348405","126.9502859,37.401378","128.5565879,35.8576606","126.9502859,37.401378","127.0509683,37.5741003","127.0544657,37.5822094","127.1351371,37.4334833","127.7568811,37.8937415"
"126.8086359,37.3205082","127.1339223,37.5208399","127.1355868,37.4325996","126.8837871,37.5511576","126.7346002,37.4349746","126.9504416,37.4010957","128.5564321,35.8576033","126.9504416,37.4010957","127.0513194,37.5739006","127.0545558,37.5820926","127.1355868,37.4325996","127.7569399,37.8936458"
"126.8084864,37.3204433","127.1340849,37.5209161","127.1356016,37.4325726","126.883522,37.5513094","126.7345667,37.4350419","126.9504771,37.4010373","128.556244,35.8575302","126.9504771,37.4010373","127.0514171,37.5738442","127.0546631,37.5819533","127.1356016,37.4325726","127.7569726,37.8935457"
"126.8083771,37.3204138","127.1342262,37.5209454","127.1357741,37.4324325","126.8833049,37.5514111","126.7344321,37.4352772","126.9508523,37.4004036","128.5554959,35.8572383","126.9508523,37.4004036","127.0515603,37.57376","127.0547624,37.5818248","127.1357741,37.4324325","127.7569875,37.893269"
"126.8082632,37.3204105","127.1343653,37.5209602","127.1358391,37.432311","126.8831528,37.5514707","126.7343447,37.4354173","126.9508855,37.4003434","128.5549527,35.857033","126.9508855,37.4003434","127.0519831,37.5735074","127.054791,37.5817852","127.1358391,37.432311","127.7570804,37.8931543"
"126.8082304,37.3204121","127.1346867,37.5209666","127.1359429,37.4321148","126.8831028,37.5514902","126.7342822,37.4356765","126.9510137,37.4001159","128.5546967,35.856937","126.9510137,37.4001159","127.0521593,37.5733936","127.0549737,37.5815398","127.1359429,37.4321148","127.7571635,37.8931838"
"126.8081242,37.3204286","127.1355997,37.5205467","127.1360604,37.4318835","126.8827757,37.5516174","126.7342759,37.4360748","126.9512163,37.3997527","128.5545119,35.8568665","126.9512163,37.3997527","127.0522264,37.5733506","127.055057,37.5814275","127.1360604,37.4318835","127.7578194,37.8934041"
"126.8078318,37.320563","127.1367486,37.5200293","127.1360992,37.4318079","126.8827291,37.5516334","126.7340656,37.4360762","126.9512839,37.399625","128.5544273,35.8568348","126.9512839,37.399625","127.0524155,37.5735424","127.0550947,37.5813781","127.1360992,37.4318079","127.7582681,37.8935798"
"126.8054584,37.3216533","127.1381117,37.5194242","127.136194,37.4316108","126.8821241,37.5518357","126.7339017,37.4360769","126.9513137,37.3995629","128.55405,35.8566939","126.9513137,37.3995629","127.0524627,37.5735949","127.0553138,37.5810923","127.136194,37.4316108","127.7588547,37.8938174"
"126.8051565,37.3217119","127.1385653,37.5192299","127.1364875,37.4310015","126.8813763,37.5520418","126.7335196,37.4360771","126.9513622,37.3994271","128.5538864,35.8566331","126.9513622,37.3994271","127.0528363,37.5739983","127.0554577,37.5808999","127.1364875,37.4310015","127.7591714,37.8939573"
"126.8047585,37.3219087","127.1388193,37.519119","127.1368193,37.4303878","126.8801874,37.552333","126.7327295,37.4360774","126.9514098,37.399256","128.553016,35.8563044","126.9514098,37.399256","127.0528993,37.5740661","127.0554828,37.5808658","127.1368193,37.4303878","127.7593468,37.894038"
"126.8041429,37.3222125","127.139087,37.5190017","127.1369504,37.4301565","126.8798368,37.5524249","126.7324209,37.4360772","126.9519555,37.3981616","128.552356,35.8560551","126.9519555,37.3981616","127.0530535,37.5742317","127.0554999,37.5808496","127.1369504,37.4301565","127.7601499,37.8944049"
"126.8039184,37.3223202","127.1400078,37.5185899","127.1370828,37.4299019","126.8786475,37.5527702","126.7323339,37.4360766","126.9520541,37.3979701","128.5520087,35.8559175","126.9520541,37.3979701","127.0532606,37.5744371","127.0555547,37.580766","127.1370828,37.4299019","127.7607516,37.894728"
"126.8036883,37.3224289","127.1421602,37.5176383","127.1371353,37.4298002","126.8785749,37.5527915","126.73217,37.4360729","126.9520965,37.3978909","128.5519084,35.855876","126.9520965,37.3978909","127.0533327,37.5745076","127.0557089,37.5805475","127.1371353,37.4298002","127.7608223,37.8947756"
"126.8025864,37.3229506","127.1433813,37.5171498","127.1371569,37.4297579","126.8785011,37.5528163","126.732172,37.4359909","126.9522064,37.3976913","128.5518661,35.8558583","126.9522064,37.3976913","127.0533743,37.5745493","127.0560914,37.5800235","127.1371569,37.4297579","127.7611723,37.895011"
"126.801979,37.3232183","127.1435456,37.517089","127.1371923,37.4296931","126.8776325,37.553111","126.732174,37.4357917","126.9526153,37.396919","128.5517559,35.8558133","126.9526153,37.396919","127.0534261,37.5745963","127.0562193,37.5798464","127.1371923,37.4296931","127.7612749,37.8950865"
"126.801656,37.3233606","127.1437836,37.5170276","127.1372072,37.4296562","126.8772178,37.5532927","126.7321795,37.4357016","126.95266,37.3968389","128.5504321,35.8552848","126.95266,37.3968389","127.0534701,37.5746362","127.0562696,37.5797727","127.1372072,37.4296562","127.7622545,37.8958062"
"126.8012199,37.3235311","127.1438153,37.5170195","127.1372494,37.4295707","126.8767622,37.5534913","126.7321872,37.4348327","126.952716,37.39674","128.5503999,35.8552716","126.952716,37.39674","127.0537258,37.5748552","127.0563748,37.579609","127.1372494,37.4295707","127.7623297,37.8958692"
"126.8011361,37.3235604","127.1438912,37.5170044","127.1374822,37.4291063","126.8759615,37.5539242","126.7321914,37.4335384","126.9527355,37.396705","128.5503242,35.8552416","126.9527355,37.396705","127.0539038,37.5750064","127.0564935,37.5794472","127.1374822,37.4291063","127.7629718,37.8963517"
"126.8010477,37.3235923","127.144215,37.5169531","127.1374959,37.429082","126.8753971,37.5542691","126.7321922,37.4333482","126.9528019,37.396589","128.5485867,35.8545833","126.9528019,37.396589","127.054285,37.575272","127.0569365,37.5788414","127.1374959,37.429082","127.7632113,37.8965323"
"126.8010319,37.3235976","127.1446001,37.5168975","127.1376238,37.4288138","126.8749997,37.5545446","126.7321958,37.4332175","126.952834,37.3965243","128.5483697,35.8545014","126.952834,37.3965243","127.0549033,37.5756691","127.0570039,37.578747","127.1376238,37.4288138","127.7637279,37.8969016"
"126.8009391,37.3236277","127.145224,37.5168075","127.1378361,37.4283844","126.8741938,37.555192","126.7322039,37.4329787","126.9534569,37.3953743","128.5482195,35.854445","126.9534569,37.3953743","127.0551232,37.5758151","127.0571981,37.5784737","127.1378361,37.4283844","127.7639786,37.8970408"
"126.8006436,37.3237197","127.145831,37.5167101","127.1378749,37.4283043","126.8738404,37.5554822","126.7322061,37.4328778","126.9535062,37.3952826","128.5481872,35.8544335","126.9535062,37.3952826","127.055139,37.5758259","127.0572175,37.5784422","127.1378749,37.4283043","127.7642851,37.8971843"
"126.8003766,37.323792","127.1463689,37.5166234","127.1378966,37.4282593","126.8728995,37.5562992","126.7322064,37.4328409","126.9541006,37.3941748","128.5481627,35.8544238","126.9541006,37.3941748","127.0552868,37.5759247","127.0572689,37.578364","127.1378966,37.4282593","127.7648386,37.8974048"
"126.7996491,37.3239824","127.1470866,37.5165588","127.1379411,37.4281657","126.871189,37.5577539","126.7322147,37.4326976","126.9541349,37.394111","128.5480993,35.8543991","126.9541349,37.394111","127.0554831,37.5760544","127.0574892,37.578071","127.1379411,37.4281657","127.765072,37.8974745"
"126.7983413,37.3243091","127.1471693,37.5165519","127.1380577,37.4278921","126.8709997,37.5579161","126.7322184,37.4325579","126.954175,37.3940409","128.5477843,35.8542838","126.954175,37.3940409","127.0557888,37.5762556","127.0577383,37.5777078","127.1380577,37.4278921","127.7654967,37.8975989"
"126.7975856,37.3244948","127.1475564,37.516517","127.138068,37.4278723","126.8698615,37.5588997","126.7322358,37.4322885","126.9542414,37.3939213","128.547633,35.8542256","126.9542414,37.3939213","127.0561193,37.5764723","127.0578114,37.5775999","127.138068,37.4278723","127.7659658,37.8977339"
"126.7968049,37.3247029","127.1478351,37.5164556","127.1381856,37.4276184","126.8692995,37.5593491","126.7322359,37.4322831","126.9546409,37.3931966","128.5472367,35.8540749","126.9546409,37.3931966","127.0561204,37.5764741","127.0578263,37.5775621","127.1381856,37.4276184","127.7663291,37.8978457"
"126.7962221,37.3248653","127.1485499,37.5162829","127.1382464,37.4274366","126.8683493,37.5600579","126.7322383,37.4322723","126.9547496,37.3930096","128.546628,35.8538521","126.9547496,37.3930096","127.0562874,37.5765829","127.0578367,37.5775333","127.1382464,37.4274366","127.7671569,37.8980971"
"126.7955386,37.325055","127.1487742,37.5162331","127.138281,37.4272997","126.8671367,37.5608491","126.7322599,37.4321472","126.9548548,37.3928244","128.5458246,35.853558","126.9548548,37.3928244","127.0565119,37.5767324","127.0584738,37.5776285","127.138281,37.4272997","127.7677159,37.8982581"
"126.7950721,37.3252136","127.1489068,37.5162064","127.1382997,37.4271618","126.8662743,37.5613492","126.7323098,37.4320141","126.9548835,37.3927642","128.545809,35.8535518","126.9548835,37.3927642","127.0568921,37.5769718","127.0586027,37.5776488","127.1382997,37.4271618","127.7677979,37.8982831"
"126.7949429,37.3252642","127.1490302,37.5161789","127.1383094,37.4270329","126.8646188,37.5623003","126.7324261,37.4316958","126.9549775,37.3925726","128.5456821,35.8535024","126.9549775,37.3925726","127.0572588,37.5771985","127.0586616,37.5776581","127.1383094,37.4270329","127.7681702,37.8983887"
"126.7946733,37.3253698","127.1491027,37.5161628","127.138309,37.426886","126.8645152,37.5623601","126.7324652,37.4316329","126.9550395,37.3924422","128.5447549,35.8531399","126.9550395,37.3924422","127.0573322,37.5772439","127.0593894,37.5777248","127.138309,37.426886","127.768563,37.8985004"
"126.7941893,37.3255923","127.1492749,37.5161228","127.1381453,37.4266007","126.8636141,37.5628771","126.7326813,37.4312819","126.9550464,37.3924287","128.5446658,35.8531046","126.9550464,37.3924287","127.0577837,37.5775025","127.0596293,37.5777473","127.1381453,37.4266007","127.7697631,37.8988402"
"126.7929052,37.3262724","127.1493225,37.5161121","127.1380542,37.4265012","126.8627607,37.5633674","126.7327617,37.431158","126.9550659,37.3923874","128.5443742,35.8529909","126.9550659,37.3923874","127.0578367,37.5775333","127.0600051,37.5777875","127.1380542,37.4265012","127.7698132,37.8988527"
"126.792253,37.3266074","127.1494449,37.51608","127.137954,37.4264261","126.8608126,37.5644934","126.7328981,37.4309696","126.9550922,37.3923415","128.5439244,35.8528081","126.9550922,37.3923415","127.0584738,37.5776285","127.0602258,37.5778153","127.137954,37.4264261","127.7703779,37.8990019"
"126.7916259,37.3269218","127.1503195,37.5158519","127.1377914,37.4263932","126.8606714,37.5645801","126.7332248,37.4305166","126.9551483,37.3922417","128.5438086,35.8527614","126.9551483,37.3922417","127.0586027,37.5776488","127.0605075,37.577856","127.1377914,37.4263932","127.7718204,37.8993852"
"126.7915851,37.3269432","127.1505155,37.5158011","127.1376173,37.4264098","126.8599773,37.5649846","126.7335413,37.4300733","126.9551574,37.3922264","128.5428868,35.8523916","126.9551574,37.3922264","127.0586616,37.5776581","127.0605834,37.5778671","127.1376173,37.4264098","127.7719366,37.8994165"
"126.791139,37.3270812","127.1509659,37.5155581","127.1375097,37.4264518","126.8597748,37.5650908","126.7335998,37.4299908","126.9551883,37.3921725","128.5421889,35.8521227","126.9551883,37.3921725","127.0593894,37.5777248","127.0607406,37.5778903","127.1375097,37.4264518","127.7722622,37.8995059"
"126.7909746,37.3271694","127.151186,37.5154389","127.1374394,37.4264921","126.8585844,37.5657946","126.7336767,37.4298777","126.9553784,37.3918164","128.54151,35.8518608","126.9553784,37.3918164","127.0596293,37.5777473","127.0610824,37.5779411","127.1374394,37.4264921","127.772803,37.8996534"
"126.7909122,37.3272033","127.1512723,37.5153644","127.1373906,37.4265344","126.8582488,37.5659775","126.7337352,37.4297907","126.955572,37.3914459","128.5413397,35.8517974","126.955572,37.3914459","127.0600051,37.5777875","127.0610846,37.577942","127.1373906,37.4265344","127.7728861,37.8996739"
"126.7892994,37.3280175","127.1513121,37.5153248","127.1373667,37.4265694","126.8576763,37.5663097","126.7338373,37.4296408","126.9556797,37.3912418","128.5411249,35.8517163","126.9556797,37.3912418","127.0602258,37.5778153","127.0612498,37.5779661","127.1373667,37.4265694","127.7732402,37.8997632"
"126.788028,37.3286687","127.1514283,37.5151647","127.1373451,37.4266036","126.8570174,37.5666928","126.7339448,37.4294089","126.9557129,37.3911825","128.5410392,35.8516837","126.9557129,37.3911825","127.0605075,37.577856","127.0615871,37.5780079","127.1373451,37.4266036","127.7736569,37.8998677"
"126.7876821,37.3288415","127.1515322,37.5149496","127.1373232,37.426682","126.8569037,37.5667553","126.7340487,37.4290851","126.9557747,37.3910746","128.540525,35.8514826","126.9557747,37.3910746","127.0605834,37.5778671","127.0619017,37.5780496","127.1373232,37.426682","127.773937,37.8999409"
"126.7866707,37.3293231","127.1516681,37.5144425","127.1373172,37.4267685","126.8552201,37.5677763","126.7341422,37.4286756","126.9560035,37.3906755","128.5396156,35.8511289","126.9560035,37.3906755","127.0607406,37.5778903","127.0620239,37.5780663","127.1373172,37.4267685","127.7743116,37.900041"
"126.7865278,37.3293925","127.1517411,37.5140696","127.1373414,37.426902","126.8535118,37.5687783","126.7342327,37.4282156","126.956039,37.3906116","128.5394119,35.8510495","126.956039,37.3906116","127.0610824,37.5779411","127.0634216,37.5782346","127.1373414,37.426902","127.7746076,37.9001241"
"126.785921,37.3296971","127.1517118,37.5138081","127.1374539,37.4270096","126.8533616,37.5688658","126.7344127,37.4273046","126.9560733,37.3905451","128.5381122,35.8505658","126.9560733,37.3905451","127.0610846,37.577942","127.0637215,37.5782709","127.1374539,37.4270096","127.7746318,37.9002124"
"126.7853017,37.3300179","127.1516247,37.512591","127.1375915,37.4270767","126.8523088,37.5694775","126.7344363,37.427202","126.9561054,37.390483","128.5377218,35.8504421","126.9561054,37.390483","127.0612498,37.5779661","127.0649245,37.5784159","127.1375915,37.4270767","127.7746309,37.900271"
"126.7850782,37.3301319","127.1515866,37.5120077","127.1378147,37.4271838","126.8484904,37.5716972","126.7344562,37.4271426","126.9561626,37.3903869","128.5373468,35.8503029","126.9561626,37.3903869","127.0615871,37.5780079","127.0649947,37.5784243","127.1378147,37.4271838","127.7746141,37.9003485"
"126.7848105,37.3302673","127.1516116,37.5117581","127.1380104,37.4271627","126.8466752,37.5727264","126.7344496,37.4268938","126.9561992,37.3903248","128.5373301,35.8502958","126.9561992,37.3903248","127.0619017,37.5780496","127.0652867,37.5784578","127.1380104,37.4271627","127.7745905,37.900427"
"126.7846756,37.3303377","127.1517122,37.511525","127.1385362,37.4271066","126.8460493,37.5730745","126.7344472,37.4268028","126.9569494,37.3889077","128.5373057,35.850287","126.9569494,37.3889077","127.0620239,37.5780663","127.0659997,37.5785325","127.1385362,37.4271066","127.7739415,37.9014533"
"126.7845791,37.3303876","127.1518373,37.5113991","127.1385995,37.4270996","126.8443181,37.5740726","126.7344507,37.4266802","126.9569929,37.3888259","128.5372356,35.8502605","126.9569929,37.3888259","127.0634216,37.5782346","127.0664491,37.5785666","127.1385995,37.4270996","127.7730619,37.9029227"
"126.7840323,37.3306772","127.151962,37.5113409","127.1396998,37.4269858","126.8442999,37.5740833","126.734457,37.4265","126.9570181,37.3887791","128.5368055,35.850147","126.9570181,37.3887791","127.0637215,37.5782709","127.0665374,37.5785742","127.1396998,37.4269858","127.772941,37.9031366"
"126.7838009,37.3308011","127.1521116,37.5112999","127.1397292,37.4269814","126.8437593,37.574393","126.7344336,37.4262466","126.9574463,37.3879879","128.5367234,35.8501369","126.9574463,37.3879879","127.0649245,37.5784159","127.0667797,37.578585","127.1397292,37.4269814","127.7727986,37.9033857"
"126.783481,37.330965","127.1523368,37.5112744","127.1398943,37.4269557","126.842752,37.5749697","126.7343992,37.4261859","126.9574897,37.3879115","128.5367035,35.8501344","126.9574897,37.3879115","127.0649947,37.5784243","127.0669235,37.5785909","127.1398943,37.4269557","127.7727522,37.9034588"
"126.7828991,37.3312644","127.1525935,37.5113139","127.1406261,37.4268444","126.8404995,37.5762578","126.7340652,37.4255781","126.9575264,37.3878458","128.5364506,35.8501059","126.9575264,37.3878458","127.0652867,37.5784578","127.0670288,37.5785958","127.1406261,37.4268444","127.772689,37.9035878"
"126.7828061,37.3313116","127.152756,37.5114136","127.1411611,37.4267658","126.8395191,37.5767264","126.7336973,37.4248618","126.9575595,37.3877874","128.5359827,35.8500631","126.9575595,37.3877874","127.0659997,37.5785325","127.0671284,37.5786016","127.1411611,37.4267658","127.7724775,37.9039019"
"126.7825804,37.3314256","127.1528147,37.5114525","127.1416621,37.4266997","126.8394873,37.5767415","126.7335278,37.4245281","126.9576271,37.3876651","128.5350991,35.8499833","126.9576271,37.3876651","127.0664491,37.5785666","127.0673537,37.578615","127.1416621,37.4266997","127.7718445,37.9053103"
"126.7822469,37.3315948","127.1528743,37.5115329","127.1425164,37.4265058","126.8386744,37.5770993","126.7334602,37.4243934","126.9576488,37.3876211","128.5346002,35.8499416","126.9576488,37.3876211","127.0665374,37.5785742","127.0676617,37.5786333","127.1425164,37.4265058","127.7717655,37.9054854"
"126.7819722,37.3318726","127.1529622,37.5115998","127.1426997,37.4264658","126.837002,37.5777073","126.7333893,37.4242568","126.958266,37.3864728","128.5343996,35.8499244","126.958266,37.3864728","127.0667797,37.578585","127.0681757,37.578655","127.1426997,37.4264658","127.7715444,37.905978"
"126.7799655,37.3329015","127.153449,37.5122746","127.1442028,37.4262459","126.8368804,37.5777517","126.7330449,37.4235605","126.9583313,37.3863487","128.5334118,35.8498409","126.9583313,37.3863487","127.0669235,37.5785909","127.0683773,37.5786629","127.1442028,37.4262459","127.7711957,37.906753"
"126.7797386,37.33302","127.1534975,37.512318","127.1448034,37.4261585","126.8349478,37.5784547","126.7327921,37.4230776","126.9589448,37.385232","128.5324977,35.849718","126.9589448,37.385232","127.0670288,37.5785958","127.0685868,37.5786673","127.1448034,37.4261585","127.7709906,37.9072663"
"126.779708,37.333036","127.1535561,37.5123696","127.145137,37.4261099","126.8347591,37.5785231","126.7327467,37.4229907","126.9589803,37.3851673","128.5322249,35.8496816","126.9589803,37.3851673","127.0671284,37.5786016","127.068974,37.5786832","127.145137,37.4261099","127.7706719,37.9081422"
"126.7796059,37.3330895","127.1537116,37.5125079","127.1454989,37.4260578","126.834199,37.5787245","126.7326912,37.4228876","126.9590077,37.3851151","128.5321117,35.8496664","126.9590077,37.3851151","127.0673537,37.578615","127.069497,37.5787157","127.1454989,37.4260578","127.7704529,37.908926"
"126.7794097,37.3331901","127.1541495,37.5127499","127.1460712,37.4259793","126.8313869,37.5797497","126.7323337,37.422148","126.9590261,37.3850819","128.5310708,35.8495004","126.9590261,37.3850819","127.0676617,37.5786333","127.0698185,37.5787394","127.1460712,37.4259793","127.7704484,37.9089467"
