0,1
"126.7640258,37.5132275","126.9159523,37.5156159"
"126.7641324,37.513211","126.9159033,37.5156536"
"126.7642468,37.5131928","126.9157053,37.5158031"
"126.7642626,37.5131956","126.915653,37.5158317"
"126.7642716,37.5132038","126.9156007,37.5158603"
"126.7642794,37.5132218","126.915201,37.5160485"
"126.7642811,37.5132786","126.9150182,37.5161206"
"126.7642729,37.5133029","126.9149501,37.5161473"
"126.7642592,37.5133164","126.9148082,37.5162025"
"126.7642354,37.5133243","126.9146868,37.5162496"
"126.7640813,37.5133441","126.9145993,37.5162916"
"126.7639611,37.5133632","126.9145495,37.5162994"
"126.7639549,37.5135389","126.9144996,37.5163082"
"126.7639177,37.5136405","126.9144838,37.5163099"
"126.7638841,37.5137178","126.9143614,37.5163246"
"126.7638759,37.5137475","126.9142675,37.5163242"
"126.7638595,37.5138015","126.9142234,37.5163249"
"126.7638437,37.5139132","126.9141408,37.5163244"
"126.7643318,37.5138702","126.913971,37.5163245"
"126.7643612,37.5136469","126.9138522,37.5163212"
"126.7644293,37.5133985","126.9135106,37.5163087"
"126.7644659,37.513241","126.9132617,37.5162993"
"126.7646128,37.5127931","126.9129868,37.5162908"
"126.7646988,37.5125656","126.9128963,37.5162939"
"126.7647303,37.5124711","126.912568,37.5163058"
"126.7647435,37.5123892","126.9125539,37.5165149"
"126.7647429,37.5123333","126.9125389,37.5166951"
"126.7647261,37.5122052","126.9122744,37.516664"
"126.7646806,37.5120039","126.9122621,37.5166432"
"126.7645959,37.5116383","126.9122708,37.5165441"
"126.7645289,37.5113197","126.912277,37.5164729"
"126.7645039,37.5112105","126.9123037,37.5163964"
"126.764468,37.5110598","126.9123896,37.5158209"
"126.7644388,37.5109316","126.9123944,37.5156452"
"126.7644355,37.5109172","126.9123945,37.5156289"
"126.7644064,37.5107728","126.9124035,37.5153505"
"126.7643697,37.5105851","126.912322,37.5152176"
"126.7643503,37.5104885","126.9122357,37.5151081"
"126.7641746,37.509596","126.9118546,37.5146411"
"126.7641714,37.5095806","126.9116562,37.5143985"
"126.7641616,37.5095418","126.9116372,37.514375"
"126.7638973,37.5083387","126.9114882,37.5141823"
"126.7638822,37.5082629","126.9113953,37.5140592"
"126.7638747,37.5082232","126.9113236,37.5139633"
"126.7638499,37.5081022","126.911271,37.5138927"
"126.7636443,37.5070265","126.9112094,37.5138104"
"126.7636389,37.5069995","126.910956,37.5136523"
"126.763528,37.5065436","126.9106903,37.513486"
"126.7634429,37.5061104","126.9106632,37.5134742"
"126.7633814,37.5058045","126.9101242,37.5132417"
"126.7633663,37.505726","126.9100926,37.5132334"
"126.7633394,37.5055861","126.9098599,37.5131799"
"126.763321,37.5055012","126.9097582,37.5131587"
"126.7632128,37.5050048","126.9096204,37.5131301"
"126.7631621,37.5047503","126.9093029,37.513069"
"126.7629627,37.5047797","126.9091685,37.5130422"
"126.7621844,37.5048866","126.9091414,37.5130366"
"126.7616405,37.5049662","126.9091086,37.5130347"
"126.7602516,37.505154","126.9090283,37.5130298"
"126.7591004,37.5053216","126.908974,37.5130268"
"126.7586936,37.5053804","126.9088315,37.5130189"
"126.7582745,37.50543","126.9087794,37.5130159"
"126.7579426,37.5054694","126.9085827,37.5130005"
"126.7556344,37.5057144","126.9083645,37.5129679"
"126.7554328,37.5057348","126.9082585,37.5129295"
"126.7551723,37.5057647","126.9081808,37.5128732"
"126.7551428,37.5057681","126.9081482,37.5128496"
"126.7546924,37.5057815","126.9080516,37.5127599"
"126.7543823,37.5057949","126.9079607,37.512663"
"126.7538448,37.5058032","126.9078864,37.512613"
"126.7535981,37.505808","126.9077498,37.5125745"
"126.7532789,37.505815","126.9076052,37.512553"
"126.7531862,37.5058153","126.9074333,37.5125387"
"126.7531477,37.5058159","126.9071992,37.5125231"
"126.7524881,37.5058136","126.907006,37.5124788"
"126.7520706,37.5058118","126.9068899,37.5124287"
"126.7517505,37.5059179","126.9068009,37.5123832"
"126.7510455,37.5059333","126.9067535,37.5123586"
"126.7499994,37.5059961","126.9067096,37.5123349"
"126.7492256,37.5061002","126.9066713,37.5123095"
"126.7490319,37.5061224","126.9065468,37.5123161"
"126.748973,37.5061302","126.9064177,37.5123353"
"126.7486919,37.5061788","126.9063451,37.5123484"
"126.7484608,37.5062098","126.9062545,37.5123642"
"126.7479421,37.5062669","126.9060958,37.5124039"
"126.7477393,37.5058402","126.9060022,37.5124963"
"126.7477187,37.505749","126.9059635,37.5125367"
"126.7477123,37.5057111","126.9058573,37.5126479"
"126.7475148,37.5045381","126.9056109,37.512909"
"126.7474849,37.5043595","126.9053199,37.5132131"
"126.7472234,37.5030247","126.9052412,37.5132947"
"126.747173,37.5027414","126.9051762,37.5133611"
"126.7468397,37.5008969","126.9051941,37.5133864"
"126.7466881,37.5","126.9052005,37.5134315"
"126.7466249,37.4996472","126.9051912,37.5134612"
"126.7464651,37.4986583","126.9051672,37.5134926"
"126.7463415,37.4979012","126.9051445,37.5135024"
"126.7462708,37.4975087","126.9051173,37.5135104"
"126.7460534,37.4961733","126.9050811,37.5135084"
"126.7459822,37.4953788","126.9050461,37.5135001"
"126.7460254,37.4950185","126.9050213,37.5134847"
"126.746025,37.4949491","126.9050022,37.5134638"
"126.7459746,37.4939916","126.9049934,37.5134359"
"126.7459741,37.4933741","126.9050005,37.5133953"
"126.7459993,37.4926658","126.9050086,37.5133764"
"126.7460401,37.4922091","126.904744,37.513349"
"126.7461154,37.4914678","126.9046615,37.5133404"
