0,1,2,3,4,5,6
"127.0113611,37.296867","127.3454797,36.3666634","127.164326,36.7859793","126.9463131,37.4063288","126.9463131,37.4063288","127.2079065,37.5429608","127.1320036,35.8464247"
"127.0113058,37.2968668","127.3455358,36.3670313","127.1641921,36.7863512","126.9465196,37.4063622","126.9465196,37.4063622","127.2081068,37.5429712","127.1322871,35.8464247"
"127.0109763,37.2968654","127.3455974,36.3674497","127.1642605,36.7863478","126.9466337,37.4063609","126.9466337,37.4063609","127.2086489,37.5429996","127.1323747,35.8463997"
"127.0113316,37.2963603","127.3456161,36.3675868","127.1644735,36.7863367","126.9467526,37.4063353","126.9467526,37.4063353","127.2086407,37.5430807","127.1324991,35.8463162"
"127.0114756,37.2964303","127.3456282,36.3676607","127.1646529,36.7863299","126.9469303,37.4062965","126.9469303,37.4062965","127.2086172,37.5432951","127.1323622,35.8462247"
"127.0115813,37.2964803","127.3456954,36.3680791","127.1647404,36.7862986","126.9471307,37.4062298","126.9471307,37.4062298","127.2085527,37.5438691","127.1320372,35.8458658"
"127.0119739,37.2966658","127.3457448,36.3684642","127.1647888,36.7862654","126.9472351,37.4061708","126.9472351,37.4061708","127.2085401,37.5439034","127.131912,35.8456328"
"127.0126848,37.2970041","127.3444525,36.3686185","127.1648758,36.7860989","126.9473225,37.4061199","126.9473225,37.4061199","127.2085173,37.5439421","127.1318874,35.8454497"
"127.0129525,37.2971304","127.3440522,36.3686657","127.1649379,36.7859945","126.9474293,37.4060374","126.9474293,37.4060374","127.2083493,37.5440624","127.131885,35.8452585"
"127.0130616,37.2971832","127.3438036,36.3686915","127.1649831,36.7859045","126.9475022,37.4059612","126.9475022,37.4059612","127.2082539,37.5441307","127.1317868,35.844701"
"127.0134047,37.2973477","127.3432405,36.3687503","127.1649945,36.7856034","126.9475284,37.4059333","126.9475284,37.4059333","127.2083791,37.5442581","127.1317573,35.8445964"
"127.0136792,37.2974796","127.3429595,36.3687761","127.1650071,36.7852879","126.9476234,37.4057697","126.9476234,37.4057697","127.2084298,37.5443123","127.1320066,35.8445683"
"127.013822,37.2975514","127.3427867,36.3687912","127.165031,36.7846858","126.9476818,37.4056582","126.9476818,37.4056582","127.2088854,37.5447641","127.1322171,35.8445446"
"127.0136788,37.297704","127.3427209,36.3687974","127.1650614,36.7843884","126.9477258,37.4055223","126.9477258,37.4055223","127.2092451,37.5451291","127.1324476,35.8445182"
"127.0135619,37.2978207","127.3425715,36.3688116","127.1650913,36.784228","126.9477524,37.4054377","126.9477524,37.4054377","127.2092846,37.5451671","127.133263,35.844427"
"127.0134744,37.2979078","127.3423887,36.3688249","127.1651267,36.7840812","126.9477599,37.4051737","126.9477599,37.4051737","127.2096285,37.5455186","127.1335179,35.844398"
"127.0133688,37.2980128","127.3422504,36.3688346","127.1651529,36.7839704","126.9477442,37.4050095","126.9477442,37.4050095","127.2102159,37.5461401","127.1339389,35.8443506"
"127.0126489,37.2987247","127.3417543,36.3688709","127.1651654,36.7839263","126.9477375,37.4049924","126.9477375,37.4049924","127.2105665,37.5465115","127.1343643,35.8443032"
"127.0125206,37.2988485","127.3416372,36.3688942","127.165326,36.7833489","126.9476611,37.4047883","126.9476611,37.4047883","127.2107086,37.5466605","127.1345593,35.844283"
"127.0121697,37.2991878","127.3415625,36.3689203","127.1653318,36.7832858","126.9476555,37.4047739","126.9476555,37.4047739","127.2108145,37.5467762","127.1347454,35.8442602"
"127.0120403,37.2993108","127.3414865,36.3689932","127.1653658,36.7829478","126.9475086,37.4046326","126.9475086,37.4046326","127.2108495,37.5468141","127.1351122,35.8442162"
"127.0120165,37.2993341","127.3414362,36.3690779","127.1653813,36.7827486","126.9473029,37.4044829","126.9473029,37.4044829","127.2113061,37.5472974","127.1358743,35.84415"
"127.0118995,37.2994445","127.3411944,36.3695743","127.1653862,36.7823764","126.9473386,37.4040882","126.9473386,37.4040882","127.2113647,37.5473598","127.1359397,35.8441457"
"127.0106791,37.3005968","127.3411093,36.3697437","127.1653864,36.7823331","126.9473035,37.4040854","126.9473035,37.4040854","127.2116455,37.5476507","127.1359995,35.8441414"
