0,1,2,3,4
"127.0133776,37.5059758","127.0985926,37.4886069","127.0985926,37.4886069","127.0985926,37.4886069","127.0985926,37.4886069"
"127.0136273,37.5053189","127.0985465,37.4885428","127.0985465,37.4885428","127.0985465,37.4885428","127.0985465,37.4885428"
"127.0136526,37.5052586","127.0984182,37.4884162","127.0984182,37.4884162","127.0984182,37.4884162","127.0984182,37.4884162"
"127.0135156,37.5052797","127.0983924,37.4883899","127.0983924,37.4883899","127.0983924,37.4883899","127.0983924,37.4883899"
"127.0130774,37.5053373","127.0983429,37.488342","127.0983429,37.488342","127.0983429,37.488342","127.0983429,37.488342"
"127.0127841,37.5053767","127.0982382,37.4882398","127.0982382,37.4882398","127.0982382,37.4882398","127.0982382,37.4882398"
"127.0126131,37.5053985","127.0978702,37.4878798","127.0978702,37.4878798","127.0978702,37.4878798","127.0978702,37.4878798"
"127.0122518,37.5054457","127.0977723,37.4877839","127.0977723,37.4877839","127.0977723,37.4877839","127.0977723,37.4877839"
"127.0121839,37.5054526","127.0976171,37.4876238","127.0976171,37.4876238","127.0976171,37.4876238","127.0976171,37.4876238"
"127.0120458,37.5054674","127.0975205,37.4874991","127.0975205,37.4874991","127.0975205,37.4874991","127.0975205,37.4874991"
"127.0118081,37.5054745","127.0974689,37.487416","127.0974689,37.487416","127.0974689,37.487416","127.0974689,37.487416"
"127.0116814,37.5054803","127.0974274,37.4873483","127.0974274,37.4873483","127.0974274,37.4873483","127.0974274,37.4873483"
"127.0116769,37.5054803","127.0973905,37.487276","127.0973905,37.487276","127.0973905,37.487276","127.0973905,37.487276"
"127.0115456,37.5054806","127.0973637,37.4872129","127.0973637,37.4872129","127.0973637,37.4872129","127.0973637,37.4872129"
"127.0111892,37.5054828","127.0973426,37.4871335","127.0973426,37.4871335","127.0973426,37.4871335","127.0973426,37.4871335"
"127.0111688,37.5054818","127.0973149,37.4870306","127.0973149,37.4870306","127.0973149,37.4870306","127.0973149,37.4870306"
"127.0110614,37.5054777","127.0972996,37.4869206","127.0972996,37.4869206","127.0972996,37.4869206","127.0972996,37.4869206"
"127.0109596,37.5054737","127.0972933,37.486844","127.0972933,37.486844","127.0972933,37.486844","127.0972933,37.486844"
"127.0109007,37.505478","127.0972901,37.4867989","127.0972901,37.4867989","127.0972901,37.4867989","127.0972901,37.4867989"
"127.0107839,37.5055199","127.0972965,37.4866637","127.0972965,37.4866637","127.0972965,37.4866637","127.0972965,37.4866637"
"127.0107305,37.5055521","127.0973162,37.4865646","127.0973162,37.4865646","127.0973162,37.4865646","127.0973162,37.4865646"
"127.0106826,37.5056069","127.0973346,37.4865133","127.0973346,37.4865133","127.0973346,37.4865133","127.0973346,37.4865133"
"127.0106346,37.5056941","127.0973829,37.4863774","127.0973829,37.4863774","127.0973829,37.4863774","127.0973829,37.4863774"
"127.0106128,37.5057346","127.0974526,37.4862451","127.0974526,37.4862451","127.0974526,37.4862451","127.0974526,37.4862451"
"127.0105635,37.5058263","127.0974526,37.4862442","127.0974526,37.4862442","127.0974526,37.4862442","127.0974526,37.4862442"
"127.0104445,37.5060439","127.0975437,37.4861174","127.0975437,37.4861174","127.0975437,37.4861174","127.0975437,37.4861174"
"127.0103471,37.506222","127.0975676,37.4860896","127.0975676,37.4860896","127.0975676,37.4860896","127.0975676,37.4860896"
"127.0103448,37.5062274","127.0977054,37.4859269","127.0977054,37.4859269","127.0977054,37.4859269","127.0977054,37.4859269"
"127.010266,37.506337","127.0977759,37.4858604","127.0977759,37.4858604","127.0977759,37.4858604","127.0977759,37.4858604"
"127.0102119,37.5063188","127.097827,37.4858128","127.097827,37.4858128","127.097827,37.4858128","127.097827,37.4858128"
"127.0100741,37.5062704","127.0979361,37.4857267","127.0979361,37.4857267","127.0979361,37.4857267","127.0979361,37.4857267"
"127.0099037,37.506213","127.0983621,37.4860102","127.0983621,37.4860102","127.0983621,37.4860102","127.0983621,37.4860102"
"127.0096836,37.5061273","127.0987555,37.4862712","127.0987555,37.4862712","127.0987555,37.4862712","127.0987555,37.4862712"
"127.0092506,37.5069358","127.0990981,37.4864995","127.0990981,37.4864995","127.0990981,37.4864995","127.0990981,37.4864995"
"127.0092986,37.5072082","127.099361,37.4866365","127.099361,37.4866365","127.099361,37.4866365","127.099361,37.4866365"
"127.0093589,37.5073338","127.0996161,37.4867383","127.0996161,37.4867383","127.0996161,37.4867383","127.0996161,37.4867383"
"127.0093981,37.5073889","127.1002496,37.4869342","127.1002496,37.4869342","127.1002496,37.4869342","127.1002496,37.4869342"
"127.0096118,37.5075827","127.1006121,37.4870409","127.1006121,37.4870409","127.1006121,37.4870409","127.1006121,37.4870409"
"127.0102883,37.5077847","127.100733,37.4870738","127.100733,37.4870738","127.100733,37.4870738","127.100733,37.4870738"
"127.0104565,37.507835","127.1011949,37.4871997","127.1011949,37.4871997","127.1011949,37.4871997","127.1011949,37.4871997"
"127.0112436,37.5080708","127.1014084,37.4872671","127.1014084,37.4872671","127.1014084,37.4872671","127.1014084,37.4872671"
"127.0113972,37.5081156","127.1017145,37.487352","127.1017145,37.487352","127.1017145,37.487352","127.1017145,37.487352"
"127.0115745,37.508165","127.1019844,37.4874295","127.1019844,37.4874295","127.1019121,37.4871985","127.1019121,37.4871985"
"127.0116479,37.5081851","127.1022205,37.4874934","127.1022205,37.4874934","127.1019984,37.4871258","127.1019984,37.4871258"
"127.0118422,37.5082337","127.1023786,37.4875372","127.1023786,37.4875372","127.1021462,37.4870019","127.1021462,37.4870019"
"127.0120229,37.508284","127.1025536,37.487591","127.1025536,37.487591","127.1022518,37.4869112","127.1022518,37.4869112"
"127.012425,37.508402","127.1028766,37.4876867","127.1028766,37.4876867","127.102333,37.4867502","127.102333,37.4867502"
"127.0129286,37.5085483","127.1060128,37.4886418","127.1060128,37.4886418","127.1024683,37.4866172","127.1024683,37.4866172"
"127.0130551,37.5085848","127.1060625,37.4886573","127.1060625,37.4886573","127.1025979,37.4864897","127.1025979,37.4864897"
"127.0144215,37.5090042","127.1064284,37.4887757","127.1064284,37.4887757","127.102922,37.4861735","127.102922,37.4861735"
"127.0154748,37.5091915","127.1089185,37.4895619","127.1089185,37.4895619","127.1031099,37.4859361","127.1031099,37.4859361"
"127.0155811,37.5091955","127.1089829,37.4895828","127.1089829,37.4895828","127.103266,37.4857167","127.103266,37.4857167"
"127.0156026,37.5091965","127.1090586,37.4896074","127.1090586,37.4896074","127.1034381,37.4854775","127.1034381,37.4854775"
"127.0156695,37.5091878","127.1091884,37.489433","127.1091884,37.489433","127.103616,37.4851933","127.103616,37.4851933"
"127.0157556,37.5091647","127.1092089,37.4894051","127.1092089,37.4894051","127.1038445,37.4847596","127.1038445,37.4847596"
"127.0158373,37.5091209","127.1092465,37.4893565","127.1092465,37.4893565","127.1040981,37.4840844","127.1040981,37.4840844"
"127.0159262,37.509032","127.1093263,37.4892486","127.1093263,37.4892486","127.1042885,37.4835848","127.1042885,37.4835848"
"127.0160037,37.5089359","127.1096965,37.4887442","127.1096965,37.4887442","127.1043206,37.4834993","127.1043206,37.4834993"
"127.0160496,37.5088351","127.1098811,37.4884933","127.1098811,37.4884933","127.1044217,37.4832013","127.1044217,37.4832013"
"127.0162999,37.5082827","127.1103413,37.4878765","127.1103413,37.4878765","127.1046201,37.4824737","127.1046201,37.4824737"
"127.016441,37.5079804","127.1107595,37.4872893","127.1107595,37.4872893","127.1046605,37.4823152","127.1046605,37.4823152"
"127.0166786,37.5074568","127.1121378,37.4854154","127.1121378,37.4854154","127.1046651,37.4822944","127.1046651,37.4822944"
"127.0175154,37.5052447","127.1122928,37.4852032","127.1122928,37.4852032","127.1046674,37.4822845","127.1046674,37.4822845"
"127.0177058,37.5050138","127.113017,37.4842564","127.113017,37.4842564","127.1047267,37.4819936","127.1047267,37.4819936"
"127.0181718,37.503798","127.114036,37.4829798","127.114036,37.4829798","127.1047463,37.4819116","127.1047463,37.4819116"
"127.0183893,37.5032301","127.1141225,37.4828701","127.1141225,37.4828701","127.1050425,37.4804317","127.1050425,37.4804317"
"127.0185171,37.5028944","127.1144369,37.4824304","127.1144369,37.4824304","127.1051793,37.4798093","127.1051793,37.4798093"
"127.0185343,37.5028503","127.1149678,37.4816885","127.1149678,37.4816885","127.1052082,37.4796823","127.1052082,37.4796823"
"127.0185355,37.5028485","127.1150088,37.4816318","127.1150088,37.4816318","127.1052279,37.479594","127.1052279,37.479594"
"127.0187173,37.5023734","127.1154644,37.4810204","127.1154644,37.4810204","127.1052823,37.4793544","127.1052823,37.4793544"
"127.0193449,37.5008328","127.1158379,37.4805313","127.1158379,37.4805313","127.1059121,37.4768084","127.1059121,37.4768084"
"127.0196365,37.4999993","127.1162764,37.4799207","127.1162764,37.4799207","127.106,37.4764418","127.106,37.4764418"
