0
"127.5,36.3513335"
"127.5006999,36.3514083"
"127.501353,36.3514444"
"127.50145,36.3514498"
"127.5023739,36.3514408"
"127.5031496,36.3513831"
"127.5051624,36.3511333"
"127.507174,36.3508582"
"127.5096805,36.3505199"
"127.5101998,36.3504496"
"127.5117244,36.3501916"
"127.5133247,36.3498245"
"127.5141884,36.349581"
"127.5142999,36.3495494"
"127.5159748,36.3488325"
"127.5160762,36.3487802"
"127.5173744,36.3481164"
"127.5179895,36.3477557"
"127.5183249,36.3475582"
"127.5191617,36.3469496"
"127.5195907,36.3466168"
"127.5201188,36.3462075"
"127.52015,36.3461831"
"127.5208486,36.3455213"
"127.5216117,36.3446827"
"127.5220896,36.3440786"
"127.5220996,36.3440659"
"127.5225374,36.3434276"
"127.5227179,36.3431652"
"127.5236145,36.3417054"
"127.5242616,36.3406081"
"127.5242928,36.3405567"
"127.5247873,36.3397245"
"127.5252618,36.3389833"
"127.5257118,36.3383999"
"127.5262598,36.3377687"
"127.526262,36.337766"
"127.5267499,36.3372827"
"127.5273481,36.336766"
"127.5281992,36.3361581"
"127.5295929,36.3352698"
"127.5296118,36.335258"
"127.531412,36.3341243"
"127.5326864,36.3333324"
"127.5328145,36.3332495"
"127.5349866,36.3318325"
"127.5378237,36.3300223"
"127.5379239,36.3299582"
"127.5383506,36.3296903"
"127.5385722,36.3295514"
"127.5386078,36.3295289"
"127.5393285,36.3290752"
"127.5394098,36.3290237"
"127.540067,36.3286088"
"127.5421297,36.3273072"
"127.5425374,36.3270492"
"127.5438616,36.3261994"
"127.544962,36.3254246"
"127.5465122,36.3243746"
"127.5473753,36.3237757"
"127.5481615,36.3232497"
"127.5496716,36.3222141"
"127.5515624,36.3209079"
"127.5530747,36.3198993"
"127.5547605,36.3187527"
"127.5550924,36.3185281"
"127.5558952,36.3179777"
"127.5567114,36.3174121"
"127.5571167,36.3171486"
"127.5586432,36.3161589"
"127.558916,36.315983"
"127.56027,36.3151664"
"127.5604248,36.3150798"
"127.5608201,36.3148614"
"127.5612845,36.3146295"
"127.5619871,36.3142775"
"127.5629414,36.3138515"
"127.5661774,36.3124145"
"127.5672386,36.3119424"
"127.5672887,36.3119198"
"127.5683365,36.3114486"
"127.5710556,36.3102029"
"127.5725098,36.3095619"
"127.5734829,36.3091195"
"127.5743993,36.3086916"
"127.5752377,36.3083134"
"127.5761495,36.3079017"
"127.5775246,36.3072823"
"127.5778786,36.3071117"
"127.5782694,36.306923"
"127.5793059,36.306394"
"127.57973,36.3061855"
"127.5800741,36.3060158"
"127.5811795,36.305448"
"127.5827236,36.3046193"
"127.583495,36.3042356"
"127.5847206,36.3035694"
"127.5861188,36.3028661"
"127.5868958,36.3024571"
"127.5877519,36.30204"
