0,1,2,3,4,5
"127.6437964,34.7792854","128.5800484,35.2208757","126.7640258,37.5132275","128.5606804,35.8522764","128.5606804,35.8522764","128.5606804,35.8522764"
"127.6445649,34.7787443","128.5800623,35.2209333","126.7641324,37.513211","128.561509,35.8527118","128.561509,35.8527118","128.561509,35.8527118"
"127.6445921,34.7787028","128.5800658,35.2209422","126.7642468,37.5131928","128.5616272,35.8527756","128.5616272,35.8527756","128.5616272,35.8527756"
"127.6445965,34.7786758","128.5802119,35.2213575","126.7642626,37.5131956","128.5615727,35.852841","128.5615727,35.852841","128.5615727,35.852841"
"127.6447329,34.7785764","128.580334,35.2216954","126.7642716,37.5132038","128.5613632,35.8530728","128.5613632,35.8530728","128.5613632,35.8530728"
"127.6453114,34.7781537","128.5804617,35.2220496","126.7642794,37.5132218","128.5612902,35.8531609","128.5612902,35.8531609","128.5612902,35.8531609"
"127.645426,34.7780769","128.5805173,35.2221852","126.7642811,37.5132786","128.5611648,35.8533107","128.5611648,35.8533107","128.5611648,35.8533107"
"127.6458474,34.777796","128.5805367,35.2222328","126.7642729,37.5133029","128.5600181,35.8546002","128.5600181,35.8546002","128.5600181,35.8546002"
"127.6463179,34.7774816","128.5806666,35.2226654","126.7642592,37.5133164","128.5597267,35.8549273","128.5597267,35.8549273","128.5597267,35.8549273"
"127.6466432,34.7772512","128.5808316,35.2226846","126.7642354,37.5133243","128.5596405,35.8550255","128.5596405,35.8550255","128.5596405,35.8550255"
"127.6467622,34.777169","128.5808702,35.2226942","126.7640813,37.5133441","128.5596122,35.8550573","128.5596122,35.8550573","128.5596122,35.8550573"
"127.6471443,34.7775626","128.5809036,35.2227255","126.7639611,37.5133632","128.5594769,35.8552135","128.5594769,35.8552135","128.5594769,35.8552135"
"127.6472374,34.7776581","128.5809219,35.2227767","126.7639549,37.5135389","128.5592489,35.8554707","128.5592489,35.8554707","128.5592489,35.8554707"
"127.6473863,34.7778067","128.5809264,35.2227902","126.7639177,37.5136405","128.5590077,35.8557388","128.5590077,35.8557388","128.5590077,35.8557388"
"127.6475374,34.777958","128.5810318,35.2231129","126.7638841,37.5137178","128.5588866,35.8558742","128.5588866,35.8558742","128.5588866,35.8558742"
"127.6479994,34.7784246","128.581191,35.2235993","126.7638759,37.5137475","128.5588246,35.8559577","128.5588246,35.8559577","128.5588246,35.8559577"
"127.6483498,34.7787831","128.5811956,35.2236164","126.7638595,37.5138015","128.5585191,35.8563102","128.5585191,35.8563102","128.5585191,35.8563102"
"127.6486224,34.779056","128.5812667,35.2238412","126.7638437,37.5139132","128.5584624,35.8563729","128.5584624,35.8563729","128.5584624,35.8563729"
"127.6486585,34.7790938","128.581495,35.223904","126.7643318,37.5138702","128.5584046,35.8564401","128.5584046,35.8564401","128.5584046,35.8564401"
"127.6486958,34.7791334","128.5828021,35.2237066","126.7643612,37.5136469","128.5581551,35.8567497","128.5581551,35.8567497","128.5581551,35.8567497"
"127.6487899,34.7792307","128.583054,35.2236404","126.7644293,37.5133985","128.5580614,35.8568641","128.5580614,35.8568641","128.5580614,35.8568641"
"127.6486808,34.7793102","128.5834373,35.2234611","126.7644659,37.513241","128.5579993,35.8569413","128.5579993,35.8569413","128.5579993,35.8569413"
"127.6486426,34.7793337","128.5841073,35.223025","126.7646128,37.5127931","128.5579373,35.8570248","128.5579373,35.8570248","128.5579373,35.8570248"
"127.6484756,34.7794566","128.5841867,35.2229666","126.7646988,37.5125656","128.5576245,35.857491","128.5576245,35.857491","128.5576245,35.857491"
"127.6483893,34.7795126","128.5843306,35.2228833","126.7647303,37.5124711","128.5574621,35.8577728","128.5574621,35.8577728","128.5574621,35.8577728"
"127.6481821,34.7797229","128.584464,35.2229966","126.7647435,37.5123892","128.5574372,35.8578163","128.5574372,35.8578163","128.5574372,35.8578163"
"127.6481493,34.7797464","128.5844211,35.2230799","126.7647429,37.5123333","128.5573823,35.857934","128.5573823,35.857934","128.5573823,35.857934"
"127.6480762,34.7797961","128.5843438,35.2232158","126.7647261,37.5122052","128.5573748,35.8579494","128.5573748,35.8579494","128.5573748,35.8579494"
"127.6468601,34.7806272","128.5841882,35.2234084","126.7646806,37.5120039","128.5572045,35.8578905","128.5572045,35.8578905","128.5572045,35.8578905"
"127.646181,34.7810609","128.5840787,35.223523","126.7645959,37.5116383","128.5571878,35.8578852","128.5571878,35.8578852","128.5571878,35.8578852"
"127.6460828,34.7811187","128.5839398,35.2236505","126.7645289,37.5113197","128.5570299,35.8578307","128.5570299,35.8578307","128.5570299,35.8578307"
"127.6458011,34.7812904","128.5836325,35.2238444","126.7645039,37.5112105","128.5565879,35.8576606","128.5565879,35.8576606","128.5565879,35.8576606"
"127.6456843,34.7813627","128.5834787,35.2239278","126.764468,37.5110598","128.5564321,35.8576033","128.5564321,35.8576033","128.5564321,35.8576033"
"127.6455718,34.7814322","128.5831474,35.2240507","126.7644388,37.5109316","128.556244,35.8575302","128.556244,35.8575302","128.556244,35.8575302"
"127.645491,34.7814819","128.5829008,35.2241016","126.7644355,37.5109172","128.5554959,35.8572383","128.5554959,35.8572383","128.5554959,35.8572383"
"127.6445139,34.7820891","128.5826235,35.2241545","126.7644064,37.5107728","128.5549527,35.857033","128.5549527,35.857033","128.5549527,35.857033"
"127.6444364,34.782137","128.581448,35.2243382","126.7643697,37.5105851","128.5546967,35.856937","128.5546967,35.856937","128.5546967,35.856937"
"127.6443872,34.7821695","128.5813001,35.2243701","126.7643503,37.5104885","128.5545119,35.8568665","128.5545119,35.8568665","128.5545119,35.8568665"
"127.6440095,34.7824206","128.5811688,35.224411","126.7641746,37.509596","128.5544273,35.8568348","128.5544273,35.8568348","128.5544273,35.8568348"
"127.6423348,34.7835345","128.5810421,35.2244698","126.7641714,37.5095806","128.55405,35.8566939","128.55405,35.8566939","128.55405,35.8566939"
"127.641659,34.7839853","128.5808872,35.2245515","126.7641616,37.5095418","128.5538864,35.8566331","128.5538864,35.8566331","128.5538864,35.8566331"
"127.6416513,34.7839916","128.5808121,35.2246098","126.7638973,37.5083387","128.553016,35.8563044","128.553016,35.8563044","128.553016,35.8563044"
"127.6409418,34.7845164","128.5802851,35.2249734","126.7638822,37.5082629","128.552356,35.8560551","128.552356,35.8560551","128.552356,35.8560551"
"127.640467,34.784892","128.5800977,35.2250968","126.7638747,37.5082232","128.5520087,35.8559175","128.5520087,35.8559175","128.5520087,35.8559175"
"127.6404222,34.7849273","128.5799994,35.22514","126.7638499,37.5081022","128.5519084,35.855876","128.5519084,35.855876","128.5519084,35.855876"
"127.6398733,34.7854473","128.5797356,35.2252181","126.7636443,37.5070265","128.5518661,35.8558583","128.5518661,35.8558583","128.5518661,35.8558583"
"127.6395263,34.7858039","128.5790153,35.2254247","126.7636389,37.5069995","128.5517559,35.8558133","128.5517559,35.8558133","128.5517559,35.8558133"
"127.6392416,34.7861469","128.578924,35.2254995","126.763528,37.5065436","128.5504321,35.8552848","128.5504321,35.8552848","128.5504321,35.8552848"
"127.6390289,34.7864033","128.5787662,35.2256163","126.7634429,37.5061104","128.5503999,35.8552716","128.5503999,35.8552716","128.5503999,35.8552716"
"127.6382511,34.7873402","128.5782167,35.2260242","126.7633814,37.5058045","128.5503242,35.8552416","128.5503242,35.8552416","128.5503242,35.8552416"
"127.6372313,34.7886787","128.5776999,35.2264075","126.7633663,37.505726","128.5485867,35.8545833","128.5485867,35.8545833","128.5485867,35.8545833"
"127.6367755,34.7893357","128.577374,35.2266909","126.7633394,37.5055861","128.5483697,35.8545014","128.5483697,35.8545014","128.5483697,35.8545014"
"127.636357,34.7900828","128.577199,35.2268412","126.763321,37.5055012","128.5482195,35.854445","128.5482195,35.854445","128.5482195,35.854445"
"127.6362546,34.790303","128.5767208,35.2272377","126.7632128,37.5050048","128.5481872,35.8544335","128.5481872,35.8544335","128.5481872,35.8544335"
"127.6361326,34.7905637","128.5766371,35.2273078","126.7631621,37.5047503","128.5481627,35.8544238","128.5481627,35.8544238","128.5481627,35.8544238"
"127.6359202,34.7910212","128.5763714,35.2275744","126.7629627,37.5047797","128.5480993,35.8543991","128.5480993,35.8543991","128.5480993,35.8543991"
"127.6357505,34.7914813","128.5761301,35.2277758","126.7621844,37.5048866","128.5477843,35.8542838","128.5477843,35.8542838","128.5477843,35.8542838"
"127.6356494,34.7918213","128.5758734,35.2279737","126.7616405,37.5049662","128.547633,35.8542256","128.547633,35.8542256","128.547633,35.8542256"
"127.6354461,34.7925493","128.5755992,35.228179","126.7602516,37.505154","128.5472367,35.8540749","128.5472367,35.8540749","128.5472367,35.8540749"
"127.6352967,34.7933926","128.5753954,35.228308","126.7591004,37.5053216","128.546628,35.8538521","128.546628,35.8538521","128.546628,35.8538521"
"127.6352119,34.7943693","128.5752928,35.2283621","126.7586936,37.5053804","128.5458246,35.853558","128.5458246,35.853558","128.5458246,35.853558"
"127.6351982,34.7953252","128.5752732,35.2283731","126.7582745,37.50543","128.545809,35.8535518","128.545809,35.8535518","128.545809,35.8535518"
"127.6352802,34.7967256","128.5748204,35.2286224","126.7579426,37.5054694","128.5456821,35.8535024","128.5456821,35.8535024","128.5456821,35.8535024"
"127.6352937,34.796951","128.5739476,35.2290133","126.7556344,37.5057144","128.5447549,35.8531399","128.5447549,35.8531399","128.5447549,35.8531399"
"127.635296,34.7969952","128.5738984,35.2290354","126.7554328,37.5057348","128.5446658,35.8531046","128.5446658,35.8531046","128.5446658,35.8531046"
"127.6353117,34.7972666","128.5734199,35.2292497","126.7551723,37.5057647","128.5443742,35.8529909","128.5443742,35.8529909","128.5443742,35.8529909"
"127.6355588,34.8013081","128.5724181,35.2296887","126.7551428,37.5057681","128.5439244,35.8528081","128.5439244,35.8528081","128.5439244,35.8528081"
