0,1,2,3,4,5
"128.6635186,35.2337774","127.1524787,35.8259802","127.1320036,35.8464247","127.1487315,35.8379437","127.1570592,35.8539236","128.6635186,35.2337774"
"128.6634978,35.2338579","127.1525009,35.8259677","127.1322871,35.8464247","127.1482685,35.8379982","127.1571875,35.8539663","128.6634978,35.2338579"
"128.6634766,35.2339888","127.152543,35.825948","127.1323747,35.8463997","127.1481555,35.8379961","127.1575999,35.8541081","128.6634766,35.2339888"
"128.6633667,35.2339926","127.1525974,35.8259229","127.1324991,35.8463162","127.1481989,35.8374408","127.1577692,35.8541627","128.6633667,35.2339926"
"128.6633129,35.233994","127.1526329,35.8259095","127.1323622,35.8462247","127.1485084,35.8355637","127.157924,35.8542155","128.6633129,35.233994"
"128.6632121,35.2340166","127.1526694,35.8258996","127.1320372,35.8458658","127.1486123,35.8353575","127.1579563,35.8541624","128.6632121,35.2340166"
"128.6630965,35.2340736","127.1528744,35.8258687","127.131912,35.8456328","127.1488057,35.8354392","127.1580256,35.8540174","128.6630965,35.2340736"
"128.6627135,35.2342657","127.1528988,35.8258651","127.1318874,35.8454497","127.1490853,35.8355509","127.1585697,35.8529154","128.6627135,35.2342657"
"128.662895,35.2345092","127.1529852,35.8258501","127.131885,35.8452585","127.1491251,35.8355691","127.1586166,35.852819","128.662895,35.2345092"
"128.6635239,35.2353769","127.1531115,35.8258162","127.1317868,35.844701","127.1492975,35.8356399","127.1591416,35.8517701","128.6635239,35.2353769"
"128.6636192,35.2355085","127.1530874,35.8257575","127.1317573,35.8445964","127.1497871,35.8358415","127.1591807,35.8516972","128.6636192,35.2355085"
"128.6639763,35.2359649","127.1530451,35.8255536","127.1320066,35.8445683","127.1498943,35.8358896","127.1592198,35.8516198","128.6639763,35.2359649"
"128.6640467,35.2360517","127.1530245,35.8254661","127.1322171,35.8445446","127.1500314,35.8359513","127.1592432,35.8515748","128.6640467,35.2360517"
"128.6641128,35.2361358","127.1529845,35.8252487","127.1324476,35.8445182","127.1501485,35.8360048","127.1592957,35.8514685","128.6641128,35.2361358"
"128.6641891,35.236246","127.1529369,35.8249889","127.133263,35.844427","127.1502115,35.836033","127.1595426,35.8509706","128.6641891,35.236246"
"128.6640032,35.2363875","127.1528374,35.8244494","127.1335179,35.844398","127.1504779,35.8361239","127.1598319,35.8504044","128.6640032,35.2363875"
"128.6639824,35.2363986","127.1527995,35.8242555","127.1339389,35.8443506","127.1506781,35.8361759","127.1602004,35.8496832","128.6639824,35.2363986"
"128.6638919,35.2364418","127.1527627,35.8240606","127.1343643,35.8443032","127.1507279,35.8361869","127.1602406,35.8495986","128.6638919,35.2364418"
"128.6616867,35.2375522","127.1527497,35.8239912","127.1345593,35.844283","127.1508032,35.8361808","127.1602674,35.8495482","128.6616867,35.2375522"
"128.6615514,35.2376229","127.1527411,35.8239424","127.1347454,35.8442602","127.1509417,35.8361694","127.1603578,35.849378","128.6615514,35.2376229"
"128.6591982,35.238759","127.1526915,35.8236412","127.1351122,35.8442162","127.1510623,35.836186","127.1603657,35.8493636","128.6591982,35.238759"
"128.659077,35.2388143","127.1526537,35.8234138","127.1358743,35.84415","127.1512261,35.8362045","127.1603891,35.8493186","128.659077,35.2388143"
"128.6590082,35.2388456","127.1526246,35.8232379","127.1359397,35.8441457","127.1522598,35.8362995","127.1605685,35.8490522","128.6590082,35.2388456"
"128.6587569,35.2389517","127.1526181,35.8231928","127.1359995,35.8441414","127.1527634,35.8363505","127.1605841,35.8490279","128.6587569,35.2389517"
"128.6578096,35.2393385","127.1526138,35.8231685","127.136243,35.8441646","127.152884,35.8363626","127.1608069,35.8487373","128.6578096,35.2393385"
"128.6575605,35.2394401","127.1526021,35.8230576","127.1364167,35.844212","127.153122,35.8363858","127.1615237,35.8478864","128.6575605,35.2394401"
"128.6556144,35.240235","127.1526084,35.8228935","127.1364808,35.8442294","127.1537263,35.8364462","127.1615448,35.8478621","128.6556144,35.240235"
"128.6554319,35.2403107","127.1526266,35.8227736","127.1366168,35.8442703","127.1541303,35.836487","127.1616316,35.8477623","128.6554319,35.2403107"
"128.6553992,35.2403245","127.1526448,35.8226682","127.1369552,35.8443705","127.1542166,35.8364954","127.1619298,35.847425","128.6553992,35.2403245"
"128.6541907,35.2408211","127.1526744,35.8224744","127.1370581,35.8444015","127.154262,35.8365","127.1619743,35.847372","128.6541907,35.2408211"
"128.6537536,35.2410011","127.1527189,35.822159","127.1376353,35.844571","127.154335,35.8365083","127.162198,35.8471228","128.6537536,35.2410011"
"128.6535744,35.241075","127.1527372,35.8220319","127.1376796,35.8445837","127.1545055,35.836526","127.1624573,35.8468287","128.6535744,35.241075"
"128.6529043,35.2413266","127.1527475,35.8219643","127.1380158,35.8446713","127.1550788,35.8365799","127.1628579,35.8463583","128.6529043,35.2413266"
"128.6527414,35.2413868","127.1527509,35.8219454","127.1381618,35.8447096","127.1552514,35.8365966","127.1632408,35.8459095","128.6527414,35.2413868"
"128.652654,35.2414219","127.152768,35.8218345","127.1382289,35.8445646","127.1556643,35.8366375","127.1633098,35.8458294","128.652654,35.2414219"
"128.6519139,35.2417048","127.1528089,35.8215822","127.1382837,35.844444","127.1560571,35.836681","127.163421,35.8457026","128.6519139,35.2417048"
"128.6518571,35.2417261","127.1528362,35.8214209","127.1384483,35.8440568","127.1563836,35.8367189","127.1635056,35.845601","128.6518571,35.2417261"
"128.6517118,35.2417906","127.1528873,35.8211172","127.1385523,35.8438263","127.1565839,35.836742","127.1640797,35.8449751","128.6517118,35.2417906"
"128.6514573,35.2419039","127.1529058,35.8209478","127.1385668,35.8437939","127.1566205,35.8367466","127.1648865,35.8440297","128.6514573,35.2419039"
"128.6513208,35.2419656","127.1529138,35.8208747","127.1387926,35.8433239","127.1566935,35.8367558","127.1649421,35.8439686","128.6513208,35.2419656"
"128.6512782,35.2419841","127.1529151,35.8208315","127.138949,35.8430413","127.1569325,35.8367836","127.1650489,35.8438481","128.6512782,35.2419841"
"128.6512356,35.2420043","127.1529153,35.8207963","127.1390676,35.8427693","127.157291,35.8368459","127.1650812,35.8438121","128.6512356,35.2420043"
"128.6511439,35.2420458","127.1529066,35.8207575","127.1390955,35.8427045","127.1575764,35.8369053","127.1651702,35.8437204","128.6511439,35.2420458"
"128.6509247,35.2421678","127.1528207,35.8206527","127.1391259,35.8425946","127.1578972,35.8369747","127.1654971,35.8434003","128.6509247,35.2421678"
"128.6506053,35.2423493","127.1527954,35.820622","127.1393836,35.8426738","127.1579968,35.8369967","127.1659507,35.8429607","128.6506053,35.2423493"
"128.6504515,35.2424337","127.1529531,35.8205025","127.1395705,35.8427321","127.1580223,35.8370022","127.1659941,35.842922","128.6504515,35.2424337"
"128.6496915,35.2428575","127.152982,35.8204809","127.1396424,35.8427521","127.1586683,35.837151","127.166291,35.8426253","128.6496915,35.2428575"
"128.6488474,35.2433281","127.153112,35.8203731","127.1397916,35.8427977","127.1587977,35.8371811","127.1663521,35.8425651","128.6488474,35.2433281"
"128.6486195,35.2434556","127.1535676,35.8199732","127.1402483,35.8429379","127.1596328,35.8373746","127.1672404,35.8417164","128.6486195,35.2434556"
"128.6483709,35.2435977","127.1537133,35.8198222","127.1415333,35.8433231","127.1596837,35.8373864","127.1673304,35.8416355","128.6483709,35.2435977"
"128.6482117,35.2436876","127.1537633,35.8197682","127.1416085,35.8433459","127.1597722,35.8374083","127.1673994,35.8415735","128.6482117,35.2436876"
"128.6467745,35.2444946","127.1538367,35.8196909","127.1416528,35.8433577","127.1598076,35.8374175","127.1674685,35.8414583","128.6467745,35.2444946"
"128.6465085,35.2446468","127.1538768,35.8196441","127.1416992,35.8433705","127.1601682,35.8375014","127.1675308,35.841399","128.6465085,35.2446468"
"128.6457714,35.2450677","127.153909,35.8196072","127.1418386,35.8434106","127.1602268,35.837516","127.1677821,35.8411472","128.6457714,35.2450677"
"128.6456068,35.2451621","127.1540236,35.819475","127.1427742,35.8436802","127.1603751,35.8375507","127.1680834,35.8408559","128.6456068,35.2451621"
"128.6452491,35.245362","127.1540359,35.8194606","127.1428538,35.8437039","127.1607224,35.8376319","127.1683035,35.8406482","128.6452491,35.245362"
"128.6451096,35.2454445","127.1540971,35.8193869","127.1430175,35.8437495","127.1607865,35.8376474","127.1684702,35.8404873","128.6451096,35.2454445"
"128.6450769,35.2454638","127.154359,35.8189864","127.1432353,35.8438123","127.160854,35.8376638","127.1688549,35.8401178","128.6450769,35.2454638"
"128.6449003,35.2455664","127.1544831,35.8187037","127.1437274,35.8439653","127.1610764,35.8377168","127.1691913,35.8401755","128.6449003,35.2455664"
"128.6447934,35.245626","127.1545901,35.8182676","127.1438126,35.8439899","127.1611538,35.8377341","127.1694079,35.8402636","128.6447934,35.245626"
"128.6445568,35.245759","127.154614,35.8181126","127.1438955,35.8440199","127.1616892,35.83786","127.1694433,35.8402781","128.6445568,35.245759"
"128.6444674,35.2458094","127.1546317,35.8178746","127.1442096,35.8441145","127.1619746,35.8379267","127.1695185,35.8403081","128.6444674,35.2458094"
"128.6443888,35.2458508","127.154631,35.8177664","127.1443732,35.8441655","127.1622312,35.8379824","127.169587,35.8403344","128.6443888,35.2458508"
