0,1,2,3,4,5,6
"126.8787265,35.1366564","127.0381266,37.2866833","126.8787265,35.1366564","127.2079065,37.5429608","127.1506275,37.556559","127.1506275,37.556559","127.1506275,37.556559"
"126.8786911,35.1366914","127.0381417,37.2866085","126.8786911,35.1366914","127.2081068,37.5429712","127.1500962,37.5563933","127.1500962,37.5563933","127.1500962,37.5563933"
"126.8786296,35.1366866","127.0388192,37.2866842","126.8786296,35.1366866","127.2086489,37.5429996","127.1500849,37.5563897","127.1500849,37.5563897","127.1500849,37.5563897"
"126.8781876,35.1365004","127.0388026,37.2868202","126.8781876,35.1365004","127.2086407,37.5430807","127.1500736,37.556387","127.1500736,37.556387","127.1500736,37.556387"
"126.8779007,35.1369822","127.0387822,37.2868328","126.8779007,35.1369822","127.2086172,37.5432951","127.1500329,37.5563742","127.1500329,37.5563742","127.1500329,37.5563742"
"126.8777427,35.1372618","127.0383594,37.2867888","126.8777427,35.1372618","127.2085527,37.5438691","127.1499978,37.5563633","127.1499978,37.5563633","127.1499978,37.5563633"
"126.8777305,35.1372861","127.0382927,37.2868228","126.8777305,35.1372861","127.2085401,37.5439034","127.1497886,37.5563095","127.1497886,37.5563095","127.1497886,37.5563095"
"126.8776749,35.1373742","127.0382439,37.2868703","126.8776749,35.1373742","127.2085173,37.5439421","127.1495374,37.5562772","127.1495374,37.5562772","127.1495374,37.5562772"
"126.8775929,35.1373368","127.0382116,37.2869748","126.8775929,35.1373368","127.2083493,37.5440624","127.1492951,37.5562765","127.1492951,37.5562765","127.1492951,37.5562765"
"126.8761412,35.1366837","127.0384614,37.287266","126.8761412,35.1366837","127.2082539,37.5441307","127.1492725,37.5562773","127.1492725,37.5562773","127.1492725,37.5562773"
"126.8749992,35.1361711","127.0394646,37.286675","126.8749992,35.1361711","127.2083791,37.5442581","127.1491706,37.5562797","127.1491706,37.5562797","127.1491706,37.5562797"
"126.874845,35.1360945","127.0394691,37.2866723","126.874845,35.1360945","127.2084298,37.5443123","127.1491411,37.5562814","127.1491411,37.5562814","127.1491411,37.5562814"
"126.8745924,35.1359706","127.039511,37.2866472","126.8745924,35.1359706","127.2088854,37.5447641","127.1491287,37.5562814","127.1491287,37.5562814","127.1491287,37.5562814"
"126.8744283,35.1359012","127.0395914,37.2865998","126.8744283,35.1359012","127.2092451,37.5451291","127.1490868,37.556284","127.1490868,37.556284","127.1490868,37.556284"
"126.8742642,35.1358201","127.0397544,37.2865048","126.8742642,35.1358201","127.2092846,37.5451671","127.1490448,37.5562911","127.1490448,37.5562911","127.1490448,37.5562911"
"126.8741221,35.13575","127.03997,37.2866724","126.8741221,35.13575","127.2096285,37.5455186","127.1489644,37.5563125","127.1489644,37.5563125","127.1489644,37.5563125"
"126.8739657,35.1356698","127.0400902,37.286754","126.8739657,35.1356698","127.2102159,37.5461401","127.1488544,37.5563446","127.1488544,37.5563446","127.1488544,37.5563446"
"126.8736989,35.1355332","127.0404664,37.2870322","126.8736989,35.1355332","127.2105665,37.5465115","127.1488317,37.5563499","127.1488317,37.5563499","127.1488317,37.5563499"
"126.8734749,35.1354076","127.0415994,37.2879056","126.8734749,35.1354076","127.2107086,37.5466605","127.1488034,37.5563517","127.1488034,37.5563517","127.1488034,37.5563517"
"126.8729624,35.1350992","127.0418083,37.2880731","126.8729624,35.1350992","127.2108145,37.5467762","127.1487977,37.5563516","127.1487977,37.5563516","127.1487977,37.5563516"
"126.8727177,35.1349519","127.0419688,37.2882017","126.8727177,35.1349519","127.2108495,37.5468141","127.1482418,37.5563644","127.1482418,37.5563644","127.1482418,37.5563644"
"126.8724249,35.1347745","127.0421327,37.2883358","126.8724249,35.1347745","127.2113061,37.5472974","127.148064,37.5563684","127.148064,37.5563684","127.148064,37.5563684"
"126.8720075,35.1345208","127.0429096,37.2889698","126.8720075,35.1345208","127.2113647,37.5473598","127.1473891,37.5563871","127.1473891,37.5563871","127.1473891,37.5563871"
"126.8717869,35.134379","127.043014,37.289054","126.8717869,35.134379","127.2116455,37.5476507","127.1472872,37.5563931","127.1472872,37.5563931","127.1472872,37.5563931"
"126.8716744,35.1343099","127.0434518,37.2894081","126.8716744,35.1343099","127.2120444,37.5481141","127.146867,37.5564171","127.146867,37.5564171","127.146867,37.5564171"
"126.8715367,35.1342244","127.0438201,37.289698","126.8715367,35.1342244","127.2122947,37.5483995","127.146423,37.556459","127.146423,37.556459","127.146423,37.556459"
"126.8707371,35.1337243","127.0439594,37.2898058","126.8707371,35.1337243","127.2124367,37.5485504","127.1463301,37.5564678","127.1463301,37.5564678","127.1463301,37.5564678"
"126.870162,35.1334328","127.0443894,37.290141","126.870162,35.1334328","127.2129892,37.5491376","127.1462101,37.5564791","127.1462101,37.5564791","127.1462101,37.5564791"
"126.8696234,35.1332451","127.0444545,37.2901953","126.8696234,35.1332451","127.2142013,37.5504259","127.1460515,37.5564949","127.1460515,37.5564949","127.1460515,37.5564949"
"126.8691697,35.1331472","127.0445522,37.2902759","126.8691697,35.1331472","127.2143494,37.5504848","127.1455995,37.5565377","127.1455995,37.5565377","127.1455995,37.5565377"
"126.8682654,35.1329892","127.0445904,37.2903076","126.8682654,35.1329892","127.2144941,37.5505203","127.1455067,37.5565464","127.1455067,37.5565464","127.1455067,37.5565464"
"126.8680122,35.1329464","127.0446488,37.2903547","126.8680122,35.1329464","127.2146288,37.5505396","127.1449539,37.5565979","127.1449539,37.5565979","127.1449539,37.5565979"
"126.8665071,35.132696","127.044669,37.290371","126.8665071,35.132696","127.2146967,37.5505316","127.1448372,37.5566084","127.1448372,37.5566084","127.1448372,37.5566084"
"126.8662998,35.1326706","127.0447464,37.2904389","126.8662998,35.1326706","127.2148157,37.5504977","127.1448338,37.5566084","127.1448338,37.5566084","127.1448338,37.5566084"
"126.8660947,35.1326605","127.0449497,37.2905956","126.8660947,35.1326605","127.2150734,37.5503216","127.1446753,37.5566205","127.1446753,37.5566205","127.1446753,37.5566205"
"126.8659498,35.1326597","127.0450957,37.290708","126.8659498,35.1326597","127.2154967,37.550045","127.1446794,37.556708","127.1446794,37.556708","127.1446794,37.556708"
"126.8653757,35.1326666","127.0455706,37.2910793","126.8653757,35.1326666","127.215929,37.5497919","127.1446845,37.5568207","127.1446845,37.5568207","127.1446845,37.5568207"
"126.8651067,35.1326697","127.0466093,37.2918991","126.8651067,35.1326697","127.2162705,37.5496016","127.1447032,37.5569505","127.1447032,37.5569505","127.1447032,37.5569505"
"126.8647851,35.1326707","127.0466621,37.2919381","126.8647851,35.1326707","127.2171257,37.5491728","127.1447318,37.557111","127.1447318,37.557111","127.1447318,37.557111"
"126.8631673,35.1326604","127.0468474,37.2920758","126.8631673,35.1326604","127.2173242,37.5490841","127.1447193,37.5573742","127.1447193,37.5573742","127.1447193,37.5573742"
"126.8626767,35.1326579","127.0472112,37.2923737","126.8626767,35.1326579","127.2177697,37.5489058","127.1446879,37.5575327","127.1446879,37.5575327","127.1446879,37.5575327"
"126.8620883,35.132662","127.047547,37.2926301","126.8620883,35.132662","127.2179759,37.5488774","127.1446533,37.5576832","127.1446533,37.5576832","127.1446533,37.5576832"
"126.8620576,35.1326618","127.0478209,37.2928682","126.8620576,35.1326618","127.2180417,37.5488496","127.1445947,37.5578542","127.1445947,37.5578542","127.1445947,37.5578542"
"126.8619533,35.1326622","127.0479274,37.2929705","126.8619533,35.1326622","127.2181358,37.548812","127.1445614,37.5579497","127.1445614,37.5579497","127.1445614,37.5579497"
"126.8613717,35.1326474","127.0479824,37.2930266","126.8613717,35.1326474","127.2190496,37.548432","127.1445477,37.5579821","127.1445477,37.5579821","127.1445477,37.5579821"
"126.861319,35.1326462","127.0480104,37.2930546","126.861319,35.1326462","127.2193444,37.5483236","127.1444311,37.5582125","127.1444311,37.5582125","127.1444311,37.5582125"
"126.8599903,35.1325761","127.0482213,37.2932673","126.8599903,35.1325761","127.2193761,37.5483129","127.1443159,37.5583924","127.1443159,37.5583924","127.1443159,37.5583924"
