0,1,2,3,4,5,6
"127.1257988,37.5209181","126.8931815,37.544566","126.7018062,37.43162","126.7171026,37.5432378","127.1308346,37.5200254","126.7171026,37.5432378","128.5606804,35.8522764"
"127.1258004,37.5210614","126.893104,37.544489","126.7023543,37.4316309","126.7171224,37.5435075","127.1308244,37.5200244","126.7171224,37.5435075","128.561509,35.8527118"
"127.1258364,37.5213247","126.8929743,37.544565","126.7027042,37.4316685","126.7170725,37.5435116","127.1306366,37.5200076","126.7170725,37.5435116","128.5616272,35.8527756"
"127.1258563,37.5214266","126.8928322,37.5446472","126.7028883,37.4316877","126.7168448,37.5435282","127.1305869,37.5199994","126.7168448,37.5435282","128.5615727,35.852841"
"127.1258739,37.5215249","126.8926581,37.5447571","126.7029515,37.4316963","126.7167835,37.5435476","127.1305621,37.5199831","126.7167835,37.5435476","128.5613632,35.8530728"
"127.1258997,37.5215746","126.8924738,37.5448725","126.7034052,37.4317597","126.7167641,37.5435655","127.1305498,37.5199578","126.7167641,37.5435655","128.5612902,35.8531609"
"127.1260371,37.5217075","126.8923042,37.5449789","126.7037849,37.4317668","126.7167536,37.5435916","127.13055,37.5199163","126.7167536,37.5435916","128.5611648,35.8533107"
"127.1260867,37.5217329","126.8921404,37.5450745","126.7041216,37.4317736","126.7167504,37.5437907","127.1305582,37.5198451","126.7167504,37.5437907","128.5600181,35.8546002"
"127.1261523,37.5217404","126.8918619,37.5447981","126.704159,37.431772","126.7171354,37.5437771","127.1305865,37.5196244","126.7171354,37.5437771","128.5597267,35.8549273"
"127.1263118,37.521758","126.8917822,37.5447202","126.7042065,37.431766","126.7172124,37.5437749","127.1304485,37.5196059","126.7172124,37.5437749","128.5596405,35.8550255"
"127.1263865,37.5217663","126.8917091,37.544663","126.7042744,37.4317539","126.7185464,37.5437287","127.1302122,37.5195745","126.7185464,37.5437287","128.5596122,35.8550573"
