0,1,2
"127.1320036,35.8464247","127.0381266,37.2866833","127.0381266,37.2866833"
"127.1322871,35.8464247","127.0381417,37.2866085","127.0381417,37.2866085"
"127.1323747,35.8463997","127.0388192,37.2866842","127.0388192,37.2866842"
"127.1324991,35.8463162","127.0388026,37.2868202","127.0388026,37.2868202"
"127.1323622,35.8462247","127.0387822,37.2868328","127.0387822,37.2868328"
"127.1320372,35.8458658","127.0383594,37.2867888","127.0383594,37.2867888"
"127.131912,35.8456328","127.0382927,37.2868228","127.0382927,37.2868228"
"127.1318874,35.8454497","127.0382439,37.2868703","127.0382439,37.2868703"
"127.131885,35.8452585","127.0382116,37.2869748","127.0382116,37.2869748"
"127.1317868,35.844701","127.0384614,37.287266","127.0384614,37.287266"
"127.1317573,35.8445964","127.0394646,37.286675","127.0394646,37.286675"
"127.1320066,35.8445683","127.0394691,37.2866723","127.0394691,37.2866723"
"127.1322171,35.8445446","127.039511,37.2866472","127.039511,37.2866472"
"127.1324476,35.8445182","127.0395914,37.2865998","127.0395914,37.2865998"
"127.133263,35.844427","127.0397544,37.2865048","127.0397544,37.2865048"
"127.1335179,35.844398","127.03997,37.2866724","127.03997,37.2866724"
"127.1339389,35.8443506","127.0400902,37.286754","127.0400902,37.286754"
"127.1343643,35.8443032","127.0404664,37.2870322","127.0404664,37.2870322"
"127.1345593,35.844283","127.0415994,37.2879056","127.0415994,37.2879056"
"127.1347454,35.8442602","127.0418083,37.2880731","127.0418083,37.2880731"
"127.1351122,35.8442162","127.0419688,37.2882017","127.0419688,37.2882017"
"127.1358743,35.84415","127.0421327,37.2883358","127.0421327,37.2883358"
"127.1359397,35.8441457","127.0429096,37.2889698","127.0429096,37.2889698"
"127.1359995,35.8441414","127.043014,37.289054","127.043014,37.289054"
"127.136243,35.8441646","127.0434518,37.2894081","127.0434518,37.2894081"
"127.1364167,35.844212","127.0438201,37.289698","127.0438201,37.289698"
"127.1364808,35.8442294","127.0439594,37.2898058","127.0439594,37.2898058"
"127.1366168,35.8442703","127.0443894,37.290141","127.0443894,37.290141"
"127.1369552,35.8443705","127.0444545,37.2901953","127.0444545,37.2901953"
"127.1370581,35.8444015","127.0445522,37.2902759","127.0445522,37.2902759"
"127.1376353,35.844571","127.0445904,37.2903076","127.0445904,37.2903076"
"127.1376796,35.8445837","127.0446488,37.2903547","127.0446488,37.2903547"
"127.1380158,35.8446713","127.044669,37.290371","127.044669,37.290371"
"127.1381618,35.8447096","127.0447464,37.2904389","127.0447464,37.2904389"
"127.1382289,35.8445646","127.0449497,37.2905956","127.0449497,37.2905956"
"127.1382837,35.844444","127.0450957,37.290708","127.0450957,37.290708"
"127.1384483,35.8440568","127.0455706,37.2910793","127.0455706,37.2910793"
"127.1385523,35.8438263","127.0466093,37.2918991","127.0466093,37.2918991"
"127.1385668,35.8437939","127.0466621,37.2919381","127.0466621,37.2919381"
"127.1387926,35.8433239","127.0468474,37.2920758","127.0468474,37.2920758"
"127.138949,35.8430413","127.0472112,37.2923737","127.0472112,37.2923737"
"127.1390676,35.8427693","127.047547,37.2926301","127.047547,37.2926301"
"127.1390955,35.8427045","127.0478209,37.2928682","127.0478209,37.2928682"
"127.1391259,35.8425946","127.0479274,37.2929705","127.0479274,37.2929705"
"127.1393836,35.8426738","127.0479824,37.2930266","127.0479824,37.2930266"
"127.1395705,35.8427321","127.0480104,37.2930546","127.0480104,37.2930546"
"127.1396424,35.8427521","127.0482213,37.2932673","127.0482213,37.2932673"
"127.1397916,35.8427977","127.0483914,37.2934987","127.0483914,37.2934987"
"127.1402483,35.8429379","127.0485477,37.2937688","127.0485477,37.2937688"
