0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"127.3398509,36.3691073","128.0908411,36.1367606","127.0265468,36.7750798","127.0797408,36.7388502","127.0797408,36.7388502","128.5904697,35.8844417","127.1380158,35.8446713","127.1264007,35.8373372","127.115371,35.8339556","127.4270633,36.3588445","127.8708625,36.9635374","128.8937369,37.7742408","128.8937369,37.7742408","128.5904697,35.8844417","127.1264007,35.8373372","127.1550788,35.8365799","127.0536386,37.6785154","127.1653118,36.7799043","126.8884388,37.5727753","127.0329591,37.6092135","128.658285,35.2280968","127.1380158,35.8446713","127.2595061,37.4081612"
"127.3396869,36.3686329","128.0909964,36.1367157","127.0272106,36.7755566","127.0801674,36.7386687","127.0801674,36.7386687","128.5904999,35.8845451","127.1381618,35.8447096","127.1265684,35.8374684","127.1124868,35.8339535","127.4272561,36.358851","127.8708418,36.963451","128.8932572,37.7743934","128.8932572,37.7743934","128.5904999,35.8845451","127.1265684,35.8374684","127.1552514,35.8365966","127.0537589,37.6784996","127.1653003,36.7792092","126.8883497,37.5728668","127.0329026,37.6093611","128.6580047,35.2277036","127.1381618,35.8447096","127.2599665,37.407999"
"127.3395617,36.368282","128.0912915,36.1366403","127.0272899,36.7756056","127.0810948,36.7382518","127.0810948,36.7382518","128.5905466,35.8847177","127.1382289,35.8445646","127.1266964,35.8375644","127.1123672,35.8339523","127.4289492,36.358916","127.8708355,36.963305","128.8929474,37.7744646","128.8929474,37.7744646","128.5905466,35.8847177","127.1266964,35.8375644","127.1556643,35.8366375","127.0541777,37.6784435","127.1652289,36.7788638","126.8882881,37.5729268","127.0328807,37.6094205","128.6579463,35.2276194","127.1382289,35.8445646","127.2606509,37.407766"
"127.3392403,36.3673422","128.0928722,36.1362286","127.0273916,36.7756493","127.0818651,36.737903","127.0818651,36.737903","128.5905478,35.8847213","127.1382837,35.844444","127.1268609,35.8376839","127.1122044,35.8339499","127.4295544,36.3589353","127.8708397,36.9632319","128.8927336,37.7745068","128.8927336,37.7745068","128.5905478,35.8847213","127.1268609,35.8376839","127.1560571,35.836681","127.0545069,37.678397","127.1652247,36.7788088","126.8881568,37.5730577","127.03286,37.6094754","128.6578399,35.2274771","127.1382837,35.844444","127.2607515,37.4077302"
"127.338847,36.3661895","128.0929575,36.1362011","127.027518,36.7756822","127.0821393,36.7377363","127.0821393,36.7377363","128.5906857,35.8851691","127.1384483,35.8440568","127.1274921,35.8381313","127.1121369,35.8339488","127.430455,36.3589646","127.8707927,36.9630446","128.892669,37.774513","128.892669,37.774513","128.5906857,35.8851691","127.1274921,35.8381313","127.1563836,35.8367189","127.0550743,37.6783279","127.1651965,36.7785833","126.8879971,37.573193","127.0328299,37.6095816","128.657831,35.2274654","127.1384483,35.8440568","127.2608352,37.4077114"
"127.3386886,36.365716","128.0933367,36.1360784","127.0276927,36.7757027","127.0821899,36.7377004","127.0821899,36.7377004","128.5907182,35.885276","127.1385523,35.8438263","127.1283793,35.8387805","127.1120361,35.8339485","127.4306645,36.3589711","127.870772,36.9629455","128.8926282,37.7745171","128.8926282,37.7745171","128.5907182,35.885276","127.1283793,35.8387805","127.1565839,35.836742","127.055265,37.6782998","127.1651922,36.7785536","126.887449,37.5736165","127.032811,37.6097041","128.657803,35.2274287","127.1385523,35.8438263","127.2609295,37.4071915"
"127.3386841,36.3657033","128.093525,36.1359928","127.0279627,36.7757074","127.0823282,36.7375999","127.0823282,36.7375999","128.5907622,35.8854145","127.1385668,35.8437939","127.1289752,35.839225","127.1119155,35.8339472","127.4313388,36.358985","127.8707514,36.9628635","128.8924772,37.7745197","128.8924772,37.7745197","128.5907622,35.8854145","127.1289752,35.839225","127.1566205,35.8367466","127.055341,37.6782883","127.1650885,36.7781774","126.8867683,37.5740321","127.0328,37.609833","128.6577146,35.2273178","127.1385668,35.8437939","127.2609513,37.4070915"
"127.3386741,36.3656745","128.0936633,36.13591","127.028305,36.7756195","127.0826928,36.7372929","127.0826928,36.7372929","128.5908249,35.8856249","127.1387926,35.8433239","127.1290304,35.8392631","127.1114105,35.8339591","127.4315662,36.3589923","127.8707468,36.9628464","128.8923262,37.7745179","128.8923262,37.7745179","128.5908249,35.8856249","127.1290304,35.8392631","127.1566935,35.8367558","127.0553378,37.6784479","127.1650231,36.7779987","126.8867103,37.5740688","127.0328244,37.6099097","128.6576285,35.2272122","127.1387926,35.8433239","127.2609867,37.4069825"
"127.3384891,36.365136","128.0937962,36.1358427","127.0286698,36.7755281","127.083201,36.7369196","127.083201,36.7369196","128.5908712,35.8857651","127.138949,35.8430413","127.1292412,35.8394035","127.1110628,35.8339661","127.4318092,36.3589952","127.8707149,36.9627464","128.8918093,37.7745051","128.8918093,37.7745051","128.5908712,35.8857651","127.1292412,35.8394035","127.1569325,35.8367836","127.0553376,37.6784776","127.1643873,36.7763012","126.8865316,37.5741787","127.0328366,37.6099494","128.6570278,35.226466","127.138949,35.8430413","127.2610186,37.4068852"
"127.3384181,36.3649493","128.0939024,36.1357781","127.0292725,36.7753746","127.0832899,36.7368542","127.0832899,36.7368542","128.5912211,35.8868068","127.1390676,35.8427693","127.1294266,35.8395456","127.1105556,35.8339897","127.4321336,36.3589909","127.8708945,36.9627206","128.8913319,37.7744765","128.8913319,37.7744765","128.5912211,35.8868068","127.1294266,35.8395456","127.157291,35.8368459","127.0553376,37.678483","127.1642965,36.7760549","126.886304,37.5743154","127.0328724,37.6100352","128.6566866,35.225958","127.1390676,35.8427693","127.2610221,37.406851"
"127.3382423,36.3648183","128.0941665,36.1355794","127.0294464,36.7753329","127.0834709,36.7367259","127.0834709,36.7367259","128.5912315,35.8868383","127.1390955,35.8427045","127.1294994,35.8395963","127.1098477,35.8340622","127.432157,36.3589891","127.8709158,36.9627179","128.8910554,37.7744464","128.8910554,37.7744464","128.5912315,35.8868383","127.1294994,35.8395963","127.1575764,35.8369053","127.0553364,37.6786921","127.1642216,36.7757409","126.8862334,37.5743565","127.0328746,37.6100415","128.6566552,35.2259195","127.1390955,35.8427045","127.2610256,37.4068231"
"127.3381255,36.3647172","128.094701,36.1351178","127.0299907,36.7751989","127.0840492,36.7364493","127.0840492,36.7364493","128.5912547,35.8869084","127.1391259,35.8425946","127.1295403,35.8396217","127.1097413,35.8340817","127.4322383,36.3589819","127.8718734,36.9625824","128.8909394,37.7744325","128.8909394,37.7744325","128.5912547,35.8869084","127.1295403,35.8396217","127.1578972,35.8369747","127.0553413,37.6789995","127.1642086,36.7756508","126.8838041,37.5757617","127.0329003,37.6100957","128.6565353,35.2259035","127.1391259,35.8425946","127.2610372,37.4067438"
"127.3380397,36.3646639","128.0951021,36.1348156","127.0302029,36.7751475","127.0842749,36.7363492","127.0842749,36.7363492","128.5912812,35.8869857","127.1393836,35.8426738","127.1296066,35.8396552","127.1095951,35.8341083","127.4322506,36.3589801","127.872181,36.9625498","128.8907013,37.7743929","128.8907013,37.7743929","128.5912812,35.8869857","127.1296066,35.8396552","127.1579968,35.8369967","127.0553494,37.6795403","127.1641618,36.7753261","126.8825911,37.5764602","127.0329148,37.6101309","128.6564232,35.2259073","127.1393836,35.8426738","127.2610418,37.4067122"
"127.3379707,36.3646485","128.0952569,36.1347031","127.0303229,36.7751182","127.0843041,36.7363366","127.0843041,36.7363366","128.5914314,35.8874351","127.1395705,35.8427321","127.1297369,35.839716","127.1095385,35.834118","127.4322851,36.3589774","127.8728323,36.962509","128.8902627,37.7743125","128.8902627,37.7743125","128.5914314,35.8874351","127.1297369,35.839716","127.1580223,35.8370022","127.0553569,37.6798044","127.1641456,36.7749231","126.8810989,37.5773663","127.0329181,37.6101543","128.6564166,35.2259074","127.1395705,35.8427321","127.2611865,37.4066918"
"127.3379005,36.3646376","128.0953542,36.1346395","127.0304992,36.775072","127.0844186,36.7362884","127.0844186,36.7362884","128.5915023,35.8876761","127.1396424,35.8427521","127.129895,35.8397769","127.1093822,35.8341572","127.4324312,36.3589414","127.8731188,36.9625063","128.8902365,37.7743083","128.8902365,37.7743083","128.5915023,35.8876761","127.129895,35.8397769","127.1586683,35.837151","127.0553625,37.6800163","127.1641731,36.7745265","126.8806664,37.5776245","127.0328938,37.6102264","128.6563213,35.2259236","127.1396424,35.8427521","127.261286,37.4066703"
"127.3378358,36.3646366","128.0960277,36.1341943","127.0306226,36.7750409","127.084486,36.7362489","127.084486,36.7362489","128.5915558,35.8878622","127.1397916,35.8427977","127.1300641,35.839846","127.108616,35.8343963","127.4324992,36.3589171","127.8737929,36.9625376","128.889771,37.7741921","128.889771,37.7741921","128.5915558,35.8878622","127.1300641,35.839846","127.1587977,35.8371811","127.055373,37.6805256","127.164226,36.7742274","126.8773464,37.5795999","127.0328331,37.6103316","128.6556954,35.2262695","127.1397916,35.8427977","127.2614951,37.4066284"
"127.3376953,36.3646544","128.0961394,36.134119","127.0315485,36.7748093","127.0847524,36.7360723","127.0847524,36.7360723","128.5915927,35.8880458","127.1402483,35.8429379","127.1301769,35.8398824","127.1080367,35.8346658","127.432613,36.3588478","127.8742895,36.9625558","128.8894185,37.7741043","128.8894185,37.7741043","128.5915927,35.8880458","127.1301769,35.8398824","127.1596328,35.8373746","127.0553711,37.6806536","127.1642885,36.7740166","126.8768424,37.5798722","127.0330047,37.6104359","128.6553312,35.2264669","127.1402483,35.8429379","127.2618015,37.4065803"
"127.3375314,36.3646758","128.0961648,36.1340999","127.0316989,36.7747756","127.0850379,36.7358795","127.0850379,36.7358795","128.5915869,35.888191","127.1415333,35.8433231","127.1306733,35.8400444","127.1074248,35.8350389","127.4327167,36.3587739","127.8749996,36.9625824","128.8891995,37.7740492","128.8891995,37.7740492","128.5915869,35.888191","127.1306733,35.8400444","127.1596837,35.8373864","127.0553691,37.6807987","127.1644202,36.7736248","126.8766116,37.5799827","127.0330645,37.6104704","128.6547808,35.2267832","127.1415333,35.8433231","127.2619756,37.4065618"
