0,1,2,3
"128.9722221,35.2112503","128.1618481,35.1574188","128.5879815,35.8822599","128.5879815,35.8822599"
"128.9727735,35.211249","128.1618266,35.1574667","128.5880467,35.8822467","128.5880467,35.8822467"
"128.973269,35.2112484","128.1617873,35.1574994","128.5891631,35.8819859","128.5891631,35.8819859"
"128.973272,35.2111113","128.1617414,35.157524","128.5894172,35.881934","128.5894172,35.881934"
"128.9732751,35.2106776","128.1617431,35.1576024","128.5896702,35.8818831","128.5896702,35.8818831"
"128.9732759,35.2105974","128.161799,35.1581332","128.5896169,35.8817086","128.5896169,35.8817086"
"128.9732763,35.209529","128.1618381,35.158344","128.5894143,35.8810722","128.5894143,35.8810722"
"128.9732771,35.2094496","128.161931,35.1586997","128.5893853,35.8809814","128.5893853,35.8809814"
"128.9732782,35.2090826","128.1620604,35.1586836","128.5892567,35.8805651","128.5892567,35.8805651"
"128.9732869,35.2087165","128.1628235,35.1585523","128.5892232,35.8804654","128.5892232,35.8804654"
"128.9732877,35.2085776","128.1630746,35.1585122","128.5891443,35.8802082","128.5891443,35.8802082"
"128.9732897,35.2082629","128.1636042,35.1584182","128.5890529,35.8799251","128.5890529,35.8799251"
"128.9732869,35.2077409","128.1638958,35.1583661","128.5890285,35.8798414","128.5890285,35.8798414"
"128.9733245,35.2076972","128.1639438,35.1585922","128.5889995,35.8797416","128.5889995,35.8797416"
"128.9733604,35.2076769","128.1639662,35.1587805","128.5890285,35.8798414","128.5890285,35.8798414"
"128.9734173,35.2076645","128.1639986,35.1589895","128.5890529,35.8799251","128.5890529,35.8799251"
"128.9734634,35.2076622","128.1641023,35.1597283","128.5891443,35.8802082","128.5891443,35.8802082"
"128.9740282,35.207667","128.1641118,35.1598121","128.5892232,35.8804654","128.5892232,35.8804654"
"128.9740622,35.2076648","128.1641562,35.1601365","128.5892567,35.8805651","128.5892567,35.8805651"
"128.9741369,35.2076657","128.1641773,35.1603068","128.5893853,35.8809814","128.5893853,35.8809814"
"128.9744577,35.2076699","128.1642079,35.1605636","128.5894143,35.8810722","128.5894143,35.8810722"
"128.974426,35.2082825","128.1642253,35.1606735","128.5896169,35.8817086","128.5896169,35.8817086"
"128.9743989,35.2092169","128.1642517,35.1608186","128.5896226,35.8817257","128.5896226,35.8817257"
"128.9743918,35.2094892","128.1642725,35.1609357","128.5896702,35.8818831","128.5896702,35.8818831"
"128.9743846,35.2097021","128.1643025,35.1611159","128.5897109,35.8820224","128.5897109,35.8820224"
"128.9743382,35.2112039","128.1643246,35.1612663","128.5897306,35.8820881","128.5897306,35.8820881"
"128.9743359,35.2112589","128.1643621,35.1615583","128.5897632,35.8821996","128.5897632,35.8821996"
"128.9743232,35.2115304","128.1643864,35.1617159","128.5899243,35.8827165","128.5899243,35.8827165"
