0
"127.6437964,34.7792854"
"127.6445649,34.7787443"
"127.6445921,34.7787028"
"127.6445965,34.7786758"
"127.6447329,34.7785764"
"127.6453114,34.7781537"
"127.645426,34.7780769"
"127.6458474,34.777796"
"127.6463179,34.7774816"
"127.6466432,34.7772512"
"127.6467622,34.777169"
"127.6471443,34.7775626"
"127.6472374,34.7776581"
"127.6473863,34.7778067"
"127.6475374,34.777958"
"127.6479994,34.7784246"
"127.6483498,34.7787831"
"127.6486224,34.779056"
"127.6486585,34.7790938"
"127.6486958,34.7791334"
"127.6487899,34.7792307"
"127.6486808,34.7793102"
"127.6486426,34.7793337"
"127.6484756,34.7794566"
"127.6483893,34.7795126"
"127.6481821,34.7797229"
"127.6481493,34.7797464"
"127.6480762,34.7797961"
"127.6468601,34.7806272"
"127.646181,34.7810609"
"127.6460828,34.7811187"
"127.6458011,34.7812904"
"127.6456843,34.7813627"
"127.6455718,34.7814322"
"127.645491,34.7814819"
"127.6445139,34.7820891"
"127.6444364,34.782137"
"127.6443872,34.7821695"
"127.6440095,34.7824206"
"127.6423348,34.7835345"
"127.641659,34.7839853"
"127.6416513,34.7839916"
"127.6409418,34.7845164"
"127.640467,34.784892"
"127.6404222,34.7849273"
"127.6398733,34.7854473"
"127.6395263,34.7858039"
"127.6392416,34.7861469"
"127.6390289,34.7864033"
"127.6382511,34.7873402"
"127.6372313,34.7886787"
"127.6367755,34.7893357"
"127.636357,34.7900828"
"127.6362546,34.790303"
"127.6361326,34.7905637"
"127.6359202,34.7910212"
"127.6357505,34.7914813"
"127.6356494,34.7918213"
"127.6354461,34.7925493"
"127.6352967,34.7933926"
"127.6352119,34.7943693"
"127.6351982,34.7953252"
"127.6352802,34.7967256"
"127.6352937,34.796951"
"127.635296,34.7969952"
"127.6353117,34.7972666"
"127.6355588,34.8013081"
"127.6355927,34.8019609"
"127.6356484,34.8026129"
"127.6357576,34.8031565"
"127.6358654,34.803564"
"127.6359774,34.8038732"
"127.6361494,34.8040759"
"127.6363357,34.8043534"
"127.6364529,34.8044696"
"127.6365678,34.8045579"
"127.6367298,34.8046524"
"127.6369201,34.8047288"
"127.6371082,34.8047628"
"127.6373324,34.8047761"
"127.637469,34.8047588"
"127.637634,34.8047217"
"127.6378972,34.8045636"
"127.6380313,34.8043506"
"127.6381033,34.8042098"
"127.6381064,34.8041133"
"127.6380876,34.8040124"
"127.6380152,34.8038763"
"127.6378708,34.8037637"
"127.6376487,34.8037"
"127.6374792,34.803692"
"127.6373218,34.8037093"
"127.6371426,34.80376"
"127.6363277,34.8041361"
"127.635812,34.8043693"
"127.635103,34.8046939"
"127.6346288,34.8048251"
"127.6332881,34.8053496"
"127.633192,34.8053903"
"127.6328872,34.8055052"
"127.6322075,34.8057602"
"127.6320251,34.8058335"
"127.6312766,34.8061228"
"127.6310996,34.806188"
"127.6302758,34.8065081"
"127.6297699,34.806716"
"127.6294137,34.8068625"
"127.628744,34.8071923"
"127.6283748,34.8074055"
"127.627951,34.8076783"
"127.6275721,34.8079457"
"127.6272619,34.8081949"
"127.6270305,34.808389"
"127.6266844,34.8087383"
"127.6264355,34.8089902"
"127.6257894,34.8097438"
"127.6249992,34.8106645"
"127.6248988,34.8107773"
"127.6222628,34.8137747"
"127.6220936,34.8139688"
"127.621502,34.8146529"
"127.6207914,34.8154824"
"127.620585,34.8157224"
"127.6200293,34.8162857"
"127.6191252,34.8171324"
"127.6183771,34.8177996"
"127.6177098,34.8183584"
"127.6175886,34.8184595"
"127.6173134,34.8186889"
"127.6165456,34.8193289"
"127.615663,34.8200007"
"127.6150229,34.8204883"
"127.6141435,34.8211537"
"127.6138475,34.8213767"
"127.6137951,34.8214182"
"127.6134608,34.8216855"
"127.6129846,34.8220665"
"127.6117667,34.8230604"
"127.6116083,34.8232058"
"127.6097875,34.8248234"
"127.6090787,34.8255094"
"127.6085098,34.8261574"
"127.6078776,34.8268775"
"127.6071504,34.8277069"
"127.6024274,34.8331604"
"127.6022799,34.8333327"
"127.6013495,34.8344661"
"127.6001242,34.8359578"
"127.5992375,34.8370839"
"127.5989219,34.8375107"
"127.5983705,34.8382758"
"127.5975615,34.83952"
"127.5971959,34.8401362"
"127.5967025,34.8409897"
"127.5965563,34.8412712"
"127.5965028,34.8413758"
"127.5956791,34.8432052"
"127.5945914,34.8456102"
"127.5943372,34.8462678"
"127.5939818,34.8472952"
"127.5935372,34.8487492"
"127.5929693,34.8505306"
"127.5926881,34.8514317"
"127.5923578,34.8524518"
"127.5919673,34.8534855"
"127.5915067,34.8544706"
"127.5909957,34.8553214"
"127.590099,34.8566612"
"127.5894938,34.8574101"
"127.5886906,34.858206"
"127.5885059,34.8583883"
"127.5879769,34.858817"
"127.5869209,34.8596095"
"127.586383,34.8599472"
"127.5852186,34.860673"
"127.5837328,34.8615965"
"127.5821529,34.8626121"
"127.5812859,34.8631718"
"127.5796055,34.8643217"
"127.5784114,34.8650719"
"127.5742978,34.8676562"
"127.5734974,34.8681978"
"127.5726292,34.8687384"
"127.5720507,34.8691482"
"127.5714647,34.8695769"
"127.5711596,34.869816"
"127.5707212,34.8701589"
"127.5702619,34.8705488"
"127.5692943,34.8714051"
"127.5681169,34.8725618"
"127.5679726,34.872708"
"127.5676227,34.8730599"
"127.5675451,34.8731384"
"127.5674401,34.8732448"
"127.5672805,34.873409"
"127.5665808,34.8741263"
"127.5657554,34.8749663"
"127.5640563,34.8766941"
"127.5631302,34.8776387"
"127.5626437,34.8781304"
"127.5619526,34.8788288"
"127.5617678,34.8790354"
"127.5614027,34.8794377"
"127.5613075,34.8795559"
"127.5610244,34.8798744"
"127.5605401,34.8805068"
"127.5602416,34.8809271"
"127.5598514,34.8815333"
"127.5593837,34.8823803"
"127.5587193,34.8837973"
"127.558326,34.8846478"
"127.5578222,34.8856562"
"127.556196,34.8888519"
"127.5555457,34.8901111"
"127.5549893,34.8912313"
"127.5545236,34.8919304"
"127.5542218,34.8923571"
"127.5539572,34.8927026"
"127.5532912,34.8935081"
"127.5529259,34.8938951"
"127.5525234,34.8942975"
"127.5522324,34.8945366"
"127.5518648,34.8948388"
"127.5514349,34.8951655"
"127.5513857,34.8952025"
"127.5509995,34.8954966"
"127.5506866,34.895705"
"127.5493333,34.8966073"
"127.5488891,34.8969033"
"127.5474198,34.8979463"
"127.5472524,34.8980853"
"127.5471397,34.8981782"
"127.5471189,34.8981953"
"127.5470708,34.898235"
"127.5467678,34.8984885"
"127.5465577,34.8986644"
"127.5464341,34.8988611"
"127.5463806,34.8989332"
"127.5461782,34.8991876"
"127.5459573,34.8996043"
"127.5457136,34.9001391"
"127.5454773,34.9004684"
"127.545136,34.9007814"
"127.5448734,34.9009402"
"127.5445746,34.9010711"
"127.5442792,34.9011632"
"127.5440099,34.9012255"
"127.5434671,34.9012681"
"127.5424535,34.901282"
"127.5415429,34.9013499"
"127.5405491,34.9014612"
"127.5401945,34.9015235"
"127.5398585,34.9015822"
"127.5345821,34.9028138"
"127.5342636,34.9028897"
"127.5338346,34.9030214"
"127.5332589,34.9032416"
"127.5325126,34.9036224"
"127.5317246,34.9040897"
"127.5308568,34.9045985"
"127.5303413,34.9048331"
"127.5299408,34.9049279"
"127.5295478,34.9049713"
"127.5292205,34.904975"
"127.5288221,34.9049309"
"127.5284652,34.9048254"
"127.5279594,34.9046272"
"127.5268351,34.904108"
"127.5266227,34.9040134"
"127.5264476,34.9039503"
"127.5257426,34.9037187"
"127.5233781,34.9030933"
"127.5231241,34.9029572"
"127.5147775,34.9006672"
"127.5133151,34.9002706"
"127.5132593,34.900257"
"127.5104189,34.8995648"
"127.5061381,34.8985713"
"127.5058086,34.8984965"
"127.5033623,34.8979185"
"127.5027166,34.8977662"
"127.5026794,34.8977571"
"127.5018256,34.8975633"
"127.5013462,34.8974605"
"127.5004148,34.8972594"
"127.5,34.897181"
"127.4992174,34.8970727"
"127.4985356,34.8970177"
"127.4980824,34.897006"
"127.4974826,34.8969898"
"127.4967997,34.8970159"
"127.4959372,34.8970745"
"127.4944005,34.8972467"
"127.4896634,34.8979028"
"127.488906,34.8979857"
"127.488605,34.8980064"
"127.4867235,34.8980712"
"127.4855218,34.898044"
"127.4842116,34.8979645"
"127.48315,34.8978327"
"127.4823849,34.8977234"
"127.481632,34.8976151"
"127.4800439,34.8972524"
"127.478898,34.8969266"
"127.4784515,34.8967823"
"127.4777566,34.8965306"
"127.4769358,34.8961967"
"127.475825,34.8956988"
"127.4728617,34.8941949"
"127.4725246,34.8940199"
"127.4677231,34.8915244"
"127.4672822,34.8913016"
"127.4661759,34.8907332"
"127.465271,34.8902685"
"127.4648334,34.8900438"
"127.4606581,34.8878783"
"127.4588135,34.8869769"
"127.4586745,34.8869101"
"127.4570979,34.8861981"
"127.454472,34.8851357"
"127.4519502,34.884132"
"127.4518287,34.8840887"
"127.4470893,34.8821317"
"127.4468661,34.8820396"
"127.4458651,34.8816"
"127.4447548,34.8810972"
"127.4432058,34.8803192"
"127.4416142,34.8794699"
"127.4403662,34.8787515"
"127.4394299,34.8781964"
"127.4377882,34.8771577"
"127.436327,34.8762101"
"127.435264,34.8754917"
"127.4348791,34.8752156"
"127.4329117,34.8737996"
"127.4318292,34.8729568"
"127.4271275,34.8692198"
"127.4265567,34.8687839"
"127.4254885,34.8679663"
"127.424604,34.8673183"
"127.4240321,34.866923"
"127.4236319,34.8666468"
"127.4234417,34.866515"
"127.4191739,34.8639413"
"127.4156369,34.8617413"
"127.4137806,34.8604721"
"127.4128416,34.8597004"
"127.4126951,34.8595714"
"127.4124919,34.8593756"
"127.4123214,34.8592113"
"127.4117269,34.8586328"
"127.4116482,34.8585543"
"127.4113717,34.8582791"
"127.4113335,34.8582349"
"127.4108134,34.8576402"
"127.4104091,34.8571449"
"127.4090241,34.8551906"
"127.4086036,34.8545843"
"127.4074119,34.8530333"
"127.4038124,34.8478408"
"127.4033089,34.8471316"
"127.4027498,34.846343"
"127.4024375,34.8459072"
"127.4019122,34.8451665"
"127.4008378,34.8436191"
"127.4000931,34.8425499"
"127.3981517,34.8398186"
"127.3964158,34.8372994"
"127.3959869,34.836583"
"127.3953945,34.8354535"
"127.3942816,34.8333325"
"127.3933475,34.8317662"
"127.3926119,34.8305996"
"127.3918619,34.8295826"
"127.3914568,34.8291151"
"127.3910746,34.8286729"
"127.3910331,34.8286287"
"127.3903756,34.8279689"
"127.3899289,34.8275555"
"127.3890746,34.8268811"
"127.3880498,34.826175"
"127.3874368,34.8257912"
"127.3870129,34.8255527"
"127.3863747,34.825232"
"127.3858523,34.8249889"
"127.3849539,34.8246265"
"127.3841101,34.8243407"
"127.3839264,34.8242783"
"127.3833996,34.8240993"
"127.3828027,34.8239535"
"127.3823688,34.8238503"
"127.382125,34.8237995"
"127.3814494,34.8236744"
"127.3807004,34.823579"
"127.3799821,34.8234918"
"127.3791817,34.8234332"
"127.3789816,34.8234195"
"127.3775492,34.8233856"
"127.3773523,34.8233917"
"127.3767345,34.8234091"
"127.3759624,34.8234498"
"127.3749999,34.8235264"
"127.3746904,34.823555"
"127.3717801,34.8238197"
"127.3716708,34.8238277"
"127.3661969,34.824307"
"127.3656479,34.8243533"
"127.364319,34.8244763"
"127.3632154,34.8245895"
"127.3628479,34.824627"
"127.3627834,34.8246341"
"127.3626653,34.8246484"
"127.3622136,34.8247002"
"127.3596934,34.8250517"
"127.3587178,34.8251733"
"127.3548177,34.8254527"
"127.3536869,34.8255244"
"127.3519897,34.825517"
"127.3485729,34.825208"
"127.347918,34.8251386"
"127.3462408,34.8249606"
"127.3460156,34.8249261"
"127.3434991,34.8244981"
"127.343404,34.8244809"
"127.3422824,34.8242702"
"127.3420463,34.8242257"
"127.3408034,34.8239671"
"127.3405607,34.8239316"
"127.3403279,34.8238971"
"127.3377369,34.8235464"
"127.3367178,34.8234874"
"127.3352492,34.8235025"
"127.3334184,34.8236001"
"127.3322121,34.8237058"
"127.330312,34.8240007"
"127.3277935,34.8245599"
"127.326475,34.8249647"
"127.3247558,34.8255547"
"127.3211225,34.8272871"
"127.3209397,34.8273816"
"127.3205619,34.8276028"
"127.3200198,34.8279691"
"127.3183868,34.829102"
"127.3173539,34.8298182"
"127.3167811,34.8302087"
"127.3159498,34.8307765"
"127.3153014,34.8312264"
"127.3146213,34.8316528"
"127.3135755,34.8322563"
"127.312901,34.8326123"
"127.3124346,34.8328335"
"127.3119956,34.8330303"
"127.311272,34.833333"
"127.3108429,34.8334992"
"127.3102803,34.8337129"
"127.3090917,34.8340682"
"127.3079471,34.8343396"
"127.307458,34.8344489"
"127.3069263,34.8345481"
"127.3068529,34.8345615"
"127.3066801,34.8345847"
"127.3063946,34.834623"
"127.3054527,34.8347297"
"127.3039672,34.8348256"
"127.3029051,34.8348843"
"127.3011694,34.834914"
"127.2986648,34.8349576"
"127.2982142,34.8349632"
"127.2914417,34.8351294"
"127.2874813,34.8352028"
"127.2866337,34.8351996"
"127.2859622,34.8351767"
"127.2856057,34.8351653"
"127.2835808,34.8349543"
"127.2833261,34.8349142"
"127.2822493,34.834731"
"127.2810447,34.8344881"
"127.2793943,34.8341018"
"127.2760651,34.8333328"
"127.2741402,34.8329235"
"127.2733271,34.8327407"
"127.27295,34.8326571"
"127.2719029,34.832426"
"127.2692775,34.8318999"
"127.2690971,34.8318644"
"127.2676654,34.8315397"
"127.2645647,34.8308475"
"127.2634882,34.8306073"
"127.2612966,34.8301991"
"127.259809,34.82995"
"127.2587617,34.8297901"
"127.2586109,34.8297672"
"127.2584108,34.8297371"
"127.256537,34.8295359"
"127.2551135,34.8294149"
"127.2499998,34.8290411"
"127.2486363,34.8289923"
"127.2431525,34.8287914"
"127.2426396,34.828794"
"127.240425,34.8288028"
"127.2397262,34.8288058"
"127.2381985,34.8287962"
"127.2352699,34.8287763"
"127.2282316,34.8287527"
"127.226974,34.828758"
"127.2254517,34.8287627"
"127.2230765,34.8287438"
"127.2230491,34.8287428"
"127.2218223,34.8286931"
"127.2207552,34.8286113"
"127.2186364,34.8284495"
"127.2172752,34.8283517"
"127.2140548,34.8279871"
"127.2137301,34.8279403"
"127.2132362,34.8278418"
"127.2124002,34.8276622"
"127.2105655,34.8272691"
"127.2101,34.8271481"
"127.2094445,34.8269743"
"127.2082178,34.8265863"
"127.2058217,34.825695"
"127.2053914,34.8255389"
"127.2028322,34.8243874"
"127.2002971,34.8229555"
"127.1996959,34.822605"
"127.1984138,34.8218525"
"127.1971855,34.8210342"
"127.1967208,34.8207247"
"127.1963118,34.8204252"
"127.1960326,34.8202207"
"127.1952126,34.8196198"
"127.1940121,34.8186871"
"127.1919781,34.8169704"
"127.1895791,34.8149209"
"127.1878222,34.8134159"
"127.1860947,34.8119614"
"127.1860283,34.8119026"
"127.1854823,34.811426"
"127.1845157,34.8105812"
"127.1837122,34.809965"
"127.1833491,34.8097233"
"127.1825606,34.8091982"
"127.1821614,34.8089429"
"127.1816618,34.8086458"
"127.1809985,34.8082825"
"127.1800436,34.8078219"
"127.1791224,34.8074163"
"127.1774324,34.806805"
"127.1764802,34.8065013"
"127.1752133,34.8061742"
"127.1739908,34.8059256"
"127.1737581,34.8058898"
"127.1728676,34.8057513"
"127.1722513,34.8056766"
"127.1713126,34.8055793"
"127.1705114,34.8055348"
"127.169545,34.8055087"
"127.1692586,34.8055088"
"127.1684834,34.8055158"
"127.1677103,34.8055506"
"127.1673746,34.8055795"
"127.1665762,34.8056485"
"127.1660369,34.805712"
"127.1660271,34.8057128"
"127.1649638,34.8058551"
"127.1625189,34.8062081"
"127.1607642,34.8064603"
"127.156945,34.8070727"
"127.1566004,34.8071186"
"127.1547177,34.8074"
"127.1535701,34.8075717"
"127.1521862,34.8077788"
"127.1520571,34.8077992"
"127.1497039,34.8081513"
"127.149113,34.8082623"
"127.1485561,34.8083662"
"127.1470613,34.8086739"
"127.1456605,34.8089783"
"127.1435876,34.8094862"
"127.1380731,34.8109019"
"127.1349262,34.8117005"
"127.1333742,34.8120674"
"127.13277,34.8122098"
"127.130623,34.8126344"
"127.1304905,34.812661"
"127.1294849,34.8128401"
"127.1287168,34.8129658"
"127.1276304,34.8131104"
"127.1249993,34.8134594"
