0,1,2,3,4,5,6
"127.1467643,37.5573181","128.9722221,35.2112503","128.3211967,36.120099","128.5646434,35.855231","128.5879815,35.8822599","126.9698042,37.5550391","128.5820368,35.848358"
"127.1466963,37.5573332","128.9727735,35.211249","128.3211792,36.1201289","128.5651939,35.8554019","128.5880467,35.8822467","126.9697868,37.5550922","128.5829881,35.8482827"
"127.1467398,37.5577156","128.973269,35.2112484","128.3210941,36.1202827","128.5654608,35.8554843","128.5891631,35.8819859","126.9696865,37.5551936","128.5832307,35.8482932"
"127.1467247,37.5577813","128.973272,35.2111113","128.3210069,36.1204393","128.5650176,35.8562924","128.5894172,35.881934","126.9695389,37.5552515","128.5834343,35.8477125"
"127.1462286,37.5578375","128.9732751,35.2106776","128.3209033,36.1206266","128.5649711,35.8563776","128.5896702,35.8818831","126.9690305,37.5552627","128.583499,35.847583"
"127.1460847,37.5578533","128.9732759,35.2105974","128.32119,36.1207337","128.564864,35.8565705","128.5896169,35.8817086","126.9690433,37.5553737","128.5831891,35.8475966"
"127.1459669,37.5578665","128.9732763,35.209529","128.3217276,36.1209311","128.5648262,35.8566403","128.5894143,35.8810722","126.9690732,37.5554693","128.5830254,35.8476044"
"127.1457947,37.5578858","128.9732771,35.2094496","128.3220299,36.1210426","128.5649453,35.8566843","128.5893853,35.8809814","126.9691298,37.5557779","128.5829888,35.8476056"
"127.145354,37.5579358","128.9732782,35.2090826","128.3226601,36.1212709","128.5650109,35.8567063","128.5892567,35.8805651","126.9691649,37.556427","128.5827609,35.8476158"
"127.1451523,37.5579713","128.9732869,35.2087165","128.3231453,36.1214452","128.5651923,35.8567687","128.5892232,35.8804654","126.9691764,37.5567146","128.5823315,35.847635"
"127.1449484,37.5580076","128.9732877,35.2085776","128.3231754,36.1214558","128.5653347,35.8568188","128.5891443,35.8802082","126.9691836,37.5568228","128.582015,35.8476496"
"127.1447738,37.5580486","128.9732897,35.2082629","128.3234119,36.1215416","128.5656696,35.8569339","128.5890529,35.8799251","126.9691846,37.5568354","128.5815402,35.8476728"
"127.1445477,37.5579821","128.9732869,35.2077409","128.3234028,36.12163","128.5656818,35.8569383","128.5890285,35.8798414","126.9691866,37.5568741","128.5813289,35.8476828"
"127.1444311,37.5582125","128.9733245,35.2076972","128.3233372,36.1222579","128.5657375,35.8569577","128.5889995,35.8797416","126.9691865,37.5568832","128.581009,35.8476983"
"127.1443159,37.5583924","128.9733604,35.2076769","128.3233009,36.122507","128.5656755,35.857043","128.5890285,35.8798414","126.9691886,37.5569102","128.5804978,35.8477227"
"127.1443033,37.558414","128.9734173,35.2076645","128.3233007,36.1225954","128.5655743,35.8571827","128.5890529,35.8799251","126.9691955,37.5570499","128.5801282,35.8477405"
"127.144097,37.5587027","128.9734634,35.2076622","128.3233024,36.1226585","128.565474,35.8573829","128.5891443,35.8802082","126.9692172,37.5573493","128.5802123,35.8479831"
"127.1439865,37.5588502","128.9740282,35.207667","128.3233439,36.1228024","128.5654624,35.8574253","128.5892232,35.8804654","126.9693097,37.5578743","128.580249,35.8480757"
"127.143713,37.5592099","128.9740622,35.2076648","128.3233884,36.1229067","128.5654539,35.8574543","128.5892567,35.8805651","126.9693373,37.5581331","128.5805081,35.8487279"
"127.1436675,37.5592539","128.9741369,35.2076657","128.3234909,36.1230367","128.5654307,35.8575401","128.5893853,35.8809814","126.9693373,37.5582999","128.5805998,35.8489579"
"127.1435379,37.5593788","128.9744577,35.2076699","128.3235726,36.1231011","128.565399,35.8576495","128.5894143,35.8810722","126.9693347,37.5583404","128.5806871,35.8491915"
"127.1433662,37.5595216","128.974426,35.2082825","128.3237721,36.1232584","128.5653564,35.8577806","128.5896169,35.8817086","126.9693192,37.5586152","128.5807834,35.8494286"
"127.1429799,37.559808","128.9743989,35.2092169","128.3241372,36.1234244","128.5652614,35.8580492","128.5896226,35.8817257","126.9693142,37.5586738","128.5809243,35.8497745"
"127.1425936,37.5600953","128.9743918,35.2094892","128.3246984,36.1236424","128.5652123,35.8581831","128.5896702,35.8818831","126.9692797,37.5587557","128.5809781,35.8499056"
"127.1420508,37.5604154","128.9743846,35.2097021","128.3250865,36.1237749","128.5650999,35.8585582","128.5897109,35.8820224","126.9693245,37.5589866","128.58101,35.8499729"
"127.1406228,37.5611736","128.9743382,35.2112039","128.3251545,36.1237952","128.5650583,35.8586749","128.5897306,35.8820881","126.9693102,37.5592452","128.5812053,35.8504075"
"127.1396385,37.5617069","128.9743359,35.2112589","128.3252503,36.1238117","128.5649623,35.8589498","128.5897632,35.8821996","126.9693096,37.5593255","128.5812665,35.8505089"
"127.1389584,37.5621059","128.9743232,35.2115304","128.3256372,36.1238324","128.5648525,35.859269","128.5899243,35.8827165","126.9693274,37.5593787","128.5815937,35.8510415"
"127.1383541,37.5625025","128.9743161,35.2117451","128.3257873,36.1238413","128.5647866,35.8594743","128.5899869,35.8829233","126.9693768,37.5594321","128.5817625,35.8513158"
"127.1382859,37.5625491","128.9743152,35.2117577","128.3260741,36.1238493","128.5646618,35.8599208","128.5901371,35.8833745","126.969475,37.5594785","128.5820334,35.8517768"
"127.1380394,37.5627197","128.9743136,35.2117911","128.3268032,36.1238596","128.5646249,35.8600581","128.5902063,35.8835713","126.9696005,37.5594953","128.582149,35.851975"
"127.137238,37.563359","128.9743139,35.2118055","128.3268999,36.1238607","128.5645993,35.8602161","128.590325,35.8839047","126.969613,37.5594963","128.5822689,35.8521605"
"127.1370786,37.5635514","128.9743163,35.2121202","128.3269488,36.1238631","128.5642992,35.8601358","128.5904697,35.8844417","126.9704594,37.5595596","128.5823991,35.8523658"
"127.1368385,37.563794","128.9743153,35.2122482","128.3271367,36.1238762","128.563542,35.859909","128.5904999,35.8845451","126.9709823,37.559598","128.5825601,35.8524013"
