0,1,2,3,4
"129.3773229,35.5780925","127.5212056,34.9805408","128.5220959,35.8500495","129.3773229,35.5780925","128.5220959,35.8500495"
"129.3775029,35.5780969","127.520992,34.9807527","128.5220679,35.8502832","129.3775029,35.5780969","128.5220679,35.8502832"
"129.3777744,35.5780999","127.520866,34.9808889","128.5220483,35.85091","129.3777744,35.5780999","128.5220483,35.85091"
"129.3778549,35.5780978","127.5207401,34.9810648","128.5220645,35.8512281","129.3778549,35.5780978","128.5220645,35.8512281"
"129.37792,35.5780958","127.5205878,34.9813615","128.5221243,35.8518326","129.37792,35.5780958","128.5221243,35.8518326"
"129.3780158,35.5780871","127.5204115,34.9817664","128.5221545,35.8520243","129.3780158,35.5780871","128.5221545,35.8520243"
"129.3783806,35.5780237","127.520324,34.9820081","128.5223157,35.8525946","129.3783806,35.5780237","128.5223157,35.8525946"
"129.3785565,35.577994","127.5201991,34.9822498","128.5229094,35.8542367","129.3785565,35.577994","128.5229094,35.8542367"
"129.3786148,35.5779849","127.5201115,34.9823661","128.5231872,35.8549997","129.3786148,35.5779849","128.5231872,35.8549997"
"129.3786596,35.5779653","127.5199746,34.9825077","128.5243656,35.8581957","129.3786596,35.5779653","128.5243656,35.8581957"
"129.3787032,35.5779457","127.5196722,34.9827647","128.5250324,35.8600085","129.3787032,35.5779457","128.5250324,35.8600085"
"129.3789716,35.5778604","127.5180499,34.9841158","128.525223,35.8605279","129.3789716,35.5778604","128.525223,35.8605279"
"129.3818158,35.5772697","127.517982,34.9841735","128.5254248,35.8610663","129.3818158,35.5772697","128.5254248,35.8610663"
"129.3823446,35.577183","127.5174079,34.9846416","128.525932,35.8625225","129.3823446,35.577183","128.525932,35.8625225"
"129.3828103,35.5771361","127.5167342,34.9851918","128.5262149,35.8631539","129.3828103,35.5771361","128.5262149,35.8631539"
"129.3834729,35.5771131","127.5164549,34.9855065","128.5264592,35.863553","129.3834729,35.5771131","128.5264592,35.863553"
"129.3841918,35.577137","127.5163366,34.9857167","128.5268388,35.864042","129.3841918,35.577137","128.5268388,35.864042"
"129.3847115,35.577183","127.5162873,34.9859493","128.527317,35.8645338","129.3847115,35.577183","128.527317,35.8645338"
"129.3894996,35.5777949","127.5164102,34.9867455","128.5273529,35.8645713","129.3894996,35.5777949","128.5273529,35.8645713"
"129.3906994,35.5779492","127.5165122,34.9874083","128.5285738,35.8657104","129.3906994,35.5779492","128.5285738,35.8657104"
"129.3916184,35.5780799","127.5165287,34.9875634","128.5295996,35.866669","129.3916184,35.5780799","128.5295996,35.866669"
"129.3927643,35.578244","127.5165496,34.9877492","128.5298626,35.8669579","129.3927643,35.578244","128.5298626,35.8669579"
"129.3934021,35.5783359","127.5165047,34.9880675","128.5301916,35.867387","129.3934021,35.5783359","128.5301916,35.867387"
"129.3942813,35.5784654","127.5164828,34.9881423","128.5306534,35.8681529","129.3942813,35.5784654","128.5306534,35.8681529"
"129.3951283,35.5786297","127.516439,34.9882388","128.530984,35.8689615","129.3951283,35.5786297","128.530984,35.8689615"
"129.3957274,35.5787645","127.5163689,34.9883407","128.5311107,35.8695068","129.3957274,35.5787645","128.5311107,35.8695068"
"129.3967612,35.5790376","127.5162385,34.9884562","128.5311447,35.8696525","129.3967612,35.5790376","128.5311447,35.8696525"
"129.3969357,35.5790907","127.5161246,34.9885328","128.531613,35.8729672","129.3969357,35.5790907","128.531613,35.8729672"
"129.3982161,35.5794808","127.5159832,34.9885969","128.5317311,35.8738731","129.3982161,35.5794808","128.5317311,35.8738731"
"129.3989469,35.5797739","127.5158364,34.9886492","128.5318177,35.8744909","129.3989469,35.5797739","128.5318177,35.8744909"
"129.3993046,35.5799207","127.5155998,34.9886826","128.5318899,35.8751033","129.3993046,35.5799207","128.5318899,35.8751033"
"129.399375,35.5799547","127.515362,34.9886745","128.5319033,35.8754503","129.399375,35.5799547","128.5319033,35.8754503"
"129.3999274,35.5802191","127.5151615,34.9886331","128.5318797,35.8758553","129.3999274,35.5802191","128.5318797,35.8758553"
"129.4007118,35.5806305","127.5148996,34.9885582","128.5317507,35.876501","129.4007118,35.5806305","128.5317507,35.876501"
"129.4007442,35.5806471","127.5144492,34.9883247","128.5315566,35.8772483","129.4007442,35.5806471","128.5315566,35.8772483"
"129.4016868,35.5811217","127.5141215,34.9881417","128.5314393,35.8775982","129.4016868,35.5811217","128.5314393,35.8775982"
"129.4025758,35.5815666","127.5139868,34.988066","128.5312891,35.8778934","129.4025758,35.5815666","128.5312891,35.8778934"
"129.4033173,35.5819371","127.5135999,34.9879164","128.5311474,35.8781525","129.4033173,35.5819371","128.5311474,35.8781525"
"129.4042048,35.5824144","127.5130871,34.9877911","128.5311343,35.8781724","129.4042048,35.5824144","128.5311343,35.8781724"
"129.4046798,35.5826692","127.5125995,34.9877578","128.5310454,35.8783156","129.4046798,35.5826692","128.5310454,35.8783156"
"129.4053217,35.5830242","127.5120528,34.987793","128.5308989,35.8785522","129.4053217,35.5830242","128.5308989,35.8785522"
"129.4054971,35.5831133","127.5112508,34.9879689","128.530625,35.8789639","129.4054971,35.5831133","128.530625,35.8789639"
"129.4059194,35.5833329","127.5101518,34.9882819","128.5304583,35.8792646","129.4059194,35.5833329","128.5304583,35.8792646"
"129.4093249,35.5850496","127.509101,34.9886787","128.5303625,35.8794746","129.4093249,35.5850496","128.5303625,35.8794746"
"129.4102062,35.5854908","127.5086978,34.9887906","128.5300425,35.8800895","129.4102062,35.5854908","128.5300425,35.8800895"
"129.4117385,35.5862581","127.5079122,34.9891658","128.5297951,35.8804892","129.4117385,35.5862581","128.5297951,35.8804892"
"129.4126695,35.5867472","127.5065624,34.9897908","128.5297222,35.8805935","129.4126695,35.5867472","128.5297222,35.8805935"
"129.4128605,35.5868451","127.505299,34.9903995","128.5288227,35.8817084","129.4128605,35.5868451","128.5288227,35.8817084"
"129.4139219,35.5873881","127.5051467,34.9904744","128.5282562,35.882191","129.4139219,35.5873881","128.5282562,35.882191"
"129.4142358,35.5875481","127.5050941,34.9905005","128.5277981,35.8828342","129.4142358,35.5875481","128.5277981,35.8828342"
"129.4148419,35.5878801","127.504875,34.9906078","128.527562,35.8831662","129.4148419,35.5878801","128.527562,35.8831662"
"129.4154159,35.5882091","127.5047117,34.9906782","128.5271747,35.8837158","129.4154159,35.5882091","128.5271747,35.8837158"
"129.4162368,35.5887577","127.504646,34.9907061","128.5268369,35.8842389","129.4162368,35.5887577","128.5268369,35.8842389"
"129.4170803,35.5894176","127.5046021,34.9907206","128.5265845,35.8846783","129.4170803,35.5894176","128.5265845,35.8846783"
"129.4177247,35.5899248","127.5038746,34.9909577","128.5263023,35.8853073","129.4177247,35.5899248","128.5263023,35.8853073"
"129.420264,35.5919479","127.5033618,34.9910849","128.526114,35.8858255","129.420264,35.5919479","128.526114,35.8858255"
"129.4221498,35.593454","127.5029991,34.9911742","128.5260181,35.8862032","129.4221498,35.593454","128.5260181,35.8862032"
"129.4226392,35.5938446","127.5020491,34.9912995","128.5259017,35.8868903","129.4226392,35.5938446","128.5259017,35.8868903"
"129.42292,35.5940484","127.5011867,34.9913492","128.5256777,35.8885042","129.42292,35.5940484","128.5256777,35.8885042"
"129.4231312,35.5942019","127.5002367,34.9913915","128.5257231,35.8891863","129.4231312,35.5942019","128.5257231,35.8891863"
"129.4233594,35.5943767","127.5,34.9914159","128.5256554,35.8901254","129.4233594,35.5943767","128.5256554,35.8901254"
"129.4242499,35.5950576","127.4994499,34.9914664","128.525749,35.8905078","129.4242499,35.5950576","128.525749,35.8905078"
"129.4269355,35.5968645","127.4987497,34.9916161","128.5258994,35.8908329","129.4269355,35.5968645","128.5258994,35.8908329"
"129.4282043,35.5977177","127.4979027,34.9919353","128.5261499,35.8911832","129.4282043,35.5977177","128.5261499,35.8911832"
"129.4283064,35.5977873","127.4975773,34.9920985","128.5265873,35.8916826","129.4283064,35.5977873","128.5265873,35.8916826"
"129.4294821,35.5985771","127.4974721,34.9921508","128.5270497,35.8919662","129.4294821,35.5985771","128.5270497,35.8919662"
"129.429564,35.5986326","127.4972748,34.99225","128.5273997,35.8921246","129.429564,35.5986326","128.5273997,35.8921246"
"129.4305372,35.5995825","127.4967872,34.9925827","128.5277623,35.8922333","129.4305372,35.5995825","128.5277623,35.8922333"
"129.4309541,35.6002114","127.4966732,34.9926819","128.5280996,35.8922746","129.4309541,35.6002114","128.5280996,35.8922746"
"129.4311688,35.6006046","127.4963237,34.9929903","128.5282372,35.8922914","129.4311688,35.6006046","128.5282372,35.8922914"
