0,1
"126.7331755,37.4341334","127.0133776,37.5059758"
"126.7331185,37.4341763","127.0136273,37.5053189"
"126.7331151,37.4341781","127.0136526,37.5052586"
"126.7330245,37.4341973","127.0135156,37.5052797"
"126.7329512,37.434186","127.0130774,37.5053373"
"126.7329099,37.4341317","127.0127841,37.5053767"
"126.7329037,37.4340703","127.0126131,37.5053985"
"126.7329178,37.4340253","127.0122518,37.5054457"
"126.7329521,37.4339859","127.0121839,37.5054526"
"126.7330269,37.4339666","127.0120458,37.5054674"
"126.7331287,37.4339546","127.0118081,37.5054745"
"126.7331933,37.4339442","127.0116814,37.5054803"
"126.7333329,37.433882","127.0116769,37.5054803"
"126.7333828,37.4338697","127.0115456,37.5054806"
"126.7335255,37.4338418","127.0111892,37.5054828"
"126.7335708,37.4338358","127.0111688,37.5054818"
"126.7336126,37.4338334","127.0110614,37.5054777"
"126.733798,37.4338337","127.0109596,37.5054737"
"126.7338579,37.4338367","127.0109007,37.505478"
"126.7339425,37.4338463","127.0107839,37.5055199"
"126.7340959,37.4338825","127.0107305,37.5055521"
"126.7341916,37.4339218","127.0106826,37.5056069"
"126.7343232,37.4339858","127.0106346,37.5056941"
"126.7343949,37.4340448","127.0106128,37.5057346"
"126.734405,37.4340557","127.0105635,37.5058263"
"126.7344924,37.4341275","127.0104445,37.5060439"
"126.7345436,37.4342098","127.0103471,37.506222"
"126.7345754,37.4343002","127.0103448,37.5062274"
"126.7346413,37.4344899","127.010266,37.506337"
"126.7346588,37.4345495","127.0102119,37.5063188"
"126.7346683,37.4347244","127.0100741,37.5062704"
"126.7346434,37.4348405","127.0099037,37.506213"
"126.7346002,37.4349746","127.0096836,37.5061273"
"126.7345667,37.4350419","127.0092506,37.5069358"
"126.7344321,37.4352772","127.0092986,37.5072082"
"126.7343447,37.4354173","127.0093589,37.5073338"
"126.7342822,37.4356765","127.0093981,37.5073889"
"126.7342759,37.4360748","127.0096118,37.5075827"
"126.7340656,37.4360762","127.0102883,37.5077847"
"126.7339017,37.4360769","127.0104565,37.507835"
"126.7335196,37.4360771","127.0112436,37.5080708"
"126.7327295,37.4360774","127.0113972,37.5081156"
"126.7325762,37.4361512","127.0115745,37.508165"
