0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"127.1279121,37.5210582","126.8896865,37.5472665","128.3460727,36.118011","129.3554039,35.5607183","128.5580614,35.8568641","127.1791388,37.7167588","127.1791388,37.7167588","126.7644293,37.5133985","129.1698969,37.4558838","128.5580614,35.8568641","127.080199,37.5535831","127.0782985,37.5120978","127.0419688,37.2882017","127.1360109,37.4341846","127.0782985,37.5120978","127.0419688,37.2882017","127.0782985,37.5120978","127.0503294,37.6790841","127.0242686,37.7442623","128.5580614,35.8568641","127.1360109,37.4341846","127.0526874,37.5933911","126.8358082,37.5084395","127.1435379,37.5593788","127.2583089,37.4097389","126.7966113,37.5055356","126.7966113,37.5055356","127.0503294,37.6790841","127.1360109,37.4341846","127.1360109,37.4341846","127.0503294,37.6790841"
"127.1273997,37.521683","126.8894125,37.5474138","128.3462592,36.1179953","129.3556302,35.5607212","128.5579993,35.8569413","127.1791798,37.7167175","127.1791798,37.7167175","126.7644659,37.513241","129.1688548,37.4560995","128.5579993,35.8569413","127.0802688,37.5536528","127.0782613,37.5122824","127.0421327,37.2883358","127.1357478,37.4341288","127.0782613,37.5122824","127.0421327,37.2883358","127.0782613,37.5122824","127.0511832,37.6789188","127.0244235,37.7443449","128.5579993,35.8569413","127.1357478,37.4341288","127.0526744,37.5932946","126.8358871,37.5084661","127.1433662,37.5595216","127.258491,37.4093282","126.7952038,37.5052893","126.7952038,37.5052893","127.0511832,37.6789188","127.1357478,37.4341288","127.1357478,37.4341288","127.0511832,37.6789188"
"127.127337,37.5217829","126.8891994,37.5475749","128.3465684,36.1179164","129.3564248,35.5607333","128.5579373,35.8570248","127.1792607,37.7166411","127.1792607,37.7166411","126.7646128,37.5127931","129.1681268,37.4562558","128.5579373,35.8570248","127.0803563,37.553782","127.0782483,37.5123671","127.0429096,37.2889698","127.1355276,37.4340821","127.0782483,37.5123671","127.0429096,37.2889698","127.0782483,37.5123671","127.0513661,37.6788772","127.024669,37.7444757","128.5579373,35.8570248","127.1355276,37.4340821","127.0526625,37.5932035","126.8360248,37.5085075","127.1429799,37.559808","127.2585081,37.4092913","126.7938664,37.5050623","126.7938664,37.5050623","127.0513661,37.6788772","127.1355276,37.4340821","127.1355276,37.4340821","127.0513661,37.6788772"
"127.1272741,37.5219242","126.8889253,37.5477376","128.3470179,36.1177708","129.3570425,35.560776","128.5576245,35.857491","127.1796503,37.7162699","127.1796503,37.7162699","126.7646988,37.5125656","129.1680008,37.4562828","128.5576245,35.857491","127.0805111,37.5540385","127.078195,37.5125959","127.043014,37.289054","127.1352396,37.4340227","127.078195,37.5125959","127.043014,37.289054","127.078195,37.5125959","127.051491,37.6788542","127.0252731,37.7447891","128.5576245,35.857491","127.1352396,37.4340227","127.0526354,37.5929952","126.8361374,37.5085658","127.1425936,37.5600953","127.2585263,37.4092508","126.7937367,37.5050182","126.7937367,37.5050182","127.051491,37.6788542","127.1352396,37.4340227","127.1352396,37.4340227","127.051491,37.6788542"
"127.1272119,37.5221331","126.8883897,37.5480277","128.3470965,36.1177387","129.3571773,35.5607848","128.5574621,35.8577728","127.1797301,37.7161935","127.1797301,37.7161935","126.7647303,37.5124711","129.1677355,37.4563541","128.5574621,35.8577728","127.0805727,37.5541577","127.0778778,37.5138693","127.0434518,37.2894081","127.1352114,37.4340163","127.0778778,37.5138693","127.0434518,37.2894081","127.0778778,37.5138693","127.051525,37.6788489","127.0253206,37.7448136","128.5574621,35.8577728","127.1352114,37.4340163","127.0525734,37.5927661","126.8362498,37.5086493","127.1420508,37.5604154","127.2585934,37.4091022","126.7934114,37.5048432","126.7934114,37.5048432","127.051525,37.6788489","127.1352114,37.4340163","127.1352114,37.4340163","127.051525,37.6788489"
"127.1272122,37.5222998","126.8878221,37.5483673","128.3471617,36.1177121","129.3573663,35.5607981","128.5574372,35.8578163","127.1797495,37.7161746","127.1797495,37.7161746","126.7647435,37.5123892","129.1671997,37.4565077","128.5574372,35.8578163","127.0806264,37.5542751","127.0778198,37.5141241","127.0438201,37.289698","127.1351369,37.4339998","127.0778198,37.5141241","127.0438201,37.289698","127.0778198,37.5141241","127.0517271,37.6788182","127.0253919,37.74485","128.5574372,35.8578163","127.1351369,37.4339998","127.0525523,37.5926867","126.8365373,37.5088997","127.1406228,37.5611736","127.2586276,37.4090248","126.793155,37.5048002","126.793155,37.5048002","127.0517271,37.6788182","127.1351369,37.4339998","127.1351369,37.4339998","127.0517271,37.6788182"
"127.1272183,37.5224468","126.8870493,37.5488662","128.3474962,36.1175096","129.3574061,35.5608011","128.5573823,35.857934","127.1798132,37.7161144","127.1798132,37.7161144","126.7647429,37.5123333","129.1671468,37.456522","128.5573823,35.857934","127.0806837,37.5543663","127.077655,37.5148483","127.0439594,37.2898058","127.1350861,37.4339888","127.077655,37.5148483","127.0439594,37.2898058","127.077655,37.5148483","127.05176,37.6788129","127.0255446,37.744929","128.5573823,35.857934","127.1350861,37.4339888","127.0525245,37.5925991","126.8368999,37.5092163","127.1396385,37.5617069","127.2586572,37.4089626","126.7931199,37.5047946","126.7931199,37.5047946","127.05176,37.6788129","127.1350861,37.4339888","127.1350861,37.4339888","127.05176,37.6788129"
"127.1272243,37.5225991","126.8856661,37.5498037","128.3477375,36.1174159","129.3577071,35.5608415","128.5573748,35.8579494","127.1802528,37.7157514","127.1802528,37.7157514","126.7647261,37.5122052","129.1667366,37.4566332","128.5573748,35.8579494","127.0808116,37.5545741","127.0775486,37.5152598","127.0443894,37.290141","127.1349867,37.433966","127.0775486,37.5152598","127.0443894,37.290141","127.0775486,37.5152598","127.0519121,37.6787891","127.0255684,37.7449408","128.5573748,35.8579494","127.1349867,37.433966","127.0522984,37.5917654","126.8370495,37.5093244","127.1389584,37.5621059","127.2587823,37.408697","126.7929708,37.5047694","126.7929708,37.5047694","127.0519121,37.6787891","127.1349867,37.433966","127.1349867,37.433966","127.0519121,37.6787891"
"127.1272496,37.5227416","126.8856547,37.5498117","128.3483873,36.1171914","129.357831,35.5608558","128.5572045,35.8578905","127.1803325,37.7156868","127.1803325,37.7156868","126.7646806,37.5120039","129.1661996,37.4567832","128.5572045,35.8578905","127.0809069,37.5547367","127.0774965,37.5154705","127.0444545,37.2901953","127.1349122,37.4339495","127.0774965,37.5154705","127.0444545,37.2901953","127.0774965,37.5154705","127.0520994,37.678761","127.0256682,37.7449556","128.5572045,35.8578905","127.1349122,37.4339495","127.0522619,37.5916247","126.8370911,37.5093472","127.1383541,37.5625025","127.258813,37.408633","126.7926681,37.504718","126.7926681,37.504718","127.0520994,37.678761","127.1349122,37.4339495","127.1349122,37.4339495","127.0520994,37.678761"
"127.1272619,37.5227723","126.8854999,37.5499164","128.3485445,36.117137","129.3582867,35.5609083","128.5571878,35.8578852","127.1803997,37.7156266","127.1803997,37.7156266","126.7645959,37.5116383","129.1658636,37.4568771","128.5571878,35.8578852","127.0811121,37.5550817","127.0773215,37.5162","127.0445522,37.2902759","127.1349624,37.4338478","127.0773215,37.5162","127.0445522,37.2902759","127.0773215,37.5162","127.0529144,37.6786307","127.0257078,37.7449756","128.5571878,35.8578852","127.1349624,37.4338478","127.0522286,37.5915155","126.8371801,37.5093955","127.1382859,37.5625491","127.2589621,37.4082917","126.791752,37.5045665","126.791752,37.5045665","127.0529144,37.6786307","127.1349624,37.4338478","127.1349624,37.4338478","127.0529144,37.6786307"
"127.1272999,37.5228662","126.8847366,37.5504992","128.3486519,36.1171002","129.35898,35.5610689","128.5570299,35.8578307","127.1808082,37.7153501","127.1808082,37.7153501","126.7645289,37.5113197","129.1648007,37.457176","128.5570299,35.8578307","127.0814116,37.5555912","127.077323,37.5163262","127.0445904,37.2903076","127.1350115,37.4337497","127.077323,37.5163262","127.0445904,37.2903076","127.077323,37.5163262","127.0533106,37.6785682","127.0257984,37.7450003","128.5570299,35.8578307","127.1350115,37.4337497","127.0522275,37.5915137","126.8376073,37.5085596","127.1380394,37.5627197","127.2590526,37.4082829","126.7915509,37.5045328","126.7915509,37.5045328","127.0533106,37.6785682","127.1350115,37.4337497","127.1350115,37.4337497","127.0533106,37.6785682"
"127.1273616,37.5229745","126.8842115,37.5508993","128.3488478,36.1170285","129.3591608,35.5611112","128.5565879,35.8576606","127.1810072,37.7152478","127.1810072,37.7152478","126.7645039,37.5112105","129.164512,37.4572576","128.5565879,35.8576606","127.0814766,37.5556995","127.0773494,37.5164741","127.0446488,37.2903547","127.1351371,37.4334833","127.0773494,37.5164741","127.0446488,37.2903547","127.0773494,37.5164741","127.0535398,37.6785321","127.025838,37.7450248","128.5565879,35.8576606","127.1351371,37.4334833","127.0521904,37.5914622","126.8376119,37.5085506","127.137238,37.563359","127.259186,37.4082597","126.7903693,37.5043346","126.7903693,37.5043346","127.0535398,37.6785321","127.1351371,37.4334833","127.1351371,37.4334833","127.0535398,37.6785321"
"127.1277029,37.5235317","126.8837871,37.5511576","128.3494599,36.1168132","129.3598241,35.5612659","128.5564321,35.8576033","127.1811186,37.715186","127.1811186,37.715186","126.764468,37.5110598","129.1642772,37.4573267","128.5564321,35.8576033","127.0816999,37.5560708","127.0773892,37.5166284","127.044669,37.290371","127.1355868,37.4325996","127.0773892,37.5166284","127.044669,37.290371","127.0773892,37.5166284","127.0536386,37.6785154","127.0259214,37.7451279","128.5564321,35.8576033","127.1355868,37.4325996","127.0521228,37.5914015","126.8376637,37.5084418","127.1370786,37.5635514","127.2595061,37.4081612","126.790279,37.5043179","126.790279,37.5043179","127.0536386,37.6785154","127.1355868,37.4325996","127.1355868,37.4325996","127.0536386,37.6785154"
"127.1278714,37.5237738","126.883522,37.5513094","128.3496473,36.1167722","129.3604824,35.5614397","128.556244,35.8575302","127.1812176,37.7151294","127.1812176,37.7151294","126.7644388,37.5109316","129.1634876,37.4575595","128.556244,35.8575302","127.0817447,37.5561557","127.0777553,37.5167306","127.0447464,37.2904389","127.1356016,37.4325726","127.0777553,37.5167306","127.0447464,37.2904389","127.0777553,37.5167306","127.0537589,37.6784996","127.0259925,37.7451832","128.556244,35.8575302","127.1356016,37.4325726","127.052037,37.5913498","126.837917,37.5078195","127.1368385,37.563794","127.2599665,37.407999","126.7899446,37.5042618","126.7899446,37.5042618","127.0537589,37.6784996","127.1356016,37.4325726","127.1356016,37.4325726","127.0537589,37.6784996"
"127.1279546,37.5238895","126.8833049,37.5514111","128.349855,36.1167662","129.3608562,35.5615268","128.5554959,35.8572383","127.181643,37.7148863","127.181643,37.7148863","126.7644355,37.5109172","129.1630473,37.4576901","128.5554959,35.8572383","127.0817548,37.5561746","127.0787983,37.5167903","127.0449497,37.2905956","127.1357741,37.4324325","127.0787983,37.5167903","127.0449497,37.2905956","127.0787983,37.5167903","127.0541777,37.6784435","127.0261021,37.7452566","128.5554959,35.8572383","127.1357741,37.4324325","127.0519115,37.5913079","126.8380894,37.507396","127.1368271,37.5638057","127.2606509,37.407766","126.7897774,37.5042337","126.7897774,37.5042337","127.0541777,37.6784435","127.1357741,37.4324325","127.1357741,37.4324325","127.0541777,37.6784435"
"127.1281076,37.5240792","126.8831528,37.5514707","128.3500741,36.1167908","129.3610377,35.561551","128.5549527,35.857033","127.1817306,37.714837","127.1817306,37.714837","126.7644064,37.5107728","129.162173,37.4579313","128.5549527,35.857033","127.0820055,37.5560764","127.0789918,37.5167973","127.0450957,37.290708","127.1358391,37.432311","127.0789918,37.5167973","127.0450957,37.290708","127.0789918,37.5167973","127.0545069,37.678397","127.0263544,37.7453847","128.5549527,35.857033","127.1358391,37.432311","127.0517621,37.5912992","126.8381816,37.5071946","127.1366279,37.5640151","127.2607515,37.4077302","126.7896498,37.5042113","126.7896498,37.5042113","127.0545069,37.678397","127.1358391,37.432311","127.1358391,37.432311","127.0545069,37.678397"
"127.1276368,37.5242995","126.8831028,37.5514902","128.3504193,36.1169606","129.361263,35.5615629","128.5546967,35.856937","127.1818158,37.7147904","127.1818158,37.7147904","126.7643697,37.5105851","129.1620371,37.457972","128.5546967,35.856937","127.0823811,37.5559272","127.0807068,37.5166718","127.0455706,37.2910793","127.1359429,37.4321148","127.0807068,37.5166718","127.0455706,37.2910793","127.0807068,37.5166718","127.0550743,37.6783279","127.0265638,37.7454865","128.5546967,35.856937","127.1359429,37.4321148","127.0516022,37.5913157","126.8382735,37.5070392","127.136547,37.5641338","127.2608352,37.4077114","126.7893765,37.5041628","126.7893765,37.5041628","127.0550743,37.6783279","127.1359429,37.4321148","127.1359429,37.4321148","127.0550743,37.6783279"
