0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"127.4214415,36.3541052","126.7980671,37.5014567","127.0957578,37.4993217","127.0957578,37.4993217","127.0957578,37.4993217","127.0957578,37.4993217","127.2025978,37.2948042","126.8646397,37.478821","127.0113611,37.296867","127.0107348,37.5660545","127.3651416,36.3205265","127.0107348,37.5660545","126.9244703,37.5189116","126.7171026,37.5432378","126.7018062,37.43162","126.9244703,37.5189116","126.7331755,37.4341334","126.9244703,37.5189116","126.9244703,37.5189116","128.5820368,35.848358","127.0133776,37.5059758","126.7018062,37.43162","127.9349995,37.3719471","126.7018062,37.43162","127.4214415,36.3541052","126.7018062,37.43162"
"127.4214085,36.3547795","126.7979627,37.5013695","127.0951444,37.4993655","127.0951444,37.4993655","127.0951444,37.4993655","127.0951444,37.4993655","127.2026521,37.2953388","126.8647494,37.4788243","127.0113058,37.2968668","127.0110774,37.5661307","127.3651715,36.3205761","127.0110774,37.5661307","126.9246585,37.5187233","126.7171224,37.5435075","126.7023543,37.4316309","126.9246585,37.5187233","126.7331185,37.4341763","126.9246585,37.5187233","126.9246585,37.5187233","128.5829881,35.8482827","127.0136273,37.5053189","126.7023543,37.4316309","127.9351684,37.3716671","126.7023543,37.4316309","127.4214085,36.3547795","126.7023543,37.4316309"
"127.4214049,36.3550283","126.7978715,37.5013212","127.0950221,37.4993741","127.0950221,37.4993741","127.0950221,37.4993741","127.0950221,37.4993741","127.2027488,37.2954139","126.865062,37.4787746","127.0109763,37.2968654","127.0116766,37.5662738","127.3652127,36.3206195","127.0116766,37.5662738","126.9248387,37.5185439","126.7170725,37.5435116","126.7027042,37.4316685","126.9248387,37.5185439","126.7331151,37.4341781","126.9248387,37.5185439","126.9248387,37.5185439","128.5832307,35.8482932","127.0136526,37.5052586","126.7027042,37.4316685","127.9353096,37.3714746","126.7027042,37.4316685","127.4214049,36.3550283","126.7027042,37.4316685"
"127.4214027,36.3550382","126.7978129,37.5013046","127.0947528,37.4993967","127.0947528,37.4993967","127.0947528,37.4993967","127.0947528,37.4993967","127.2027533,37.2954373","126.8650995,37.4787577","127.0113316,37.2963603","127.0118121,37.5663285","127.3652717,36.3206637","127.0118121,37.5663285","126.92489,37.5184918","126.7168448,37.5435282","126.7028883,37.4316877","126.92489,37.5184918","126.7330245,37.4341973","126.92489,37.5184918","126.92489,37.5184918","128.5834343,35.8477125","127.0139845,37.5052059","126.7028883,37.4316877","127.9353623,37.3714131","126.7028883,37.4316877","127.4214027,36.3550382","126.7028883,37.4316877"
"127.4213915,36.3550752","126.7977291,37.5013041","127.0948001,37.4996411","127.0947451,37.4993543","127.0947451,37.4993543","127.0947451,37.4993543","127.2027931,37.2956249","126.865119,37.4783225","127.0114756,37.2964303","127.0119566,37.5663976","127.3653629,36.3207161","127.0119566,37.5663976","126.9249617,37.5184327","126.7167835,37.5435476","126.7029515,37.4316963","126.9249617,37.5184327","126.7329512,37.434186","126.9249617,37.5184327","126.9249617,37.5184327","128.583499,35.847583","127.0141068,37.5051811","126.7029515,37.4316963","127.9355248,37.3713746","126.7029515,37.4316963","127.4213915,36.3550752","126.7029515,37.4316963"
"127.4213524,36.3551689","126.797625,37.5013053","127.0948221,37.499752","127.0947352,37.4992938","127.0947352,37.4992938","127.0947352,37.4992938","127.2027931,37.2956258","126.8651055,37.4783143","127.0115813,37.2964803","127.0120728,37.5664692","127.3654797,36.3208136","127.0120728,37.5664692","126.9251589,37.5185517","126.7167641,37.5435655","126.7034052,37.4317597","126.9251589,37.5185517","126.7329099,37.4341317","126.9251589,37.5185517","126.9251589,37.5185517","128.5831891,35.8475966","127.0142235,37.5051582","126.7034052,37.4317597","127.935636,37.3712751","126.7034052,37.4317597","127.4213524,36.3551689","126.7034052,37.4317597"
"127.4213524,36.3552329","126.7972414,37.5013157","127.0948592,37.4999991","127.0946027,37.4993222","127.0946027,37.4993222","127.0946027,37.4993222","127.2027613,37.2956861","126.8649811,37.4783109","127.0119739,37.2966658","127.0122057,37.5665707","127.3655208,36.3208894","127.0122057,37.5665707","126.9253345,37.5186698","126.7167536,37.5435916","126.7037849,37.4317668","126.9253345,37.5186698","126.7329037,37.4340703","126.9253345,37.5186698","126.9253345,37.5186698","128.5830254,35.8476044","127.0142915,37.505144","126.7037849,37.4317668","127.9356371,37.3712742","126.7037849,37.4317668","127.4213524,36.3552329","126.7037849,37.4317668"
"127.4214549,36.3552321","126.7971599,37.5013197","127.0948669,37.5000451","127.0931439,37.4996246","127.0931439,37.4996246","127.0931439,37.4996246","127.202742,37.2957248","126.8643128,37.4782965","127.0126848,37.2970041","127.0122958,37.566654","127.3655419,36.3209489","127.0122958,37.566654","126.9256116,37.5188343","126.7167504,37.5437907","126.7041216,37.4317736","126.9256116,37.5188343","126.7329178,37.4340253","126.9256116,37.5188343","126.9256116,37.5188343","128.5829888,35.8476056","127.0147706,37.5050577","126.7041216,37.4317736","127.9357357,37.3711314","126.7041216,37.4317736","127.4214549,36.3552321","126.7041216,37.4317736"
"127.4215028,36.3552357","126.7971792,37.5016776","127.094879,37.5001146","127.0930941,37.499637","127.0930941,37.499637","127.0930941,37.499637","127.2027356,37.2959033","126.8642913,37.4782928","127.0129525,37.2971304","127.0123913,37.5667608","127.3655684,36.3211076","127.0123913,37.5667608","126.925784,37.518937","126.7171354,37.5437771","126.704159,37.431772","126.925784,37.518937","126.7329521,37.4339859","126.925784,37.518937","126.925784,37.518937","128.5827609,35.8476158","127.01491,37.5050321","126.704159,37.431772","127.9358219,37.3709968","126.704159,37.431772","127.4215028,36.3552357","126.704159,37.431772"
"127.421553,36.3552403","126.7971873,37.5019021","127.0949392,37.5004843","127.092863,37.4996876","127.092863,37.4996876","127.092863,37.4996876","127.2028028,37.2960252","126.8642858,37.478281","127.0130616,37.2971832","127.012481,37.5668937","127.3655683,36.3211292","127.012481,37.5668937","126.9259112,37.5190124","126.7172124,37.5437749","126.7042065,37.431766","126.9259112,37.5190124","126.7330269,37.4339666","126.9259112,37.5190124","126.9259112,37.5190124","128.5823315,35.847635","127.0150051,37.5050181","126.7042065,37.431766","127.935935,37.3710279","126.7042065,37.431766","127.421553,36.3552403","126.7042065,37.431766"
"127.4224299,36.3554185","126.7972835,37.5034692","127.0949655,37.5006512","127.092668,37.4997518","127.092668,37.4997518","127.092668,37.4997518","127.2030778,37.2961061","126.864286,37.478254","127.0134047,37.2973477","127.0125132,37.5670065","127.3655693,36.3211878","127.0125132,37.5670065","126.9260824,37.5191178","126.7185464,37.5437287","126.7042744,37.4317539","126.9260824,37.5191178","126.7331287,37.4339546","126.9260824,37.5191178","126.9260824,37.5191178","128.582015,35.8476496","127.0151014,37.5050004","126.7042744,37.4317539","127.9360966,37.3710507","126.7042744,37.4317539","127.4224299,36.3554185","126.7042744,37.4317539"
"127.42282,36.3554908","126.797249,37.5042442","127.0949862,37.5007892","127.0917695,37.4999993","127.0917695,37.4999993","127.0917695,37.4999993","127.2032703,37.2962165","126.8641616,37.4782497","127.0136792,37.2974796","127.0125813,37.567324","127.3655533,36.3214159","127.0125813,37.567324","126.9262187,37.5192014","126.7187027,37.5437216","126.7043084,37.4317478","126.9262187,37.5192014","126.7331933,37.4339442","126.9262187,37.5192014","126.9262187,37.5192014","128.5815402,35.8476728","127.0150648,37.5048795","126.7043084,37.4317478","127.936161,37.371046","126.7043084,37.4317478","127.42282,36.3554908","126.7043084,37.4317478"
