0,1,2,3,4,5,6
"127.1467643,37.5573181","128.5646434,35.855231","126.7640258,37.5132275","128.5879815,35.8822599","128.7373098,35.8121631","127.0107348,37.5660545","127.0107348,37.5660545"
"127.1466963,37.5573332","128.5651939,35.8554019","126.7641324,37.513211","128.5880467,35.8822467","128.7374803,35.8103113","127.0110774,37.5661307","127.0110774,37.5661307"
"127.1467398,37.5577156","128.5654608,35.8554843","126.7642468,37.5131928","128.5891631,35.8819859","128.7374972,35.8100488","127.0116766,37.5662738","127.0116766,37.5662738"
"127.1467247,37.5577813","128.5650176,35.8562924","126.7642626,37.5131956","128.5894172,35.881934","128.7374909,35.8098532","127.0118121,37.5663285","127.0118121,37.5663285"
"127.1462286,37.5578375","128.5649711,35.8563776","126.7642716,37.5132038","128.5896702,35.8818831","128.7374707,35.8096217","127.0119566,37.5663976","127.0119566,37.5663976"
"127.1460847,37.5578533","128.564864,35.8565705","126.7642794,37.5132218","128.5896169,35.8817086","128.7374545,35.8094344","127.0120728,37.5664692","127.0120728,37.5664692"
"127.1459669,37.5578665","128.5648262,35.8566403","126.7642811,37.5132786","128.5894143,35.8810722","128.7374528,35.8093974","127.0122057,37.5665707","127.0122057,37.5665707"
"127.1457947,37.5578858","128.5649453,35.8566843","126.7642729,37.5133029","128.5893853,35.8809814","128.73744,35.8092118","127.0122958,37.566654","127.0122958,37.566654"
"127.145354,37.5579358","128.5650109,35.8567063","126.7642592,37.5133164","128.5892567,35.8805651","128.7374089,35.8089191","127.0123913,37.5667608","127.0123913,37.5667608"
"127.1451523,37.5579713","128.5651923,35.8567687","126.7642354,37.5133243","128.5892232,35.8804654","128.7373621,35.8088331","127.012481,37.5668937","127.012481,37.5668937"
"127.1449484,37.5580076","128.5653347,35.8568188","126.7640813,37.5133441","128.5891443,35.8802082","128.7373294,35.8087919","127.0125132,37.5670065","127.0125132,37.5670065"
"127.1447738,37.5580486","128.5656696,35.8569339","126.7639611,37.5133632","128.5890529,35.8799251","128.7372981,35.8087724","127.0125813,37.567324","127.0125813,37.567324"
"127.1445477,37.5579821","128.5656818,35.8569383","126.7639549,37.5135389","128.5890285,35.8798414","128.7372525,35.8087576","127.0126029,37.5674846","127.0126029,37.5674846"
"127.1444311,37.5582125","128.5657375,35.8569577","126.7639177,37.5136405","128.5889995,35.8797416","128.7371638,35.8087459","127.0125998,37.5676062","127.0125998,37.5676062"
"127.1443159,37.5583924","128.5656755,35.857043","126.7638841,37.5137178","128.5890285,35.8798414","128.737062,35.8087478","127.0125938,37.5676666","127.0125938,37.5676666"
"127.1443033,37.558414","128.5655743,35.8571827","126.7638759,37.5137475","128.5890529,35.8799251","128.7363678,35.8089479","127.0125822,37.5677125","127.0125822,37.5677125"
"127.144097,37.5587027","128.565474,35.8573829","126.7638595,37.5138015","128.5891443,35.8802082","128.736327,35.8089591","127.0125569,37.5677638","127.0125569,37.5677638"
"127.1439865,37.5588502","128.5654624,35.8574253","126.7638437,37.5139132","128.5892232,35.8804654","128.7363028,35.8089657","127.0125043,37.5678474","127.0125043,37.5678474"
