0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"128.5891443,35.8802082","127.1317573,35.8445964","128.0863373,36.1409047","127.0774228,37.6311341","127.0214228,36.7695946","127.871659,36.9679475","128.6636192,35.2355085","126.8031594,35.1666462","127.0134047,37.2973477","127.1530874,35.8257575","127.2568538,37.4103416","126.8031594,35.1666462","127.1227992,35.8330388","126.8347094,37.5071787","127.0774228,37.6311341","126.9150493,37.6119165","127.0132754,37.6340993","126.878316,35.1376615","127.1649945,36.7856034","126.8749992,35.1361711","127.3432405,36.3687503","128.5808702,35.2226942","127.2568538,37.4103416","127.1591807,35.8516972","127.1317573,35.8445964"
"128.5890529,35.8799251","127.1320066,35.8445683","128.0864452,36.1409141","127.0774253,37.6310827","127.0214818,36.7696462","127.8717186,36.9677283","128.6639763,35.2359649","126.8029605,35.1666658","127.0136792,37.2974796","127.1530451,35.8255536","127.2569104,37.4103075","126.8029605,35.1666658","127.1228178,35.8333327","126.8348221,37.5073623","127.0774253,37.6310827","126.9150817,37.6119735","127.0133327,37.6338363","126.8783783,35.1376898","127.1650071,36.7852879","126.874845,35.1360945","127.3429595,36.3687761","128.5809036,35.2227255","127.2569104,37.4103075","127.1592198,35.8516198","127.1320066,35.8445683"
"128.5890285,35.8798414","127.1322171,35.8445446","128.0868205,36.1408726","127.0774539,37.6310423","127.0215074,36.7696851","127.8717325,36.9675759","128.6638169,35.2360431","126.8023439,35.1667371","127.013822,37.2975514","127.1530245,35.8254661","127.2570497,37.4102222","126.8023439,35.1667371","127.1228787,35.8337882","126.8349047,37.5074817","127.0774539,37.6310423","126.9152381,37.6122591","127.013342,37.6337976","126.8786617,35.1378166","127.165031,36.7846858","126.8745924,35.1359706","127.3427867,36.3687912","128.5809219,35.2227767","127.2570497,37.4102222","127.1592432,35.8515748","127.1322171,35.8445446"
"128.5889995,35.8797416","127.1324476,35.8445182","128.0868338,36.1408689","127.0774983,37.6310064","127.0215436,36.7697961","127.8717161,36.9674452","128.6634116,35.2355159","126.8022339,35.1667599","127.0136788,37.297704","127.1529845,35.8252487","127.2574028,37.4100327","126.8022339,35.1667599","127.1229256,35.8339498","126.8349892,37.5076517","127.0774983,37.6310064","126.915266,37.6123106","127.012932,37.6337463","126.8792241,35.1380575","127.1650614,36.7843884","126.8744283,35.1359012","127.3427209,36.3687974","128.5809264,35.2227902","127.2574028,37.4100327","127.1592957,35.8514685","127.1324476,35.8445182"
"128.5890285,35.8798414","127.133263,35.844427","128.0870446,36.1408138","127.0775856,37.631004","127.021562,36.7706327","127.8716783,36.9672885","128.6626742,35.2345159","126.8021909,35.1667705","127.0135619,37.2978207","127.1529369,35.8249889","127.2577741,37.4098487","126.8021909,35.1667705","127.1229649,35.8340698","126.8352727,37.5082175","127.0774814,37.6309838","126.915331,37.6124101","127.0127509,37.6337221","126.8795559,35.1381548","127.1650913,36.784228","126.8742642,35.1358201","127.3425715,36.3688116","128.5810318,35.2231129","127.2577741,37.4098487","127.1595426,35.8509706","127.133263,35.844427"
"128.5890529,35.8799251","127.1335179,35.844398","128.08769,36.1406123","127.0776456,37.6310177","127.0215647,36.7707346","127.8716313,36.9670912","128.6617163,35.2331537","126.8020401,35.1668156","127.0134744,37.2979078","127.1528374,35.8244494","127.2578205,37.4098136","126.8020401,35.1668156","127.1230734,35.8342911","126.8353373,37.5083386","127.0774252,37.6309151","126.915215,37.6124546","127.012701,37.6337147","126.8798845,35.1382521","127.1651267,36.7840812","126.8741221,35.13575","127.3423887,36.3688249","128.581191,35.2235993","127.2578205,37.4098136","127.1598319,35.8504044","127.1335179,35.844398"
"128.5891443,35.8802082","127.1339389,35.8443506","128.0878997,36.1405553","127.0776885,37.6310395","127.02158,36.7711665","127.871545,36.966675","128.6616434,35.2330498","126.8019997,35.1666666","127.0133688,37.2980128","127.1527995,35.8242555","127.2578376,37.4097551","126.8019997,35.1666666","127.1231008,35.8343579","126.8353742,37.508383","127.0772283,37.630662","126.9148548,37.6125889","127.0123624,37.6336746","126.8800214,35.1382897","127.1651529,36.7839704","126.8739657,35.1356698","127.3422504,36.3688346","128.5811956,35.2236164","127.2578376,37.4097551","127.1602004,35.8496832","127.1339389,35.8443506"
"128.5892232,35.8804654","127.1343643,35.8443032","128.0879043,36.1399828","127.0777223,37.6310838","127.0215819,36.7712179","127.8715233,36.9665904","128.6615717,35.232954","126.8019954,35.1666476","127.0126489,37.2987247","127.1527627,35.8240606","127.2582035,37.4098198","126.8019954,35.1666476","127.1231534,35.8344698","126.8354249,37.5084076","127.0770999,37.6305182","126.9143821,37.6127659","127.0120624,37.6336229","126.8809944,35.1383795","127.1651654,36.7839263","126.8736989,35.1355332","127.3417543,36.3688709","128.5812667,35.2238412","127.2582035,37.4098198","127.1602406,35.8495986","127.1343643,35.8443032"
"128.5892567,35.8805651","127.1345593,35.844283","128.0879122,36.1388162","127.07773,37.6311235","127.0216018,36.7716218","127.8713159,36.9655399","128.6614706,35.2328026","126.8019158,35.1663352","127.0125206,37.2988485","127.1527497,35.8239912","127.2582273,37.409819","126.8019158,35.1663352","127.1232291,35.8346306","126.8354995,37.5084162","127.076869,37.6302587","126.9140934,37.6128735","127.0113118,37.6334999","126.881755,35.1385348","127.165326,36.7833489","126.8734749,35.1354076","127.3416372,36.3688942","128.581495,35.223904","127.2582273,37.409819","127.1602674,35.8495482","127.1345593,35.844283"
"128.5893853,35.8809814","127.1347454,35.8442602","128.0879352,36.137718","127.0778592,37.6311275","127.0216327,36.7722349","127.8712987,36.9654616","128.6612311,35.2324208","126.8018369,35.1660516","127.0121697,37.2991878","127.1527411,35.8239424","127.258277,37.4098164","126.8018369,35.1660516","127.1233235,35.8347976","126.835599,37.5084248","127.0767945,37.6302179","126.9139548,37.6129224","127.01135,37.6333793","126.88211,35.1386196","127.1653318,36.7832858","126.8729624,35.1350992","127.3415625,36.3689203","128.5828021,35.2237066","127.258277,37.4098164","127.1603578,35.849378","127.1347454,35.8442602"
