0,1,2,3,4,5,6,7,8,9,10,11
"128.3930369,36.1450887","128.5879815,35.8822599","126.7171026,37.5432378","126.7171026,37.5432378","126.7018062,37.43162","126.7171026,37.5432378","127.1374367,37.4338482","126.7018062,37.43162","126.7018062,37.43162","126.7018062,37.43162","127.4214415,36.3541052","128.5820368,35.848358"
"128.3930678,36.1449703","128.5880467,35.8822467","126.7171224,37.5435075","126.7171224,37.5435075","126.7023543,37.4316309","126.7171224,37.5435075","127.1376027,37.4338866","126.7023543,37.4316309","126.7023543,37.4316309","126.7023543,37.4316309","127.4214085,36.3547795","128.5829881,35.8482827"
"128.3930599,36.1448631","128.5891631,35.8819859","126.7170725,37.5435116","126.7170725,37.5435116","126.7027042,37.4316685","126.7170725,37.5435116","127.1380186,37.433905","126.7027042,37.4316685","126.7027042,37.4316685","126.7027042,37.4316685","127.4214049,36.3550283","128.5832307,35.8482932"
"128.3930249,36.1448129","128.5894172,35.881934","126.7168448,37.5435282","126.7168448,37.5435282","126.7028883,37.4316877","126.7168448,37.5435282","127.1381588,37.4338982","126.7028883,37.4316877","126.7028883,37.4316877","126.7028883,37.4316877","127.4214027,36.3550382","128.5834343,35.8477125"
"128.3926949,36.1447333","128.5896702,35.8818831","126.7167835,37.5435476","126.7167835,37.5435476","126.7029515,37.4316963","126.7167835,37.5435476","127.1382991,37.4338662","126.7029515,37.4316963","126.7029515,37.4316963","126.7029515,37.4316963","127.4213915,36.3550752","128.583499,35.847583"
"128.3924288,36.1446929","128.5896169,35.8817086","126.7167641,37.5435655","126.7167641,37.5435655","126.7034052,37.4317597","126.7167641,37.5435655","127.1382493,37.4341076","126.7034052,37.4317597","126.7034052,37.4317597","126.7034052,37.4317597","127.4213524,36.3551689","128.5831891,35.8475966"
"128.3923313,36.1447162","128.5894143,35.8810722","126.7167536,37.5435916","126.7167536,37.5435916","126.7037849,37.4317668","126.7167536,37.5435916","127.1382206,37.434204","126.7037849,37.4317668","126.7037849,37.4317668","126.7037849,37.4317668","127.4213524,36.3552329","128.5830254,35.8476044"
"128.3922792,36.1448311","128.5893853,35.8809814","126.7167504,37.5437907","126.7167504,37.5437907","126.7041216,37.4317736","126.7167504,37.5437907","127.1381494,37.4344408","126.7041216,37.4317736","126.7041216,37.4317736","126.7041216,37.4317736","127.4214549,36.3552321","128.5829888,35.8476056"
"128.3921377,36.1447997","128.5892567,35.8805651","126.7171354,37.5437771","126.7171354,37.5437771","126.704159,37.431772","126.7171354,37.5437771","127.1381093,37.4345435","126.704159,37.431772","126.704159,37.431772","126.704159,37.431772","127.4215028,36.3552357","128.5827609,35.8476158"
"128.3922758,36.1443298","128.5892232,35.8804654","126.7172124,37.5437749","126.7172124,37.5437749","126.7042065,37.431766","126.7172124,37.5437749","127.1380979,37.4345759","126.7042065,37.431766","126.7042065,37.431766","126.7042065,37.431766","127.421553,36.3552403","128.5823315,35.847635"
"128.3923239,36.1441663","128.5891443,35.8802082","126.7185464,37.5437287","126.7185464,37.5437287","126.7042744,37.4317539","126.7185464,37.5437287","127.1380864,37.4346083","126.7042744,37.4317539","126.7042744,37.4317539","126.7042744,37.4317539","127.4224299,36.3554185","128.582015,35.8476496"
"128.3923602,36.144029","128.5890529,35.8799251","126.7187027,37.5437216","126.7187027,37.5437216","126.7043084,37.4317478","126.7187027,37.5437216","127.1379893,37.43459","126.7043084,37.4317478","126.7043084,37.4317478","126.7043084,37.4317478","127.42282,36.3554908","128.5815402,35.8476728"
"128.392374,36.1439748","128.5890285,35.8798414","126.7187276,37.5437218","126.7187276,37.5437218","126.7043582,37.4317391","126.7187276,37.5437218","127.1379261,37.4345781","126.7043582,37.4317391","126.7043582,37.4317391","126.7043582,37.4317391","127.4235276,36.3556193","128.5813289,35.8476828"
"128.3924864,36.1437909","128.5889995,35.8797416","126.718774,37.5437203","126.718774,37.5437203","126.704441,37.4317189","126.718774,37.5437203","127.1379238,37.4345771","126.704441,37.4317189","126.704441,37.4317189","126.704441,37.4317189","127.4235476,36.3556608","128.581009,35.8476983"
"128.3925875,36.1436829","128.5890285,35.8798414","126.7188838,37.5437165","126.7188838,37.5437165","126.7045883,37.431683","126.7188838,37.5437165","127.1375477,37.4345075","126.7045883,37.431683","126.7045883,37.431683","126.7045883,37.431683","127.4235554,36.3557032","128.5804978,35.8477227"
"128.392604,36.1436738","128.5890529,35.8799251","126.7190186,37.5437102","126.7190186,37.5437102","126.7047855,37.4316302","126.7190186,37.5437102","127.1374009,37.4344746","126.7047855,37.4316302","126.7047855,37.4316302","126.7047855,37.4316302","127.4235493,36.356181","128.5801282,35.8477405"
"128.3927498,36.1435915","128.5891443,35.8802082","126.719774,37.5436746","126.719774,37.5436746","126.7051926,37.4315049","126.719774,37.5436746","127.1367121,37.4343328","126.7051926,37.4315049","126.7051926,37.4315049","126.7051926,37.4315049","127.4235162,36.3570176","128.5802123,35.8479831"
"128.3929558,36.1435224","128.5892232,35.8804654","126.7200367,37.5436665","126.7200367,37.5436665","126.7055494,37.4314298","126.7200367,37.5436665","127.136676,37.4343254","126.7055494,37.4314298","126.7055494,37.4314298","126.7055494,37.4314298","127.4235116,36.3571231","128.580249,35.8480757"
"128.3930499,36.143491","128.5892567,35.8805651","126.720125,37.5436625","126.720125,37.5436625","126.7055993,37.4314194","126.720125,37.5436625","127.1365224,37.4342961","126.7055993,37.4314194","126.7055993,37.4314194","126.7055993,37.4314194","127.4235093,36.3572024","128.5805081,35.8487279"
"128.3932648,36.1434245","128.5893853,35.8809814","126.72021,37.5436577","126.72021,37.5436577","126.7063546,37.4312874","126.72021,37.5436577","127.1363869,37.434266","126.7063546,37.4312874","126.7063546,37.4312874","126.7063546,37.4312874","127.4235001,36.3575513","128.5805998,35.8489579"
"128.3933908,36.143365","128.5894143,35.8810722","126.7207989,37.5436327","126.7207989,37.5436327","126.7065063,37.431265","126.7207989,37.5436327","127.1360109,37.4341846","126.7065063,37.431265","126.7065063,37.431265","126.7065063,37.431265","127.4235001,36.3575585","128.5806871,35.8491915"
"128.3935698,36.1432735","128.5896169,35.8817086","126.7212949,37.5436162","126.7212949,37.5436162","126.7067825,37.431229","126.7212949,37.5436162","127.1357478,37.4341288","126.7067825,37.431229","126.7067825,37.431229","126.7067825,37.431229","127.4234977,36.3576423","128.5807834,35.8494286"
"128.3937066,36.1431823","128.5896226,35.8817257","126.7220945,37.5435719","126.7220945,37.5435719","126.7070357,37.4312181","126.7220945,37.5435719","127.1355276,37.4340821","126.7070357,37.4312181","126.7070357,37.4312181","126.7070357,37.4312181","127.4234773,36.3580597","128.5809243,35.8497745"
"128.3938567,36.1430892","128.5896702,35.8818831","126.7220968,37.5435719","126.7220968,37.5435719","126.7074605,37.431239","126.7220968,37.5435719","127.1352396,37.4340227","126.7074605,37.431239","126.7074605,37.431239","126.7074605,37.431239","127.4234727,36.3581481","128.5809781,35.8499056"
"128.3940188,36.1429753","128.5897109,35.8820224","126.7223165,37.543558","126.7223165,37.543558","126.7081094,37.4313352","126.7223165,37.543558","127.1352114,37.4340163","126.7081094,37.4313352","126.7081094,37.4313352","126.7081094,37.4313352","127.4234511,36.3586592","128.58101,35.8499729"
"128.3940897,36.1428522","128.5897306,35.8820881","126.7224592,37.543549","126.7224592,37.543549","126.7082527,37.4313605","126.7224592,37.543549","127.1351369,37.4339998","126.7082527,37.4313605","126.7082527,37.4313605","126.7082527,37.4313605","127.4234499,36.3587413","128.5812053,35.8504075"
