0,1,2,3
"127.1233212,35.8320108","127.2079065,37.5429608","127.4214415,36.3541052","127.8717722,36.9697338"
"127.1233249,35.8321658","127.2081068,37.5429712","127.4214085,36.3547795","127.8717035,36.9692301"
"127.1233241,35.8323326","127.2086489,37.5429996","127.4214049,36.3550283","127.8716813,36.9690661"
"127.1233293,35.8323994","127.2086407,37.5430807","127.4214027,36.3550382","127.8716669,36.9688787"
"127.1233366,35.8324914","127.2086172,37.5432951","127.4213915,36.3550752","127.8716541,36.9687895"
"127.1233374,35.8325662","127.2085527,37.5438691","127.4213524,36.3551689","127.8716227,36.9685615"
"127.1233369,35.8326744","127.2085401,37.5439034","127.4213524,36.3552329","127.871597,36.9683588"
"127.1229117,35.8326658","127.2085173,37.5439421","127.4214549,36.3552321","127.8715917,36.9681875"
"127.1227866,35.8326664","127.2083493,37.5440624","127.4215028,36.3552357","127.8716126,36.9680991"
"127.1227973,35.8329747","127.2082539,37.5441307","127.421553,36.3552403","127.8716181,36.9680802"
"127.1227992,35.8330388","127.2083791,37.5442581","127.4224299,36.3554185","127.871659,36.9679475"
"127.1228178,35.8333327","127.2084298,37.5443123","127.42282,36.3554908","127.8717186,36.9677283"
"127.1228787,35.8337882","127.2088854,37.5447641","127.4235276,36.3556193","127.8717325,36.9675759"
"127.1229256,35.8339498","127.2092451,37.5451291","127.4235476,36.3556608","127.8717161,36.9674452"
"127.1229649,35.8340698","127.2092846,37.5451671","127.4235554,36.3557032","127.8716783,36.9672885"
"127.1230734,35.8342911","127.2096285,37.5455186","127.4235493,36.356181","127.8716313,36.9670912"
"127.1231008,35.8343579","127.2102159,37.5461401","127.4235162,36.3570176","127.871545,36.966675"
"127.1231534,35.8344698","127.2105665,37.5465115","127.4235116,36.3571231","127.8715233,36.9665904"
"127.1232291,35.8346306","127.2107086,37.5466605","127.4235093,36.3572024","127.8713159,36.9655399"
"127.1233235,35.8347976","127.2108145,37.5467762","127.4235001,36.3575513","127.8712987,36.9654616"
"127.1236102,35.8352836","127.2108495,37.5468141","127.4235001,36.3575585","127.8712745,36.9653291"
"127.1237114,35.8354174","127.2113061,37.5472974","127.4234977,36.3576423","127.8712583,36.9652444"
"127.1239272,35.8356741","127.2113647,37.5473598","127.4234773,36.3580597","127.8711789,36.9650851"
"127.1239449,35.8356886","127.2116455,37.5476507","127.4234727,36.3581481","127.8711248,36.9648176"
"127.1240927,35.8358036","127.2120444,37.5481141","127.4234511,36.3586592","127.8711133,36.9647554"
"127.1245479,35.8360096","127.2122947,37.5483995","127.4234499,36.3587413","127.8710937,36.9646554"
"127.1245998,35.8360477","127.2124367,37.5485504","127.4239492,36.3587578","127.8710868,36.9646221"
"127.1247719,35.8361708","127.2129892,37.5491376","127.4248297,36.3587782","127.8710764,36.964568"
"127.1248503,35.8362297","127.2142013,37.5504259","127.425222,36.3587875","127.8710166,36.9642662"
"127.1249992,35.8363437","127.2143494,37.5504848","127.4253625,36.3587912","127.8709509,36.9639374"
"127.1254826,35.8366797","127.2144941,37.5505203","127.4256991,36.3588013","127.8709279,36.9638257"
"127.1259229,35.836994","127.2146288,37.5505396","127.4269619,36.3588409","127.8709233,36.9638005"
"127.1264007,35.8373372","127.2146967,37.5505316","127.4270633,36.3588445","127.8708625,36.9635374"
"127.1265684,35.8374684","127.2148157,37.5504977","127.4272561,36.358851","127.8708418,36.963451"
"127.1266964,35.8375644","127.2150734,37.5503216","127.4289492,36.358916","127.8708355,36.963305"
"127.1268609,35.8376839","127.2154967,37.550045","127.4295544,36.3589353","127.8708397,36.9632319"
"127.1274921,35.8381313","127.215929,37.5497919","127.430455,36.3589646","127.8707927,36.9630446"
"127.1283793,35.8387805","127.2162705,37.5496016","127.4306645,36.3589711","127.8707059,36.962979"
"127.1289752,35.839225","127.2171257,37.5491728","127.4313388,36.358985","127.8706349,36.9629432"
"127.1290304,35.8392631","127.2173242,37.5490841","127.4315662,36.3589923","127.8706181,36.9629387"
"127.1292412,35.8394035","127.2177697,37.5489058","127.4318092,36.3589952","127.8705528,36.9629209"
"127.1294266,35.8395456","127.2179759,37.5488774","127.4321336,36.3589909","127.8704404,36.9628996"
"127.1294994,35.8395963","127.2180417,37.5488496","127.432157,36.3589891","127.8702204,36.9629364"
"127.1295403,35.8396217","127.2181358,37.548812","127.4322383,36.3589819","127.8698118,36.963008"
"127.1296066,35.8396552","127.2190496,37.548432","127.4322506,36.3589801","127.8679138,36.9633185"
"127.1297369,35.839716","127.2193444,37.5483236","127.4322851,36.3589774","127.8662233,36.9635978"
"127.129895,35.8397769","127.2193761,37.5483129","127.4324312,36.3589414","127.8654859,36.9637245"
"127.1300641,35.839846","127.2194294,37.548295","127.4324992,36.3589171","127.8639436,36.9639861"
"127.1301769,35.8398824","127.2203396,37.5479844","127.432613,36.3588478","127.863736,36.9640219"
"127.1306733,35.8400444","127.2212011,37.5476836","127.4327167,36.3587739","127.8635205,36.9640641"
"127.1308535,35.8401","127.2234704,37.546893","127.4328829,36.3586451","127.8632028,36.9641137"
"127.1314219,35.8402721","127.2253405,37.5462998","127.4329286,36.3586109","127.8623745,36.9642659"
"127.1315623,35.8403149","127.226299,37.5460929","127.4330245,36.3585379","127.8618873,36.9643368"
"127.131705,35.8403568","127.2264373,37.5460445","127.4331885,36.3584018","127.8605997,36.964539"
"127.1318056,35.840386","127.2282401,37.5452474","127.4334618,36.3581658","127.8605358,36.9645491"
"127.1319759,35.8404361","127.2282843,37.5452277","127.4342124,36.3575414","127.8604549,36.9645575"
"127.1320356,35.8404534","127.2289589,37.5449291","127.4346441,36.3571585","127.8604179,36.9645612"
"127.1321849,35.840498","127.2299373,37.5445329","127.4347545,36.3570648","127.8602483,36.9645788"
"127.13228,35.8405272","127.2301073,37.5444729","127.4348091,36.357018","127.8601888,36.9645817"
"127.133064,35.8407541","127.2301844,37.544446","127.4348493,36.3569828","127.8599271,36.9646023"
"127.1332675,35.8408142","127.2305074,37.5443413","127.4359992,36.356008","127.859798,36.9646108"
"127.1337729,35.8409591","127.2316,37.5439824","127.4361141,36.3559107","127.8592701,36.9646359"
"127.1342694,35.8410986","127.2327242,37.5436244","127.4363617,36.3557008","127.859269,36.9646359"
"127.1343689,35.8411259","127.2327673,37.5436091","127.4370733,36.355098","127.8586243,36.9646613"
"127.1344552,35.8411514","127.2330744,37.5434999","127.4371491,36.3550331","127.8571505,36.9646774"
"127.1345901,35.8411906","127.2336245,37.543191","127.4376443,36.3545979","127.856699,36.9646833"
"127.1347737,35.8412453","127.2337369,37.5430994","127.4380269,36.3542952","127.8565967,36.9646845"
"127.135237,35.8413792","127.2339867,37.5428998","127.4380994,36.3542331","127.8552972,36.9647281"
"127.1359138,35.8415751","127.2341898,37.5427552","127.4382934,36.3540718","127.8546413,36.9647598"
"127.1364268,35.8417426","127.2343566,37.5426564","127.4383581,36.3540204","127.8534061,36.9648644"
"127.136544,35.8417763","127.2344451,37.5426052","127.4385689,36.353842","127.8529109,36.9649191"
"127.1367287,35.8418345","127.2344689,37.5425935","127.4389748,36.3535159","127.8527324,36.9649385"
"127.1368791,35.8418828","127.2346787,37.5424849","127.4407436,36.3520491","127.852217,36.9649915"
"127.136941,35.8419028","127.2350776,37.542357","127.4409756,36.3518608","127.8518891,36.9650303"
"127.1372782,35.8420102","127.2356646,37.5421681","127.441299,36.3516013","127.8508865,36.9651495"
"127.1380898,35.8422696","127.2360159,37.5420544","127.44159,36.351395","127.8504037,36.9652069"
"127.1386118,35.8424353","127.2363729,37.5419335","127.4416491,36.351367","127.8502477,36.9652262"
"127.1388373,35.842509","127.2365497,37.5418744","127.4418107,36.3513148","127.8499849,36.9652577"
"127.1389689,35.8425472","127.2368171,37.5418083","127.4419345,36.3512202","127.8487982,36.9654054"
"127.139022,35.8425627","127.2369497,37.5417671","127.4419836,36.3511815","127.8482985,36.965451"
"127.1390574,35.8425737","127.2370754,37.5417467","127.442123,36.3510535","127.8482468,36.9654557"
"127.1391259,35.8425946","127.2371411,37.541736","127.4421998,36.3511257","127.8480874,36.9654661"
"127.1393836,35.8426738","127.23726,37.5417327","127.4422945,36.351215","127.8475493,36.9654749"
"127.1395705,35.8427321","127.2372962,37.5417355","127.4423747,36.3513322","127.8467292,36.9654746"
"127.1396424,35.8427521","127.2373301,37.5417409","127.4425116,36.3515324","127.8466124,36.9654749"
"127.1397916,35.8427977","127.2373629,37.5417491","127.4425372,36.3515748","127.8456126,36.965476"
"127.1402483,35.8429379","127.2374409,37.541779","127.4426619,36.3517741","127.8444746,36.9654748"
"127.1415333,35.8433231","127.237494,37.5418098","127.4427342,36.3519238","127.8432647,36.9654765"
"127.1416085,35.8433459","127.2375742,37.5418668","127.4429256,36.3523161","127.8430198,36.9654781"
"127.1416528,35.8433577","127.2376013,37.5418966","127.4429746,36.3524162","127.8427469,36.9654816"
"127.1416992,35.8433705","127.2376238,37.5419273","127.4430314,36.3525226","127.842557,36.965484"
"127.1418386,35.8434106","127.2376452,37.5419652","127.4432195,36.3528752","127.8425334,36.965484"
"127.1427742,35.8436802","127.2376642,37.5420211","127.4432707,36.3529717","127.8423032,36.9654991"
"127.1428538,35.8437039","127.2376742,37.5420905","127.4436747,36.3537075","127.8421887,36.9655121"
"127.1430175,35.8437495","127.2376671,37.5421572","127.4438016,36.3539384","127.842036,36.9655323"
"127.1432353,35.8438123","127.2376557,37.5421933","127.4439285,36.3541683","127.8420035,36.9655387"
"127.1437274,35.8439653","127.2376249,37.5422581","127.4440609,36.3544064","127.8417699,36.9655746"
"127.1438126,35.8439899","127.2375692,37.5423274","127.4443748,36.3549745","127.8414073,36.9656306"
"127.1438955,35.8440199","127.2375022,37.5423912","127.4445151,36.3552189","127.8410145,36.9657074"
"127.1442096,35.8441145","127.2373026,37.5425016","127.4446186,36.355401","127.8392614,36.9660785"
"127.1443732,35.8441655","127.2367663,37.542724","127.4446977,36.3555345","127.8388675,36.9661598"
"127.1454227,35.8444815","127.2359073,37.5430168","127.4447611,36.3556427","127.837662,36.9664075"
"127.1456959,35.8445634","127.2355616,37.5431413","127.444799,36.3557077","127.8371492,36.9665244"
"127.1458341,35.8446035","127.2354029,37.543205","127.4448457,36.3557924","127.8370616,36.9665499"
