0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"127.1526915,35.8236412","127.2039139,37.2975396","127.1603657,35.8493636","128.1642079,35.1605636","127.16725,37.2492877","128.1642079,35.1605636","127.1510623,35.836186","127.497674,36.6526661","128.1642079,35.1605636","128.1642079,35.1605636","128.1642079,35.1605636","128.1642079,35.1605636","128.3460727,36.118011","128.7254734,36.5601516","128.6591982,35.238759","128.7336153,36.5599631","128.6591982,35.238759","128.6591982,35.238759","128.1642079,35.1605636","128.6591982,35.238759","128.6591982,35.238759","129.3639215,36.0134047"
"127.1526537,35.8234138","127.203933,37.2975703","127.1603891,35.8493186","128.1642253,35.1606735","127.1661799,37.2482643","128.1642253,35.1606735","127.1512261,35.8362045","127.497637,36.6527743","128.1642253,35.1606735","128.1642253,35.1606735","128.1642253,35.1606735","128.1642253,35.1606735","128.3462592,36.1179953","128.7254387,36.5601448","128.659077,35.2388143","128.7336247,36.5599242","128.659077,35.2388143","128.659077,35.2388143","128.1642253,35.1606735","128.659077,35.2388143","128.659077,35.2388143","129.364102,36.0136264"
"127.1526246,35.8232379","127.2039577,37.2975992","127.1605685,35.8490522","128.1642517,35.1608186","127.1660945,37.2481839","128.1642517,35.1608186","127.1522598,35.8362995","127.4976739,36.6530159","128.1642517,35.1608186","128.1642517,35.1608186","128.1642517,35.1608186","128.1642517,35.1608186","128.3465684,36.1179164","128.7254015,36.560128","128.6590082,35.2388456","128.7336558,36.559767","128.6590082,35.2388456","128.6590082,35.2388456","128.1642517,35.1608186","128.6590082,35.2388456","128.6590082,35.2388456","129.3641168,36.0136442"
"127.1526181,35.8231928","127.2039892,37.2976245","127.1605841,35.8490279","128.1642725,35.1609357","127.1660384,37.2481359","128.1642725,35.1609357","127.1527634,35.8363505","127.4976739,36.653216","128.1642725,35.1609357","128.1642725,35.1609357","128.1642725,35.1609357","128.1642725,35.1609357","128.3470179,36.1177708","128.7253777,36.5601021","128.6587569,35.2389517","128.7336598,36.5597381","128.6587569,35.2389517","128.6587569,35.2389517","128.1642725,35.1609357","128.6587569,35.2389517","128.6587569,35.2389517","129.3641614,36.0136993"
"127.1526138,35.8231685","127.2040162,37.2976408","127.1608069,35.8487373","128.164406,35.1610242","127.1657936,37.2479108","128.164406,35.1610242","127.152884,35.8363626","127.4975497,36.6534161","128.164406,35.1610242","128.164406,35.1610242","128.164406,35.1610242","128.164406,35.1610242","128.3470965,36.1177387","128.7253706,36.560076","128.6578096,35.2393385","128.7336727,36.5597056","128.6578096,35.2393385","128.6578096,35.2393385","128.164406,35.1610242","128.6578096,35.2393385","128.6578096,35.2393385","129.3642564,36.0138241"
"127.1526021,35.8230576","127.2040522,37.2976589","127.1615237,35.8478864","128.1646009,35.1610935","127.1656229,37.2477391","128.1646009,35.1610935","127.153122,35.8363858","127.497524,36.6534891","128.1646009,35.1610935","128.1646009,35.1610935","128.1646009,35.1610935","128.1646009,35.1610935","128.3471617,36.1177121","128.7253722,36.5600418","128.6575605,35.2394401","128.7336823,36.5596793","128.6575605,35.2394401","128.6575605,35.2394401","128.1646009,35.1610935","128.6575605,35.2394401","128.6575605,35.2394401","129.3643686,36.0139702"
"127.1526084,35.8228935","127.2041649,37.2977079","127.1615448,35.8478621","128.1652367,35.1610999","127.1647303,37.2468847","128.1652367,35.1610999","127.1537263,35.8364462","127.4974871,36.653591","128.1652367,35.1610999","128.1652367,35.1610999","128.1652367,35.1610999","128.1652367,35.1610999","128.3474962,36.1175096","128.7252092,36.5600452","128.6556144,35.240235","128.7336866,36.5596685","128.6556144,35.240235","128.6556144,35.240235","128.1652367,35.1610999","128.6556144,35.240235","128.6556144,35.240235","129.3648117,36.0145492"
"127.1526266,35.8227736","127.2041036,37.2977852","127.1616316,35.8477623","128.1662116,35.1610828","127.1639154,37.2460558","128.1662116,35.1610828","127.1541303,35.836487","127.497562,36.6537082","128.1662116,35.1610828","128.1662116,35.1610828","128.1662116,35.1610828","128.1662116,35.1610828","128.3477375,36.1174159","128.7251309,36.5600424","128.6554319,35.2403107","128.7358076,36.5543478","128.6554319,35.2403107","128.6554319,35.2403107","128.1662116,35.1610828","128.6554319,35.2403107","128.6554319,35.2403107","129.3649246,36.0146827"
"127.1526448,35.8226682","127.2040491,37.2978806","127.1619298,35.847425","128.1665123,35.1610659","127.1636932,37.2458055","128.1665123,35.1610659","127.1542166,35.8364954","127.4976997,36.6537993","128.1665123,35.1610659","128.1665123,35.1610659","128.1665123,35.1610659","128.1665123,35.1610659","128.3483873,36.1171914","128.7250424,36.5600307","128.6553992,35.2403245","128.7358759,36.5541451","128.6553992,35.2403245","128.6553992,35.2403245","128.1665123,35.1610659","128.6553992,35.2403245","128.6553992,35.2403245","129.3650743,36.014866"
"127.1526744,35.8224744","127.2040001,37.2979932","127.1619743,35.847372","128.1674374,35.1609994","127.1636204,37.2456998","128.1674374,35.1609994","127.154262,35.8365","127.4978619,36.6538912","128.1674374,35.1609994","128.1674374,35.1609994","128.1674374,35.1609994","128.1674374,35.1609994","128.3485445,36.117137","128.7249449,36.5600128","128.6541907,35.2408211","128.7359102,36.5540546","128.6541907,35.2408211","128.6541907,35.2408211","128.1674374,35.1609994","128.6541907,35.2408211","128.6541907,35.2408211","129.36527,36.015119"
"127.1527189,35.822159","127.20396,37.2981644","127.162198,35.8471228","128.1678371,35.1609999","127.1635329,37.2456031","128.1678371,35.1609999","127.154335,35.8365083","127.4978641,36.653893","128.1678371,35.1609999","128.1678371,35.1609999","128.1678371,35.1609999","128.1678371,35.1609999","128.3486519,36.1171002","128.7247914,36.5599837","128.6537536,35.2410011","128.7359241,36.5540166","128.6537536,35.2410011","128.6537536,35.2410011","128.1678371,35.1609999","128.6537536,35.2410011","128.6537536,35.2410011","129.3652998,36.0151573"
"127.1527372,35.8220319","127.2039471,37.298295","127.1624573,35.8468287","128.1680994,35.1609832","127.1632832,37.2452094","128.1680994,35.1609832","127.1545055,35.836526","127.4980498,36.654058","128.1680994,35.1609832","128.1680994,35.1609832","128.1680994,35.1609832","128.1680994,35.1609832","128.3488478,36.1170285","128.7247544,36.5599769","128.6535744,35.241075","128.7359538,36.5539136","128.6535744,35.241075","128.6535744,35.241075","128.1680994,35.1609832","128.6535744,35.241075","128.6535744,35.241075","129.365325,36.0151912"
"127.1527475,35.8219643","127.2039621,37.2984817","127.1628579,35.8463583","128.1685319,35.1609727","127.1631625,37.244972","128.1685319,35.1609727","127.1550788,35.8365799","127.4981494,36.6541833","128.1685319,35.1609727","128.1685319,35.1609727","128.1685319,35.1609727","128.1685319,35.1609727","128.3494599,36.1168132","128.7246468,36.5599555","128.6529043,35.2413266","128.7359598,36.5538711","128.6529043,35.2413266","128.6529043,35.2413266","128.1685319,35.1609727","128.6529043,35.2413266","128.6529043,35.2413266","129.3655121,36.0154082"
"127.1527509,35.8219454","127.2039931,37.2986431","127.1632408,35.8459095","128.1689118,35.1609661","127.1630467,37.2446408","128.1689118,35.1609661","127.1552514,35.8365966","127.4982121,36.6543077","128.1689118,35.1609661","128.1689118,35.1609661","128.1689118,35.1609661","128.1689118,35.1609661","128.3496473,36.1167722","128.7231366,36.5596329","128.6527414,35.2413868","128.7360064,36.5535669","128.6527414,35.2413868","128.6527414,35.2413868","128.1689118,35.1609661","128.6527414,35.2413868","128.6527414,35.2413868","129.3652742,36.01553"
"127.152768,35.8218345","127.2040534,37.2988055","127.1633098,35.8458294","128.1694434,35.1609947","127.1630111,37.244529","128.1694434,35.1609947","127.1556643,35.8366375","127.498287,36.6546079","128.1694434,35.1609947","128.1694434,35.1609947","128.1694434,35.1609947","128.1694434,35.1609947","128.349855,36.1167662","128.723011,36.5596045","128.652654,35.2414219","128.7360314,36.5533827","128.652654,35.2414219","128.652654,35.2414219","128.1694434,35.1609947","128.652654,35.2414219","128.652654,35.2414219","129.3649517,36.0156901"
"127.1528089,35.8215822","127.2041576,37.2989734","127.163421,35.8457026","128.1697447,35.1610417","127.1628899,37.2441573","128.1697447,35.1610417","127.1560571,35.836681","127.4983497,36.6547161","128.1697447,35.1610417","128.1697447,35.1610417","128.1697447,35.1610417","128.1697447,35.1610417","128.3500741,36.1167908","128.721256,36.5592087","128.6519139,35.2417048","128.7360746,36.5530118","128.6519139,35.2417048","128.6519139,35.2417048","128.1697447,35.1610417","128.6519139,35.2417048","128.6519139,35.2417048","129.3642741,36.0160332"
"127.1528362,35.8214209","127.2043797,37.2993156","127.1635056,35.845601","128.1700119,35.1610988","127.1628441,37.2437984","128.1700119,35.1610988","127.1563836,35.8367189","127.4984123,36.6547828","128.1700119,35.1610988","128.1700119,35.1610988","128.1700119,35.1610988","128.1700119,35.1610988","128.3504193,36.1169606","128.7210831,36.5592285","128.6518571,35.2417261","128.736175,36.5521579","128.6518571,35.2417261","128.6518571,35.2417261","128.1700119,35.1610988","128.6518571,35.2417261","128.6518571,35.2417261","129.3634047,36.0164812"
"127.1528873,35.8211172","127.2047029,37.2997725","127.1640797,35.8449751","128.1701582,35.1611296","127.1628191,37.2436018","128.1701582,35.1611296","127.1565839,35.836742","127.4992246,36.6553408","128.1701582,35.1611296","128.1701582,35.1611296","128.1701582,35.1611296","128.1701582,35.1611296","128.350541,36.1170084","128.7209684,36.5592513","128.6517118,35.2417906","128.73619,36.5520514","128.6517118,35.2417906","128.6517118,35.2417906","128.1701582,35.1611296","128.6517118,35.2417906","128.6517118,35.2417906","129.3633368,36.0165166"
"127.1529058,35.8209478","127.2047634,37.2998682","127.1648865,35.8440297","128.1704675,35.1612208","127.1628049,37.2434873","128.1704675,35.1612208","127.1566205,35.8367466","127.4993622,36.6554995","128.1704675,35.1612208","128.1704675,35.1612208","128.1704675,35.1612208","128.1704675,35.1612208","128.350579,36.1170298","128.7207881,36.5592973","128.6514573,35.2419039","128.7363101,36.5512416","128.6514573,35.2419039","128.6514573,35.2419039","128.1704675,35.1612208","128.6514573,35.2419039","128.6514573,35.2419039","129.3620747,36.0171582"
"127.1529138,35.8208747","127.204788,37.2999467","127.1649421,35.8439686","128.1707175,35.1613059","127.1627637,37.2428706","128.1707175,35.1613059","127.1566935,35.8367558","127.4994864,36.6557159","128.1707175,35.1613059","128.1707175,35.1613059","128.1707175,35.1613059","128.1707175,35.1613059","128.3508415,36.117164","128.7207883,36.5593127","128.6513208,35.2419656","128.7363494,36.5509743","128.6513208,35.2419656","128.6513208,35.2419656","128.1707175,35.1613059","128.6513208,35.2419656","128.6513208,35.2419656","129.3611963,36.0175991"
"127.1529151,35.8208315","127.2048211,37.3001397","127.1650489,35.8438481","128.1710369,35.1614349","127.1627351,37.2421945","128.1710369,35.1614349","127.1569325,35.8367836","127.4994932,36.6557492","128.1710369,35.1614349","128.1710369,35.1614349","128.1710369,35.1614349","128.1710369,35.1614349","128.3509767,36.1172316","128.7207741,36.5596166","128.6512782,35.2419841","128.7363525,36.5509581","128.6512782,35.2419841","128.6512782,35.2419841","128.1710369,35.1614349","128.6512782,35.2419841","128.6512782,35.2419841","129.3609454,36.0177346"
"127.1529153,35.8207963","127.2048116,37.3002496","127.1650812,35.8438121","128.1712784,35.1615553","127.1627127,37.2416707","128.1712784,35.1615553","127.157291,35.8368459","127.4995345,36.6559692","128.1712784,35.1615553","128.1712784,35.1615553","128.1712784,35.1615553","128.1712784,35.1615553","128.351132,36.1173089","128.7207624,36.5598664","128.6512356,35.2420043","128.7363748,36.5508163","128.6512356,35.2420043","128.6512356,35.2420043","128.1712784,35.1615553","128.6512356,35.2420043","128.6512356,35.2420043","129.3608161,36.0178015"
"127.1529066,35.8207575","127.2048001,37.3003019","127.1651702,35.8437204","128.1717738,35.1618492","127.1627065,37.24153","128.1717738,35.1618492","127.1575764,35.8369053","127.4995491,36.6560494","128.1717738,35.1618492","128.1717738,35.1618492","128.1717738,35.1618492","128.1717738,35.1618492","128.3512638,36.117372","128.7207584,36.5599665","128.6511439,35.2420458","128.736385,36.5507504","128.6511439,35.2420458","128.6511439,35.2420458","128.1717738,35.1618492","128.6511439,35.2420458","128.6511439,35.2420458","129.3607558,36.0178331"
"127.1528207,35.8206527","127.204724,37.3004261","127.1654971,35.8434003","128.1720057,35.1620111","127.1626517,37.2411955","128.1720057,35.1620111","127.1578972,35.8369747","127.4996241,36.6561909","128.1720057,35.1620111","128.1720057,35.1620111","128.1720057,35.1620111","128.1720057,35.1620111","128.3513699,36.117419","128.7207565,36.5601333","128.6509247,35.2421678","128.7363858,36.5507324","128.6509247,35.2421678","128.6509247,35.2421678","128.1720057,35.1620111","128.6509247,35.2421678","128.6509247,35.2421678","129.3605354,36.0179447"
"127.1527954,35.820622","127.2046346,37.3005124","127.1659507,35.8429607","128.172218,35.162184","127.1625782,37.2409798","128.172218,35.162184","127.1579968,35.8369967","127.4997371,36.656291","128.172218,35.162184","128.172218,35.162184","128.172218,35.162184","128.172218,35.162184","128.3514201,36.1174412","128.7207575,36.5602676","128.6506053,35.2423493","128.7363867,36.5504412","128.6506053,35.2423493","128.6506053,35.2423493","128.172218,35.162184","128.6506053,35.2423493","128.6506053,35.2423493","129.3605266,36.0179493"
"127.1529531,35.8205025","127.2044118,37.3006245","127.1659941,35.842922","128.1725056,35.1624439","127.1624788,37.2407722","128.1725056,35.1624439","127.1580223,35.8370022","127.499887,36.6563577","128.1725056,35.1624439","128.1725056,35.1624439","128.1725056,35.1624439","128.1725056,35.1624439","128.3515027,36.1174758","128.7207401,36.560723","128.6504515,35.2424337","128.7363683,36.5503377","128.6504515,35.2424337","128.6504515,35.2424337","128.1725056,35.1624439","128.6504515,35.2424337","128.6504515,35.2424337","129.3601332,36.0181619"
"127.152982,35.8204809","127.2041623,37.3006662","127.166291,35.8426253","128.1728769,35.1628611","127.1623287,37.2405564","128.1728769,35.1628611","127.1586683,35.837151","127.5,36.6563911","128.1728769,35.1628611","128.1728769,35.1628611","128.1728769,35.1628611","128.1728769,35.1628611","128.3517408,36.1176057","128.7207383,36.5608961","128.6496915,35.2428575","128.7363122,36.5500408","128.6496915,35.2428575","128.6496915,35.2428575","128.1728769,35.1628611","128.6496915,35.2428575","128.6496915,35.2428575","129.3600565,36.0182036"
"127.153112,35.8203731","127.2039615,37.3006666","127.1663521,35.8425651","128.1729989,35.1630164","127.1623275,37.2405564","128.1729989,35.1630164","127.1587977,35.8371811","127.5001745,36.6564659","128.1729989,35.1630164","128.1729989,35.1630164","128.1729989,35.1630164","128.1729989,35.1630164","128.3521497,36.1178138","128.7207397,36.5610556","128.6488474,35.2433281","128.7361749,36.5496997","128.6488474,35.2433281","128.6488474,35.2433281","128.1729989,35.1630164","128.6488474,35.2433281","128.6488474,35.2433281","129.3595998,36.0184559"
"127.1535676,35.8199732","127.2038656,37.3006421","127.1672404,35.8417164","128.1731871,35.1633328","127.1621413,37.2403593","128.1731871,35.1633328","127.1596328,35.8373746","127.5004117,36.6565083","128.1731871,35.1633328","128.1731871,35.1633328","128.1731871,35.1633328","128.1731871,35.1633328","128.3522033,36.1178395","128.7207431,36.5612666","128.6486195,35.2434556","128.7361121,36.5495408","128.6486195,35.2434556","128.6486195,35.2434556","128.1731871,35.1633328","128.6486195,35.2434556","128.6486195,35.2434556","129.3590243,36.0187578"
"127.1537133,35.8198222","127.2037642,37.3006057","127.1673304,35.8416355","128.1733504,35.1636989","127.1619694,37.2402155","128.1733504,35.1636989","127.1596837,35.8373864","127.5005874,36.6565326","128.1733504,35.1636989","128.1733504,35.1636989","128.1733504,35.1636989","128.1733504,35.1636989","128.3523619,36.1179159","128.7207397,36.5610556","128.6483709,35.2435977","128.7359118,36.5490344","128.6483709,35.2435977","128.6483709,35.2435977","128.1733504,35.1636989","128.6483709,35.2435977","128.6483709,35.2435977","129.3589597,36.0187957"
"127.1537633,35.8197682","127.2035742,37.3004493","127.1673994,35.8415735","128.1735081,35.1641813","127.1617727,37.2400806","128.1735081,35.1641813","127.1597722,35.8374083","127.5006713,36.6565371","128.1735081,35.1641813","128.1735081,35.1641813","128.1735081,35.1641813","128.1735081,35.1641813","128.3530308,36.118224","128.7207383,36.5608961","128.6482117,35.2436876","128.7358618,36.5489079","128.6482117,35.2436876","128.6482117,35.2436876","128.1735081,35.1641813","128.6482117,35.2436876","128.6482117,35.2436876","129.3585585,36.0190048"
"127.1538367,35.8196909","127.2030744,37.2995575","127.1674685,35.8414583","128.1736116,35.1646072","127.1615387,37.2399583","128.1736116,35.1646072","127.1598076,35.8374175","127.5008873,36.6565488","128.1736116,35.1646072","128.1736116,35.1646072","128.1736116,35.1646072","128.1736116,35.1646072","128.3530745,36.1182498","128.7207401,36.560723","128.6467745,35.2444946","128.7360486,36.5488536","128.6467745,35.2444946","128.6467745,35.2444946","128.1736116,35.1646072","128.6467745,35.2444946","128.6467745,35.2444946","129.3583766,36.0190996"
