0,1,2
"127.1374367,37.4338482","127.3454797,36.3666634","127.3454797,36.3666634"
"127.1376027,37.4338866","127.3455358,36.3670313","127.3455358,36.3670313"
"127.1380186,37.433905","127.3455974,36.3674497","127.3455974,36.3674497"
"127.1381588,37.4338982","127.3456161,36.3675868","127.3456161,36.3675868"
"127.1382991,37.4338662","127.3456282,36.3676607","127.3456282,36.3676607"
"127.1382493,37.4341076","127.3456954,36.3680791","127.3456954,36.3680791"
"127.1382206,37.434204","127.3457448,36.3684642","127.3457448,36.3684642"
"127.1381494,37.4344408","127.3444525,36.3686185","127.3444525,36.3686185"
"127.1381093,37.4345435","127.3440522,36.3686657","127.3440522,36.3686657"
"127.1380979,37.4345759","127.3438036,36.3686915","127.3438036,36.3686915"
"127.1380864,37.4346083","127.3432405,36.3687503","127.3432405,36.3687503"
"127.1379893,37.43459","127.3429595,36.3687761","127.3429595,36.3687761"
"127.1379261,37.4345781","127.3427867,36.3687912","127.3427867,36.3687912"
"127.1379238,37.4345771","127.3427209,36.3687974","127.3427209,36.3687974"
"127.1375477,37.4345075","127.3425715,36.3688116","127.3425715,36.3688116"
"127.1374009,37.4344746","127.3423887,36.3688249","127.3423887,36.3688249"
"127.1367121,37.4343328","127.3422504,36.3688346","127.3422504,36.3688346"
"127.136676,37.4343254","127.3417543,36.3688709","127.3417543,36.3688709"
"127.1365224,37.4342961","127.3416372,36.3688942","127.3416372,36.3688942"
"127.1363869,37.434266","127.3415625,36.3689203","127.3415625,36.3689203"
"127.1360109,37.4341846","127.3414865,36.3689932","127.3414865,36.3689932"
"127.1357478,37.4341288","127.3414362,36.3690779","127.3414362,36.3690779"
"127.1355276,37.4340821","127.3411944,36.3695743","127.3411944,36.3695743"
"127.1352396,37.4340227","127.3411093,36.3697437","127.3411093,36.3697437"
"127.1352114,37.4340163","127.3410544,36.3698797","127.3410544,36.3698797"
"127.1351369,37.4339998","127.3408483,36.3698218","127.3408483,36.3698218"
"127.1350861,37.4339888","127.3405997,36.3698052","127.3405997,36.3698052"
"127.1349867,37.433966","127.3403343,36.3698418","127.3403343,36.3698418"
"127.1349122,37.4339495","127.3401246,36.3699019","127.3401246,36.3699019"
"127.1349624,37.4338478","127.3400681,36.3697315","127.3401712,36.370049"
"127.1350115,37.4337497","127.340056,36.3696945","127.3401878,36.3701022"
"127.1351371,37.4334833","127.3399795,36.3694798","127.3403871,36.3707335"
"127.1355868,37.4325996","127.3398509,36.3691073","127.3405944,36.3713504"
"127.1356016,37.4325726","127.3396869,36.3686329","127.3406464,36.3715137"
"127.1357741,37.4324325","127.3395617,36.368282","127.3407893,36.3719592"
"127.1358391,37.432311","127.3392403,36.3673422","127.3415637,36.374371"
"127.1359429,37.4321148","127.338847,36.3661895","127.3417431,36.3749266"
"127.1360604,37.4318835","127.3386886,36.365716","127.3418107,36.3751367"
"127.1360992,37.4318079","127.3386841,36.3657033","127.3423078,36.376862"
"127.136194,37.4316108","127.3386741,36.3656745","127.3423377,36.3769639"
"127.1364875,37.4310015","127.3384891,36.365136","127.3423477,36.3770018"
"127.1368193,37.4303878","127.3384181,36.3649493","127.3427371,36.3785079"
"127.1369504,37.4301565","127.3382423,36.3648183","127.3427824,36.3786738"
"127.1370828,37.4299019","127.3381255,36.3647172","127.3428245,36.3788325"
"127.1371353,37.4298002","127.3380397,36.3646639","127.3428997,36.3791175"
"127.1371569,37.4297579","127.3379707,36.3646485","127.3431243,36.3799626"
"127.1371923,37.4296931","127.3379005,36.3646376","127.3432199,36.3801051"
"127.1372072,37.4296562","127.3378358,36.3646366","127.3433645,36.3802793"
"127.1372494,37.4295707","127.3376953,36.3646544","127.3435107,36.3807582"
"127.1374822,37.4291063","127.3375314,36.3646758","127.3438946,36.3822751"
"127.1374959,37.429082","127.33687,36.364894","127.3439055,36.3823914"
"127.1376238,37.4288138","127.3352246,36.3654579","127.3439119,36.3825158"
"127.1378361,37.4283844","127.3347706,36.3656223","127.3438859,36.3827196"
"127.1378749,37.4283043","127.3346746,36.3656537","127.3438115,36.383108"
"127.1378966,37.4282593","127.3332958,36.3661485","127.3437272,36.3834577"
"127.1379411,37.4281657","127.3328708,36.3663012","127.3436755,36.3836497"
"127.1380577,37.4278921","127.3328049,36.3663254","127.3436519,36.3837371"
"127.138068,37.4278723","127.3325484,36.3664161","127.3431368,36.3837562"
"127.1380246,37.4277333","127.3324792,36.3664413","127.3430621,36.3837471"
"127.137999,37.4276494","127.3321367,36.3665562","127.3426976,36.3837133"
"127.1379788,37.4276079","127.3320375,36.3665912","127.342546,36.3837032"
"127.1379486,37.4275555","127.3317519,36.3666972","127.3423865,36.3836976"
"127.1379025,37.4275067","127.3314596,36.366805","127.3422449,36.3836965"
"127.1378631,37.4274696","127.331338,36.3668409","127.342052,36.3837052"
"127.1378,37.4274325","127.3312075,36.3668731","127.3418145,36.3837247"
"127.1376713,37.4273879","127.331067,36.3668937","127.3416851,36.3837462"
"127.1375505,37.4273704","127.3310246,36.3668999","127.3415792,36.3837641"
"127.137399,37.4273745","127.3308964,36.3669051","127.3413884,36.383817"
"127.1365656,37.427453","127.330669,36.3669192","127.3412322,36.3838628"
"127.135138,37.4274883","127.3301036,36.3669969","127.3410749,36.3839239"
"127.1348861,37.4274596","127.3294248,36.3669977","127.3409164,36.3839814"
"127.1342925,37.4275046","127.3278039,36.3670071","127.3407401,36.3840623"
"127.1341297,37.4275104","127.3276579,36.3670105","127.3405694,36.3841468"
"127.1340732,37.427512","127.3273213,36.3670136","127.3402689,36.3844205"
"127.1336165,37.4275224","127.3270994,36.367016","127.3400846,36.3845807"
"127.1307617,37.4274828","127.3269601,36.3670158","127.3399181,36.3847355"
"127.1306509,37.4274816","127.3268885,36.3666389","127.3397952,36.3848643"
"127.1295874,37.4274665","127.3268887,36.3665162","127.3396868,36.3850075"
"127.1295648,37.4274656","127.3268889,36.3664216","127.3396521,36.3850706"
"127.1289286,37.42745","127.3268983,36.3662179","127.3394618,36.3854075"
"127.1288992,37.4274499","127.3269187,36.365576","127.3388618,36.3865742"
"127.1277329,37.4274228","127.3269374,36.3646664","127.3385371,36.3871994"
"127.1266638,37.4273978","127.3269387,36.3645942","127.3378329,36.3885877"
"127.125701,37.4273632","127.3269471,36.3643238","127.337712,36.3888246"
"127.1249996,37.4274827","127.3271265,36.3643295","127.3376963,36.3888499"
"127.1247133,37.4275638","127.3280819,36.3643164","127.3376673,36.3888958"
"127.1243181,37.427714","127.3284765,36.364308","127.3374995,36.3891579"
"127.1240809,37.4279097","127.3285813,36.3643018","127.337324,36.3893659"
"127.1239263,37.4280769","127.3296302,36.3642754","127.3370491,36.3896243"
"127.1237871,37.4283415","127.3297339,36.3642737","127.3367119,36.3898582"
"127.1237133,37.4286297","127.3299336,36.3641892","127.3361248,36.3901414"
"127.1236845,37.4296535","127.3302013,36.3641355","127.3360243,36.3901746"
"127.123703,37.431606","127.3304122,36.3640078","127.335674,36.3902832"
"127.1235501,37.4321157","127.3304513,36.3639781","127.3354743,36.3903325"
"127.1235552,37.4324411","127.3305116,36.3639331","127.3349958,36.3904184"
"127.1235546,37.4325646","127.3306624,36.3637666","127.334892,36.3904399"
"127.1235522,37.4330378","127.3307375,36.3635999","127.3345741,36.3904999"
"127.1235456,37.4334614","127.3307746,36.3634331","127.333037,36.3907412"
"127.1234353,37.4340334","127.3307864,36.3631411","127.3316517,36.390924"
"127.1231352,37.4355035","127.33076,36.3629923","127.3315134,36.390941"
"127.1231235,37.4355837","127.3307269,36.3628146","127.3313952,36.3909588"
"127.1231082,37.4357008","127.3306351,36.3625071","127.3313271,36.3909714"
