0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"127.0429096,37.2889698","127.1473891,37.5563871","127.1029931,37.6134015","127.0491352,37.575165","126.9167969,37.5136723","127.1330196,37.5193679","127.0156058,37.2957992","126.9400495,37.5686833","126.9709968,37.5174833","127.0156058,37.2957992","127.0880648,37.5001289","127.1029931,37.6134015","126.7938664,37.5050623","126.9709968,37.5174833","127.8836313,37.6934197","127.0973829,37.4863774","127.0880648,37.5001289","127.1473891,37.5563871","127.2039577,37.2975992","127.0135828,37.6328405","127.0880648,37.5001289","128.5579373,35.8570248","127.0226946,37.7599362","127.0535472,37.5835355","127.0135828,37.6328405","128.5579373,35.8570248","127.0135828,37.6328405","127.1739383,37.6061783","127.1739383,37.6061783","127.8836313,37.6934197","127.0226946,37.7599362","126.9709968,37.5174833",
"127.043014,37.289054","127.1472872,37.5563931","127.102537,37.6135244","127.0493239,37.5750494","126.9168247,37.5137283","127.1330309,37.5193859","127.0156739,37.2957327","126.9401213,37.5689207","126.9710442,37.5174998","127.0156739,37.2957327","127.0878461,37.5002029","127.102537,37.6135244","126.7937367,37.5050182","126.9710442,37.5174998","127.8836483,37.6934206","127.0974526,37.4862451","127.0878461,37.5002029","127.1472872,37.5563931","127.2039892,37.2976245","127.0136242,37.6323999","127.0878461,37.5002029","128.5576245,35.857491","127.0226744,37.7599036","127.0535963,37.5834671","127.0136242,37.6323999","128.5576245,35.857491","127.0136242,37.6323999","127.1738676,37.6062881","127.1738676,37.6062881","127.8836483,37.6934206","127.0226744,37.7599036","126.9710442,37.5174998",
"127.0434518,37.2894081","127.146867,37.5564171","127.101805,37.6137383","127.0495648,37.5749034","126.9169283,37.5139433","127.1331431,37.5195648","127.0158749,37.2955262","126.9401987,37.5691797","126.9711391,37.5175182","127.0158749,37.2955262","127.0870799,37.5004553","127.101805,37.6137383","126.7934114,37.5048432","126.9711391,37.5175182","127.8839489,37.6934331","127.0974526,37.4862442","127.0870799,37.5004553","127.146867,37.5564171","127.2040162,37.2976408","127.0136339,37.6323089","127.0870799,37.5004553","128.5574621,35.8577728","127.0226667,37.7598621","127.0536865,37.5833332","127.0136339,37.6323089","128.5574621,35.8577728","127.0136339,37.6323089","127.1738105,37.6063861","127.1738105,37.6063861","127.8839489,37.6934331","127.0226667,37.7598621","126.9711391,37.5175182",
"127.0438201,37.289698","127.146423,37.556459","127.1015906,37.6137862","127.0498989,37.5747082","126.9170339,37.5141782","127.1331689,37.5196153","127.0160499,37.2953413","126.9404116,37.5693205","126.9712475,37.5175593","127.0160499,37.2953413","127.0867172,37.5005739","127.1015906,37.6137862","126.793155,37.5048002","126.9712475,37.5175593","127.8840295,37.6934355","127.0975437,37.4861174","127.0867172,37.5005739","127.146423,37.556459","127.2040522,37.2976589","127.0136699,37.6320017","127.0867172,37.5005739","128.5574372,35.8578163","127.0226794,37.7598216","127.0537757,37.5831992","127.0136699,37.6320017","128.5574372,35.8578163","127.0136699,37.6320017","127.1734724,37.6070152","127.1734724,37.6070152","127.8840295,37.6934355","127.0226794,37.7598216","126.9712475,37.5175593",
"127.0439594,37.2898058","127.1463301,37.5564678","127.1014262,37.6138046","127.050091,37.574599","126.9170873,37.5142957","127.133262,37.5197977","127.0163144,37.2950882","126.9404466,37.5693432","126.9713379,37.5175831","127.0163144,37.2950882","127.0863302,37.5008006","127.1014262,37.6138046","126.7931199,37.5047946","126.9713379,37.5175831","127.8842507,37.6934429","127.0975676,37.4860896","127.0863302,37.5008006","127.1463301,37.5564678","127.2041649,37.2977079","127.0137032,37.6317603","127.0863302,37.5008006","128.5573823,35.857934","127.0227206,37.7597849","127.053858,37.5830778","127.0137032,37.6317603","128.5573823,35.857934","127.0137032,37.6317603","127.1730079,37.6077936","127.1730079,37.6077936","127.8842507,37.6934429","127.0227206,37.7597849","126.9713379,37.5175831",
"127.0443894,37.290141","127.1462101,37.5564791","127.1014411,37.6139831","127.0505614,37.5743313","126.9171007,37.5143228","127.1333941,37.5200811","127.0163155,37.2950873","126.9405136,37.5694624","126.9714137,37.5175825","127.0163155,37.2950873","127.0862154,37.5008858","127.1014411,37.6139831","126.7929708,37.5047694","126.9714137,37.5175825","127.8845751,37.6934536","127.0977054,37.4859269","127.0862154,37.5008858","127.1462101,37.5564791","127.2041036,37.2977852","127.0137068,37.6317278","127.0862154,37.5008858","128.5573748,35.8579494","127.0227707,37.7597607","127.053898,37.5830176","127.0137068,37.6317278","128.5573748,35.8579494","127.0137068,37.6317278","127.1728892,37.6079934","127.1728892,37.6079934","127.8845751,37.6934536","127.0227707,37.7597607","126.9714137,37.5175825",
"127.0444545,37.2901953","127.1460515,37.5564949","127.1014477,37.6140309","127.0505683,37.5743277","126.9171431,37.5144068","127.1334902,37.5203392","127.0163371,37.2950666","126.9405541,37.5696474","126.9714817,37.5175639","127.0163371,37.2950666","127.0861471,37.5009649","127.1014477,37.6140309","126.7926681,37.504718","126.9714817,37.5175639","127.8847124,37.6934576","127.0977759,37.4858604","127.0861471,37.5009649","127.1460515,37.5564949","127.2040491,37.2978806","127.0137116,37.6316891","127.0861471,37.5009649","128.5572045,35.8578905","127.022832,37.7597592","127.0539791,37.5828962","127.0137116,37.6316891","128.5572045,35.8578905","127.0137116,37.6316891","127.1728161,37.6081221","127.1728161,37.6081221","127.8847124,37.6934576","127.022832,37.7597592","126.9714817,37.5175639",
"127.0445522,37.2902759","127.1455995,37.5565377","127.1014869,37.614333","127.0505887,37.574317","126.917212,37.5145658","127.1335738,37.5206018","127.0164438,37.2949661","126.9405596,37.5696736","126.9716246,37.5175249","127.0164438,37.2949661","127.0860867,37.501054","127.1014869,37.614333","126.791752,37.5045665","126.9716246,37.5175249","127.8850392,37.69348","127.097827,37.4858128","127.0860867,37.501054","127.1455995,37.5565377","127.2040001,37.2979932","127.0137201,37.631608","127.0860867,37.501054","128.5571878,35.8578852","127.0228671,37.7597683","127.0540682,37.5827641","127.0137201,37.631608","128.5571878,35.8578852","127.0137201,37.631608","127.1727508,37.6082787","127.1727508,37.6082787","127.8850392,37.69348","127.0228671,37.7597683","126.9716246,37.5175249",
"127.0445904,37.2903076","127.1455067,37.5565464","127.101527,37.6144521","127.0506364,37.574291","126.9172927,37.5146626","127.1335882,37.5206487","127.0164461,37.2949634","126.9405388,37.5701791","126.9721495,37.517383","127.0164461,37.2949634","127.0860547,37.5011061","127.101527,37.6144521","126.7915509,37.5045328","126.9721495,37.517383","127.8850608,37.6934817","127.0979361,37.4857267","127.0860547,37.5011061","127.1455067,37.5565464","127.20396,37.2981644","127.0137303,37.6314296","127.0860547,37.5011061","128.5570299,35.8578307","127.0228977,37.7597811","127.0542625,37.5824746","127.0137303,37.6314296","128.5570299,35.8578307","127.0137303,37.6314296","127.1727024,37.6084598","127.1727024,37.6084598","127.8850608,37.6934817","127.0228977,37.7597811","126.9721495,37.517383",
"127.0446488,37.2903547","127.1449539,37.5565979","127.1015807,37.6145766","127.0509683,37.5741003","126.9175115,37.5147547","127.1338467,37.5207964","127.017017,37.2944249","126.9405389,37.5704703","126.9725134,37.5172828","127.017017,37.2944249","127.0860043,37.5012258","127.1015807,37.6145766","126.7903693,37.5043346","126.9725134,37.5172828","127.8851651,37.6934886","127.0983621,37.4860102","127.0860043,37.5012258","127.1449539,37.5565979","127.2039471,37.298295","127.0137319,37.6313503","127.0860043,37.5012258","128.5565879,35.8576606","127.0229191,37.7598001","127.0544657,37.5822094","127.0137319,37.6313503","128.5565879,35.8576606","127.0137319,37.6313503","127.1726903,37.6086508","127.1726903,37.6086508","127.8851651,37.6934886","127.0229191,37.7598001","126.9725134,37.5172828",
"127.044669,37.290371","127.1448372,37.5566084","127.1016602,37.6147644","127.0513194,37.5739006","126.9175996,37.5147714","127.1339223,37.5208399","127.0170567,37.2943881","126.9407598,37.571223","126.9727478,37.5172586","127.0170567,37.2943881","127.0859926,37.5012826","127.1016602,37.6147644","126.790279,37.5043179","126.9727478,37.5172586","127.8852163,37.6935002","127.0987555,37.4862712","127.0859926,37.5012826","127.1448372,37.5566084","127.2039621,37.2984817","127.0137341,37.6311952","127.0859926,37.5012826","128.5564321,35.8576033","127.0229416,37.759838","127.0545558,37.5820926","127.0137341,37.6311952","128.5564321,35.8576033","127.0137341,37.6311952","127.172666,37.6090284","127.172666,37.6090284","127.8852163,37.6935002","127.0229416,37.759838","126.9727478,37.5172586",
"127.0447464,37.2904389","127.1448338,37.5566084","127.1017867,37.6150587","127.0514171,37.5738442","126.9176878,37.5147781","127.1340849,37.5209161","127.0171487,37.2942974","126.9408492,37.5715263","126.9730053,37.5171804","127.0171487,37.2942974","127.0859637,37.5013951","127.1017867,37.6150587","126.7899446,37.5042618","126.9730053,37.5171804","127.885639,37.6936448","127.0990981,37.4864995","127.0859637,37.5013951","127.1448338,37.5566084","127.2039931,37.2986431","127.0137194,37.6310095","127.0859637,37.5013951","128.556244,35.8575302","127.0229436,37.7598804","127.0546631,37.5819533","127.0137194,37.6310095","128.556244,35.8575302","127.0137194,37.6310095","127.1726501,37.6092754","127.1726501,37.6092754","127.885639,37.6936448","127.0229436,37.7598804","126.9730053,37.5171804",
"127.0449497,37.2905956","127.1446753,37.5566205","127.1020214,37.6152361","127.0515603,37.57376","126.9177614,37.5147794","127.1342262,37.5209454","127.0173497,37.2941","126.940818,37.5716172","126.9738297,37.5169317","127.0173497,37.2941","127.0859687,37.5015204","127.1020214,37.6152361","126.7897774,37.5042337","126.9738297,37.5169317","127.8860344,37.6937796","127.099361,37.4866365","127.0859687,37.5015204","127.1446753,37.5566205","127.2040534,37.2988055","127.0136654,37.630774","127.0859687,37.5015204","128.5554959,35.8572383","127.0229354,37.7599119","127.0547624,37.5818248","127.0136654,37.630774","128.5554959,35.8572383","127.0136654,37.630774","127.1726477,37.6093249","127.1726477,37.6093249","127.8860344,37.6937796","127.0229354,37.7599119","126.9738297,37.5169317",
"127.0450957,37.290708","127.1446794,37.556708","127.1021117,37.6153076","127.0519831,37.5735074","126.9180004,37.5147526","127.1343653,37.5209602","127.017705,37.2937535","126.9407094,37.5717519","126.9744894,37.5167733","127.017705,37.2937535","127.0859791,37.5016908","127.1021117,37.6153076","126.7896498,37.5042113","126.9744894,37.5167733","127.8863616,37.6938921","127.0996161,37.4867383","127.0859791,37.5016908","127.1446794,37.556708","127.2041576,37.2989734","127.0136221,37.6306332","127.0859791,37.5016908","128.5549527,35.857033","127.022916,37.759938","127.054791,37.5817852","127.0136221,37.6306332","128.5549527,35.857033","127.0136221,37.6306332","127.1726477,37.6095746","127.1726477,37.6095746","127.8863616,37.6938921","127.022916,37.759938","126.9744894,37.5167733",
