0,1
"128.8011363,35.9070913","128.5646434,35.855231"
"128.8006792,35.907053","128.5651939,35.8554019"
"128.8005183,35.9070394","128.5654608,35.8554843"
"128.8005492,35.9067605","128.5650176,35.8562924"
"128.8005676,35.906598","128.5649711,35.8563776"
"128.8006011,35.9064822","128.564864,35.8565705"
"128.8006242,35.9064027","128.5648262,35.8566403"
"128.8006617,35.9063265","128.5649453,35.8566843"
"128.8007029,35.906272","128.5650109,35.8567063"
"128.800799,35.9061799","128.5651923,35.8567687"
"128.8008987,35.906113","128.5653347,35.8568188"
"128.8010473,35.9060546","128.5656696,35.8569339"
"128.8013368,35.9057999","128.5656818,35.8569383"
"128.8013445,35.905661","128.5657375,35.8569577"
"128.8013619,35.905366","128.5656755,35.857043"
"128.8013497,35.9052327","128.5655743,35.8571827"
"128.8013243,35.9050996","128.565474,35.8573829"
"128.8012615,35.9049912","128.5654624,35.8574253"
"128.801174,35.9048578","128.5654539,35.8574543"
"128.8005678,35.904309","128.5654307,35.8575401"
"128.8004092,35.9041656","128.565399,35.8576495"
"128.8003176,35.904053","128.5653564,35.8577806"
"128.8002893,35.904019","128.5652614,35.8580492"
"128.8001911,35.9038425","128.5652123,35.8581831"
"128.800156,35.9037266","128.5650999,35.8585582"
"128.8001289,35.9036259","128.5650583,35.8586749"
"128.8001309,35.9034789","128.5649623,35.8589498"
"128.8001498,35.9032813","128.5648525,35.859269"
"128.8001665,35.9032171","128.5647866,35.8594743"
"128.8001782,35.9031863","128.5646618,35.8599208"
"128.8002037,35.9031184","128.5646249,35.8600581"
"128.8002452,35.9030143","128.5645993,35.8602161"
"128.8003814,35.9027387","128.5642992,35.8601358"
"128.8004286,35.9026427","128.563542,35.859909"
"128.8005005,35.9024994","128.5633997,35.8598661"
"128.8005829,35.9023886","128.5633418,35.8598495"
"128.8005991,35.9023659","128.563184,35.859804"
"128.800635,35.9023249","128.5628982,35.8597218"
"128.8009787,35.9019948","128.5621222,35.859497"
"128.8010647,35.9019028","128.5619865,35.8594576"
"128.8011453,35.9018163","128.5606375,35.8590331"
"128.8014138,35.9015691","128.5606041,35.8590226"
"128.8016758,35.9013264","128.5597867,35.8587666"
"128.8018526,35.9011631","128.5595742,35.8586936"
"128.8019604,35.9010448","128.5586875,35.8583913"
"128.8019756,35.9010266","128.558574,35.8583499"
"128.8020092,35.9009838","128.5585428,35.8583385"
"128.8020287,35.9009566","128.558426,35.8582989"
"128.8021032,35.9008377","128.557764,35.8580722"
"128.8021694,35.9006801","128.5574826,35.8579836"
"128.8022342,35.9005144","128.557466,35.8579783"
"128.8022874,35.9003786","128.5574459,35.8579722"
"128.802314,35.9003107","128.5573748,35.8579494"
"128.8023566,35.9002075","128.5572045,35.8578905"
"128.8025915,35.9002734","128.5571878,35.8578852"
"128.8026772,35.9002977","128.5570299,35.8578307"
"128.8038482,35.9006898","128.5565879,35.8576606"
"128.8040053,35.9007422","128.5564321,35.8576033"
"128.8041068,35.9007799","128.556244,35.8575302"
"128.8043954,35.9008768","128.5554959,35.8572383"
"128.8051167,35.9011448","128.5549527,35.857033"
"128.8055847,35.9013742","128.5546967,35.856937"
"128.8059484,35.9015893","128.5545119,35.8568665"
"128.8063891,35.9019072","128.5544273,35.8568348"
"128.8067306,35.9021893","128.55405,35.8566939"
"128.8074237,35.9028985","128.5538864,35.8566331"
"128.8078463,35.9033302","128.553016,35.8563044"
"128.8081533,35.9036667","128.552356,35.8560551"
"128.8084689,35.9040591","128.5520087,35.8559175"
"128.8086007,35.9042578","128.5519084,35.855876"
"128.8091354,35.905167","128.5518661,35.8558583"
"128.8092775,35.9053845","128.5517559,35.8558133"
"128.8094462,35.9056045","128.5504321,35.8552848"
"128.8095037,35.9056643","128.5503999,35.8552716"
"128.8096728,35.90584","128.5503242,35.8552416"
"128.8098583,35.9059976","128.5485867,35.8545833"
"128.810011,35.9061221","128.5483697,35.8545014"
"128.8104126,35.9064134","128.5482195,35.854445"
"128.8105288,35.9064717","128.5481872,35.8544335"
"128.810824,35.9066334","128.5481627,35.8544238"
"128.8114858,35.9069183","128.5480993,35.8543991"
"128.8121242,35.9071935","128.5477843,35.8542838"
"128.8121867,35.9072199","128.547633,35.8542256"
"128.8123974,35.9072978","128.5472367,35.8540749"
"128.8125715,35.9073671","128.546628,35.8538521"
"128.8142573,35.908124","128.5458246,35.853558"
"128.8147631,35.9083519","128.545809,35.8535518"
"128.8162902,35.9092295","128.5456821,35.8535024"
"128.8166135,35.9094099","128.5447549,35.8531399"
"128.8170408,35.9096486","128.5446658,35.8531046"
"128.8171639,35.9097212","128.5443742,35.8529909"
"128.8173384,35.9098221","128.5439244,35.8528081"
"128.8174279,35.9098743","128.5438086,35.8527614"
"128.8176181,35.909984","128.5428868,35.8523916"
"128.8176539,35.9100034","128.5421889,35.8521227"
"128.8177434,35.9100547","128.54151,35.8518608"
"128.8185209,35.9104951","128.5413397,35.8517974"
"128.8190393,35.9108095","128.5411249,35.8517163"
"128.8197619,35.9112163","128.5410392,35.8516837"
"128.8203434,35.9115308","128.540525,35.8514826"
"128.8208154,35.9117916","128.5396156,35.8511289"
"128.8210849,35.9119356","128.5394119,35.8510495"
"128.8217716,35.9123157","128.5381122,35.8505658"
"128.8221665,35.9125367","128.5377218,35.8504421"
"128.822896,35.9129542","128.5373468,35.8503029"
"128.8237741,35.9134412","128.5373301,35.8502958"
"128.8244029,35.9137985","128.5373057,35.850287"
"128.8246009,35.9139099","128.5372356,35.8502605"
"128.8253302,35.9143148","128.5368055,35.850147"
"128.8255763,35.9144482","128.5367234,35.8501369"
"128.8256154,35.9144703","128.5367035,35.8501344"
"128.8256859,35.9145083","128.5364506,35.8501059"
"128.8259244,35.914658","128.5359827,35.8500631"
"128.8264495,35.914975","128.5350991,35.8499833"
"128.827526,35.9155923","128.5346002,35.8499416"
"128.8275908,35.9156286","128.5343996,35.8499244"
"128.8294801,35.9166661","128.5334118,35.8498409"
"128.8299725,35.9169527","128.5324977,35.849718"
"128.8306362,35.9173393","128.5322249,35.8496816"
"128.8308802,35.9174818","128.5321117,35.8496664"
"128.8333854,35.9188937","128.5310708,35.8495004"
"128.8336707,35.9190546","128.5309421,35.8494808"
"128.8338205,35.9191323","128.5307291,35.8494501"
"128.8338619,35.919158","128.5307136,35.8494476"
"128.8339246,35.9191924","128.530677,35.8494425"
"128.8341393,35.9193091","128.5306115,35.8494331"
"128.8350241,35.9197915","128.5303319,35.8493895"
"128.8351114,35.919841","128.5302808,35.8493818"
"128.8354999,35.9200747","128.5300978,35.8493537"
"128.835585,35.9201242","128.5294742,35.8492589"
"128.8356331,35.9201498","128.52853,35.8491165"
"128.8359621,35.9203409","128.527922,35.8490279"
"128.8360148,35.9203727","128.5271453,35.848911"
"128.8360271,35.9203798","128.5262944,35.8487867"
"128.8360573,35.9203984","128.525914,35.8487484"
"128.8361211,35.9204365","128.525717,35.8487537"
"128.8363406,35.9205675","128.5256407,35.8487607"
"128.8365331,35.9206816","128.5254593,35.8487776"
"128.8371332,35.92104","128.5252962,35.8488421"
"128.8393025,35.9222383","128.5251902,35.8488673"
"128.8393998,35.9222913","128.5249617,35.8489216"
"128.8399491,35.9225908","128.5247454,35.8489793"
"128.8405617,35.9228995","128.5246627,35.8490071"
"128.8410242,35.9231161","128.5244215,35.8491119"
"128.8410432,35.9231249","128.5243194,35.8491732"
"128.841999,35.9235416","128.5242515,35.8492359"
"128.8432117,35.9240743","128.52422,35.8492849"
"128.8441965,35.9245015","128.5242113,35.8492985"
"128.8445873,35.9246702","128.5241638,35.8493936"
"128.8472606,35.9257103","128.5241592,35.8494666"
"128.8473187,35.9257331","128.5241688,35.8495252"
"128.8473789,35.9257577","128.5241998,35.8496087"
"128.8483998,35.9261492","128.524237,35.8496598"
"128.8492155,35.9264736","128.5242941,35.8497062"
"128.8500244,35.9267827","128.5243788,35.8497452"
