0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"126.8637797,37.5003434","128.6186073,34.8826092","127.5189865,34.9358161","126.9006147,37.449823","126.7972835,37.5034692","127.6868188,34.9398473","126.7972835,37.5034692","127.1302122,37.5195745","126.8091727,37.3272104","127.0483321,37.5570069","128.6636192,35.2355085","126.7969323,37.500261","127.074003,37.5097479","127.0480889,37.5766347","126.7972835,37.5034692","127.074003,37.5097479","127.0974689,37.487416","127.1369665,37.5964331","127.0483321,37.5570069","127.0774228,37.6311341","127.0774228,37.6311341","127.074003,37.5097479","127.0493116,37.6784331","127.074003,37.5097479","127.0522024,37.5853024","127.074003,37.5097479","127.0493116,37.6784331","128.582015,35.8476496"
"126.863975,37.4999993","128.6185197,34.8826028","127.5190017,34.9355177","126.9010616,37.4499244","126.797249,37.5042442","127.68701,34.9396712","126.797249,37.5042442","127.1304948,37.5182468","126.8090792,37.3259524","127.0487741,37.5571159","128.6639763,35.2359649","126.7969211,37.4999996","127.0737724,37.510698","127.0480563,37.5765976","126.797249,37.5042442","127.0737724,37.510698","127.0974274,37.4873483","127.1369537,37.596498","127.0487741,37.5571159","127.0774253,37.6310827","127.0774253,37.6310827","127.0737724,37.510698","127.0495098,37.679036","127.0737724,37.510698","127.0523787,37.5851778","127.0737724,37.510698","127.0495098,37.679036","128.5815402,35.8476728"
"126.8641566,37.4996604","128.61829,34.8826103","127.5190181,34.9352047","126.9011337,37.4499473","126.7972819,37.5048438","127.6870832,34.9395818","126.7972819,37.5048438","127.1305365,37.5180496","126.8090772,37.3259262","127.0489086,37.5571543","128.6640467,35.2360517","126.7969165,37.4998923","127.0737183,37.5108627","127.0479348,37.5764719","126.7972819,37.5048438","127.0737183,37.5108627","127.0973905,37.487276","127.1368755,37.5967519","127.0489086,37.5571543","127.0774539,37.6310423","127.0774539,37.6310423","127.0737183,37.5108627","127.0495644,37.6791993","127.0737183,37.5108627","127.0524483,37.5850888","127.0737183,37.5108627","127.0495644,37.6791993","128.5813289,35.8476828"
"126.864275,37.4994412","128.618231,34.8826145","127.5190224,34.9348558","126.9012951,37.4499896","126.7972953,37.5049845","127.6871419,34.9393752","126.7972953,37.5049845","127.1306117,37.5179497","126.8090187,37.3252949","127.0492658,37.5572548","128.6641128,35.2361358","126.7968994,37.4994253","127.074487,37.5110016","127.047765,37.5762648","126.7972953,37.5049845","127.074487,37.5110016","127.0973637,37.4872129","127.136864,37.5967907","127.0492658,37.5572548","127.0774983,37.6310064","127.0774983,37.6310064","127.074487,37.5110016","127.0495891,37.6792445","127.074487,37.5110016","127.0525122,37.5850106","127.074487,37.5110016","127.0495891,37.6792445","128.581009,35.8476983"
"126.8643232,37.4993576","128.6180911,34.8826257","127.5190235,34.9347809","126.9014248,37.4500245","126.797321,37.5052604","127.6871405,34.939276","126.797321,37.5052604","127.1306992,37.5178743","126.8090145,37.3252516","127.049433,37.5573041","128.6641891,35.236246","126.7968855,37.4992116","127.0750442,37.5111037","127.0477032,37.5761943","126.797321,37.5052604","127.0750442,37.5111037","127.0973426,37.4871335","127.1368513,37.5968384","127.049433,37.5573041","127.0774814,37.6309838","127.0775856,37.631004","127.0750442,37.5111037","127.0496126,37.6792869","127.0750442,37.5111037","127.0527109,37.5847401","127.0750442,37.5111037","127.0496126,37.6792869","128.5804978,35.8477227"
"126.8643381,37.4993333","128.6178357,34.8826749","127.5189994,34.9346493","126.9015207,37.4500475","126.7973263,37.5053001","127.6871369,34.9391092","126.7973263,37.5053001","127.1308342,37.5178152","126.8090062,37.3251714","127.0494466,37.5573078","128.6640032,35.2363875","126.7968707,37.4989808","127.0752876,37.5112776","127.0475671,37.576036","126.7973263,37.5053001","127.0752876,37.5112776","127.0973149,37.4870306","127.1368489,37.5968492","127.0494466,37.5573078","127.0774252,37.6309151","127.0776456,37.6310177","127.0752876,37.5112776","127.0496508,37.6793429","127.0752876,37.5112776","127.0527748,37.5846583","127.0752876,37.5112776","127.0496508,37.6793429","128.5801282,35.8477405"
"126.8645783,37.4988912","128.6177495,34.8826911","127.5189906,34.9346141","126.902138,37.4501949","126.7973368,37.5053786","127.687132,34.9389126","126.7973368,37.5053786","127.1311835,37.5176631","126.8089889,37.3249748","127.0497145,37.5573836","128.6639824,35.2363986","126.7968646,37.4989095","127.0776821,37.5116548","127.0477467,37.5759321","126.7973368,37.5053786","127.0776821,37.5116548","127.0972996,37.4869206","127.1367841,37.5971302","127.0497145,37.5573836","127.0772283,37.630662","127.0776885,37.6310395","127.0776821,37.5116548","127.0498111,37.6792796","127.0776821,37.5116548","127.053008,37.5843068","127.0776821,37.5116548","127.0498111,37.6792796","128.5802123,35.8479831"
"126.8647745,37.4985749","128.6172663,34.8828046","127.5189621,34.9344996","126.9022745,37.4502244","126.7973919,37.505661","127.6871297,34.9388305","126.7973919,37.505661","127.1314726,37.5175378","126.8089716,37.324761","127.0498083,37.5572109","128.6638919,35.2364418","126.7968379,37.4987453","127.0779986,37.5117037","127.048074,37.5757414","126.7973919,37.505661","127.0779986,37.5117037","127.0972933,37.486844","127.1367368,37.5973167","127.0498083,37.5572109","127.0770999,37.6305182","127.0777223,37.6310838","127.0779986,37.5117037","127.0498703,37.6792536","127.0779986,37.5117037","127.0530937,37.5841773","127.0779986,37.5117037","127.0498703,37.6792536","128.580249,35.8480757"
"126.8648617,37.4984249","128.6171308,34.8828185","127.5189336,34.9344563","126.9023473,37.4500373","126.7969434,37.5055908","127.6871327,34.9386989","126.7969434,37.5055908","127.1315384,37.5175092","126.8088915,37.3237781","127.0505715,37.557385","128.6616867,35.2375522","126.7967508,37.4985014","127.0782236,37.5117397","127.0481376,37.5757065","126.7969434,37.5055908","127.0782236,37.5117397","127.0972901,37.4867989","127.1367148,37.5974049","127.0505715,37.557385","127.076869,37.6302587","127.07773,37.6311235","127.0782236,37.5117397","127.0500908,37.6791671","127.0782236,37.5117397","127.053184,37.5840397","127.0782236,37.5117397","127.0500908,37.6791671","128.5805081,35.8487279"
"126.864989,37.4982255","128.6170302,34.8828293","127.5189095,34.9344211","126.902375,37.4499572","126.7969084,37.5055852","127.6871413,34.9386312","126.7969084,37.5055852","127.1317573,37.5174134","126.8088367,37.3231062","127.0506371,37.5573979","128.6615514,35.2376229","126.7967398,37.4984716","127.0783066,37.5120582","127.048266,37.5756349","126.7969084,37.5055852","127.0783066,37.5120582","127.0972965,37.4866637","127.1367056,37.5974373","127.0506371,37.5573979","127.0767945,37.6302179","127.0778592,37.6311275","127.0783066,37.5120582","127.0502885,37.6790966","127.0783066,37.5120582","127.0532719,37.5839175","127.0783066,37.5120582","127.0502885,37.6790966","128.5805998,35.8489579"
"126.8650703,37.4981015","128.6168882,34.8828442","127.5187868,34.9342742","126.9024051,37.4498735","126.7966113,37.5055356","127.6871586,34.9385401","126.7966113,37.5055356","127.1318629,37.5175616","126.8088338,37.323053","127.0506586,37.5574025","128.6591982,35.238759","126.7967122,37.4983993","127.0782985,37.5120978","127.0485978,37.5754514","126.7966113,37.5055356","127.0782985,37.5120978","127.0973162,37.4865646","127.1365981,37.597876","127.0506586,37.5574025","127.0765482,37.6300827","127.0780495,37.6311327","127.0782985,37.5120978","127.0503294,37.6790841","127.0782985,37.5120978","127.0534706,37.5836424","127.0782985,37.5120978","127.0503294,37.6790841","128.5806871,35.8491915"
"126.8653995,37.4983746","128.6167636,34.8828597","127.518674,34.9341912","126.9024167,37.4498411","126.7952038,37.5052893","127.6872022,34.9384724","126.7952038,37.5052893","127.1325244,37.5185948","126.8088133,37.3228213","127.0507367,37.5574046","128.659077,35.2388143","126.7966664,37.4983351","127.0782613,37.5122824","127.0490261,37.5752259","126.7952038,37.5052893","127.0782613,37.5122824","127.0973346,37.4865133","127.1365843,37.5979264","127.0507367,37.5574046","127.0764239,37.6300164","127.0788062,37.6311994","127.0782613,37.5122824","127.0511832,37.6789188","127.0782613,37.5122824","127.0534718,37.5836397","127.0782613,37.5122824","127.0511832,37.6789188","128.5807834,35.8494286"
"126.8658265,37.4987194","128.6165736,34.882884","127.518512,34.9340993","126.9025368,37.4495245","126.7938664,37.5050623","127.6874098,34.9382827","126.7938664,37.5050623","127.1330196,37.5193679","126.8088073,37.3227437","127.0508082,37.5573805","128.6590082,35.2388456","126.7965838,37.4982147","127.0782483,37.5123671","127.0491352,37.575165","126.7938664,37.5050623","127.0782483,37.5123671","127.0973829,37.4863774","127.1364758,37.5983398","127.0508082,37.5573805","127.0762764,37.6302458","127.0793928,37.6312916","127.0782483,37.5123671","127.0513661,37.6788772","127.0782483,37.5123671","127.0535472,37.5835355","127.0782483,37.5123671","127.0513661,37.6788772","128.5809243,35.8497745"
"126.8658276,37.4987203","128.6163246,34.8829215","127.5183455,34.9340398","126.9028234,37.4487363","126.7937367,37.5050182","127.6874918,34.938215","126.7937367,37.5050182","127.1330309,37.5193859","126.8088051,37.3227302","127.0508491,37.5573491","128.6587569,35.2389517","126.7963116,37.4978075","127.078195,37.5125959","127.0493239,37.5750494","126.7937367,37.5050182","127.078195,37.5125959","127.0974526,37.4862451","127.1363893,37.5986514","127.0508491,37.5573491","127.0761495,37.6304409","127.0795581,37.6313175","127.078195,37.5125959","127.051491,37.6788542","127.078195,37.5125959","127.0535963,37.5834671","127.078195,37.5125959","127.051491,37.6788542","128.5809781,35.8499056"
"126.8660794,37.4989181","128.6162569,34.8829347","127.5182426,34.9340145","126.9028569,37.4486527","126.7934114,37.5048432","127.6876339,34.9380894","126.7934114,37.5048432","127.1331431,37.5195648","126.8088023,37.3226734","127.0508891,37.5572916","128.6578096,35.2393385","126.7958887,37.4971785","127.0778778,37.5138693","127.0495648,37.5749034","126.7934114,37.5048432","127.0778778,37.5138693","127.0974526,37.4862442","127.1363582,37.5987613","127.0508891,37.5572916","127.0759992,37.6305575","127.0796498,37.6313331","127.0778778,37.5138693","127.051525,37.6788489","127.0778778,37.5138693","127.0536865,37.5833332","127.0778778,37.5138693","127.051525,37.6788489","128.58101,35.8499729"
"126.8661513,37.4989762","128.6162069,34.8829559","127.5177717,34.9338956","126.9029192,37.4484889","126.793155,37.5048002","127.6877203,34.9380235","126.793155,37.5048002","127.1331689,37.5196153","126.8087865,37.3224191","127.0509122,37.557225","128.6575605,35.2394401","126.7958742,37.4971577","127.0778198,37.5141241","127.0498989,37.5747082","126.793155,37.5048002","127.0778198,37.5141241","127.0975437,37.4861174","127.1362844,37.5990179","127.0509122,37.557225","127.0758493,37.6306075","127.0798321,37.6313608","127.0778198,37.5141241","127.0517271,37.6788182","127.0778198,37.5141241","127.0537757,37.5831992","127.0778198,37.5141241","127.0517271,37.6788182","128.5812053,35.8504075"
"126.866212,37.4990243","128.6161124,34.8830082","127.5175406,34.933837","126.9029296,37.4484629","126.7931199,37.5047946","127.6877705,34.9379801","126.7931199,37.5047946","127.133262,37.5197977","126.8087815,37.3223479","127.0509104,37.5571484","128.6556144,35.240235","126.7958442,37.4970998","127.077655,37.5148483","127.050091,37.574599","126.7931199,37.5047946","127.077655,37.5148483","127.0975676,37.4860896","127.1362683,37.5990783","127.0509104,37.5571484","127.0756495,37.6306662","127.0799102,37.6313728","127.077655,37.5148483","127.05176,37.6788129","127.077655,37.5148483","127.053858,37.5830778","127.077655,37.5148483","127.05176,37.6788129","128.5812665,35.8505089"
"126.8663952,37.4991569","128.6160052,34.8830939","127.5171245,34.9337415","126.9032794,37.4485466","126.7929708,37.5047694","127.6878657,34.9379195","126.7929708,37.5047694","127.1333941,37.5200811","126.8087597,37.322144","127.0508998,37.5570212","128.6554319,35.2403107","126.7957498,37.4969163","127.0775486,37.5152598","127.0505614,37.5743313","126.7929708,37.5047694","127.0775486,37.5152598","127.0977054,37.4859269","127.1362463,37.5991665","127.0508998,37.5570212","127.0754635,37.6306917","127.080105,37.6313996","127.0775486,37.5152598","127.0519121,37.6787891","127.0775486,37.5152598","127.053898,37.5830176","127.0775486,37.5152598","127.0519121,37.6787891","128.5815937,35.8510415"
"126.8664447,37.4991923","128.6159208,34.8831596","127.5168212,34.933682","126.9038121,37.4486593","126.7926681,37.504718","127.6879477,34.9378915","126.7926681,37.504718","127.1334902,37.5203392","126.80875,37.3219691","127.0508768,37.5568842","128.6553992,35.2403245","126.7957088,37.4968223","127.0774965,37.5154705","127.0505683,37.5743277","126.7926681,37.504718","127.0774965,37.5154705","127.0977759,37.4858604","127.1362383,37.5991971","127.0508768,37.5568842","127.0748624,37.6307743","127.0801934,37.6314036","127.0774965,37.5154705","127.0520994,37.678761","127.0774965,37.5154705","127.0539791,37.5828962","127.0774965,37.5154705","127.0520994,37.678761","128.5817625,35.8513158"
"126.8665865,37.4992868","128.6158665,34.8831962","127.5167084,34.933655","126.9039396,37.448696","126.791752,37.5045665","127.6881349,34.9378749","126.791752,37.5045665","127.1335738,37.5206018","126.8088104,37.3210437","127.0508142,37.5567613","128.6541907,35.2408211","126.7956766,37.4967545","127.0773215,37.5162","127.0505887,37.574317","126.791752,37.5045665","127.0773215,37.5162","127.097827,37.4858128","127.1362175,37.5992746","127.0508142,37.5567613","127.0743508,37.6308562","127.0803589,37.6313996","127.0773215,37.5162","127.0529144,37.6786307","127.0773215,37.5162","127.0540682,37.5827641","127.0773215,37.5162","127.0529144,37.6786307","128.5820334,35.8517768"
