0,1,2,3,4,5
"129.13722,35.1696018","128.7569862,35.8326784","128.6124293,35.8903564","129.13722,35.1696018","128.5646434,35.855231","129.13722,35.1696018"
"129.1375598,35.1691888","128.7569252,35.8325321","128.6119341,35.8898075","129.1375598,35.1691888","128.5651939,35.8554019","129.1375598,35.1691888"
"129.1377523,35.1688805","128.7567814,35.8321865","128.6119866,35.8897583","129.1377523,35.1688805","128.5654608,35.8554843","129.1377523,35.1688805"
"129.1377753,35.1688207","128.7566076,35.8317682","128.6121999,35.8894831","129.1377753,35.1688207","128.5650176,35.8562924","129.1377753,35.1688207"
"129.1377736,35.1687369","128.7565041,35.8315204","128.6122235,35.8892665","129.1377736,35.1687369","128.5649711,35.8563776","129.1377736,35.1687369"
"129.1377591,35.1686722","128.7557899,35.8317226","128.6122565,35.889168","129.1377591,35.1686722","128.564864,35.8565705","129.1377591,35.1686722"
"129.1379036,35.1685386","128.7554868,35.8318078","128.6122958,35.8890495","129.1379036,35.1685386","128.5648262,35.8566403","129.1379036,35.1685386"
"129.1380748,35.1684245","128.755264,35.8314387","128.6123794,35.8889234","129.1380748,35.1684245","128.5649453,35.8566843","129.1380748,35.1684245"
"129.1379587,35.1683296","128.7550389,35.831561","128.6125561,35.8887261","129.1379587,35.1683296","128.5650109,35.8567063","129.1379587,35.1683296"
"129.1378051,35.1682289","128.7549436,35.8316251","128.612615,35.8885831","129.1378051,35.1682289","128.5651923,35.8567687","129.1378051,35.1682289"
"129.1374633,35.168046","128.7546993,35.8317908","128.6127061,35.8883605","129.1374633,35.168046","128.5653347,35.8568188","129.1374633,35.168046"
"129.1367996,35.1676916","128.7544345,35.8315637","128.6127864,35.887927","129.1367996,35.1676916","128.5656696,35.8569339","129.1367996,35.1676916"
"129.1360773,35.1673146","128.7543344,35.8315359","128.6132233,35.8876345","129.1360773,35.1673146","128.5656818,35.8569383","129.1360773,35.1673146"
"129.1367996,35.1676916","128.7541893,35.8315284","128.6134208,35.8875019","129.1367996,35.1676916","128.5657375,35.8569577","129.1367996,35.1676916"
"129.1374633,35.168046","128.7540729,35.8315224","128.6134549,35.8874791","129.1374633,35.168046","128.5656755,35.857043","129.1374633,35.168046"
"129.1378051,35.1682289","128.7536908,35.8315137","128.6136701,35.8873445","129.1378051,35.1682289","128.5655743,35.8571827","129.1378051,35.1682289"
"129.1379587,35.1683296","128.7532731,35.8314892","128.6139645,35.8871615","129.1379587,35.1683296","128.565474,35.8573829","129.1379587,35.1683296"
"129.1380748,35.1684245","128.7531767,35.8314848","128.6140267,35.8870942","129.1380748,35.1684245","128.5654624,35.8574253","129.1380748,35.1684245"
"129.1381294,35.1684679","128.7529673,35.831478","128.6140767,35.8870279","129.1381294,35.1684679","128.5654539,35.8574543","129.1381294,35.1684679"
"129.1386777,35.1689257","128.7525076,35.8314621","128.6140843,35.8870125","129.1386777,35.1689257","128.5654307,35.8575401","129.1386777,35.1689257"
"129.1387916,35.1690188","128.7520011,35.8314259","128.614164,35.8868531","129.1387916,35.1690188","128.565399,35.8576495","129.1387916,35.1690188"
"129.1389194,35.1690424","128.7499991,35.8312574","128.614214,35.886703","129.1389194,35.1690424","128.5653564,35.8577806","129.1389194,35.1690424"
"129.1389945,35.1690612","128.7493846,35.8311844","128.6142193,35.8866849","129.1389945,35.1690612","128.5652614,35.8580492","129.1389945,35.1690612"
"129.1390817,35.1690843","128.7493583,35.831274","128.6142766,35.8865032","129.1390817,35.1690843","128.5652123,35.8581831","129.1390817,35.1690843"
"129.139085,35.1690852","128.7493425,35.8313246","128.6142844,35.8862696","129.139085,35.1690852","128.5650999,35.8585582","129.139085,35.1690852"
"129.1391502,35.1691069","128.749259,35.8315788","128.6142821,35.8861109","129.1391502,35.1691069","128.5650583,35.8586749","129.1391502,35.1691069"
"129.139277,35.1691863","128.7491281,35.8320571","128.614235,35.8857481","129.139277,35.1691863","128.5649623,35.8589498","129.139277,35.1691863"
"129.1393438,35.1692359","128.7490779,35.8322415","128.6142288,35.885703","129.1393438,35.1692359","128.5648525,35.859269","129.1393438,35.1692359"
"129.1394299,35.1693131","128.749014,35.8324748","128.6143251,35.8856994","129.1394299,35.1693131","128.5647866,35.8594743","129.1394299,35.1693131"
"129.1395307,35.1694082","128.7489431,35.8326865","128.6143901,35.88567","129.1395307,35.1694082","128.5646618,35.8599208","129.1395307,35.1694082"
