0,1,2
"127.120365,37.4108159","127.3651416,36.3205265","126.4069643,34.8244445"
"127.1203093,37.410887","127.3651715,36.3205761","126.407087,34.8245123"
"127.120189,37.4111985","127.3652127,36.3206195","126.4072638,34.8246176"
"127.1200107,37.4111528","127.3652717,36.3206637","126.4074267,34.8247047"
"127.1195333,37.4110341","127.3653629,36.3207161","126.4074943,34.8246341"
"127.1194531,37.4110302","127.3654797,36.3208136","126.4078743,34.8241749"
"127.1193784,37.4110679","127.3655208,36.3208894","126.4080117,34.8240409"
"127.1193261,37.4111191","127.3655419,36.3209489","126.4081615,34.8239575"
"127.1193089,37.411174","127.3655684,36.3211076","126.4086,34.8238749"
"127.1193064,37.4112218","127.3655683,36.3211292","126.4086368,34.8240664"
"127.1193209,37.4112606","127.3655693,36.3211878","126.4086372,34.8242079"
"127.1193636,37.4113022","127.3655533,36.3214159","126.4085874,34.8243328"
"127.1194199,37.411342","127.3655498,36.3215331","126.4082997,34.8247577"
"127.1194773,37.4113837","127.3655517,36.3217116","126.4082489,34.8248744"
"127.1193526,37.411696","127.3655547,36.3219054","126.4082689,34.8250153"
"127.1193103,37.411786","127.3655568,36.3219731","126.4083113,34.825123"
"127.1193753,37.4118863","127.3655599,36.3221101","126.4083397,34.8252008"
"127.1198183,37.4125656","127.3655665,36.3221813","126.4084393,34.8251124"
"127.119852,37.4126062","127.3655865,36.32224","126.4085209,34.8250653"
"127.1198722,37.4126225","127.3656142,36.3222968","126.4086121,34.8250319"
"127.1198947,37.4126424","127.3656698,36.3223699","126.408724,34.8249995"
"127.1199398,37.4126687","127.365759,36.3223492","126.4090242,34.824958"
"127.120648,37.4129585","127.365847,36.322352","126.4091947,34.8249614"
"127.1207044,37.4129803","127.3660352,36.3223892","126.4094119,34.8249913"
"127.1207438,37.4130021","127.3660931,36.3224001","126.409425,34.8249968"
"127.1207956,37.4130356","127.3661143,36.3224037","126.4100624,34.8252496"
"127.1208373,37.4130628","127.366347,36.3224788","126.4107181,34.8255287"
"127.1209262,37.4131307","127.3664438,36.3225339","126.411537,34.8258741"
"127.1209657,37.4131542","127.3665339,36.3226161","126.4117966,34.8260027"
"127.1210401,37.4131905","127.3666498,36.3226162","126.4119248,34.8260661"
"127.122259,37.4137181","127.3667312,36.3225667","126.4122634,34.8262612"
"127.122303,37.4137354","127.367471,36.3225396","126.4127203,34.826524"
"127.1223289,37.4137436","127.3675489,36.3225748","126.4128026,34.8265861"
"127.1225761,37.4138129","127.367599,36.3225749","126.412874,34.8266498"
"127.1225649,37.4140175","127.3677584,36.3225696","126.412918,34.8267116"
"127.1225635,37.4140562","127.367862,36.3225661","126.4129606,34.8267949"
"127.1225699,37.4143654","127.3679188,36.3225644","126.4130603,34.8271132"
"127.1225716,37.4144664","127.3680403,36.3225609","126.4130758,34.8271837"
"127.1225762,37.41468","127.3683177,36.3225495","126.4131132,34.8273346"
"127.1225808,37.4149009","127.3687165,36.3225409","126.4131495,34.8274828"
"127.1225845,37.4150676","127.3688202,36.3225383","126.4131854,34.8276653"
"127.1225892,37.4152515","127.369668,36.3225221","126.4131997,34.8277411"
"127.1225947,37.4155075","127.3700312,36.3225198","126.4132741,34.8279077"
"127.1226114,37.4157825","127.3701047,36.3225199","126.4133741,34.8280339"
"127.1226516,37.4158755","127.3701081,36.3225199","126.4135097,34.8281136"
"127.1226616,37.4158998","127.3701671,36.32252","126.4136624,34.8281492"
"127.122712,37.4160082","127.3702295,36.3225192","126.4137432,34.8281536"
"127.1228747,37.4162331","127.370222,36.3223695","126.4138329,34.8281498"
"127.1230749,37.4164158","127.3702122,36.3221829","126.4138603,34.8281483"
"127.1231492,37.4164828","127.3702036,36.3220206","126.4143991,34.8280052"
"127.1232866,37.4165742","127.3701993,36.3219493","126.4144735,34.8279987"
"127.1233554,37.416606","127.370212,36.3216744","126.4145315,34.8279992"
"127.1234873,37.4166659","127.3702222,36.3215698","126.4146485,34.8280002"
"127.1235121,37.4166741","127.370267,36.3214004","126.4151755,34.8280013"
"127.1236114,37.4167078","127.3703567,36.3210408","126.4153057,34.8280025"
"127.1238124,37.4167409","127.3703993,36.320892","126.4156283,34.8279954"
"127.1238655,37.4167428","127.3704218,36.320801","126.4157466,34.8279848"
"127.1244044,37.4167617","127.3705271,36.3204126","126.4160306,34.827926"
"127.1245694,37.4167667","127.3706234,36.3201242","126.4161862,34.8278985"
"127.1247502,37.4167718","127.3709666,36.3194331","126.4164427,34.8278521"
"127.1249999,37.4167744","127.3710325,36.3193015","126.4165587,34.8278459"
"127.1252621,37.4167788","127.3710794,36.3192222","126.4166899,34.827848"
"127.1254519,37.416783","127.3711822,36.3190411","126.4168012,34.8278679"
"127.1256542,37.4167864","127.3712638,36.3188952","126.4169929,34.8279246"
"127.1262915,37.4167974","127.3713119,36.3187492","126.4170679,34.8279578"
"127.1263864,37.4167995","127.3713244,36.3186329","126.4173319,34.82809"
"127.1265954,37.4168092","127.3713129,36.3181749","126.4177447,34.8282974"
"127.1266158,37.4168102","127.3713118,36.3181415","126.4178259,34.8283613"
"127.126618,37.4168102","127.3713108,36.3180622","126.4184493,34.8290242"
"127.1266248,37.4168102","127.3713108,36.3180604","126.4185059,34.8291311"
"127.1266406,37.4168111","127.3713098,36.3180288","126.4185149,34.8292772"
"127.1266429,37.4168111","127.3713056,36.3178215","126.4183001,34.8297289"
"127.1271582,37.4168182","127.3712995,36.3175158","126.4182619,34.8298079"
"127.1274768,37.4168246","127.3712997,36.3173995","126.4182618,34.8298999"
"127.1275695,37.4168267","127.371275,36.3168414","126.418271,34.8299468"
"127.1281006,37.4168383","127.3712717,36.3167765","126.418274,34.8299658"
"127.128522,37.4168522","127.3712501,36.3163483","126.4183457,34.8300043"
"127.1285977,37.4168543","127.3712081,36.3161697","126.418397,34.8300156"
"127.1286734,37.4168554","127.3711238,36.3159298","126.4184822,34.8300217"
"127.1288395,37.4168604","127.3710405,36.3157846","126.4186015,34.8300156"
"127.1288404,37.4169262","127.3709649,36.3156907","126.4186292,34.8299879"
"127.1288418,37.417084","127.3708849,36.3155852","126.4187024,34.8299092"
"127.1288426,37.4173769","127.3706225,36.3152901","126.4197007,34.8288243"
"127.1288539,37.4178358","127.3703367,36.3149914","126.4198017,34.8287134"
"127.128855,37.4178556","127.3695616,36.3141746","126.4198549,34.8286543"
"127.1288569,37.4179286","127.3692213,36.3138362","126.419916,34.8285854"
"127.1288742,37.4187687","127.3691624,36.3137658","126.4201223,34.82836"
"127.128873,37.4187922","127.3690624,36.3135745","126.4204564,34.8279852"
"127.1288748,37.4188859","127.3689327,36.3132201","126.4206842,34.8277068"
"127.1288772,37.4190761","127.3689316,36.3132192","126.4210052,34.8274048"
"127.128879,37.4191717","127.3689116,36.3131579","126.4210772,34.8273378"
"127.128896,37.4196278","127.3687367,36.312541","126.4211428,34.8272528"
"127.1289131,37.4200389","127.3685872,36.312008","126.421224,34.8271498"
"127.1289454,37.4208223","127.3683871,36.3111081","126.4215814,34.8266615"
"127.1289596,37.4211577","127.3683618,36.3108745","126.4218143,34.8263254"
"127.1289639,37.4214281","127.3683619,36.3108232","126.4218499,34.8262744"
"127.1289646,37.4215173","127.3683621,36.3106996","126.4218811,34.8262314"
"127.1289644,37.421557","127.3683289,36.3105869","126.4219412,34.8261507"
"127.1289643,37.4215804","127.3683167,36.3105229","126.4225447,34.8253184"
"127.128964,37.4216426","127.3683046,36.3104381","126.4225737,34.8252781"
"127.1289649,37.4216949","127.3682903,36.3103426","126.4226665,34.8252879"
"127.1289625,37.4219392","127.3682916,36.3102659","126.422731,34.8252885"
"127.1289613,37.422187","127.368331,36.3100198","126.4228012,34.8252738"
"127.1289599,37.4222393","127.3683993,36.3097828","126.4229813,34.8252168"
"127.1289432,37.4231172","127.3684129,36.3096728","126.4230636,34.8251877"
"127.1288837,37.4239409","127.3684242,36.3095746","126.423378,34.8250625"
"127.1288296,37.4243797","127.3684121,36.3094583","126.4235543,34.8249567"
"127.1288466,37.4245951","127.3683833,36.3093446","126.4236736,34.8248658"
"127.1290263,37.4250428","127.3683367,36.3092499","126.4243175,34.8243774"
"127.1291746,37.4256967","127.3682489,36.3091416","126.4244234,34.8243044"
"127.1291965,37.4258311","127.3681443,36.3090622","126.4248616,34.8239908"
"127.1292317,37.4260322","127.3680252,36.3089944","126.4259597,34.8232088"
"127.1292997,37.4264426","127.3677692,36.3089013","126.4260237,34.8231634"
"127.1293491,37.4267375","127.3666348,36.308516","126.4261993,34.8230333"
"127.1293799,37.4269169","127.3662485,36.3083659","126.4263942,34.8228411"
"127.1294413,37.4273011","127.3661662,36.3083343","126.4264519,34.8227812"
"127.1294885,37.4275753","127.3657801,36.3080444","126.4265084,34.8227186"
"127.1295311,37.4278837","127.365661,36.308001","126.4265374,34.8226756"
"127.1295758,37.4279857","127.3655864,36.3079748","126.4265675,34.8226344"
"127.1296421,37.4280562","127.3653571,36.3078997","126.4266948,34.822429"
"127.129731,37.4281376","127.364609,36.3076536","126.4268608,34.8221077"
"127.1298416,37.4281848","127.3645745,36.3076428","126.4269098,34.8219584"
"127.1299421,37.428205","127.3644665,36.3076075","126.4269191,34.8219161"
"127.1300517,37.4282071","127.3644131,36.3075903","126.4269504,34.8217775"
"127.1301637,37.4281867","127.3640401,36.3074655","126.427037,34.8213373"
"127.1302735,37.4281537","127.3636315,36.3073658","126.4272364,34.8187746"
"127.1303404,37.4281116","127.3633743,36.307316","126.4273125,34.8178826"
"127.1303948,37.4280712","127.3627506,36.3072521","126.4274247,34.8173245"
"127.1304244,37.4280334","127.3625012,36.3072266","126.4274738,34.8171599"
"127.1304666,37.427956","127.3619867,36.3071746","126.4274875,34.8171159"
"127.1304873,37.4278912","127.3616125,36.3071327","126.4275923,34.816876"
"127.1304853,37.4278209","127.3609889,36.3070319","126.4277636,34.8165674"
"127.1304619,37.4277658","127.3599935,36.306809","126.4279021,34.8163396"
"127.1304036,37.4276737","127.3598866,36.3067863","126.4281741,34.8159416"
"127.1303394,37.4276194","127.3579872,36.3063162","126.4282742,34.8158117"
"127.1302605,37.4275795","127.3576332,36.3062229","126.4285544,34.8154454"
"127.1301499,37.4275494","127.3575541,36.3062021","126.428718,34.8152286"
"127.1295874,37.4274665","127.3568137,36.30601","126.428841,34.8150124"
"127.1295648,37.4274656","127.3560177,36.3058008","126.4288869,34.8149325"
"127.1289286,37.42745","127.3548877,36.3055299","126.4291741,34.8143661"
"127.1288992,37.4274499","127.354027,36.3053197","126.4298337,34.8129877"
"127.1277329,37.4274228","127.353496,36.3051883","126.4298619,34.8129249"
"127.1266638,37.4273978","127.3533535,36.3051602","126.4299384,34.8127605"
"127.125701,37.4273632","127.3533089,36.3051511","126.4300148,34.8125998"
"127.1249996,37.4274827","127.3532054,36.3051303","126.4304384,34.8117162"
"127.1247133,37.4275638","127.3530729,36.3051031","126.4306124,34.8114499"
"127.1243181,37.427714","127.35275,36.3050368","126.4308994,34.8110665"
"127.1240809,37.4279097","127.3526431,36.3050115","126.4312115,34.8107744"
"127.1239263,37.4280769","127.3524338,36.3049589","126.4315496,34.8104997"
"127.1237871,37.4283415","127.3519384,36.3048357","126.4319431,34.8102515"
"127.1237133,37.4286297","127.3512982,36.3046744","126.4322418,34.8100603"
"127.1236845,37.4296535","127.3510578,36.3046182","126.4324238,34.8099374"
"127.123703,37.431606","127.3508318,36.3045603","126.4326541,34.809797"
"127.1235501,37.4321157","127.3499501,36.304322","126.4327478,34.8097401"
"127.1235552,37.4324411","127.3498821,36.3043066","126.432783,34.8097188"
"127.1235546,37.4325646","127.3493923,36.3041915","126.4328403,34.8096841"
"127.1235522,37.4330378","127.3491752,36.3041525","126.4329163,34.8096388"
"127.1235456,37.4334614","127.3491696,36.3041516","126.4330155,34.8095792"
"127.1234353,37.4340334","127.3486184,36.3040499","126.4330728,34.8095437"
"127.1231352,37.4355035","127.3482866,36.3039909","126.4331687,34.8094868"
"127.1231235,37.4355837","127.3477366,36.3038991","126.4333241,34.8093908"
"127.1231082,37.4357008","127.3472489,36.3038165","126.4337117,34.8091724"
"127.1228217,37.4378407","127.3466766,36.3037075","126.4344621,34.8087145"
"127.1227059,37.4388426","127.3464116,36.3036576","126.4346869,34.8085777"
"127.1226846,37.4390309","127.3454518,36.3034941","126.4350297,34.8083597"
"127.1226826,37.4394284","127.3451289,36.3034405","126.4353771,34.8081229"
"127.1226868,37.4394879","127.3449508,36.303406","126.435699,34.8077497"
"127.1226962,37.4396331","127.3444464,36.303299","126.435816,34.8075749"
"127.1227069,37.4397719","127.3430447,36.302987","126.4359164,34.8074207"
"127.1227132,37.4398504","127.3428577,36.3029426","126.4359744,34.8073328"
"127.1228203,37.4403663","127.3427208,36.3029118","126.4360245,34.8072575"
