0,1,2,3,4,5
"127.1467643,37.5573181","127.2640589,37.0117461","128.3211967,36.120099","128.5646434,35.855231","128.5879815,35.8822599","126.7331755,37.4341334"
"127.1466963,37.5573332","127.2643735,37.0117765","128.3211792,36.1201289","128.5651939,35.8554019","128.5880467,35.8822467","126.7331185,37.4341763"
"127.1467398,37.5577156","127.2643997,37.0116647","128.3210941,36.1202827","128.5654608,35.8554843","128.5891631,35.8819859","126.7331151,37.4341781"
"127.1467247,37.5577813","127.2644454,37.0114386","128.3210069,36.1204393","128.5650176,35.8562924","128.5894172,35.881934","126.7330245,37.4341973"
"127.1462286,37.5578375","127.2644716,37.0113133","128.3209033,36.1206266","128.5649711,35.8563776","128.5896702,35.8818831","126.7329512,37.434186"
"127.1460847,37.5578533","127.2645128,37.0110754","128.32119,36.1207337","128.564864,35.8565705","128.5896169,35.8817086","126.7329099,37.4341317"
"127.1459669,37.5578665","127.2645324,37.0109231","128.3217276,36.1209311","128.5648262,35.8566403","128.5894143,35.8810722","126.7329037,37.4340703"
"127.1457947,37.5578858","127.2645314,37.0108672","128.3220299,36.1210426","128.5649453,35.8566843","128.5893853,35.8809814","126.7329178,37.4340253"
"127.145354,37.5579358","127.2645305,37.0108131","128.3226601,36.1212709","128.5650109,35.8567063","128.5892567,35.8805651","126.7329521,37.4339859"
"127.1451523,37.5579713","127.2644994,37.0106923","128.3231453,36.1214452","128.5651923,35.8567687","128.5892232,35.8804654","126.7330269,37.4339666"
"127.1449484,37.5580076","127.2644683,37.0105714","128.3231754,36.1214558","128.5653347,35.8568188","128.5891443,35.8802082","126.7331287,37.4339546"
"127.1447738,37.5580486","127.264396,37.0103342","128.3234119,36.1215416","128.5656696,35.8569339","128.5890529,35.8799251","126.7331933,37.4339442"
"127.1445477,37.5579821","127.264271,37.0100176","128.3234028,36.12163","128.5656818,35.8569383","128.5890285,35.8798414","126.7333329,37.433882"
"127.1444311,37.5582125","127.2641929,37.0098344","128.3233372,36.1222579","128.5657375,35.8569577","128.5889995,35.8797416","126.7333828,37.4338697"
