0,1,2,3,4,5
"128.5800484,35.2208757","128.5646434,35.855231","128.5646434,35.855231","128.4842003,35.8559052","128.8489226,35.9006715","128.5800484,35.2208757"
"128.5800623,35.2209333","128.5651939,35.8554019","128.5651939,35.8554019","128.4841995,35.8553976","128.8488873,35.9006827","128.5800623,35.2209333"
"128.5800658,35.2209422","128.5654608,35.8554843","128.5654608,35.8554843","128.4842222,35.8552576","128.8483618,35.9007995","128.5800658,35.2209422"
"128.5802119,35.2213575","128.5650176,35.8562924","128.5650176,35.8562924","128.4842579,35.8551906","128.8480943,35.9008368","128.5802119,35.2213575"
"128.580334,35.2216954","128.5649711,35.8563776","128.5649711,35.8563776","128.4843244,35.8551081","128.8479992,35.9008496","128.580334,35.2216954"
"128.5804617,35.2220496","128.564864,35.8565705","128.564864,35.8565705","128.4845744,35.8549077","128.8473946,35.9008708","128.5804617,35.2220496"
"128.5805173,35.2221852","128.5648262,35.8566403","128.5648262,35.8566403","128.4847817,35.854741","128.8472872,35.9008747","128.5805173,35.2221852"
"128.5805367,35.2222328","128.5649453,35.8566843","128.5649453,35.8566843","128.4848563,35.8546809","128.8464818,35.9008855","128.5805367,35.2222328"
"128.5806666,35.2226654","128.5650109,35.8567063","128.5650109,35.8567063","128.4849591,35.8545835","128.8460132,35.9008908","128.5806666,35.2226654"
"128.5808316,35.2226846","128.5651923,35.8567687","128.5651923,35.8567687","128.4849624,35.8544889","128.8455965,35.9008882","128.5808316,35.2226846"
"128.5808702,35.2226942","128.5653347,35.8568188","128.5653347,35.8568188","128.4849663,35.854359","128.8452774,35.9008864","128.5808702,35.2226942"
"128.5809036,35.2227255","128.5656696,35.8569339","128.5656696,35.8569339","128.4849761,35.8540731","128.8451278,35.9008854","128.5809036,35.2227255"
"128.5809219,35.2227767","128.5656818,35.8569383","128.5656818,35.8569383","128.4849642,35.8540101","128.8448119,35.9008826","128.5809219,35.2227767"
"128.5809264,35.2227902","128.5657375,35.8569577","128.5657375,35.8569577","128.4849581,35.8539651","128.8447997,35.9006826","128.5809264,35.2227902"
"128.5810318,35.2231129","128.5656755,35.857043","128.5656755,35.857043","128.4848447,35.8537496","128.8447644,35.9006271","128.5810318,35.2231129"
"128.581191,35.2235993","128.5655743,35.8571827","128.5655743,35.8571827","128.4847843,35.8536969","128.8447371,35.9005832","128.581191,35.2235993"
"128.5811956,35.2236164","128.565474,35.8573829","128.565474,35.8573829","128.4844358,35.8535465","128.8446996,35.9005296","128.5811956,35.2236164"
"128.5812667,35.2238412","128.5654624,35.8574253","128.5654624,35.8574253","128.4843924,35.853527","128.8443454,35.9000278","128.5812667,35.2238412"
"128.581495,35.223904","128.5654539,35.8574543","128.5654539,35.8574543","128.4839236,35.853319","128.8440066,35.8995177","128.581495,35.223904"
"128.5828021,35.2237066","128.5654307,35.8575401","128.5654307,35.8575401","128.4837911,35.8532687","128.8438322,35.8992997","128.5828021,35.2237066"
"128.583054,35.2236404","128.565399,35.8576495","128.565399,35.8576495","128.4837928,35.853046","128.8437575,35.8992049","128.583054,35.2236404"
"128.5834373,35.2234611","128.5653564,35.8577806","128.5653564,35.8577806","128.483782,35.8527089","128.8434747,35.8989954","128.5834373,35.2234611"
"128.5841073,35.223025","128.5652614,35.8580492","128.5652614,35.8580492","128.4837603,35.8524783","128.8433904,35.8989197","128.5841073,35.223025"
"128.5841867,35.2229666","128.5652123,35.8581831","128.5652123,35.8581831","128.4835191,35.852492","128.8432872,35.8987793","128.5841867,35.2229666"
"128.5843306,35.2228833","128.5650999,35.8585582","128.5650999,35.8585582","128.4834737,35.8524959","128.8432215,35.8986971","128.5843306,35.2228833"
"128.584464,35.2229966","128.5650583,35.8586749","128.5650583,35.8586749","128.482841,35.8526409","128.8429699,35.898891","128.584464,35.2229966"
"128.5844211,35.2230799","128.5649623,35.8589498","128.5649623,35.8589498","128.4820992,35.8527497","128.8423521,35.8993126","128.5844211,35.2230799"
"128.5843438,35.2232158","128.5648525,35.859269","128.5648525,35.859269","128.4813299,35.8528669","128.8421593,35.8994446","128.5843438,35.2232158"
"128.5841882,35.2234084","128.5647866,35.8594743","128.5647866,35.8594743","128.4812127,35.852885","128.8417746,35.8996247","128.5841882,35.2234084"
"128.5840787,35.223523","128.5646618,35.8599208","128.5646618,35.8599208","128.4810624,35.8529078","128.8412868,35.8998078","128.5840787,35.223523"
"128.5839398,35.2236505","128.5646249,35.8600581","128.5646249,35.8600581","128.4809386,35.8529251","128.841194,35.899825","128.5839398,35.2236505"
"128.5836325,35.2238444","128.5645993,35.8602161","128.5645993,35.8602161","128.4797325,35.853099","128.8406263,35.8999341","128.5836325,35.2238444"
"128.5834787,35.2239278","128.5642992,35.8601358","128.5642992,35.8601358","128.4792967,35.8531449","128.8403656,35.8999785","128.5834787,35.2239278"
"128.5831474,35.2240507","128.563542,35.859909","128.563542,35.859909","128.4789008,35.853186","128.8382452,35.900269","128.5831474,35.2240507"
"128.5829008,35.2241016","128.5633997,35.8598661","128.5633997,35.8598661","128.4785025,35.8532172","128.8380187,35.900304","128.5829008,35.2241016"
"128.5826235,35.2241545","128.5633418,35.8598495","128.5633418,35.8598495","128.4783718,35.8532174","128.8374097,35.9003946","128.5826235,35.2241545"
"128.581448,35.2243382","128.563184,35.859804","128.563184,35.859804","128.478167,35.8532236","128.8369675,35.900459","128.581448,35.2243382"
"128.5813001,35.2243701","128.5628982,35.8597218","128.5628982,35.8597218","128.4780796,35.8532279","128.8361067,35.9005984","128.5813001,35.2243701"
"128.5811688,35.224411","128.5621222,35.859497","128.5621222,35.859497","128.4777009,35.8532337","128.8359299,35.9006275","128.5811688,35.224411"
"128.5810421,35.2244698","128.5619865,35.8594576","128.5619865,35.8594576","128.4774994,35.8532353","128.8351859,35.9007286","128.5810421,35.2244698"
"128.5808872,35.2245515","128.5606375,35.8590331","128.5606375,35.8590331","128.476411,35.8532577","128.8348577,35.9007827","128.5808872,35.2245515"
"128.5808121,35.2246098","128.5606041,35.8590226","128.5606041,35.8590226","128.4758242,35.8532661","128.8348234,35.9007885","128.5808121,35.2246098"
"128.5802851,35.2249734","128.5597867,35.8587666","128.5597867,35.8587666","128.4754092,35.8532857","128.8347085,35.900806","128.5802851,35.2249734"
"128.5800977,35.2250968","128.5595742,35.8586936","128.5595742,35.8586936","128.4752187,35.853289","128.8340454,35.900909","128.5800977,35.2250968"
"128.5799994,35.22514","128.5586875,35.8583913","128.5586875,35.8583913","128.4740761,35.85331","128.8337235,35.9009423","128.5799994,35.22514"
"128.5797356,35.2252181","128.558574,35.8583499","128.558574,35.8583499","128.4739798,35.8533126","128.8332862,35.9010292","128.5797356,35.2252181"
"128.5790153,35.2254247","128.5585428,35.8583385","128.5585428,35.8583385","128.4738846,35.853317","128.8331494,35.9010686","128.5790153,35.2254247"
"128.578924,35.2254995","128.558426,35.8582989","128.558426,35.8582989","128.4738591,35.8533181","128.8330338,35.9011113","128.578924,35.2254995"
"128.5787662,35.2256163","128.557764,35.8580722","128.557764,35.8580722","128.4735105,35.8533335","128.8329315,35.9011575","128.5787662,35.2256163"
"128.5782167,35.2260242","128.5574826,35.8579836","128.5574826,35.8579836","128.4734618,35.8533393","128.8327943,35.9012366","128.5782167,35.2260242"
"128.5776999,35.2264075","128.557466,35.8579783","128.557466,35.8579783","128.4732914,35.8533506","128.832277,35.9015759","128.5776999,35.2264075"
"128.577374,35.2266909","128.5574459,35.8579722","128.5574459,35.8579722","128.4730505,35.8533931","128.832037,35.9017354","128.577374,35.2266909"
"128.577199,35.2268412","128.5573748,35.8579494","128.5573748,35.8579494","128.4729235,35.8534239","128.8319297,35.9018096","128.577199,35.2268412"
