0,1,2,3,4,5,6,7
"127.5225912,34.9473913","126.7322359,37.4322831","127.1478351,37.5164556","129.3715615,35.5604496","128.5472367,35.8540749","128.5472367,35.8540749","129.3715615,35.5604496","126.9090283,37.5130298"
"127.5225749,34.9478215","126.7322383,37.4322723","127.1485499,37.5162829","129.3719609,35.5604028","128.546628,35.8538521","128.546628,35.8538521","129.3719609,35.5604028","126.908974,37.5130268"
"127.5225749,34.9479775","126.7322599,37.4321472","127.1487742,37.5162331","129.3721798,35.5603751","128.5458246,35.853558","128.5458246,35.853558","129.3721798,35.5603751","126.9088315,37.5130189"
"127.5225749,34.948","126.7323098,37.4320141","127.1489068,37.5162064","129.3723108,35.5603604","128.545809,35.8535518","128.545809,35.8535518","129.3723108,35.5603604","126.9087794,37.5130159"
"127.5225749,34.9480496","126.7324261,37.4316958","127.1490302,37.5161789","129.3724493,35.5603411","128.5456821,35.8535024","128.5456821,35.8535024","129.3724493,35.5603411","126.9085827,37.5130005"
"127.5225684,34.9482759","126.7324652,37.4316329","127.1491027,37.5161628","129.3726496,35.5603164","128.5447549,35.8531399","128.5447549,35.8531399","129.3726496,35.5603164","126.9083645,37.5129679"
"127.5225684,34.9482994","126.7326813,37.4312819","127.1492749,37.5161228","129.3732365,35.5601748","128.5446658,35.8531046","128.5446658,35.8531046","129.3732365,35.5601748","126.9082585,37.5129295"
"127.5225435,34.9492165","126.7327617,37.431158","127.1493225,37.5161121","129.374379,35.5598694","128.5443742,35.8529909","128.5443742,35.8529909","129.374379,35.5598694","126.9081808,37.5128732"
"127.5225381,34.9494455","126.7328981,37.4309696","127.1494449,37.51608","129.3744601,35.5598474","128.5439244,35.8528081","128.5439244,35.8528081","129.3744601,35.5598474","126.9081482,37.5128496"
"127.522524,34.9499577","126.7332248,37.4305166","127.1503195,37.5158519","129.3746114,35.5598081","128.5438086,35.8527614","128.5438086,35.8527614","129.3746114,35.5598081","126.9080516,37.5127599"
"127.5224496,34.9504916","126.7335413,37.4300733","127.1505155,37.5158011","129.3747453,35.5597745","128.5428868,35.8523916","128.5428868,35.8523916","129.3747453,35.5597745","126.9079607,37.512663"
"127.5223249,34.9508748","126.7335998,37.4299908","127.1509659,37.5155581","129.3749328,35.5597247","128.5421889,35.8521227","128.5421889,35.8521227","129.3749328,35.5597247","126.9078864,37.512613"
"127.5220535,34.9515755","126.7336767,37.4298777","127.151186,37.5154389","129.3749997,35.5597083","128.54151,35.8518608","128.54151,35.8518608","129.3749997,35.5597083","126.9077498,37.5125745"
"127.5220261,34.951663","126.7337352,37.4297907","127.1512723,37.5153644","129.3755491,35.5595663","128.5413397,35.8517974","128.5413397,35.8517974","129.3755491,35.5595663","126.9076052,37.512553"
"127.5219889,34.9517812","126.7338373,37.4296408","127.1513121,37.5153248","129.3760873,35.5594164","128.5411249,35.8517163","128.5411249,35.8517163","129.3760873,35.5594164","126.9074333,37.5125387"
"127.5219714,34.9518353","126.7339448,37.4294089","127.1514283,37.5151647","129.3761684,35.5593953","128.5410392,35.8516837","128.5410392,35.8516837","129.3761684,35.5593953","126.9071992,37.5125231"
"127.5219681,34.9518452","126.7340487,37.4290851","127.1515322,37.5149496","129.3768291,35.5592002","128.540525,35.8514826","128.540525,35.8514826","129.3768291,35.5592002","126.907006,37.5124788"
"127.5219407,34.95192","126.7341422,37.4286756","127.1516681,37.5144425","129.377046,35.5591319","128.5396156,35.8511289","128.5396156,35.8511289","129.377046,35.5591319","126.9068899,37.5124287"
"127.5219397,34.9519218","126.7342327,37.4282156","127.1517411,37.5140696","129.3770423,35.5593988","128.5394119,35.8510495","128.5394119,35.8510495","129.3770423,35.5593988","126.9068009,37.5123832"
"127.521249,34.9537994","126.7344127,37.4273046","127.1517118,37.5138081","129.3770771,35.5595182","128.5381122,35.8505658","128.5381122,35.8505658","129.3770771,35.5595182","126.9067535,37.5123586"
"127.5212272,34.9538851","126.7344363,37.427202","127.1516247,37.512591","129.377119,35.5596609","128.5377218,35.8504421","128.5377218,35.8504421","129.377119,35.5596609","126.9067096,37.5123349"
"127.5211374,34.9542332","126.7344562,37.4271426","127.1515866,37.5120077","129.3771112,35.5597043","128.5373468,35.8503029","128.5373468,35.8503029","129.3771112,35.5597043","126.9066713,37.5123095"
"127.5210795,34.9547769","126.7344496,37.4268938","127.1516116,37.5117581","129.3770975,35.5597784","128.5373301,35.8502958","128.5373301,35.8502958","129.3770975,35.5597784","126.9065468,37.5123161"
"127.5210784,34.9548049","126.7344472,37.4268028","127.1517122,37.511525","129.3770554,35.560009","128.5373057,35.850287","128.5373057,35.850287","129.3770554,35.560009","126.9064177,37.5123353"
"127.5210741,34.9548996","126.7344507,37.4266802","127.1518373,37.5113991","129.3768296,35.5608274","128.5372356,35.8502605","128.5372356,35.8502605","129.3768296,35.5608274","126.9063451,37.5123484"
"127.5211546,34.9571774","126.734457,37.4265","127.151962,37.5113409","129.3767553,35.5610945","128.5368055,35.850147","128.5368055,35.850147","129.3767553,35.5610945","126.9062545,37.5123642"
"127.5211579,34.9572748","126.7344336,37.4262466","127.1521116,37.5112999","129.37668,35.561368","128.5367234,35.8501369","128.5367234,35.8501369","129.37668,35.561368","126.9060958,37.5124039"
"127.5211679,34.9577383","126.7343992,37.4261859","127.1523368,37.5112744","129.376458,35.5621602","128.5367035,35.8501344","128.5367035,35.8501344","129.376458,35.5621602","126.9060022,37.5124963"
"127.5211746,34.9579998","126.7340652,37.4255781","127.1525935,37.5113139","129.3762855,35.5628571","128.5364506,35.8501059","128.5364506,35.8501059","129.3762855,35.5628571","126.9059635,37.5125367"
"127.5211834,34.9581792","126.7336973,37.4248618","127.152756,37.5114136","129.3763093,35.5629784","128.5359827,35.8500631","128.5359827,35.8500631","129.3763093,35.5629784","126.9058573,37.5126479"
"127.5211856,34.9582108","126.7335278,37.4245281","127.1528147,37.5114525","129.3762173,35.5633846","128.5350991,35.8499833","128.5350991,35.8499833","129.3762173,35.5633846","126.9056109,37.512909"
"127.52119,34.9582946","126.7334602,37.4243934","127.1528743,37.5115329","129.3761893,35.5635104","128.5346002,35.8499416","128.5346002,35.8499416","129.3761893,35.5635104","126.9053199,37.5132131"
"127.5212076,34.9586039","126.7333893,37.4242568","127.1529622,37.5115998","129.376201,35.5636301","128.5343996,35.8499244","128.5343996,35.8499244","129.376201,35.5636301","126.9052412,37.5132947"
"127.5212109,34.958677","126.7330449,37.4235605","127.153449,37.5122746","129.3762502,35.5637555","128.5334118,35.8498409","128.5334118,35.8498409","129.3762502,35.5637555","126.9051762,37.5133611"
"127.5212186,34.9588663","126.7327921,37.4230776","127.1534975,37.512318","129.3763098,35.5638484","128.5324977,35.849718","128.5324977,35.849718","129.3763098,35.5638484","126.9051941,37.5133864"
"127.5212219,34.9589105","126.7327467,37.4229907","127.1535561,37.5123696","129.3764208,35.5639719","128.5322249,35.8496816","128.5322249,35.8496816","129.3764208,35.5639719","126.9052005,37.5134315"
"127.5212362,34.9592027","126.7326912,37.4228876","127.1537116,37.5125079","129.3765205,35.5640371","128.5321117,35.8496664","128.5321117,35.8496664","129.3765205,35.5640371","126.9051912,37.5134612"
"127.5212516,34.9593848","126.7323337,37.422148","127.1541495,37.5127499","129.376649,35.5641063","128.5310708,35.8495004","128.5310708,35.8495004","129.376649,35.5641063","126.9051672,37.5134926"
"127.5213066,34.9602857","126.7321562,37.4218296","127.154562,37.5128664","129.376875,35.5641479","128.5309421,35.8494808","128.5309421,35.8494808","129.376875,35.5641479","126.9051445,37.5135024"
"127.5213242,34.9605742","126.7320818,37.4216957","127.1557899,37.5130656","129.3770447,35.5641858","128.5307291,35.8494501","128.5307291,35.8494501","129.3770447,35.5641858","126.9051173,37.5135104"
"127.5213429,34.9608619","126.7320041,37.4215573","127.1562501,37.51314","129.3771784,35.5642396","128.5307136,35.8494476","128.5307136,35.8494476","129.3771784,35.5642396","126.9050811,37.5135084"
"127.5214627,34.962669","126.7318906,37.4213844","127.1566391,37.5132015","129.3773413,35.56432","128.530677,35.8494425","128.530677,35.8494425","129.3773413,35.56432","126.9050461,37.5135001"
"127.5214759,34.962889","126.7318561,37.421331","127.1570153,37.5133252","129.377463,35.5643803","128.5306115,35.8494331","128.5306115,35.8494331","129.377463,35.5643803","126.9050213,37.5134847"
"127.5214814,34.9629819","126.7318025,37.4212729","127.1610372,37.5139993","129.3774832,35.5643944","128.5303319,35.8493895","128.5303319,35.8493895","129.3774832,35.5643944","126.9050022,37.5134638"
"127.5214859,34.9630667","126.7316796,37.4211279","127.1612373,37.5140332","129.3775359,35.5644306","128.5302808,35.8493818","128.5302808,35.8493818","129.3775359,35.5644306","126.9049934,37.5134359"
"127.5215124,34.9640099","126.7319454,37.4211107","127.1634287,37.5143901","129.3775999,35.5644773","128.5300978,35.8493537","128.5300978,35.8493537","129.3775999,35.5644773","126.9050005,37.5133953"
"127.5215223,34.9643661","126.7320166,37.4211058","127.1654244,37.5147167","129.3776865,35.5645499","128.5294742,35.8492589","128.5294742,35.8492589","129.3776865,35.5645499","126.9050086,37.5133764"
"127.5215234,34.9643868","126.7322089,37.4210926","127.1661379,37.5148295","129.3778663,35.5647382","128.52853,35.8491165","128.52853,35.8491165","129.3778663,35.5647382","126.904744,37.513349"
"127.5215245,34.9644445","126.7339617,37.4209841","127.1688433,37.5151319","129.3779896,35.564913","128.527922,35.8490279","128.527922,35.8490279","129.3779896,35.564913","126.9046615,37.5133404"
"127.5215399,34.9646799","126.7343914,37.420958","127.1700365,37.5152777","129.3782845,35.5654484","128.5271453,35.848911","128.5271453,35.848911","129.3782845,35.5654484","126.9044895,37.5133369"
"127.5215817,34.9650117","126.7350631,37.4209182","127.1719307,37.5155425","129.3784738,35.5658079","128.5262944,35.8487867","128.5262944,35.8487867","129.3784738,35.5658079","126.9044182,37.5133347"
"127.5216454,34.9658485","126.7356093,37.4208857","127.1744352,37.5160001","129.3785512,35.5659545","128.525914,35.8487484","128.525914,35.8487484","129.3785512,35.5659545","126.9043164,37.5133324"
"127.5216773,34.9664824","126.7362233,37.4208482","127.1755229,37.5161996","129.3786147,35.5660743","128.525717,35.8487537","128.525717,35.8487537","129.3786147,35.5660743","126.9041286,37.5133296"
"127.5216829,34.9666655","126.7364122,37.4208368","127.180855,37.5172516","129.3787186,35.5662719","128.5256407,35.8487607","128.5256407,35.8487607","129.3787186,35.5662719","126.9040098,37.5133272"
"127.521684,34.9666709","126.7384771,37.4207131","127.1830948,37.517693","129.3791465,35.5670658","128.5254593,35.8487776","128.5254593,35.8487776","129.3791465,35.5670658","126.903951,37.5133269"
"127.521695,34.9668386","126.7414326,37.4205789","127.1845553,37.5180683","129.3792132,35.5671828","128.5252962,35.8488421","128.5252962,35.8488421","129.3792132,35.5671828","126.9039442,37.5133269"
"127.521717,34.967147","126.7420137,37.420552","127.1845858,37.5180783","129.3792373,35.5672248","128.5251902,35.8488673","128.5251902,35.8488673","129.3792373,35.5672248","126.9038063,37.51331"
"127.5217368,34.967441","126.7423371,37.4205369","127.1863995,37.5186744","129.3794372,35.5676076","128.5249617,35.8489216","128.5249617,35.8489216","129.3794372,35.5676076","126.9036448,37.5132686"
"127.5217741,34.967891","126.7432417,37.4204895","127.1872266,37.5189821","129.3796623,35.5680827","128.5247454,35.8489793","128.5247454,35.8489793","129.3796623,35.5680827","126.9034699,37.51321"
"127.5217807,34.9679649","126.7436081,37.4204603","127.1877383,37.5192161","129.3797491,35.5683491","128.5246627,35.8490071","128.5246627,35.8490071","129.3797491,35.5683491","126.9028202,37.5129436"
"127.5217807,34.9679667","126.7439826,37.420423","127.1887499,37.5197749","129.3797623,35.5685833","128.5244215,35.8491119","128.5244215,35.8491119","129.3797623,35.5685833","126.902659,37.5128779"
"127.5217862,34.9680163","126.7443118,37.4203864","127.1894993,37.5202582","129.3797249,35.5688246","128.5243194,35.8491732","128.5243194,35.8491732","129.3797249,35.5688246","126.9024379,37.5127884"
"127.5218027,34.9682084","126.7446763,37.4203301","127.1901785,37.5207404","129.3796601,35.5690285","128.5242515,35.8492359","128.5242515,35.8492359","129.3796601,35.5690285","126.9016168,37.5124571"
"127.5218071,34.9682688","126.7452991,37.4202043","127.190783,37.5212593","129.3796221,35.5691471","128.52422,35.8492849","128.52422,35.8492849","129.3796221,35.5691471","126.9008059,37.5121185"
"127.5218126,34.9683355","126.7456174,37.4201315","127.1912057,37.5216534","129.3794484,35.5695519","128.5242113,35.8492985","128.5242113,35.8492985","129.3794484,35.5695519","126.9006751,37.5120647"
"127.5218664,34.9689478","126.7458836,37.4200674","127.191422,37.5219046","129.3793201,35.5698704","128.5241638,35.8493936","128.5241638,35.8493936","129.3793201,35.5698704","126.9004596,37.5119852"
"127.5219082,34.9694347","126.7463631,37.4199209","127.1917993,37.5223427","129.3792659,35.5700055","128.5241592,35.8494666","128.5241592,35.8494666","129.3792659,35.5700055","126.9001945,37.5118865"
"127.5219565,34.9699613","126.7468485,37.41975","127.1920819,37.5226833","129.3790938,35.5704328","128.5241688,35.8495252","128.5241688,35.8495252","129.3790938,35.5704328","126.9000411,37.5118298"
"127.5219686,34.9701083","126.7473295,37.4195665","127.1921528,37.5227808","129.3789994,35.5705497","128.5241998,35.8496087","128.5241998,35.8496087","129.3789994,35.5705497","126.899882,37.5117767"
"127.5219763,34.970194","126.7482511,37.419173","127.1926868,37.5236628","129.3787773,35.5707713","128.524237,35.8496598","128.524237,35.8496598","129.3787773,35.5707713","126.8996946,37.5117145"
"127.5220796,34.9713455","126.7492422,37.4187178","127.1929945,37.5242306","129.3785485,35.5709407","128.5242941,35.8497062","128.5242941,35.8497062","129.3785485,35.5709407","126.8996169,37.5116708"
"127.5221202,34.9718054","126.7495295,37.4185827","127.1934617,37.5251241","129.3783121,35.5710706","128.5243788,35.8497452","128.5243788,35.8497452","129.3783121,35.5710706","126.899573,37.5116364"
"127.5221246,34.9718568","126.7499996,37.4183639","127.1943703,37.5268292","129.3776564,35.571345","128.524462,35.8497589","128.524462,35.8497589","129.3776564,35.571345","126.8993653,37.5114388"
"127.5221499,34.9721327","126.7522018,37.4173674","127.1948592,37.5276597","129.3775603,35.571388","128.5245418,35.8497672","128.5245418,35.8497672","129.3775603,35.571388","126.8992464,37.5113075"
"127.5222071,34.9729813","126.7530033,37.4170048","127.1952963,37.5281593","129.3771667,35.5715906","128.5246392,35.8497637","128.5246392,35.8497637","129.3771667,35.5715906","126.8991387,37.5111889"
"127.5222674,34.9733528","126.7537197,37.4166659","127.1960116,37.5292662","129.3770225,35.5717011","128.524732,35.8497476","128.524732,35.8497476","129.3770225,35.5717011","126.8989952,37.5110304"
"127.5223771,34.9739019","126.7557843,37.4157568","127.1963614,37.5298079","129.376853,35.5718578","128.5248234,35.8497071","128.5248234,35.8497071","129.376853,35.5718578","126.8987831,37.5108139"
"127.5225242,34.974791","126.7568265,37.4152667","127.196662,37.530208","129.376784,35.5719292","128.5249158,35.8496558","128.5249158,35.8496558","129.376784,35.5719292","126.8987685,37.5107994"
"127.5226493,34.975516","126.7568402,37.4152605","127.1970373,37.5305992","129.3766392,35.5721073","128.5250583,35.8495428","128.5250583,35.8495428","129.3766392,35.5721073","126.8987292,37.5107605"
"127.5228401,34.9762824","126.7572159,37.4150862","127.197449,37.5309329","129.3765413,35.5722621","128.5250814,35.8494471","128.5250814,35.8494471","129.3765413,35.5722621","126.8987023,37.5107279"
"127.5228961,34.9764925","126.7601775,37.4137329","127.1978489,37.5311331","129.3764663,35.5724048","128.5250909,35.8493235","128.5250909,35.8493235","129.3764663,35.5724048","126.8985991,37.5106165"
"127.5229092,34.9765403","126.7606373,37.413523","127.1982625,37.531291","129.3763863,35.572617","128.5250548,35.8491858","128.5250548,35.8491858","129.3763863,35.572617","126.8985621,37.5105748"
"127.5229388,34.9766927","126.7621825,37.4127836","127.1986491,37.5314082","129.3763471,35.5728276","128.5249959,35.8490799","128.5249959,35.8490799","129.3763471,35.5728276","126.8985408,37.5105495"
"127.523134,34.9771417","126.7631066,37.4123459","127.1990371,37.531466","129.3762739,35.5732408","128.52497,35.8490477","128.52497,35.8490477","129.3762739,35.5732408","126.8985195,37.510525"
"127.5232085,34.9773356","126.763386,37.4122017","127.1993866,37.5315075","129.3762562,35.5733312","128.524428,35.8484915","128.524428,35.8484915","129.3762562,35.5733312","126.8983422,37.5103349"
"127.5232195,34.9773581","126.7659124,37.4109546","127.1997623,37.5315409","129.3761367,35.5739325","128.5243584,35.8484245","128.5243584,35.8484245","129.3761367,35.5739325","126.8981706,37.5101501"
