0,1,2,3,4,5,6
"128.5800484,35.2208757","128.5800484,35.2208757","128.5646434,35.855231","128.8489226,35.9006715","128.4842003,35.8559052","128.5646434,35.855231","126.7331755,37.4341334"
"128.5800623,35.2209333","128.5800623,35.2209333","128.5651939,35.8554019","128.8488873,35.9006827","128.4841995,35.8553976","128.5651939,35.8554019","126.7331185,37.4341763"
"128.5800658,35.2209422","128.5800658,35.2209422","128.5654608,35.8554843","128.8483618,35.9007995","128.4842222,35.8552576","128.5654608,35.8554843","126.7331151,37.4341781"
"128.5802119,35.2213575","128.5802119,35.2213575","128.5650176,35.8562924","128.8480943,35.9008368","128.4842579,35.8551906","128.5650176,35.8562924","126.7330245,37.4341973"
"128.580334,35.2216954","128.580334,35.2216954","128.5649711,35.8563776","128.8479992,35.9008496","128.4843244,35.8551081","128.5649711,35.8563776","126.7329512,37.434186"
"128.5804617,35.2220496","128.5804617,35.2220496","128.564864,35.8565705","128.8473946,35.9008708","128.4845744,35.8549077","128.564864,35.8565705","126.7329099,37.4341317"
"128.5805173,35.2221852","128.5805173,35.2221852","128.5648262,35.8566403","128.8472872,35.9008747","128.4847817,35.854741","128.5648262,35.8566403","126.7329037,37.4340703"
"128.5805367,35.2222328","128.5805367,35.2222328","128.5649453,35.8566843","128.8464818,35.9008855","128.4848563,35.8546809","128.5649453,35.8566843","126.7329178,37.4340253"
"128.5806666,35.2226654","128.5806666,35.2226654","128.5650109,35.8567063","128.8460132,35.9008908","128.4849591,35.8545835","128.5650109,35.8567063","126.7329521,37.4339859"
"128.5808316,35.2226846","128.5808316,35.2226846","128.5651923,35.8567687","128.8455965,35.9008882","128.4849624,35.8544889","128.5651923,35.8567687","126.7330269,37.4339666"
"128.5808702,35.2226942","128.5808702,35.2226942","128.5653347,35.8568188","128.8452774,35.9008864","128.4849663,35.854359","128.5653347,35.8568188","126.7331287,37.4339546"
"128.5809036,35.2227255","128.5809036,35.2227255","128.5656696,35.8569339","128.8451278,35.9008854","128.4849761,35.8540731","128.5656696,35.8569339","126.7331933,37.4339442"
"128.5809219,35.2227767","128.5809219,35.2227767","128.5656818,35.8569383","128.8448119,35.9008826","128.4849642,35.8540101","128.5656818,35.8569383","126.7333329,37.433882"
"128.5809264,35.2227902","128.5809264,35.2227902","128.5657375,35.8569577","128.8447997,35.9006826","128.4849581,35.8539651","128.5657375,35.8569577","126.7333828,37.4338697"
"128.5810318,35.2231129","128.5810318,35.2231129","128.5656755,35.857043","128.8447644,35.9006271","128.4848447,35.8537496","128.5656755,35.857043","126.7335255,37.4338418"
"128.581191,35.2235993","128.581191,35.2235993","128.5655743,35.8571827","128.8447371,35.9005832","128.4847843,35.8536969","128.5655743,35.8571827","126.7335708,37.4338358"
"128.5811956,35.2236164","128.5811956,35.2236164","128.565474,35.8573829","128.8446996,35.9005296","128.4844358,35.8535465","128.565474,35.8573829","126.7336126,37.4338334"
"128.5812667,35.2238412","128.5812667,35.2238412","128.5654624,35.8574253","128.8443454,35.9000278","128.4843924,35.853527","128.5654624,35.8574253","126.733798,37.4338337"
"128.581495,35.223904","128.581495,35.223904","128.5654539,35.8574543","128.8440066,35.8995177","128.4839236,35.853319","128.5654539,35.8574543","126.7338579,37.4338367"
"128.5828021,35.2237066","128.5828021,35.2237066","128.5654307,35.8575401","128.8438322,35.8992997","128.4837911,35.8532687","128.5654307,35.8575401","126.7339425,37.4338463"
"128.583054,35.2236404","128.583054,35.2236404","128.565399,35.8576495","128.8437575,35.8992049","128.4837928,35.853046","128.565399,35.8576495","126.7340959,37.4338825"
"128.5834373,35.2234611","128.5834373,35.2234611","128.5653564,35.8577806","128.8434747,35.8989954","128.483782,35.8527089","128.5653564,35.8577806","126.7341916,37.4339218"
"128.5841073,35.223025","128.5841073,35.223025","128.5652614,35.8580492","128.8433904,35.8989197","128.4837603,35.8524783","128.5652614,35.8580492","126.7343232,37.4339858"
"128.5841867,35.2229666","128.5841867,35.2229666","128.5652123,35.8581831","128.8432872,35.8987793","128.4835191,35.852492","128.5652123,35.8581831","126.7343949,37.4340448"
"128.5843306,35.2228833","128.5843306,35.2228833","128.5650999,35.8585582","128.8432215,35.8986971","128.4834737,35.8524959","128.5650999,35.8585582","126.734405,37.4340557"
"128.584464,35.2229966","128.584464,35.2229966","128.5650583,35.8586749","128.8429699,35.898891","128.482841,35.8526409","128.5650583,35.8586749","126.7344924,37.4341275"
