num,start_lat,start_lng,mid_lat,mid_lng,end_lat,end_lng,
1,37.626949,126.827581,37.71302,126.902443,37.71302,126.902443,
2,35.881731,128.56754,35.839566,129.185196,37.713651,126.889915,
3,37.540484,126.867756,37.506451,127.012692,37.503393,129.130509,
4,37.517981,127.048764,37.441493,126.996973,37.441493,126.996973,
5,35.854689,128.595157,35.863198,128.65123,35.863198,128.65123,
