index,count,geometry
72,3,"LINESTRING (127.7289528 37.3963698, 127.7292441 37.3963349)"
73,3,"LINESTRING (127.4756173 37.3777482, 127.4765785 37.3776573)"
74,3,"LINESTRING (127.8139449 37.3967768, 127.8142348 37.3966823)"
75,3,"LINESTRING (127.7853861 37.4030614, 127.7860618 37.4030724)"
76,3,"LINESTRING (127.7591432 37.3993938, 127.7619338 37.3993696)"
77,3,"LINESTRING (127.8024856 37.4002048, 127.8035049 37.3999607)"
78,3,"LINESTRING (127.5220119 37.3777874, 127.5226026 37.3776548)"
79,3,"LINESTRING (127.7052439 37.4016521, 127.7065215 37.4015453)"
80,3,"LINESTRING (127.7241995 37.3974407, 127.725604 37.3970883)"
81,3,"LINESTRING (127.8642783 37.3947044, 127.8650816 37.3947136)"
82,3,"LINESTRING (127.4204529 37.3790472, 127.4223212 37.3789898)"
83,3,"LINESTRING (127.4723935 37.3780521, 127.4756173 37.3777482)"
84,3,"LINESTRING (127.4658443 37.3786661, 127.468204 37.3784405)"
85,3,"LINESTRING (127.510762 37.3778548, 127.5125467 37.3781304)"
86,3,"LINESTRING (127.3445206 37.3745513, 127.3488703 37.3744614)"
87,3,"LINESTRING (127.3568218 37.3744217, 127.3578167 37.3744761)"
88,3,"LINESTRING (127.7554262 37.3994487, 127.7587082 37.3993992)"
89,3,"LINESTRING (127.6453771 37.3989042, 127.6458859 37.3991019)"
90,3,"LINESTRING (127.3724018 37.3762775, 127.3725678 37.3763191)"
91,3,"LINESTRING (127.5167971 37.3783453, 127.5168423 37.3783444)"
92,3,"LINESTRING (127.8685006 37.3945534, 127.8690223 37.3945067)"
93,3,"LINESTRING (127.3935268 37.3809252, 127.3943253 37.3809845)"
94,3,"LINESTRING (127.6048944 37.3844033, 127.6068218 37.3845809)"
95,3,"LINESTRING (127.5888731 37.3833681, 127.590233 37.3832805)"
96,3,"LINESTRING (127.7086165 37.4012199, 127.7098709 37.4009274)"
97,3,"LINESTRING (127.8623583 37.3945877, 127.8633866 37.3946503)"
98,3,"LINESTRING (127.6196632 37.3874233, 127.6212663 37.3881716)"
99,3,"LINESTRING (127.3578167 37.3744761, 127.3595671 37.374654)"
100,3,"LINESTRING (127.7019545 37.4015172, 127.7030338 37.4016244)"
101,3,"LINESTRING (127.8834622 37.3897231, 127.8837056 37.389615)"
102,3,"LINESTRING (127.6590838 37.4014068, 127.6604449 37.4012428)"
103,3,"LINESTRING (127.6904747 37.399153, 127.6920149 37.3992451)"
104,3,"LINESTRING (127.6147794 37.385738, 127.6158451 37.3860426)"
105,3,"LINESTRING (127.6705076 37.4002867, 127.6705527 37.400284)"
106,3,"LINESTRING (127.5189635 37.3782377, 127.5195903 37.3781673)"
107,3,"LINESTRING (127.57274 37.3854991, 127.574012 37.3855119)"
108,3,"LINESTRING (127.5280996 37.3768748, 127.5292257 37.3768772)"
109,3,"LINESTRING (127.5168423 37.3783444, 127.5175109 37.3783326)"
110,3,"LINESTRING (127.6510832 37.4008089, 127.6526938 37.4011286)"
111,3,"LINESTRING (127.541291 37.3789306, 127.5463056 37.3798716)"
112,3,"LINESTRING (127.5337202 37.3774196, 127.5348024 37.3776455)"
113,3,"LINESTRING (127.5801948 37.3847831, 127.5811706 37.3846094)"
114,3,"LINESTRING (127.3307972 37.3747659, 127.3334888 37.3747193)"
115,3,"LINESTRING (127.6481801 37.3999923, 127.6495435 37.4004215)"
116,3,"LINESTRING (127.7994321 37.4008913, 127.8018264 37.4003525)"
117,3,"LINESTRING (127.8325773 37.3906226, 127.833137 37.3904939)"
118,3,"LINESTRING (127.5842211 37.3840664, 127.5868627 37.383603)"
119,3,"LINESTRING (127.7900514 37.402758, 127.7907322 37.4026455)"
120,3,"LINESTRING (127.5463056 37.3798716, 127.5514818 37.3808916)"
121,3,"LINESTRING (127.6581743 37.4014396, 127.6590838 37.4014068)"
122,3,"LINESTRING (127.4234676 37.3790248, 127.4312443 37.3792225)"
123,3,"LINESTRING (127.5258814 37.3770565, 127.5263873 37.3770014)"
124,3,"LINESTRING (127.7367075 37.3967033, 127.7374583 37.3969028)"
125,3,"LINESTRING (127.5978053 37.3837748, 127.5984233 37.3838337)"
126,3,"LINESTRING (127.8719416 37.3940586, 127.8736399 37.3936512)"
127,3,"LINESTRING (127.8541518 37.3929333, 127.8543939 37.3929974)"
128,3,"LINESTRING (127.3677508 37.3755044, 127.3700951 37.3758099)"
129,3,"LINESTRING (127.3965177 37.3810306, 127.3966589 37.3810325)"
130,3,"LINESTRING (127.8530794 37.3926291, 127.8541518 37.3929333)"
131,3,"LINESTRING (127.870061 37.3943763, 127.870437 37.3943238)"
132,3,"LINESTRING (127.6314097 37.3934465, 127.6320496 37.3937333)"
133,3,"LINESTRING (127.7489945 37.399594, 127.7492849 37.3995961)"
134,3,"LINESTRING (127.7669569 37.3993403, 127.7681049 37.3993774)"
135,3,"LINESTRING (127.5150169 37.378323, 127.5157692 37.3783481)"
136,3,"LINESTRING (127.5828071 37.3843144, 127.5842211 37.3840664)"
137,3,"LINESTRING (127.5935405 37.3833636, 127.5946714 37.3834654)"
138,3,"LINESTRING (127.5 37.3767024, 127.5001209 37.3767024)"
139,3,"LINESTRING (127.5226026 37.3776548, 127.5235208 37.3774599)"
140,3,"LINESTRING (127.8543939 37.3929974, 127.8554176 37.3932711)"
141,3,"LINESTRING (127.5035613 37.3767447, 127.5041204 37.3767762)"
142,3,"LINESTRING (127.8418973 37.3901246, 127.8426274 37.3902036)"
143,3,"LINESTRING (127.3857555 37.3793955, 127.3894309 37.3802508)"
144,3,"LINESTRING (127.3760746 37.3771269, 127.3790599 37.3778051)"
145,3,"LINESTRING (127.8434856 37.390358, 127.84522 37.3906765)"
146,3,"LINESTRING (127.6105286 37.3849426, 127.6113228 37.3850545)"
147,3,"LINESTRING (127.8832976 37.3897921, 127.8834622 37.3897231)"
148,3,"LINESTRING (127.8018264 37.4003525, 127.8024856 37.4002048)"
149,3,"LINESTRING (127.4223212 37.3789898, 127.4234676 37.3790248)"
150,3,"LINESTRING (127.328901 37.374656, 127.3306458 37.3747567)"
151,3,"LINESTRING (127.7778111 37.4014687, 127.7779695 37.4015125)"
152,3,"LINESTRING (127.5610319 37.3833289, 127.563582 37.3840135)"
153,3,"LINESTRING (127.5880632 37.3834345, 127.5882835 37.3834091)"
154,3,"LINESTRING (127.8196761 37.3948631, 127.8212779 37.3943008)"
155,3,"LINESTRING (127.3712468 37.3760284, 127.3724018 37.3762775)"
156,3,"LINESTRING (127.7292441 37.3963349, 127.7306039 37.3961746)"
157,3,"LINESTRING (127.574012 37.3855119, 127.5743565 37.38549)"
158,3,"LINESTRING (127.5175109 37.3783326, 127.5181389 37.3783054)"
159,3,"LINESTRING (127.8749993 37.3932638, 127.875306 37.3931511)"
160,3,"LINESTRING (127.5776739 37.3852202, 127.5786543 37.3850474)"
161,3,"LINESTRING (127.4621303 37.379002, 127.4627425 37.3789473)"
162,3,"LINESTRING (127.4781079 37.3775152, 127.4787212 37.3774576)"
163,3,"LINESTRING (127.442196 37.3794708, 127.4429404 37.3794901)"
164,3,"LINESTRING (127.3960919 37.3810357, 127.3965177 37.3810306)"
165,3,"LINESTRING (127.5882835 37.3834091, 127.5888731 37.3833681)"
166,3,"LINESTRING (127.870437 37.3943238, 127.8708739 37.3942584)"
167,3,"LINESTRING (127.3953272 37.3810278, 127.3960919 37.3810357)"
168,3,"LINESTRING (127.5001209 37.3767024, 127.5014153 37.3767105)"
169,3,"LINESTRING (127.5163204 37.3783463, 127.5166051 37.3783453)"
170,3,"LINESTRING (127.3898193 37.3803305, 127.3898566 37.3803377)"
171,3,"LINESTRING (127.8142348 37.3966823, 127.8169426 37.3957944)"
172,3,"LINESTRING (127.7041706 37.4016765, 127.7052439 37.4016521)"
173,3,"LINESTRING (127.576244 37.3853888, 127.5763863 37.385377)"
174,3,"LINESTRING (127.7440269 37.3989617, 127.7443186 37.3990449)"
175,3,"LINESTRING (127.6048639 37.3844024, 127.6048944 37.3844033)"
176,3,"LINESTRING (127.5800841 37.3848021, 127.5801948 37.3847831)"
177,3,"LINESTRING (127.8481222 37.3914071, 127.8500877 37.3918655)"
178,3,"LINESTRING (127.7619338 37.3993696, 127.7631359 37.3993597)"
179,3,"LINESTRING (127.4333847 37.3792544, 127.4334638 37.3792562)"
180,3,"LINESTRING (127.5051313 37.376878, 127.5069204 37.3770934)"
181,3,"LINESTRING (127.7860618 37.4030724, 127.7869306 37.4030514)"
182,3,"LINESTRING (127.8633866 37.3946503, 127.8642783 37.3947044)"
183,3,"LINESTRING (127.6758747 37.3999814, 127.6786775 37.399805)"
184,3,"LINESTRING (127.5270289 37.3769363, 127.5280996 37.3768748)"
185,3,"LINESTRING (127.8403139 37.3899624, 127.8418973 37.3901246)"
186,3,"LINESTRING (127.5786543 37.3850474, 127.5800841 37.3848021)"
187,3,"LINESTRING (127.4849212 37.3769051, 127.4865274 37.376762)"
188,3,"LINESTRING (127.7717368 37.3998468, 127.7730043 37.4001161)"
189,3,"LINESTRING (127.468204 37.3784405, 127.4703332 37.3782571)"
190,3,"LINESTRING (127.8650816 37.3947136, 127.8668935 37.3946683)"
191,3,"LINESTRING (127.6947481 37.3997166, 127.6988061 37.4008834)"
192,3,"LINESTRING (127.5181389 37.3783054, 127.5189635 37.3782377)"
193,3,"LINESTRING (127.7956446 37.4016824, 127.7971494 37.4013631)"
194,3,"LINESTRING (127.6012001 37.3840712, 127.6013176 37.3840819)"
195,3,"LINESTRING (127.7730043 37.4001161, 127.7744395 37.4005112)"
196,3,"LINESTRING (127.5128595 37.3781628, 127.513308 37.3782096)"
197,3,"LINESTRING (127.4899057 37.376683, 127.4918213 37.3766895)"
198,3,"LINESTRING (127.6460985 37.3991846, 127.6466582 37.399402)"
199,3,"LINESTRING (127.7713479 37.3997837, 127.7717368 37.3998468)"
200,3,"LINESTRING (127.5652824 37.3844615, 127.5661807 37.38469)"
201,3,"LINESTRING (127.876135 37.3928744, 127.8769321 37.3925636)"
202,3,"LINESTRING (127.7467403 37.3995122, 127.7474025 37.3995722)"
203,3,"LINESTRING (127.8668935 37.3946683, 127.8684091 37.3945618)"
204,3,"LINESTRING (127.5328968 37.3772476, 127.5337202 37.3774196)"
205,3,"LINESTRING (127.7162456 37.3993745, 127.717447 37.3990902)"
206,3,"LINESTRING (127.5235208 37.3774599, 127.5244684 37.3772704)"
207,3,"LINESTRING (127.5827145 37.3843325, 127.5828071 37.3843144)"
208,3,"LINESTRING (127.8307931 37.3910422, 127.8325773 37.3906226)"
209,3,"LINESTRING (127.4011098 37.3807362, 127.4013108 37.3807192)"
210,3,"LINESTRING (127.8591613 37.3941603, 127.8608549 37.3944228)"
211,3,"LINESTRING (127.5257198 37.3770773, 127.5258814 37.3770565)"
212,3,"LINESTRING (127.415878 37.3793505, 127.4172538 37.3792631)"
213,3,"LINESTRING (127.5098911 37.3776727, 127.510762 37.3778548)"
214,3,"LINESTRING (127.7479088 37.3995936, 127.7489945 37.399594)"
215,3,"LINESTRING (127.7331663 37.3961758, 127.7345642 37.3962912)"
216,3,"LINESTRING (127.8800289 37.3912602, 127.8802397 37.391164)"
217,3,"LINESTRING (127.3794043 37.3778884, 127.3801133 37.3780613)"
218,3,"LINESTRING (127.4146975 37.3794325, 127.415878 37.3793505)"
219,3,"LINESTRING (127.636443 37.3955049, 127.6389358 37.396352)"
220,3,"LINESTRING (127.5769963 37.3853135, 127.5776739 37.3852202)"
221,3,"LINESTRING (127.5528352 37.3811795, 127.5540057 37.3814584)"
222,3,"LINESTRING (127.6295169 37.3925373, 127.630322 37.3929339)"
223,3,"LINESTRING (127.7417401 37.3982498, 127.7433664 37.3987747)"
224,3,"LINESTRING (127.7935218 37.4020419, 127.7942828 37.4019102)"
225,3,"LINESTRING (127.3966589 37.3810325, 127.3976801 37.3810163)"
226,3,"LINESTRING (127.7681049 37.3993774, 127.768114 37.3993774)"
227,3,"LINESTRING (127.6123375 37.3852104, 127.6138053 37.38551)"
228,3,"LINESTRING (127.5540057 37.3814584, 127.5564901 37.3821233)"
229,3,"LINESTRING (127.788651 37.4029399, 127.7889786 37.4029166)"
230,3,"LINESTRING (127.8379053 37.3899558, 127.8380307 37.3899491)"
231,3,"LINESTRING (127.6821037 37.3995781, 127.6830606 37.3995198)"
232,3,"LINESTRING (127.4778459 37.3775386, 127.4781079 37.3775152)"
233,3,"LINESTRING (127.4511451 37.3797408, 127.4525898 37.3797423)"
234,3,"LINESTRING (127.7907322 37.4026455, 127.7929212 37.4021651)"
235,3,"LINESTRING (127.630322 37.3929339, 127.6314097 37.3934465)"
236,3,"LINESTRING (127.7701766 37.3995809, 127.7713479 37.3997837)"
237,3,"LINESTRING (127.6138053 37.38551, 127.6147794 37.385738)"
238,3,"LINESTRING (127.6000037 37.383964, 127.6012001 37.3840712)"
239,3,"LINESTRING (127.5564901 37.3821233, 127.55937 37.3828809)"
