dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,300,5,100,L1Loss(),"[0.4860388132242056, 0.4871973624596229, 0.49419066844842374, 0.4913216554201566, 0.48882851890100837]"
scgas,300,5,100,L1Loss(),"[0.6328001266870743, 0.661798391586695, 0.6265012667729304, 0.6248197555541992, 0.6741467923782885]"
scgas,300,5,100,L1Loss(),"[0.6665614079206418, 0.4496656381166898, 0.4702367599193866, 0.5155477279271835, 0.7608838127063106]"
scgas,300,5,100,L1Loss(),"[0.5249095757802328, 0.47487113414666593, 0.5254563368283786, 0.5163815082647861, 0.5378305112211087]"
scgas,300,5,100,L1Loss(),"[0.582684284601456, 0.5374059188060272, 0.5801278383303912, 0.5952686652159079, 0.5422954193700236]"
scgas,300,5,100,L1Loss(),"[0.574519218542637, 0.5133510491786859, 0.5973282838479067, 0.5881020350333972, 0.5514486879586412]"
scgas,300,5,100,L1Loss(),"[0.5807673992254795, 0.5220011870066324, 0.6278731761834561, 0.572052001953125, 0.5627797525911666]"
scgas,300,5,100,L1Loss(),"[0.5929762583512527, 0.5440623943622296, 0.607609443175487, 0.5895843628125313, 0.5617967977310522]"
scgas,300,5,100,L1Loss(),"[0.5743583410214155, 0.5449514083373241, 0.5780726334987543, 0.6019761990278195, 0.5678749206347968]"
scgas,300,5,100,L1Loss(),"[0.5721484820048014, 0.5512603368514624, 0.6045982654278095, 0.5729912855686285, 0.5592358866438698]"
scgas,300,5,100,L1Loss(),"[0.5547205668229324, 0.5185744028825027, 0.593412228119679, 0.5638112043723081, 0.548792488658771]"
scgas,300,5,100,L1Loss(),"[0.5008659974122659, 0.4759571796808487, 0.4915361648950821, 0.4947044054667155, 0.5388831848534532]"
scgas,300,5,100,L1Loss(),"[0.7180483769147824, 0.5123315896743383, 0.5874243393922464, 0.5571213013086563, 0.785688729331897]"
scgas,300,5,100,L1Loss(),"[0.6909232384119278, 0.5094788135626377, 0.5148983185107892, 0.5123400260240604, 0.7707751947469985]"
scgas,300,5,100,L1Loss(),"[0.733419785132775, 0.5072815846174191, 0.5934264293083777, 0.5638077748127472, 0.7790512840587872]"
scgas,300,5,100,L1Loss(),"[0.6679057952685233, 0.5184087447631054, 0.5443132107074444, 0.5584888947315705, 0.7384673170388316]"
scgas,300,5,100,L1Loss(),"[0.6869689623514811, 0.5539396359370306, 0.5772981521410819, 0.5592282368586614, 0.7869386947193084]"
scgas,300,5,100,L1Loss(),"[0.7174492860451723, 0.5722896074637388, 0.616573052528577, 0.5801723553584173, 0.7881742422573101]"
scgas,300,5,100,L1Loss(),"[0.6897728993342473, 0.5598595509162316, 0.5964261996440399, 0.5661563445360233, 0.7292657127014746]"
scgas,300,5,100,L1Loss(),"[0.6833496582813752, 0.5217236738938552, 0.5257115853138459, 0.5449113845825195, 0.7398897298989585]"
scgas,300,5,100,L1Loss(),"[0.7470394648038424, 0.6189178442343687, 0.5324361385443271, 0.5497402533506736, 0.7651956698384148]"
scgas,300,5,100,L1Loss(),"[0.6627412575941819, 0.6250549463125376, 0.5036916427123241, 0.5373748571444781, 0.803510812143929]"
scgas,300,5,100,L1Loss(),"[0.545192926357954, 0.4763145324511406, 0.5070412342364972, 0.49329500931959885, 0.47689370225412775]"
scgas,300,5,100,L1Loss(),"[0.5590400329002967, 0.5497164481725448, 0.5540229112674029, 0.5597568230751233, 0.5636677483019357]"
scgas,300,5,100,L1Loss(),"[0.5959403453729092, 0.577067894813342, 0.5681613408602201, 0.5833985866644443, 0.5978252910577451]"
scgas,300,5,100,L1Loss(),"[0.5568393071492513, 0.5937116940816244, 0.5397080396994566, 0.5481868584950765, 0.5465896777070749]"
scgas,300,5,100,L1Loss(),"[0.8967689367441031, 0.9904441344432342, 0.9118792582780887, 0.9120409794342823, 0.8786371493111023]"
scgas,300,5,100,L1Loss(),"[0.8881449943933731, 0.9261821233309232, 0.8894133934607873, 0.9374565589122283, 0.9279928725367537]"
scgas,300,5,100,L1Loss(),"[0.5002924723502917, 0.46633068720499676, 0.510093982403095, 0.5455628297267816, 0.4859916272635658]"
scgas,300,5,100,L1Loss(),"[0.7679172540322329, 0.8072480666331756, 0.8562678190378042, 0.8295780573135767, 0.8322360980244109]"
scgas,300,5,100,L1Loss(),"[0.9206191943241999, 0.8530413921062763, 0.8838441433050693, 0.8521197270124387, 1.0905918937902481]"
scgas,300,5,100,L1Loss(),"[0.5466121221200014, 0.531713265639085, 0.5286884613526173, 0.5522903295663687, 0.5732822357275235]"
scgas,300,5,100,L1Loss(),"[0.8486620585123698, 0.7911977645678397, 0.7761206137828338, 0.7967403852022611, 0.7598188966988756]"
scgas,300,5,100,L1Loss(),"[0.7991802509014423, 1.0557616184919307, 0.7667686144510905, 0.7962237138014573, 0.7915861355230069]"
scgas,300,5,100,L1Loss(),"[0.5726294211852245, 0.5125428224221255, 0.5316661687997671, 0.5348105797400842, 0.5467423509104183]"
scgas,300,5,100,L1Loss(),"[0.8147799540788699, 1.0177332682487292, 0.9463750032278208, 0.9321359609946226, 0.7838032755988855]"
scgas,300,5,100,L1Loss(),"[0.7504490583370893, 0.9300627708435059, 0.8201370239257812, 0.7665219184679862, 0.7154317374427479]"
scgas,300,5,100,L1Loss(),"[0.7691374925466684, 0.9997366147163587, 0.8539918141487317, 0.8934229948581793, 0.7107607686100677]"
scgas,300,5,100,L1Loss(),"[0.7987894889635917, 0.8350150034977839, 0.7427203227312137, 0.9043139922313201, 0.7804686939373565]"
