dataset,model_name,epochs,num-folds,SEED,criterion,fold_val_means
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[0.7908052120611592, 0.6591895950723577, 0.8009879480997721, 0.7481787593640663, 0.9473173854571804]"
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[0.6083643696359727, 4.52014339069967, 0.941084561392113, 0.7227872671904387, 0.6927627838673416]"
