dataset,model_name,epochs,num-folds,SEED,criterion,fold_val_means
freesolv,md_CrossAttn_TFN,300,5,100,MSELoss(),"[1.862919448362392, 1.6726920584713418, 2.564299943793833, 1.6451695346218695, 2.175603302386072]"
freesolv,md_CrossAttn_TFN,300,5,100,MSELoss(),"[1.6622883272445894, 1.6326598365290785, 2.7253715580594697, 1.8186420192126354, 2.4239278893591534]"
freesolv,md_CrossAttn_TFN,300,5,100,MSELoss(),"[1.6881453642147837, 2.3012063825646645, 2.6706482394292856, 2.0204252558634948, 2.767655587552809]"
