dataset,model_name,epochs,num-folds,SEED,criterion,fold_val_means
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[0.7125062164005654, 0.6890817582270612, 0.8279130238691965, 1.0565358764220165, 0.7087361672145349]"
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[0.6879627542118122, 0.7885859453286286, 0.9530311685314884, 0.7360965585620315, 0.7351812648729041]"
