dataset,model_name,epochs,num-folds,SEED,criterion,fold_val_means
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[0.5995635134607388, 0.578799848669105, 0.7099784736544997, 0.5684686210784646, 0.6172838097269888]"
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[0.5814571233711191, 0.5365972160917742, 0.7356556738835794, 0.606611484421624, 0.5779769161674712]"
