dataset,model_name,epochs,num-folds,SEED,criterion,fold_val_means
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[0.8752337725841977, 0.6968780756085007, 0.8353676193025377, 0.8523521116375923, 0.7754990010040778]"
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[4.092548894258714, 4.521049904337636, 1.0634997761867666, 0.9585105227452737, 0.9559932897289594]"
