dataset,model_name,epochs,num-folds,SEED,criterion,fold_val_means
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[0.6267896134023508, 0.7268279303996652, 0.9912220910037005, 0.7517411969237857, 0.8149483524318094]"
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[0.7014264277134152, 0.6366160226475309, 0.8075069971172898, 0.741704343786946, 0.7781144594163807]"
