dataset,model_name,epochs,num-folds,SEED,criterion,fold_val_means
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[0.6419555163926841, 0.6709359758270008, 0.7708902180459763, 0.7177795218383823, 0.6060031568706037]"
esol,md_CrossAttn_TFN,300,5,100,MSELoss(),"[0.652756724745639, 0.5891934567866502, 0.8947061141155386, 0.7638198192075446, 0.6459101751181815]"
