smiles,logvp
C=O,8.27
CNN,3.91
C(=O)O,3.75
CCl,8.37
CN,7.88
C=CCl,8
CN(C)C,7.38
CC1CO1,6.29
CCC(=O)C,4.51
CC(=O)C=C,4.43
C=CC(=O)O,1.38
COC(=O)C=C,4.46
C1=CC=C(C=C1)[N+](=O)[O-],-1.2
C1=CC=C(C=C1)CCl,0.21
C=CC=O,5.61
C=CCCl,5.91
C=CC#N,4.69
C(CN)N,2.49
C=CCO,3.23
CC1=CC(=CC=C1)O,-2.21
C1=CC=C(C=C1)O,-1.05
CCCCN,4.53
CCN(CC)CC,4.04
CCOC(=O)C,4.53
C1CN1,5.36
CC1=C(C=C(C=C1)N=C=O)N=C=O,-3.77
C=CC(=O)Cl,4.53
FH,6.82
OS(=O)(=O)O,-9.73
[N+](=O)(O)[O-],4.14
P(Cl)(Cl)Cl,4.79
ClCl,8.67
OS(=O)(=O)Cl,0
C[N+](=O)[O-],3.58
C1N2CN3CN1CN(C2)C3,-7.4
OO,0.68
C(=C(F)F)(F)F,10.11
BrBr,5.36
CC(=C)C=C,6.31
C=C(Cl)Cl,5.42
FBr(F)(F)(F)F,6.01
CCOC=C,6.24
C[Si](Cl)Cl,6.06
C[Si](Cl)(Cl)Cl,5.12
C=C[Si](Cl)(Cl)Cl,4.19
CC[Si](Cl)(Cl)Cl,3.85
C[Si](C)(C)C,6.58
[Si](Cl)(Cl)(Cl)Cl,5.46
C(=O)=O,10.79
N(=O)[O],6.8
CO,4.84
Br,9.82
C=C,10.86
CCC,-0.71
C,13.05
C1=CC=CC=C1,4.55
CC1=CC=CC=C1,3.35
CCCC,7.51
NN,2.67
CC(C)OP(=O)(C)F,1.05
CC(C(C)(C)C)OP(=O)(C)F,-0.89
CCOP(=O)(C#N)N(C)C,-2.66
CCSCCCl,1.22
C(CCl)SCCCl,-2.21
C(CSCCCl)SCCCl,-12.56
C(CSCCCl)OCCSCCCl,-12.72
C(=C/[As](Cl)Cl)\Cl,-0.54
CCN(CCCl)CCCl,-1.39
CN(CCCl)CCCl,-1.77
C(CCl)N(CCCl)CCCl,-4.51
C(=C(F)F)(C(F)(F)F)C(F)(F)F,7.46
C(=O)(Cl)Cl,7.26
C(#N)Cl,7.11
C#N,6.61
C([N+](=O)[O-])(Cl)(Cl)Cl,3.18
P,10.29
Cl,10.48
C1CCCCC1,4.57
COP(=O)(C)OC,-0.04
CC(=O)NC1=CC=C(C=C1)O,-9.67
CC(=O)OC1=CC=CC=C1C(=O)O,-10.59
C(C(=O)O)NCP(=O)(O)O,-16.14
