index,path,count,start_path,end_path,start_path_lat,start_path_lng,end_path_lat,end_path_lng
0,"127.1837788,36.6792622/127.184762,36.6791269",88,"127.1837788,36.6792622","127.184762,36.6791269",36.6792622,127.1837788,36.6791269,127.184762
1,"127.2889636,36.629134/127.289002,36.6289907",88,"127.2889636,36.629134","127.289002,36.6289907",36.629134,127.2889636,36.6289907,127.289002
2,"127.1918373,36.6794853/127.1924999,36.6794762",88,"127.1918373,36.6794853","127.1924999,36.6794762",36.6794853,127.1918373,36.6794762,127.1924999
3,"127.2887891,36.629561/127.2889636,36.629134",88,"127.2887891,36.629561","127.2889636,36.629134",36.629561,127.2887891,36.629134,127.2889636
4,"127.2321365,36.668608/127.2326,36.6682241",88,"127.2321365,36.668608","127.2326,36.6682241",36.668608,127.2321365,36.6682241,127.2326
5,"127.2858094,36.6356426/127.286092,36.6353673",88,"127.2858094,36.6356426","127.286092,36.6353673",36.6356426,127.2858094,36.6353673,127.286092
6,"127.1484097,36.7116868/127.1483408,36.7113269",88,"127.1484097,36.7116868","127.1483408,36.7113269",36.7116868,127.1484097,36.7113269,127.1483408
7,"127.1657298,36.7685496/127.1657779,36.7683046",88,"127.1657298,36.7685496","127.1657779,36.7683046",36.7685496,127.1657298,36.7683046,127.1657779
8,"127.176149,36.681966/127.1765492,36.6817994",88,"127.176149,36.681966","127.1765492,36.6817994",36.681966,127.176149,36.6817994,127.1765492
9,"127.1788072,36.6808842/127.179222,36.680714",88,"127.1788072,36.6808842","127.179222,36.680714",36.6808842,127.1788072,36.680714,127.179222
10,"127.1653473,36.7805084/127.1653285,36.7801892",88,"127.1653473,36.7805084","127.1653285,36.7801892",36.7805084,127.1653473,36.7801892,127.1653285
11,"127.2930621,36.6126744/127.2930817,36.6124815",88,"127.2930621,36.6126744","127.2930817,36.6124815",36.6126744,127.2930621,36.6124815,127.2930817
12,"127.1714164,36.7583067/127.1714099,36.7582508",88,"127.1714164,36.7583067","127.1714099,36.7582508",36.7583067,127.1714164,36.7582508,127.1714099
13,"127.194789,36.6791215/127.1953112,36.6789614",88,"127.194789,36.6791215","127.1953112,36.6789614",36.6791215,127.194789,36.6789614,127.1953112
