index,path,count,start_path,end_path,start_path_lat,start_path_lng,end_path_lat,end_path_lng
0,"126.9418082,34.7299391/126.9414644,34.7297292",23,"126.9418082,34.7299391","126.9414644,34.7297292",34.7299391,126.9418082,34.7297292,126.9414644
1,"127.4728617,34.8941949/127.4725246,34.8940199",23,"127.4728617,34.8941949","127.4725246,34.8940199",34.8941949,127.4728617,34.8940199,127.4725246
2,"126.6609798,34.7037124/126.6605221,34.7038436",23,"126.6609798,34.7037124","126.6605221,34.7038436",34.7037124,126.6609798,34.7038436,126.6605221
3,"126.6340025,34.708808/126.633907,34.7088551",23,"126.6340025,34.708808","126.633907,34.7088551",34.708808,126.6340025,34.7088551,126.633907
4,"127.6117667,34.8230604/127.6116083,34.8232058",23,"127.6117667,34.8230604","127.6116083,34.8232058",34.8230604,127.6117667,34.8232058,127.6116083
5,"127.2551135,34.8294149/127.2499998,34.8290411",23,"127.2551135,34.8294149","127.2499998,34.8290411",34.8294149,127.2551135,34.8290411,127.2499998
6,"126.4828123,34.7451129/126.48258,34.745258",23,"126.4828123,34.7451129","126.48258,34.745258",34.7451129,126.4828123,34.745258,126.48258
7,"127.3775492,34.8233856/127.3773523,34.8233917",23,"127.3775492,34.8233856","127.3773523,34.8233917",34.8233856,127.3775492,34.8233917,127.3773523
8,"126.987853,34.7538507/126.9875737,34.7536132",23,"126.987853,34.7538507","126.9875737,34.7536132",34.7538507,126.987853,34.7536132,126.9875737
9,"127.5058086,34.8984965/127.5033623,34.8979185",23,"127.5058086,34.8984965","127.5033623,34.8979185",34.8984965,127.5058086,34.8979185,127.5033623
10,"126.7533165,34.6950612/126.7525487,34.6954533",23,"126.7533165,34.6950612","126.7525487,34.6954533",34.6950612,126.7533165,34.6954533,126.7525487
11,"127.0796706,34.8145702/127.0762406,34.8137214",23,"127.0796706,34.8145702","127.0762406,34.8137214",34.8145702,127.0796706,34.8137214,127.0762406
12,"126.4474743,34.74425/126.4473715,34.7442581",23,"126.4474743,34.74425","126.4473715,34.7442581",34.74425,126.4474743,34.7442581,126.4473715
13,"126.743786,34.6980765/126.7435183,34.6981028",23,"126.743786,34.6980765","126.7435183,34.6981028",34.6980765,126.743786,34.6981028,126.7435183
14,"126.4156658,34.7455552/126.4156211,34.7455521",23,"126.4156658,34.7455552","126.4156211,34.7455521",34.7455552,126.4156658,34.7455521,126.4156211
15,"127.635103,34.8046939/127.6346288,34.8048251",23,"127.635103,34.8046939","127.6346288,34.8048251",34.8046939,127.635103,34.8048251,127.6346288
16,"127.6456843,34.7813627/127.6455718,34.7814322",23,"127.6456843,34.7813627","127.6455718,34.7814322",34.7813627,127.6456843,34.7814322,127.6455718
17,"127.311272,34.833333/127.3108429,34.8334992",23,"127.311272,34.833333","127.3108429,34.8334992",34.833333,127.311272,34.8334992,127.3108429
18,"126.5516733,34.7381057/126.5504787,34.7384499",23,"126.5516733,34.7381057","126.5504787,34.7384499",34.7381057,126.5516733,34.7384499,126.5504787
19,"126.831357,34.680215/126.830922,34.6801449",23,"126.831357,34.680215","126.830922,34.6801449",34.680215,126.831357,34.6801449,126.830922
20,"126.6262116,34.7190566/126.6256402,34.7199074",23,"126.6262116,34.7190566","126.6256402,34.7199074",34.7190566,126.6262116,34.7199074,126.6256402
21,"127.1497039,34.8081513/127.149113,34.8082623",23,"127.1497039,34.8081513","127.149113,34.8082623",34.8081513,127.1497039,34.8082623,127.149113
22,"127.13277,34.8122098/127.130623,34.8126344",23,"127.13277,34.8122098","127.130623,34.8126344",34.8122098,127.13277,34.8126344,127.130623
23,"127.6013495,34.8344661/127.6001242,34.8359578",23,"127.6013495,34.8344661","127.6001242,34.8359578",34.8344661,127.6013495,34.8359578,127.6001242
24,"126.8749996,34.6937405/126.8745751,34.693713",23,"126.8749996,34.6937405","126.8745751,34.693713",34.6937405,126.8749996,34.693713,126.8745751
25,"127.2352699,34.8287763/127.2282316,34.8287527",23,"127.2352699,34.8287763","127.2282316,34.8287527",34.8287763,127.2352699,34.8287527,127.2282316
26,"126.9317972,34.7188028/126.9312845,34.7182287",23,"126.9317972,34.7188028","126.9312845,34.7182287",34.7188028,126.9317972,34.7182287,126.9312845
27,"127.6483498,34.7787831/127.6486224,34.779056",23,"127.6483498,34.7787831","127.6486224,34.779056",34.7787831,127.6483498,34.779056,127.6486224
28,"126.5733662,34.736637/126.5717757,34.7369387",23,"126.5733662,34.736637","126.5717757,34.7369387",34.736637,126.5733662,34.7369387,126.5717757
29,"126.4175721,34.7455532/126.4172638,34.7455721",23,"126.4175721,34.7455532","126.4172638,34.7455721",34.7455532,126.4175721,34.7455721,126.4172638
30,"126.8827512,34.6962616/126.8826882,34.6962289",23,"126.8827512,34.6962616","126.8826882,34.6962289",34.6962616,126.8827512,34.6962289,126.8826882
31,"127.0892741,34.8151963/127.0877004,34.8152496",23,"127.0892741,34.8151963","127.0877004,34.8152496",34.8151963,127.0892741,34.8152496,127.0877004
32,"127.4113717,34.8582791/127.4113335,34.8582349",23,"127.4113717,34.8582791","127.4113335,34.8582349",34.8582791,127.4113717,34.8582349,127.4113335
33,"127.5919673,34.8534855/127.5915067,34.8544706",23,"127.5919673,34.8534855","127.5915067,34.8544706",34.8534855,127.5919673,34.8544706,127.5915067
34,"126.4506816,34.7439936/126.4505373,34.7440059",23,"126.4506816,34.7439936","126.4505373,34.7440059",34.7439936,126.4506816,34.7440059,126.4505373
35,"126.4786123,34.7448992/126.4782884,34.7444997",23,"126.4786123,34.7448992","126.4782884,34.7444997",34.7448992,126.4786123,34.7444997,126.4782884
36,"127.2282316,34.8287527/127.226974,34.828758",23,"127.2282316,34.8287527","127.226974,34.828758",34.8287527,127.2282316,34.828758,127.226974
37,"127.0306335,34.7756745/127.029544,34.7750833",23,"127.0306335,34.7756745","127.029544,34.7750833",34.7756745,127.0306335,34.7750833,127.029544
38,"127.0723901,34.8123751/127.0709139,34.811764",23,"127.0723901,34.8123751","127.0709139,34.811764",34.8123751,127.0723901,34.811764,127.0709139
39,"126.7466623,34.6975578/126.7462224,34.6976624",23,"126.7466623,34.6975578","126.7462224,34.6976624",34.6975578,126.7466623,34.6976624,126.7462224
40,"126.5309404,34.7521413/126.5308938,34.7522987",23,"126.5309404,34.7521413","126.5308938,34.7522987",34.7521413,126.5309404,34.7522987,126.5308938
41,"127.5295478,34.9049713/127.5292205,34.904975",23,"127.5295478,34.9049713","127.5292205,34.904975",34.9049713,127.5295478,34.904975,127.5292205
42,"126.5327945,34.7495121/126.532583,34.7497575",23,"126.5327945,34.7495121","126.532583,34.7497575",34.7495121,126.5327945,34.7497575,126.532583
43,"126.8145784,34.6830597/126.8137191,34.6833416",23,"126.8145784,34.6830597","126.8137191,34.6833416",34.6830597,126.8145784,34.6833416,126.8137191
44,"126.4181193,34.7454787/126.4178172,34.745522",23,"126.4181193,34.7454787","126.4178172,34.745522",34.7454787,126.4181193,34.745522,126.4178172
45,"126.8791659,34.6947726/126.8791245,34.694758",23,"126.8791659,34.6947726","126.8791245,34.694758",34.6947726,126.8791659,34.694758,126.8791245
46,"126.716165,34.6973474/126.7155898,34.6974393",23,"126.716165,34.6973474","126.7155898,34.6974393",34.6973474,126.716165,34.6974393,126.7155898
47,"127.627951,34.8076783/127.6275721,34.8079457",23,"127.627951,34.8076783","127.6275721,34.8079457",34.8076783,127.627951,34.8079457,127.6275721
48,"126.6494075,34.7061977/126.6488825,34.7062779",23,"126.6494075,34.7061977","126.6488825,34.7062779",34.7061977,126.6494075,34.7062779,126.6488825
49,"126.4832228,34.7448657/126.4829025,34.7450623",23,"126.4832228,34.7448657","126.4829025,34.7450623",34.7448657,126.4832228,34.7450623,126.4829025
50,"127.6423348,34.7835345/127.641659,34.7839853",23,"127.6423348,34.7835345","127.641659,34.7839853",34.7835345,127.6423348,34.7839853,127.641659
51,"126.565676,34.7375268/126.5653418,34.737527",23,"126.565676,34.7375268","126.5653418,34.737527",34.7375268,126.565676,34.737527,126.5653418
52,"126.5298815,34.7542213/126.5295703,34.7542963",23,"126.5298815,34.7542213","126.5295703,34.7542963",34.7542213,126.5298815,34.7542963,126.5295703
53,"126.9361419,34.7253653/126.9351861,34.7241011",23,"126.9361419,34.7253653","126.9351861,34.7241011",34.7253653,126.9361419,34.7241011,126.9351861
54,"127.2810447,34.8344881/127.2793943,34.8341018",23,"127.2810447,34.8344881","127.2793943,34.8341018",34.8344881,127.2810447,34.8341018,127.2793943
55,"127.5133151,34.9002706/127.5132593,34.900257",23,"127.5133151,34.9002706","127.5132593,34.900257",34.9002706,127.5133151,34.900257,127.5132593
56,"127.0323392,34.7764954/127.0316928,34.776198",23,"127.0323392,34.7764954","127.0316928,34.776198",34.7764954,127.0323392,34.776198,127.0316928
57,"127.6381033,34.8042098/127.6381064,34.8041133",23,"127.6381033,34.8042098","127.6381064,34.8041133",34.8042098,127.6381033,34.8041133,127.6381064
58,"127.6352802,34.7967256/127.6352937,34.796951",23,"127.6352802,34.7967256","127.6352937,34.796951",34.7967256,127.6352802,34.796951,127.6352937
59,"126.6008274,34.7280733/126.6000485,34.7281893",23,"126.6008274,34.7280733","126.6000485,34.7281893",34.7280733,126.6008274,34.7281893,126.6000485
60,"126.5682353,34.7374364/126.5678484,34.7374596",23,"126.5682353,34.7374364","126.5678484,34.7374596",34.7374364,126.5682353,34.7374596,126.5678484
61,"127.1996959,34.822605/127.1984138,34.8218525",23,"127.1996959,34.822605","127.1984138,34.8218525",34.822605,127.1996959,34.8218525,127.1984138
62,"127.6001242,34.8359578/127.5992375,34.8370839",23,"127.6001242,34.8359578","127.5992375,34.8370839",34.8359578,127.6001242,34.8370839,127.5992375
63,"127.4104091,34.8571449/127.4090241,34.8551906",23,"127.4104091,34.8571449","127.4090241,34.8551906",34.8571449,127.4104091,34.8551906,127.4090241
64,"127.0447282,34.7892338/127.0440938,34.7879239",23,"127.0447282,34.7892338","127.0440938,34.7879239",34.7892338,127.0447282,34.7879239,127.0440938
65,"126.4179952,34.7420141/126.4184748,34.741591",23,"126.4179952,34.7420141","126.4184748,34.741591",34.7420141,126.4179952,34.741591,126.4184748
66,"126.4336369,34.7435579/126.4326744,34.7434746",23,"126.4336369,34.7435579","126.4326744,34.7434746",34.7435579,126.4336369,34.7434746,126.4326744
67,"127.6346288,34.8048251/127.6332881,34.8053496",23,"127.6346288,34.8048251","127.6332881,34.8053496",34.8048251,127.6346288,34.8053496,127.6332881
68,"126.9063501,34.7083237/126.9060497,34.708187",23,"126.9063501,34.7083237","126.9060497,34.708187",34.7083237,126.9063501,34.708187,126.9060497
69,"127.3959869,34.836583/127.3953945,34.8354535",23,"127.3959869,34.836583","127.3953945,34.8354535",34.836583,127.3959869,34.8354535,127.3953945
70,"126.6147382,34.7262049/126.6143969,34.7262565",23,"126.6147382,34.7262049","126.6143969,34.7262565",34.7262049,126.6147382,34.7262565,126.6143969
71,"126.506418,34.7401535/126.5062403,34.7400294",23,"126.506418,34.7401535","126.5062403,34.7400294",34.7401535,126.506418,34.7400294,126.5062403
72,"127.2082178,34.8265863/127.2058217,34.825695",23,"127.2082178,34.8265863","127.2058217,34.825695",34.8265863,127.2082178,34.825695,127.2058217
73,"126.4766694,34.743258/126.4762882,34.7430781",23,"126.4766694,34.743258","126.4762882,34.7430781",34.743258,126.4766694,34.7430781,126.4762882
74,"126.4457889,34.7444067/126.4445217,34.7444967",23,"126.4457889,34.7444067","126.4445217,34.7444967",34.7444067,126.4457889,34.7444967,126.4445217
75,"127.6134608,34.8216855/127.6129846,34.8220665",23,"127.6134608,34.8216855","127.6129846,34.8220665",34.8216855,127.6134608,34.8220665,127.6129846
76,"127.6071504,34.8277069/127.6024274,34.8331604",23,"127.6071504,34.8277069","127.6024274,34.8331604",34.8277069,127.6071504,34.8331604,127.6024274
77,"126.766132,34.6885111/126.7653105,34.6888235",23,"126.766132,34.6885111","126.7653105,34.6888235",34.6885111,126.766132,34.6888235,126.7653105
78,"126.5333918,34.7488839/126.5332568,34.749028",23,"126.5333918,34.7488839","126.5332568,34.749028",34.7488839,126.5333918,34.749028,126.5332568
79,"127.4586745,34.8869101/127.4570979,34.8861981",23,"127.4586745,34.8869101","127.4570979,34.8861981",34.8869101,127.4586745,34.8861981,127.4570979
80,"127.48315,34.8978327/127.4823849,34.8977234",23,"127.48315,34.8978327","127.4823849,34.8977234",34.8978327,127.48315,34.8977234,127.4823849
81,"127.6358654,34.803564/127.6359774,34.8038732",23,"127.6358654,34.803564","127.6359774,34.8038732",34.803564,127.6358654,34.8038732,127.6359774
82,"127.5474198,34.8979463/127.5472524,34.8980853",23,"127.5474198,34.8979463","127.5472524,34.8980853",34.8979463,127.5474198,34.8980853,127.5472524
83,"126.8119807,34.6837999/126.8114118,34.6839382",23,"126.8119807,34.6837999","126.8114118,34.6839382",34.6837999,126.8119807,34.6839382,126.8114118
84,"126.4797783,34.7460199/126.4793307,34.7460919",23,"126.4797783,34.7460199","126.4793307,34.7460919",34.7460199,126.4797783,34.7460919,126.4793307
85,"126.4590865,34.7426166/126.4587481,34.7426832",23,"126.4590865,34.7426166","126.4587481,34.7426832",34.7426166,126.4590865,34.7426832,126.4587481
86,"126.4445217,34.7444967/126.443774,34.7445326",23,"126.4445217,34.7444967","126.443774,34.7445326",34.7444967,126.4445217,34.7445326,126.443774
87,"127.5679726,34.872708/127.5676227,34.8730599",23,"127.5679726,34.872708","127.5676227,34.8730599",34.872708,127.5679726,34.8730599,127.5676227
88,"126.8205416,34.6809703/126.8196004,34.6812681",23,"126.8205416,34.6809703","126.8196004,34.6812681",34.6809703,126.8205416,34.6812681,126.8196004
89,"126.716656,34.6972595/126.716165,34.6973474",23,"126.716656,34.6972595","126.716165,34.6973474",34.6972595,126.716656,34.6973474,126.716165
90,"126.6773052,34.6992744/126.672998,34.699918",23,"126.6773052,34.6992744","126.672998,34.699918",34.6992744,126.6773052,34.699918,126.672998
91,"126.4156768,34.7445436/126.4158984,34.7441398",23,"126.4156768,34.7445436","126.4158984,34.7441398",34.7445436,126.4156768,34.7441398,126.4158984
92,"126.4416139,34.7443912/126.4394601,34.7441831",23,"126.4416139,34.7443912","126.4394601,34.7441831",34.7443912,126.4416139,34.7441831,126.4394601
93,"126.7270174,34.6956222/126.7269902,34.6956193",23,"126.7270174,34.6956222","126.7269902,34.6956193",34.6956222,126.7270174,34.6956193,126.7269902
94,"127.0107216,34.7667074/127.0100393,34.7665956",23,"127.0107216,34.7667074","127.0100393,34.7665956",34.7667074,127.0107216,34.7665956,127.0100393
95,"126.6880616,34.6961958/126.6873922,34.6963266",23,"126.6880616,34.6961958","126.6873922,34.6963266",34.6961958,126.6880616,34.6963266,126.6873922
