index,path,count,start_path,end_path,start_path_lat,start_path_lng,end_path_lat,end_path_lng
0,"127.331067,36.3668937/127.3310246,36.3668999",11,"127.331067,36.3668937","127.3310246,36.3668999",36.3668937,127.331067,36.3668999,127.3310246
1,"127.3408483,36.3698218/127.3405997,36.3698052",11,"127.3408483,36.3698218","127.3405997,36.3698052",36.3698218,127.3408483,36.3698052,127.3405997
2,"127.3384181,36.3649493/127.3382423,36.3648183",11,"127.3384181,36.3649493","127.3382423,36.3648183",36.3649493,127.3384181,36.3648183,127.3382423
3,"127.3379707,36.3646485/127.3379005,36.3646376",11,"127.3379707,36.3646485","127.3379005,36.3646376",36.3646485,127.3379707,36.3646376,127.3379005
4,"127.3432405,36.3687503/127.3429595,36.3687761",11,"127.3432405,36.3687503","127.3429595,36.3687761",36.3687503,127.3432405,36.3687761,127.3429595
5,"127.331338,36.3668409/127.3312075,36.3668731",11,"127.331338,36.3668409","127.3312075,36.3668731",36.3668409,127.331338,36.3668731,127.3312075
6,"127.330669,36.3669192/127.3301036,36.3669969",11,"127.330669,36.3669192","127.3301036,36.3669969",36.3669192,127.330669,36.3669969,127.3301036
7,"127.3423887,36.3688249/127.3422504,36.3688346",11,"127.3423887,36.3688249","127.3422504,36.3688346",36.3688249,127.3423887,36.3688346,127.3422504
8,"127.3416372,36.3688942/127.3415625,36.3689203",11,"127.3416372,36.3688942","127.3415625,36.3689203",36.3688942,127.3416372,36.3689203,127.3415625
9,"127.3411944,36.3695743/127.3411093,36.3697437",11,"127.3411944,36.3695743","127.3411093,36.3697437",36.3695743,127.3411944,36.3697437,127.3411093
10,"127.3376953,36.3646544/127.3375314,36.3646758",11,"127.3376953,36.3646544","127.3375314,36.3646758",36.3646544,127.3376953,36.3646758,127.3375314
11,"127.3456161,36.3675868/127.3456282,36.3676607",11,"127.3456161,36.3675868","127.3456282,36.3676607",36.3675868,127.3456161,36.3676607,127.3456282
12,"127.3438036,36.3686915/127.3432405,36.3687503",11,"127.3438036,36.3686915","127.3432405,36.3687503",36.3686915,127.3438036,36.3687503,127.3432405
13,"127.3417543,36.3688709/127.3416372,36.3688942",11,"127.3417543,36.3688709","127.3416372,36.3688942",36.3688709,127.3417543,36.3688942,127.3416372
14,"127.3414362,36.3690779/127.3411944,36.3695743",11,"127.3414362,36.3690779","127.3411944,36.3695743",36.3690779,127.3414362,36.3695743,127.3411944
15,"127.3422504,36.3688346/127.3417543,36.3688709",11,"127.3422504,36.3688346","127.3417543,36.3688709",36.3688346,127.3422504,36.3688709,127.3417543
16,"127.33687,36.364894/127.3352246,36.3654579",11,"127.33687,36.364894","127.3352246,36.3654579",36.364894,127.33687,36.3654579,127.3352246
