index,path,count,start_path,end_path,start_path_lat,start_path_lng,end_path_lat,end_path_lng
0,"128.205408,37.4925198/128.2058861,37.4927089",8,"128.205408,37.4925198","128.2058861,37.4927089",37.4925198,128.205408,37.4927089,128.2058861
1,"128.4738132,37.6242154/128.4738155,37.6242163",8,"128.4738132,37.6242154","128.4738155,37.6242163",37.6242154,128.4738132,37.6242163,128.4738155
2,"128.4683991,37.6186412/128.4687797,37.6191572",8,"128.4683991,37.6186412","128.4687797,37.6191572",37.6186412,128.4683991,37.6191572,128.4687797
3,"127.1937162,37.402618/127.1941774,37.4025633",8,"127.1937162,37.402618","127.1941774,37.4025633",37.402618,127.1937162,37.4025633,127.1941774
4,"128.7956778,37.7541658/128.7966505,37.7548797",8,"128.7956778,37.7541658","128.7966505,37.7548797",37.7541658,128.7956778,37.7548797,128.7966505
5,"127.7019545,37.4015172/127.7030338,37.4016244",8,"127.7019545,37.4015172","127.7030338,37.4016244",37.4015172,127.7019545,37.4016244,127.7030338
6,"129.004237,37.6766234/129.0043073,37.6765693",8,"129.004237,37.6766234","129.0043073,37.6765693",37.6766234,129.004237,37.6765693,129.0043073
7,"128.7750564,37.7119253/128.775015,37.712088",8,"128.7750564,37.7119253","128.775015,37.712088",37.7119253,128.7750564,37.712088,128.775015
8,"128.0916992,37.4384162/128.0921868,37.4383246",8,"128.0916992,37.4384162","128.0921868,37.4383246",37.4384162,128.0916992,37.4383246,128.0921868
9,"128.7974866,37.7554329/128.7982248,37.7558411",8,"128.7974866,37.7554329","128.7982248,37.7558411",37.7554329,128.7974866,37.7558411,128.7982248
10,"128.6847243,37.6782745/128.6856996,37.678208",8,"128.6847243,37.6782745","128.6856996,37.678208",37.6782745,128.6847243,37.678208,128.6856996
11,"127.193204,37.4027023/127.1937162,37.402618",8,"127.193204,37.4027023","127.1937162,37.402618",37.4027023,127.193204,37.402618,127.1937162
12,"129.0941947,37.5127871/129.0940445,37.5126954",8,"129.0941947,37.5127871","129.0940445,37.5126954",37.5127871,129.0941947,37.5126954,129.0940445
13,"128.1036615,37.4535248/128.104583,37.4546495",8,"128.1036615,37.4535248","128.104583,37.4546495",37.4535248,128.1036615,37.4546495,128.104583
14,"127.8834622,37.3897231/127.8837056,37.389615",8,"127.8834622,37.3897231","127.8837056,37.389615",37.3897231,127.8834622,37.389615,127.8837056
15,"127.2380474,37.3934213/127.2396543,37.392967",8,"127.2380474,37.3934213","127.2396543,37.392967",37.3934213,127.2380474,37.392967,127.2396543
16,"127.3262778,37.3739346/127.3264063,37.3740358",8,"127.3262778,37.3739346","127.3264063,37.3740358",37.3739346,127.3262778,37.3740358,127.3264063
17,"128.1549991,37.4744161/128.155597,37.4751483",8,"128.1549991,37.4744161","128.155597,37.4751483",37.4744161,128.1549991,37.4751483,128.155597
18,"129.0939325,37.5125878/129.0938063,37.5123453",8,"129.0939325,37.5125878","129.0938063,37.5123453",37.5125878,129.0939325,37.5123453,129.0938063
19,"128.5480583,37.6472936/128.5507372,37.6476411",8,"128.5480583,37.6472936","128.5507372,37.6476411",37.6472936,128.5480583,37.6476411,128.5507372
20,"128.8087124,37.7602161/128.8091496,37.7606078",8,"128.8087124,37.7602161","128.8091496,37.7606078",37.7602161,128.8087124,37.7606078,128.8091496
21,"127.3898566,37.3803377/127.3911676,37.3806211",8,"127.3898566,37.3803377","127.3911676,37.3806211",37.3803377,127.3898566,37.3806211,127.3911676
22,"128.7463034,37.6634473/128.7465872,37.6633992",8,"128.7463034,37.6634473","128.7465872,37.6633992",37.6634473,128.7463034,37.6633992,128.7465872
23,"128.6425372,37.675886/128.6440872,37.6762495",8,"128.6425372,37.675886","128.6440872,37.6762495",37.675886,128.6425372,37.6762495,128.6440872
24,"128.713329,37.6782/128.7135999,37.6781242",8,"128.713329,37.6782","128.7135999,37.6781242",37.6782,128.713329,37.6781242,128.7135999
25,"128.0774618,37.4443113/128.0779523,37.4441439",8,"128.0774618,37.4443113","128.0779523,37.4441439",37.4443113,128.0774618,37.4441439,128.0779523
26,"128.260096,37.5203657/128.2611799,37.5206841",8,"128.260096,37.5203657","128.2611799,37.5206841",37.5203657,128.260096,37.5206841,128.2611799
27,"128.8414233,37.7408848/128.84149,37.7407434",8,"128.8414233,37.7408848","128.84149,37.7407434",37.7408848,128.8414233,37.7407434,128.84149
28,"127.5935405,37.3833636/127.5946714,37.3834654",8,"127.5935405,37.3833636","127.5946714,37.3834654",37.3833636,127.5935405,37.3834654,127.5946714
29,"128.1060977,37.4704344/128.1062017,37.4705718",8,"128.1060977,37.4704344","128.1062017,37.4705718",37.4704344,128.1060977,37.4705718,128.1062017
30,"128.5399404,37.6462713/128.5411499,37.6464309",8,"128.5399404,37.6462713","128.5411499,37.6464309",37.6462713,128.5399404,37.6464309,128.5411499
31,"127.5352599,37.3777409/127.536211,37.3779353",8,"127.5352599,37.3777409","127.536211,37.3779353",37.3777409,127.5352599,37.3779353,127.536211
32,"127.9072856,37.3875604/127.907834,37.3876513",8,"127.9072856,37.3875604","127.907834,37.3876513",37.3875604,127.9072856,37.3876513,127.907834
33,"128.9776951,37.6831975/128.9822117,37.6824415",8,"128.9776951,37.6831975","128.9822117,37.6824415",37.6831975,128.9776951,37.6824415,128.9822117
34,"127.9151739,37.387962/127.9160354,37.387876",8,"127.9151739,37.387962","127.9160354,37.387876",37.387962,127.9151739,37.387876,127.9160354
35,"128.4302901,37.6074191/128.4306758,37.6076468",8,"128.4302901,37.6074191","128.4306758,37.6076468",37.6074191,128.4302901,37.6076468,128.4306758
36,"128.8445929,37.7340963/128.8452622,37.7326386",8,"128.8445929,37.7340963","128.8452622,37.7326386",37.7340963,128.8445929,37.7326386,128.8452622
37,"127.4774031,37.3775818/127.4778459,37.3775386",8,"127.4774031,37.3775818","127.4778459,37.3775386",37.3775818,127.4774031,37.3775386,127.4778459
38,"127.8543939,37.3929974/127.8554176,37.3932711",8,"127.8543939,37.3929974","127.8554176,37.3932711",37.3929974,127.8543939,37.3932711,127.8554176
39,"128.8390803,37.7519429/128.8390835,37.7511128",8,"128.8390803,37.7519429","128.8390835,37.7511128",37.7519429,128.8390803,37.7511128,128.8390835
40,"129.095108,37.5341061/129.0951862,37.5338454",8,"129.095108,37.5341061","129.0951862,37.5338454",37.5341061,129.095108,37.5338454,129.0951862
41,"128.9721586,37.6851928/128.9732921,37.6847667",8,"128.9721586,37.6851928","128.9732921,37.6847667",37.6851928,128.9721586,37.6847667,128.9732921
42,"129.0669875,37.6089995/129.0681048,37.6079897",8,"129.0669875,37.6089995","129.0681048,37.6079897",37.6089995,129.0669875,37.6079897,129.0681048
43,"127.2061605,37.4026577/127.2065379,37.4026559",8,"127.2061605,37.4026577","127.2065379,37.4026559",37.4026577,127.2061605,37.4026559,127.2065379
44,"128.7778118,37.7234661/128.7788122,37.7244998",8,"128.7778118,37.7234661","128.7788122,37.7244998",37.7234661,128.7778118,37.7244998,128.7788122
45,"128.7382344,37.6652871/128.7386247,37.6651658",8,"128.7382344,37.6652871","128.7386247,37.6651658",37.6652871,128.7382344,37.6651658,128.7386247
46,"128.1776248,37.4880666/128.1782498,37.4885164",8,"128.1776248,37.4880666","128.1782498,37.4885164",37.4880666,128.1776248,37.4885164,128.1782498
47,"128.8014183,37.757092/128.8019384,37.7572332",8,"128.8014183,37.757092","128.8019384,37.7572332",37.757092,128.8014183,37.7572332,128.8019384
48,"128.107826,37.4615273/128.1078183,37.461832",8,"128.107826,37.4615273","128.1078183,37.461832",37.4615273,128.107826,37.461832,128.1078183
49,"128.2144338,37.4949912/128.2166252,37.4948941",8,"128.2144338,37.4949912","128.2166252,37.4948941",37.4949912,128.2144338,37.4948941,128.2166252
50,"128.3199998,37.5531323/128.3207302,37.5536645",8,"128.3199998,37.5531323","128.3207302,37.5536645",37.5531323,128.3199998,37.5536645,128.3207302
51,"129.1255259,37.5015609/129.1256753,37.5017202",8,"129.1255259,37.5015609","129.1256753,37.5017202",37.5015609,129.1255259,37.5017202,129.1256753
52,"128.773712,37.689316/128.773562,37.6896997",8,"128.773712,37.689316","128.773562,37.6896997",37.689316,128.773712,37.6896997,128.773562
53,"127.2333645,37.3947197/127.2337592,37.3946124",8,"127.2333645,37.3947197","127.2337592,37.3946124",37.3947197,127.2333645,37.3946124,127.2337592
54,"128.957699,37.6889414/128.9597787,37.6885849",8,"128.957699,37.6889414","128.9597787,37.6885849",37.6889414,128.957699,37.6885849,128.9597787
55,"127.3700951,37.3758099/127.3712468,37.3760284",8,"127.3700951,37.3758099","127.3712468,37.3760284",37.3758099,127.3700951,37.3760284,127.3712468
56,"127.4629278,37.3789302/127.4658443,37.3786661",8,"127.4629278,37.3789302","127.4658443,37.3786661",37.3789302,127.4629278,37.3786661,127.4658443
57,"127.2934116,37.3810469/127.2935936,37.3810057",8,"127.2934116,37.3810469","127.2935936,37.3810057",37.3810469,127.2934116,37.3810057,127.2935936
58,"127.1922622,37.4028585/127.1927405,37.4027795",8,"127.1922622,37.4028585","127.1927405,37.4027795",37.4028585,127.1922622,37.4027795,127.1927405
59,"128.8370128,37.7638982/128.8374592,37.7621429",8,"128.8370128,37.7638982","128.8374592,37.7621429",37.7638982,128.8370128,37.7621429,128.8374592
60,"127.0154748,37.5091915/127.0155811,37.5091955",8,"127.0154748,37.5091915","127.0155811,37.5091955",37.5091915,127.0154748,37.5091955,127.0155811
61,"128.1898499,37.4901249/128.1911052,37.4902104",8,"128.1898499,37.4901249","128.1911052,37.4902104",37.4901249,128.1898499,37.4902104,128.1911052
62,"128.7271998,37.6705497/128.7285086,37.6697483",8,"128.7271998,37.6705497","128.7285086,37.6697483",37.6705497,128.7271998,37.6697483,128.7285086
63,"128.811787,37.7639664/128.8126371,37.7651745",8,"128.811787,37.7639664","128.8126371,37.7651745",37.7639664,128.811787,37.7651745,128.8126371
64,"127.6224138,37.3887734/127.6227542,37.3889561",8,"127.6224138,37.3887734","127.6227542,37.3889561",37.3887734,127.6224138,37.3889561,127.6227542
65,"127.3069506,37.3743914/127.307732,37.3740339",8,"127.3069506,37.3743914","127.307732,37.3740339",37.3743914,127.3069506,37.3740339,127.307732
66,"127.9493501,37.4009458/127.9498614,37.4008681",8,"127.9493501,37.4009458","127.9498614,37.4008681",37.4009458,127.9493501,37.4008681,127.9498614
67,"128.8565094,37.719152/128.8567802,37.7188217",8,"128.8565094,37.719152","128.8567802,37.7188217",37.719152,128.8565094,37.7188217,128.8567802
68,"127.178398,37.4088139/127.1799478,37.4081241",8,"127.178398,37.4088139","127.1799478,37.4081241",37.4088139,127.178398,37.4081241,127.1799478
69,"128.7750292,37.7087495/128.7750773,37.7089067",8,"128.7750292,37.7087495","128.7750773,37.7089067",37.7087495,128.7750292,37.7089067,128.7750773
70,"128.677438,37.6810442/128.6777125,37.6808332",8,"128.677438,37.6810442","128.6777125,37.6808332",37.6810442,128.677438,37.6808332,128.6777125
71,"128.0101741,37.4337333/128.0109239,37.4351244",8,"128.0101741,37.4337333","128.0109239,37.4351244",37.4337333,128.0101741,37.4351244,128.0109239
72,"128.7815446,37.7287828/128.781625,37.7292325",8,"128.7815446,37.7287828","128.781625,37.7292325",37.7287828,128.7815446,37.7292325,128.781625
73,"128.8007314,37.7568869/128.8012073,37.7570349",8,"128.8007314,37.7568869","128.8012073,37.7570349",37.7568869,128.8007314,37.7570349,128.8012073
74,"127.5244684,37.3772704/127.5252172,37.3771432",8,"127.5244684,37.3772704","127.5252172,37.3771432",37.3772704,127.5244684,37.3771432,127.5252172
75,"128.2087248,37.4939574/128.2093494,37.494216",8,"128.2087248,37.4939574","128.2093494,37.494216",37.4939574,128.2087248,37.494216,128.2093494
76,"127.6453771,37.3989042/127.6458859,37.3991019",8,"127.6453771,37.3989042","127.6458859,37.3991019",37.3989042,127.6453771,37.3991019,127.6458859
77,"127.5167971,37.3783453/127.5168423,37.3783444",8,"127.5167971,37.3783453","127.5168423,37.3783444",37.3783453,127.5167971,37.3783444,127.5168423
78,"127.7778111,37.4014687/127.7779695,37.4015125",8,"127.7778111,37.4014687","127.7779695,37.4015125",37.4014687,127.7778111,37.4015125,127.7779695
79,"127.0397945,37.462034/127.0394617,37.4620868",8,"127.0397945,37.462034","127.0394617,37.4620868",37.462034,127.0397945,37.4620868,127.0394617
80,"128.4992409,37.6396244/128.4998037,37.6400099",8,"128.4992409,37.6396244","128.4998037,37.6400099",37.6396244,128.4992409,37.6400099,128.4998037
81,"127.4703332,37.3782571/127.4715204,37.3781348",8,"127.4703332,37.3782571","127.4715204,37.3781348",37.3782571,127.4703332,37.3781348,127.4715204
82,"127.5080839,37.3772772/127.5098911,37.3776727",8,"127.5080839,37.3772772","127.5098911,37.3776727",37.3772772,127.5080839,37.3776727,127.5098911
83,"127.7279365,37.3965484/127.7289528,37.3963698",8,"127.7279365,37.3965484","127.7289528,37.3963698",37.3965484,127.7279365,37.3963698,127.7289528
84,"128.5129746,37.6428078/128.5222432,37.6439807",8,"128.5129746,37.6428078","128.5222432,37.6439807",37.6428078,128.5129746,37.6439807,128.5222432
85,"128.774879,37.6707667/128.7748804,37.670782",8,"128.774879,37.6707667","128.7748804,37.670782",37.6707667,128.774879,37.670782,128.7748804
86,"128.8298873,37.771663/128.8304829,37.7715743",8,"128.8298873,37.771663","128.8304829,37.7715743",37.771663,128.8298873,37.7715743,128.8304829
87,"127.041926,37.4646274/127.0423686,37.464931",8,"127.041926,37.4646274","127.0423686,37.464931",37.4646274,127.041926,37.464931,127.0423686
88,"128.7907881,37.7466794/128.7910075,37.7470249",8,"128.7907881,37.7466794","128.7910075,37.7470249",37.7466794,128.7907881,37.7470249,128.7910075
89,"129.0952253,37.5336628/129.0952617,37.5334578",8,"129.0952253,37.5336628","129.0952617,37.5334578",37.5336628,129.0952253,37.5334578,129.0952617
90,"128.4430869,37.6071742/128.4440747,37.6070743",8,"128.4430869,37.6071742","128.4440747,37.6070743",37.6071742,128.4430869,37.6070743,128.4440747
