index,path,count,start_path,end_path,start_path_lat,start_path_lng,end_path_lat,end_path_lng
0,"127.1589493,37.5704425/127.1603359,37.5710847",203,"127.1589493,37.5704425","127.1603359,37.5710847",37.5704425,127.1589493,37.5710847,127.1603359
1,"127.1498937,37.5665212/127.1499582,37.5665341",203,"127.1498937,37.5665212","127.1499582,37.5665341",37.5665212,127.1498937,37.5665341,127.1499582
2,"127.1416219,37.5667488/127.1418179,37.5667314",203,"127.1416219,37.5667488","127.1418179,37.5667314",37.5667488,127.1416219,37.5667314,127.1418179
3,"127.1408029,37.5668211/127.1416219,37.5667488",203,"127.1408029,37.5668211","127.1416219,37.5667488",37.5668211,127.1408029,37.5667488,127.1416219
4,"127.1566519,37.5694011/127.1576373,37.5698402",203,"127.1566519,37.5694011","127.1576373,37.5698402",37.5694011,127.1566519,37.5698402,127.1576373
5,"127.1484758,37.5663079/127.1488086,37.5663369",203,"127.1484758,37.5663079","127.1488086,37.5663369",37.5663079,127.1484758,37.5663369,127.1488086
6,"127.1561434,37.5691707/127.1562406,37.5692151",203,"127.1561434,37.5691707","127.1562406,37.5692151",37.5691707,127.1561434,37.5692151,127.1562406
7,"127.1494943,37.5664425/127.1496572,37.5664746",203,"127.1494943,37.5664425","127.1496572,37.5664746",37.5664425,127.1494943,37.5664746,127.1496572
8,"127.1474444,37.5662814/127.1479336,37.5662874",203,"127.1474444,37.5662814","127.1479336,37.5662874",37.5662814,127.1474444,37.5662874,127.1479336
9,"127.1429111,37.5666346/127.1430697,37.5666207",203,"127.1429111,37.5666346","127.1430697,37.5666207",37.5666346,127.1429111,37.5666207,127.1430697
10,"127.1507079,37.5667598/127.151151,37.5669243",203,"127.1507079,37.5667598","127.151151,37.5669243",37.5667598,127.1507079,37.5669243,127.151151
11,"127.1576385,37.5698402/127.1582182,37.5701024",203,"127.1576385,37.5698402","127.1582182,37.5701024",37.5698402,127.1576385,37.5701024,127.1582182
12,"127.1404007,37.566856/127.1408029,37.5668211",203,"127.1404007,37.566856","127.1408029,37.5668211",37.566856,127.1404007,37.5668211,127.1408029
