Fold,Train Loss
1,"[4.272902155272243, 3.9632759187507163, 3.780198990278547, 3.5989297806196516, 3.4145004906689334, 3.2610519894177874, 3.07474982301297, 2.883391196104017, 2.7138461180596014, 2.525498080078722, 2.2451133914565107, 2.070228222238405, 1.8465538817687839, 1.670164719187543, 1.4464921461632316, 1.2336580327787143, 1.1450901591107432, 1.0639442406540103, 1.0531964290404379, 1.044596646409163, 0.9096209332529082, 0.8717915178219672, 0.8156911947907912, 0.9031229415557787, 0.9342912193615454, 0.9816558390199992, 0.8339807328501657, 0.8296398755099196, 0.7801179349568187, 0.7999500377253973, 0.6513945665802524, 0.9417463036795991, 0.795024620000191, 0.7937652942312375, 0.7490024286843745, 0.7947637282840198, 0.852146479786171, 0.710332693272523, 0.7463604360454531, 0.766490008253923, 0.8632035523580164, 0.7499132412861496, 0.8741470211001072, 0.7097703658572619, 0.7922646072499618, 0.6687090530955121, 0.7716927540039958, 0.6991215451713879, 0.8178083354511587, 0.6506006175556509, 0.7901967382081272, 0.6505105151523879, 0.7912977633674454, 0.745070814211969, 0.6985372179586322, 0.7829553119127791, 0.6978740738773113, 0.8231549041486894, 0.6866710704812794, 0.7409313243875294, 0.8404960399152014, 0.8425201984955804, 0.7813147192770811, 0.8925968627183536, 0.6828043991312712, 0.6910835793082464, 0.6145771534926734, 0.7755312674785885, 0.8320584565328211, 0.7074057245604275, 0.6852505131280802, 0.85684913877753, 0.6501231764814381, 0.7034107641952253, 0.6271433608747636, 0.6528373056052658, 0.6915709721721472, 0.7776130662279199, 0.655923579899198, 0.6704484268039246, 0.6598752518446347, 0.7239235689121237, 0.8363048931205768, 0.7831012404052435, 0.6690546725956327, 0.8191417027219292, 0.673474146276348, 0.6984474816357302, 0.6059640823774641, 0.7824760824077578, 0.8321059350571014, 0.7075696912546321, 0.6573283724796509, 0.6532844272977274, 0.5937306793511351, 0.7161522028207196, 0.6343751385042895, 0.6196925506032184, 0.7184950774922639, 0.5806116206721746, 0.6958642787047296, 0.7556265362317521, 0.6214411975702039, 0.6907009483841055, 0.6954127966920438, 0.7570543568991216, 0.6584121265737818, 0.7019600600077063, 0.6512580838937923, 0.6205200507763254, 0.6230857308161579, 0.8118529074932369, 0.5427773715814344, 0.6073056946173857, 0.6415672022439448, 0.5447429922798736, 0.7739606195090744, 0.6312951901722654, 0.6797621850571014, 0.5986165370801259, 0.6267657384895754, 0.6763266514449364, 0.6867017442847814, 0.6319162863099488, 0.7210156363788036, 0.5304436718630616, 0.666593957355378, 0.5649798400244678, 0.6557441795367774, 0.6342860130925633, 0.7393944560752813, 0.7634690991240783, 0.6756357435492256, 0.8136910342936994, 0.5856928020934312, 0.6820674747010024, 0.754997006255432, 0.7202246020067583, 0.6083637811152451, 0.5641032221264828, 0.7275576696419191, 0.7502454137452366, 0.6330244885097215, 0.6115722912739425, 0.5943968896469451, 0.6441799247760353, 0.6266968664155321, 0.6951013788908793, 0.6986992982897025, 0.7216111232132667, 0.6834665965334419, 0.6313790645459462, 0.6145358470366462, 0.7755978567967496, 0.5735393211719167, 0.6260398734169659, 0.6375898603705147, 0.6767069296615339, 0.5943617902350018, 0.57749019100497, 0.7494032004060256, 0.7150433034360555, 0.6758364465242493, 0.6168461172388352, 0.6939398268907169, 0.6765740401587451, 0.6195103405157336, 0.6882572010851723, 0.6027033742890673, 0.7509474183061595, 0.6517756212602909, 0.677558469888925, 0.542778749629163, 0.610517364259454, 0.7366889566547422, 0.6811433223174079, 0.6014019236296488, 0.7031733832324338, 0.6363248265459951, 0.5963293392675721, 0.5577228867920221, 0.5927959386177343, 0.543784330410013, 0.509104497858248, 0.5599105853614714, 0.6581142607411429, 0.6415198333106006, 0.6443128259374343, 0.5435051113585679, 0.84740237210374, 0.6580574669872927, 0.5638785000826735, 0.6278176575826258, 0.7480610168942029, 0.6182302507619695, 0.5901785363194995, 0.6503289882594624, 0.6270999512054518, 0.6462894337101496, 0.6332360899535834, 0.657901679974022, 0.5477742775728184, 0.5851816210012273, 0.6084600485915951, 0.5408004233773005, 0.6854110032247156, 0.6180778330870538, 0.6867823798965417, 0.6826364941585327, 0.6066118207712337, 0.6521624446206687, 0.569297389471152, 0.6152982058909819, 0.5930687057942808, 0.5348556747063448, 0.5904412840864186, 0.8024460692277456, 0.5727977822637208, 0.5935623663270386, 0.7425487583598764, 0.6000833488035319, 0.5053743418388087, 0.5287001710066294, 0.5427451984806574, 0.533288459031681, 0.6725858627729719, 0.5720923267541713, 0.5338426370783949, 0.5750521774105455, 0.639138599479694, 0.6398057821035968, 0.5218470790275443, 0.5471534892224449, 0.5630439347917702, 0.5932929521667928, 0.5685129352187178, 0.556552593165913, 0.5545770463267282, 0.537935884191238, 0.5661704452813109, 0.5854244651887702, 0.523216002727779, 0.6468635969465111, 0.6144166400788175, 0.5166981634126024, 0.623065892524999, 0.549267547346269, 0.6998560655962284, 0.6230996278795462, 0.6044363404253001, 0.5871164676321164, 0.6010707608062072, 0.52122469344757, 0.6492980430062067, 0.5792052308621208, 0.6301757001060728, 0.6503407634557896, 0.5426448458272846, 0.5537870728882135, 0.5273812219391242, 0.5987314023715068, 0.5260104410222807, 0.6020326217987135, 0.7075494402486713, 0.6345429035737054, 0.6591101742023944, 0.5246905557683744, 0.5946972201097857, 0.5805839338046123, 0.6536100522813121, 0.5681857293275866, 0.49389175797441476, 0.6482865373196404, 0.5599383048731423, 0.5397796071246084, 0.5740557602973323, 0.551786517164235, 0.6742138104800198, 0.5396937437920232, 0.5069314425032413, 0.5367604584449078, 0.6030419869644427, 0.5286936445166255, 0.5420024074377232, 0.5326089042906074, 0.6749132244977508, 0.5594077098631917, 0.5393736729703498, 0.5935124581483874, 0.6977434041739093, 0.5715531183629864, 0.596583266129995, 0.5550202460627102, 0.5209899426672453, 0.6530093004184714, 0.5217754741752643, 0.5735529967217107, 0.5487302346451067, 0.5472299883592974, 0.5004544829389577]"
2,"[4.237399448683909, 3.9389531105246696, 3.7386302808094722, 3.5381502743746656, 3.373008672066015, 3.176078087543217, 2.9725947671531174, 2.795191207549974, 2.592310506732073, 2.389529118619513, 2.1776291770282175, 1.9383476369246877, 1.7513886570639017, 1.5110461321320103, 1.4028804890975393, 1.2255455847182892, 1.0757148714695117, 1.0381008885017526, 1.0008722505825947, 0.9975184554867174, 0.878300095537181, 0.8956804252195475, 0.7326309022227243, 0.9543334942283723, 0.7530682990486872, 0.7576665202096505, 0.8151590911566774, 0.7904097643341587, 0.8490952162987445, 0.6537598281151508, 0.7365932278061845, 0.7195942792449429, 0.7178989960686794, 0.7556051403502672, 0.7416526612559274, 0.7034990758359578, 0.758896466280837, 0.8525865037167276, 0.6714735544106779, 0.7565749478515028, 0.7256818272373787, 0.7503047723933363, 0.8205553581778753, 0.6597758901731309, 0.6101028866756225, 0.7146834767535146, 0.7321894396196659, 0.6594770683344535, 0.8498237162172648, 0.6687389807479597, 0.6685182482805695, 0.764012229471743, 0.6766583132568956, 0.6905975061990229, 0.5628975282962865, 0.632100804802258, 0.725277704831149, 0.8028051427640659, 0.6184699611150839, 0.5742786566027802, 0.6414253962360559, 0.6433720110681063, 0.6191920861055332, 0.6364866247386979, 0.736172790340806, 0.6170274855746617, 0.7480543808132629, 0.6406018110242624, 0.7149925978084648, 0.6174377590636461, 0.7534759423552049, 0.5827421290950262, 0.6626351176963751, 0.7079105167342281, 0.6428818154743073, 0.6986196326743128, 0.6170292250393072, 0.6368356252357837, 0.7658744826002051, 0.6270018043611335, 0.7325054229325945, 0.4917565091606457, 0.6238623621411312, 0.6948758500712425, 0.5336968997871381, 0.536728705054099, 0.5806603746484136, 0.5965620101518327, 0.678635396700908, 0.7517460587555156, 0.7368973100097955, 0.6121484574595407, 0.622866203849065, 0.6237037234317994, 0.7047971781425196, 0.5761642176248042, 0.6738641687593716, 0.560330402588786, 0.7078671490359132, 0.6386574602943178, 0.5972619651290781, 0.7206065497363401, 0.6238704065821864, 0.7102930166902053, 0.5610544652402547, 0.6198241739809367, 0.5738467400697741, 0.6309556727887365, 0.5720612309089791, 0.569376714655123, 0.6753534722736237, 0.7046640554675263, 0.5215127030911247, 0.7244667155818426, 0.6449461029910808, 0.759385890074639, 0.6252529078998892, 0.6549543506650295, 0.5878344911234886, 0.678647729178804, 0.6839127528929768, 0.5335991306817911, 0.7061298692138971, 0.6193219373744974, 0.7413094177805707, 0.48246472272429897, 0.5811650292506136, 0.6344211060726846, 0.6658135672944682, 0.6026748363429585, 0.6401390248231025, 0.6695447585984955, 0.6839664734371717, 0.5211139926117615, 0.6566883987202913, 0.6587706871312522, 0.6735309959915273, 0.6043135332886339, 0.6475661401352264, 0.6915125415494214, 0.6419151604612765, 0.5704535155541156, 0.5531278787440368, 0.608136624753621, 0.6372824368092134, 0.5176922219889671, 0.6214451545025143, 0.6321063076662843, 0.5342810731062387, 0.7544195972619838, 0.6666516068512187, 0.6385622933907731, 0.5272995079059181, 0.45026657225741734, 0.4691458168123054, 0.6094743663349478, 0.5216020989826081, 0.5929657299536073, 0.5018185426670065, 0.6361033386006624, 0.4709146086918987, 0.5137811907929138, 0.5316436389839154, 0.7017961096355559, 0.5583342456584455, 0.5911198828214538, 0.5436538425809305, 0.6361958846486285, 0.5361536884074689, 0.6165841249498587, 0.5776590216713604, 0.562819427266389, 0.5676472227847372, 0.5201740008403153, 0.5485393948543335, 0.601093646658079, 0.515633963139541, 0.5417205698624217, 0.4885533642943739, 0.5688797547356715, 0.5172713076864304, 0.5117624744517879, 0.5345019105011211, 0.4882525768140126, 0.557803764902875, 0.5541334781786632, 0.5651156838190876, 0.5852831838183414, 0.5801840015028975, 0.5656861163001772, 0.5275983787107584, 0.5399645966247708, 0.6047221279377459, 0.5423358763342673, 0.643451114738483, 0.6034965281964514, 0.6731948829221842, 0.46191419074471246, 0.6461006714837184, 0.6538161461977038, 0.47852395974044987, 0.6203122873469495, 0.4551506881900405, 0.4641354824336642, 0.4832835792037852, 0.5140378737507939, 0.6660064636640852, 0.5467758155393717, 0.6676132556570188, 0.5085336934674923, 0.6286133857111477, 0.5723197512638306, 0.516018105019567, 0.6102079051048074, 0.5369241616545213, 0.6065066391215056, 0.6226612944474722, 0.4747759369008407, 0.4315239806046987, 0.5839002394734502, 0.6382845456559384, 0.6072350061318693, 0.4458136943266852, 0.6170869514819753, 0.5905781631656264, 0.5133596201106214, 0.5322544545591024, 0.4835640270727479, 0.5825721535531116, 0.5293580920305695, 0.4815451941455198, 0.4927045628610625, 0.5320783605785416, 0.6736633911692426, 0.6039617557105925, 0.4323670730031207, 0.5509956261930955, 0.5321896769889701, 0.5836033786130126, 0.5696096023895338, 0.5839719679069986, 0.4623424091665552, 0.48190572034467405, 0.5356010423021387, 0.6376108412054756, 0.5426741672320005, 0.4956531617927085, 0.6774797905919604, 0.5504851096416744, 0.5126357090210857, 0.5372754565660994, 0.5434790753502134, 0.5641251426454278, 0.533479699878646, 0.5365927819809295, 0.527620896150547, 0.5393690281800361, 0.5207254647625688, 0.5987648532559644, 0.4573056144061473, 0.5380499310481811, 0.4953944409097611, 0.5109697216005955, 0.552146869650097, 0.5335877915174863, 0.5008623104515169, 0.5403047738856384, 0.5123866671163471, 0.6039431509003954, 0.6032440516651405, 0.43434985750753313, 0.5328670842140403, 0.6133797279488487, 0.4915001596390181, 0.5706809447272191, 0.5278951696195346, 0.44880019656603376, 0.560395371360126, 0.4769077930590343, 0.5509102245414752, 0.480431083362085, 0.5738777776219152, 0.5693539010866348, 0.49353571567675303, 0.4750909269001781, 0.6133515350976025, 0.4436806396633605, 0.5513954838797049, 0.4671112027902766, 0.5113222173490268, 0.4610060806087876, 0.5238934286066256, 0.545729895967143, 0.5365965430485882, 0.5746249499705718, 0.4901905502841642, 0.6053246379190086, 0.45096760215852544, 0.5461386654954085, 0.579155241073198]"
3,"[4.143209200908036, 3.8467447705257203, 3.637384186164091, 3.456894834933479, 3.2743747496663214, 3.1072442537415, 2.9154330768911647, 2.7152684964877176, 2.53587632307505, 2.331967827160376, 2.1338629874157147, 1.947020700916393, 1.7445797535492913, 1.5182121948391418, 1.3445189366422248, 1.1479891937927396, 1.0559003219044878, 0.9690149489125296, 0.9618253964375167, 0.9084274086800648, 0.8280374671544306, 0.8538658962856004, 0.8008587890848845, 0.8235380317296259, 0.7263489608951186, 0.7901595285877331, 0.9393344496747975, 0.7584824200655836, 0.7859662669212136, 0.722340352960787, 0.7715341292849963, 0.8052881026326298, 0.7992104131610003, 0.8258508411771219, 0.8082194433235598, 0.7919595620451463, 0.71796171939169, 0.6685366898702234, 0.7625987162508416, 0.6788866700636437, 0.7983668450912811, 0.7493097776305705, 0.6456496138444449, 0.6901834972913224, 0.7185487164261871, 0.7271541231710346, 0.6857754490486275, 0.7566400495309993, 0.6881748166818782, 0.6677684131053374, 0.6587510750171316, 0.7486494922404767, 0.6092051480393538, 0.6692531511078254, 0.7916739843876845, 0.7535607447542596, 0.6725616058685377, 0.6239296334879906, 0.5979883991418666, 0.6205719642359353, 0.7797525727661432, 0.6682982946083423, 0.7134324938860382, 0.5966923930534233, 0.6501981343500188, 0.7775653218873264, 0.5838801703418088, 0.6022914639312072, 0.6072616460562336, 0.672344058533461, 0.6499414723776372, 0.6445727103496822, 0.6033558204296458, 0.7145054194629921, 0.6849410353196571, 0.7959570896363201, 0.658432704020829, 0.8486044517647666, 0.6735587901183038, 0.6334282425038681, 0.5554310278671003, 0.6405425876160414, 0.7732574654091833, 0.6611289604951817, 0.6679968705678627, 0.6738748410511717, 0.6712063250739884, 0.5383610713744221, 0.6573684804305471, 0.7051514133555965, 0.619796568723646, 0.6279941129801034, 0.6200593025002328, 0.7078395414469003, 0.7150689873543812, 0.5000855462183871, 0.6962015343178747, 0.8286594680002675, 0.5920141262063771, 0.7650254326519581, 0.6853017643786293, 0.6505456868477147, 0.7109400112646425, 0.6525473816179121, 0.5868660943140902, 0.6672036700260376, 0.5726638621397881, 0.694892456595647, 0.6658717017884942, 0.5954443901267203, 0.6802354266999112, 0.5702540833676065, 0.59349653248682, 0.5278916254020262, 0.6572356725380298, 0.5804664453259307, 0.6191139710853035, 0.6614944509305698, 0.6778796762592344, 0.5623135391832272, 0.7115459745262538, 0.7958815091979533, 0.6101390656748727, 0.6209662980730202, 0.6373353622361908, 0.5021660018958206, 0.5659570833873049, 0.669044119221657, 0.5665396221692521, 0.646121067056446, 0.6435447123930915, 0.7137204475682639, 0.7361334262092423, 0.6225845458163609, 0.6344037533972258, 0.6494971114440768, 0.5833060001102811, 0.6039214402364343, 0.6728794475639361, 0.6406060221142758, 0.5589818068413396, 0.5965702154817092, 0.5792853208509225, 0.5793911740365996, 0.6436555951032196, 0.5857368576497496, 0.6497410049065401, 0.7226278752744344, 0.6435422710801103, 0.5573699736653447, 0.6068692662022225, 0.5738203146638381, 0.6163101149654622, 0.5745337959606664, 0.6245729987370647, 0.7186697537858212, 0.6884385694209987, 0.5981511953116047, 0.6238309585086291, 0.5351384729511289, 0.6727254279959756, 0.6591867409591862, 0.541390073911485, 0.6211601924196724, 0.5769031916387507, 0.6111124896770002, 0.5765686105107911, 0.6823988147353194, 0.5688491905231056, 0.6142500035628713, 0.5128941827414962, 0.5403629386920509, 0.5841082803777494, 0.6724309874630208, 0.6209343115100068, 0.742545004287384, 0.6682403979499649, 0.5867960493838583, 0.5491516001358592, 0.6360201427580966, 0.7421212977476983, 0.6487837513967948, 0.7072799817857066, 0.57986227282685, 0.5225754098962163, 0.5693473396208001, 0.8194358727751268, 0.5342266903529832, 0.58917806434165, 0.6589657916416457, 0.5128495768987753, 0.6159930194211181, 0.616824035831069, 0.5768664600213758, 0.5390122980243711, 0.49602901440086455, 0.6035265188053942, 0.5844229532628887, 0.5287842225911856, 0.5297078386787097, 0.5801511498710054, 0.6107275340259803, 0.7243141253594956, 0.5632633894754797, 0.7019280920984693, 0.5431969626317106, 0.6073916115795779, 0.5537517006647907, 0.5173158062699371, 0.5232828088960904, 0.682059838311305, 0.5651550083113765, 0.6254938400753552, 0.5541764354938983, 0.6419122388135542, 0.5235472868007669, 0.6233099492080054, 0.5870978185192005, 0.5874116892919564, 0.6435493222075744, 0.5990576522565996, 0.5567042950021609, 0.5564641999149089, 0.5727083583915729, 0.5707984448645109, 0.570917570212068, 0.6318673994255533, 0.6881792399585975, 0.5172551325306042, 0.5206066332119893, 0.6326414915052194, 0.525950616029772, 0.6301331485104735, 0.6187445890058224, 0.5947662903802028, 0.6305193866086181, 0.5988731803987312, 0.5140498891144918, 0.5444959696464259, 0.6245808496451902, 0.5019357023728798, 0.507768407136129, 0.5419336822621689, 0.5853814612390943, 0.519628142377858, 0.5836037656788721, 0.5174674661351882, 0.5555033438946041, 0.50776099692347, 0.6662992719916084, 0.5696509274993374, 0.45034869550784234, 0.5548589771709116, 0.533477519718534, 0.6247046127878949, 0.6331590964916575, 0.5844102803535741, 0.5948218599799793, 0.5565820847863382, 0.6642770907115236, 0.5193075888897213, 0.5278976202594039, 0.5511752434056663, 0.6371004085960481, 0.6503964449782244, 0.4884718286379042, 0.5300940534596338, 0.5529323964946719, 0.5480609744568617, 0.6033549367069907, 0.47746472486948327, 0.5791088211507261, 0.5461397940488782, 0.6644470709168824, 0.5910913402119009, 0.47972288341568853, 0.6169098222168268, 0.5668222921693238, 0.5110778855228191, 0.46983497824820447, 0.489984740837862, 0.8110292639883923, 0.5649858325501235, 0.490074430526323, 0.5444188829156181, 0.5898852476572349, 0.5631530104173134, 0.5390199903753975, 0.5425148919625504, 0.6266728007123057, 0.4592180368661298, 0.48477695390472786, 0.5016670320319663, 0.5515923301864661, 0.52047547617868, 0.5820307160356517, 0.6315616826847887, 0.6096694801722295, 0.5405044229222976, 0.5364577682793578]"
4,"[4.228738574935055, 3.9343685905624426, 3.7432713030602938, 3.5657527149452264, 3.3791783339819874, 3.2126768154153615, 3.0369045378817905, 2.853038274862947, 2.6673504892363233, 2.442475754940714, 2.2296549696794057, 2.0771113164850434, 1.8932903168545376, 1.6355827163658982, 1.5051107103492345, 1.2355674939516996, 1.1470300912274125, 1.1109544152444033, 0.9825660360471543, 0.9788282669552381, 0.816496716151902, 1.0632194248563211, 0.9175654460282081, 0.8380020579965307, 0.8835362898399894, 0.8280439027072748, 0.7777946723993949, 0.788028786992677, 0.8646911420565654, 0.7863582876900298, 0.8249557560405405, 0.7321621631351835, 0.8192599699957738, 0.7720539657294313, 0.9072557230158949, 0.8258760820682591, 0.7698384170718764, 0.7245019525653867, 0.7583308674595467, 0.7561015150074853, 0.7502568951445862, 0.6643913870627256, 0.6837447569830785, 0.7252140721365409, 0.7127941569955542, 0.7741995533987479, 0.7811479964874193, 0.6423056702742075, 0.7445864316012282, 0.7643458802426065, 0.7270410719594046, 0.7869929637769032, 0.8467337578025016, 0.8460342505158889, 0.760630733517971, 0.7034024469426908, 0.6637532367100051, 0.6429282703726099, 0.7435232013245375, 0.7283914118349406, 0.777601207089599, 0.7585818936597456, 0.5825525950685981, 0.6540469470408843, 0.5751273917685511, 0.6811758008737727, 0.7687603150719827, 0.7159228802893156, 0.7600213286346211, 0.6480862050884219, 0.6428347589917172, 0.66141882152604, 0.6615426009907991, 0.7925390136271059, 0.7737084087940767, 0.6637191632557615, 0.7320084070518139, 0.6603054988646565, 0.735596948264572, 0.6508618123956881, 0.8520567318046588, 0.7598683956491336, 0.7157841055200852, 0.7053678694447562, 0.6935319270947743, 0.5840451629937132, 0.6291163801272516, 0.6866309811841597, 0.6378636371827068, 0.610556017215794, 0.6489463423749928, 0.7336411907503833, 0.5388483289984444, 0.6581632315675321, 0.7605874171175409, 0.6349598061484638, 0.7466167062885313, 0.5666869939976624, 0.6492214902397473, 0.6384050117436715, 0.7390119697179072, 0.7092591101499525, 0.5729774694279528, 0.6601273692907506, 0.8445331368294788, 0.6815268346324818, 0.6750379366513278, 0.7949596768777936, 0.7202998933115915, 0.5964722341896561, 0.6918131797995719, 0.6174777737456604, 0.607523479788111, 0.6424068763378489, 0.6044090429553193, 0.6645758985598688, 0.5340843247318035, 0.5909950167742218, 0.6783586469431087, 0.5601140817395049, 0.6943952518453808, 0.664930721366901, 0.6737463934788785, 0.649670064595043, 0.6359168964376659, 0.5634325069436817, 0.7235058432394834, 0.6772565958260907, 0.5892812616959178, 0.6721404409058811, 0.706362607718097, 0.5691487491859492, 0.6185160476013034, 0.6070347625060886, 0.614546719856542, 0.6498983611687471, 0.7227001773116059, 0.6304891511688605, 0.6677759912019837, 0.6892201113525988, 0.6672962370595023, 0.5974072920372551, 0.5639609777548494, 0.5496971997771695, 0.6156310452225738, 0.7636788421854704, 0.5911270598619083, 0.8489072048868118, 0.5796151382707442, 0.5692124798128833, 0.5975404100488042, 0.7293306178160577, 0.8218442991485223, 0.5640578771278736, 0.6941571014143144, 0.5786389395193832, 0.6194187621324161, 0.5648512315633536, 0.7187948296880372, 0.6696186438749355, 0.6583517909341453, 0.5815647143897917, 0.6509422614696848, 0.626937213328765, 0.6065203123395775, 0.6595864330935304, 0.641226539984892, 0.6352692140052254, 0.738234408035838, 0.6500520636225097, 0.7057159349213019, 0.6268919289549288, 0.5602863610227999, 0.6497380646050414, 0.546552620773502, 0.581655817101812, 0.5866982476344027, 0.5021643673586671, 0.6638035995744551, 0.6024486173335963, 0.7577237989616861, 0.5118633354205665, 0.5469874589542305, 0.5368442325545406, 0.5928743870742164, 0.6071952922419989, 0.7993372285278619, 0.7931509367702643, 0.5187110691023922, 0.5053530648751481, 0.5891564889175677, 0.813086619295526, 0.5320422258820102, 0.580541225983636, 0.5700440488409588, 0.6347616284284149, 0.652154586717377, 0.6487136994713968, 0.6529433290066521, 0.5806706202350793, 0.6261799726043179, 0.527942240092457, 0.6325994622153583, 0.6312666498944346, 0.5409869494822905, 0.5921309967787167, 0.6583837705019925, 0.5757230931214423, 0.5958517326410941, 0.6821202718832674, 0.5728903912681822, 0.6398031076184112, 0.549527336157913, 0.5571950012430876, 0.5837143126210257, 0.6194843138342673, 0.5395152411425901, 0.6459516651181545, 0.6810380287450217, 0.5971904185698493, 0.5472925134859341, 0.6026427261986768, 0.5918394499128197, 0.5053892881771171, 0.548807344693135, 0.695205455304358, 0.5601777727271642, 0.6156954660392332, 0.603607438887244, 0.506411797260014, 0.5561837986803871, 0.5439056825521231, 0.5752803247540388, 0.6293264146538994, 0.6092845245212097, 0.48798827378848947, 0.5229427901923219, 0.5622162037781806, 0.5826158989903979, 0.5806334689077364, 0.6427367800313861, 0.6274369923001688, 0.5357736899975168, 0.6068756481254596, 0.4673784857565733, 0.7482618551091051, 0.5027087684948461, 0.5198298130175304, 0.6206451919667587, 0.7442793997692304, 0.5683595428839873, 0.6093410897662995, 0.7066525620178372, 0.5840127124180129, 0.550374523060246, 0.5169006991211534, 0.523791847135735, 0.5058664517764065, 0.5402709032912126, 0.5048669241459853, 0.5859923677514409, 0.6646480583619955, 0.5161959594502717, 0.4954483783041061, 0.5908777334870803, 0.5277572575874608, 0.5499452483683168, 0.5063664452662386, 0.6977240462174917, 0.5058395460357293, 0.5520617734540646, 0.6197542992664141, 0.47689298429232646, 0.5562122456893361, 0.6370746640529492, 0.548143316889159, 0.6543417653128104, 0.684162340420674, 0.5445347065447596, 0.5410954934752075, 0.5947103780172857, 0.5370507601712328, 0.5634177424796928, 0.4648283932786116, 0.5214630164260677, 0.5971446888371027, 0.5964976616185569, 0.5020405995525183, 0.6670777080694446, 0.4847981096188422, 0.6526381415667919, 0.6793918329812495, 0.4874067259884114, 0.6389892013848265, 0.5701519819226999, 0.5744767527125575, 0.5502955289808054, 0.5793578444016884, 0.5585682689414923, 0.647775752620184]"
