smiles,use_AUTOCORR3D_071,use_AUTOCORR3D_072,use_AUTOCORR3D_073
Clc1cc(Cl)c(Cl)c2c1c(Cl)c(Cl)cc2Cl,0.647,1.098,1.324
C/C(=N/Nc1[n]c(C)cc(C)[n]1)/c1ccccc1C,0.367,0.488,0.528
CON=C(Cc1c[n]ccc1)c1ccc(Cl)cc1Cl,0.388,0.533,0.624
Clc1cc(Cl)c(cc1)N=C(C[n]1c[n]c[n]1)SCc1ccc(Cl)cc1,0.319,0.411,0.463
CC(C)C(C)N(CC)C(=O)SCc1ccccc1,0.384,0.546,0.628
Clc1cccc2c1oc1c2cc(Cl)c(Cl)c1Cl,0.574,0.906,0.955
CN(SN(CCC(=O)OCC)Cc1ccccc1)C(=O)O/N=C(/C)\SC,0.248,0.322,0.397
CN(SN(CCC(=O)OCC)C(C)C)C(=O)Oc1cccc2CC(C)(C)Oc12,0.26,0.351,0.417
CC1(C)CON(Cc2ccccc2Cl)C1=O,0.507,0.633,0.494
CCCCCCC(C)OC(=O)COc1[n]c(F)c(Cl)c(N)c1Cl,0.286,0.429,0.465
CCCCC(O)(C[n]1c[n]c[n]1)c1ccc(Cl)cc1Cl,0.381,0.524,0.703
Cc1[n]c(NC(=O)NS(=O)(=O)c2cc[s]c2C(=O)OC)[n]c([n]1)OC,0.295,0.422,0.546
COCC(=O)N(c1c(C)cccc1C)N1CCOC1=O,0.344,0.504,0.687
CCOP(=O)(Oc1c[n]([n]c1)-c1ccc(Cl)cc1)SCCC,0.355,0.465,0.576
N#Cc1c[nH]cc1-c1cccc(Cl)c1Cl,0.545,0.804,0.848
Clc1ccccc1-c1[n][n]c([n][n]1)-c1ccccc1Cl,0.394,0.56,0.597
CC(CC1CC(O)=C(C(=O)C1)C(CCC)=NOCC)SCC,0.308,0.437,0.592
CN(C(=O)COc1[n]c2ccccc2[s]1)c1ccccc1,0.363,0.46,0.469
CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)CN(CC#C)C2=O)C1(C)C,0.304,0.399,0.48
O=[N+]1[N-]C(=Nc2ccc(Cl)cc12)[n]1c[n]cc1,0.459,0.594,0.679
CCOC(=O)[C@@H](C)Oc1ccc(cc1)Oc1[n]c2ccc(Cl)cc2o1,0.281,0.369,0.414
FCC(F)(F)OC(F)F,0.499,0.503,0.509
CCCCOC(=O)C(C)Oc1ccc(cc1)Oc1ccc(c[n]1)C(F)(F)F,0.232,0.308,0.35
Clc1cc(Cl)c(cc1)Oc1ccccc1Cl,0.511,0.677,0.654
CCCOC/C(=N\c1ccc(Cl)cc1C(F)(F)F)/[n]1c[n]cc1,0.291,0.387,0.509
O=C(Nc1ccccc1)Nc1cc(Cl)[n]cc1,0.403,0.484,0.534
CC1(C)[C@H]([C@H]1/C=C(\Cl)/C(F)(F)F)C(=O)O[C@H](C#N)c1cccc(c1)Oc1ccccc1,0.228,0.305,0.382
Clc1cc2c(cc1)c(Cl)cc(Cl)c2Cl,0.692,1.053,1.098
CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)[n]1cc[n]c1,0.318,0.448,0.586
Clc1cc2c(oc3c2c(Cl)c(Cl)c(Cl)c3Cl)c(Cl)c1Cl,0.525,0.929,1.038
Clc1cc(Cl)c2oc3c(cc(Cl)c(Cl)c3Cl)c2c1,0.557,0.875,0.998
Clc1cc2Oc3cc(Cl)c(Cl)c(Cl)c3Oc2cc1,0.517,0.794,0.799
CC1(C)[C@H]([C@H]1C(=O)O[C@H](C#N)c1cccc(c1)Oc1ccccc1)C(Br)C(Br)(Br)Br,0.308,0.4,0.478
Clc1cc(ccc1)Oc1cc(Cl)c(Cl)cc1,0.51,0.667,0.593
CCCC(C[n]1c[n]c[n]1)c1ccc(Cl)cc1Cl,0.415,0.556,0.685
Nc1[n]c(NC2CC2)[n]c(N)[n]1,0.488,0.597,0.686
Clc1ccc(Cl)cc1Oc1ccc(Cl)cc1,0.51,0.649,0.576
Clc1cc(Cl)c2c3c(cc(Cl)cc3Cl)oc2c1,0.574,0.838,1.088
CC(C)OC(=O)[C@@H](C)N(c1cc(Cl)c(F)cc1)C(=O)c1ccccc1,0.282,0.412,0.522
Clc1ccc(cc1)Oc1cc(Cl)c(Cl)cc1,0.51,0.667,0.543
CCN(Cc1c(F)cccc1Cl)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0.253,0.395,0.511
CN(C)C(=O)SCCCCOc1ccccc1,0.371,0.442,0.411
Cc1cc(N)ccc1N=Nc1ccc(cc1)[N+]([O-])=O,0.361,0.47,0.451
CCCCCCCCCCCCCCCCCCl,0.274,0.354,0.42
Cc1cc(C)c(cc1)N=C1SC=CN1C,0.53,0.627,0.6
Clc1cc(ccc1Cl)Oc1ccccc1Cl,0.511,0.697,0.575
O=C1C(Cl)C(CN1c1cc(ccc1)C(F)(F)F)CCl,0.405,0.584,0.644
Brc1cc(Br)c(cc1)Oc1cc(Br)c(Br)cc1Br,0.553,0.813,0.817
OC(c1ccccc1Cl)(c1ccc(Cl)cc1)c1c[n]c[n]c1,0.371,0.557,0.703
CN1C=C(C(=O)C(=C1)c1ccccc1)c1cc(ccc1)C(F)(F)F,0.311,0.441,0.554
CN(SN(C)C(=O)O/N=C(\C)/SC)C(=O)O/N=C(\C)/SC,0.311,0.402,0.444
Clc1cc2c(c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,0.623,1.136,1.25
Cc1cccc(C)c1N(C1CCOC1=O)C(=O)CCl,0.385,0.566,0.743
Clc1ccc2oc3cc(Cl)c(Cl)cc3c2c1Cl,0.574,0.885,0.873
Clc1cc(Cl)c(Cl)c2Oc3cc(Cl)c(Cl)cc3Oc12,0.505,0.793,0.819
COCC(F)(F)C(F)C(F)(F)F,0.46,0.559,0.593
Clc1cc2Oc3c(cc(Cl)c(Cl)c3Cl)Oc2c(Cl)c1Cl,0.492,0.829,0.851
COC(=O)C(C)N(c1c(C)cccc1C)C(=O)c1ccco1,0.316,0.473,0.642
Clc1cc2oc3c(ccc(Cl)c3Cl)c2c(Cl)c1Cl,0.558,0.917,0.954
Clc1c(Cl)c2c(cc1Cl)oc1cc(Cl)c(Cl)cc12,0.557,0.892,0.918
Clc1ccc2c(oc3cc(Cl)c(Cl)cc23)c1Cl,0.574,0.878,0.835
Clc1cc2c(oc3cc(Cl)c(Cl)cc32)c(Cl)c1,0.574,0.836,0.914
Clc1c(Cl)c2oc3cc(Cl)c(Cl)cc3c2cc1Cl,0.557,0.887,0.891
COc1c(O)cc(Cl)c(Cl)c1Cl,0.711,1.159,1.058
FC(F)OC(F)C(F)(F)F,0.46,0.481,0.45
Cc1cc(Cl)c(OP(=S)(OC)OC)c(Cl)c1,0.547,0.775,0.92
CC(C)C(O)(c1ccc(cc1)OC(F)(F)F)c1c[n]c[n]c1,0.32,0.464,0.588
Cc1ccccc1C(=O)Nc1cc(ccc1)OC(C)C,0.344,0.453,0.537
Clc1ccc(cc1Cl)Oc1ccccc1,0.514,0.66,0.562
CCCCCCCCSC(=O)Oc1cc(Cl)[n][n]c1-c1ccccc1,0.269,0.364,0.459
OC(=O)COc1[n]c(Cl)c(Cl)cc1Cl,0.544,0.749,0.708
CC(=C)CN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0.288,0.436,0.627
CCOP(=S)(OC(Cl)C(Cl)(Cl)Cl)OCC,0.637,0.819,0.923
Clc1cc(Cl)c2cc(Cl)c(Cl)c(Cl)c2c1,0.668,1.067,1.167
Clc1cccc2c1cc(Cl)c(Cl)c2Cl,0.692,1.114,1.098
Cc1cc(C)[n]c(Nc2ccccc2)[n]1,0.461,0.544,0.598
CCCN(CCC)C(=O)SCc1ccccc1,0.379,0.511,0.589
Clc1c(cccc1Cl)-c1c(Cl)c(Cl)cc(Cl)c1Cl,0.538,0.904,0.983
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,0.523,0.904,0.988
CC1(C)C(C1C=C(Cl)Cl)C(=O)OCc1cccc(c1)Oc1ccccc1,0.286,0.34,0.437
Clc1cc(Cl)c(cc1)Oc1ccccc1,0.514,0.638,0.652
CC(C)C(C(=O)OC(C#N)c1cc(ccc1)Oc1ccccc1)c1ccc(Cl)cc1,0.238,0.333,0.418
CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,0.402,0.592,0.716
CCCOCCN(C(=O)CCl)c1c(CC)cccc1CC,0.298,0.488,0.658
CCOP(C)(=O)SCCN(C(C)C)C(C)C,0.468,0.578,0.682
CCCCOC(=O)CCCCCCCC,0.316,0.409,0.487
COC(=O)c1cc(ccc1[N+]([O-])=O)Oc1ccc(cc1Cl)C(F)(F)F,0.28,0.412,0.491
Fc1cc2Oc3cc(Br)c(Br)cc3Oc2cc1F,0.491,0.725,0.656
Fc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1F,0.469,0.676,0.623
Brc1cc2Oc3cc(Br)c(Br)cc3Oc2cc1Br,0.563,0.869,0.765
Brc1cc2Oc3ccccc3Oc2cc1Br,0.568,0.821,0.734
COCCN(C(=O)CCl)c1c(C)cccc1C,0.39,0.599,0.737
Clc1cc2ccccc2c(Cl)c1Cl,0.714,1.11,1.04
