smiles,use_AUTOCORR3D_071,use_AUTOCORR3D_072,use_AUTOCORR3D_073
COc1ccc(cc1)C(O)(C1CC1)c1c[n]c[n]c1,0.371,0.588,0.71
COC(=O)Nc1[nH]c2ccccc2[n]1,0.483,0.58,0.569
ClC(Cl)=C(Cl)CCl,1.226,1.632,0.734
COP(N)(=O)SC,1.189,1.016,0.216
CCCCCCCCCCCC(=O)OC(C)C,0.297,0.366,0.463
CCC(Cl)(Cl)Cl,1.936,0.934,0
CC(=CC(O)OC)OP(O)(OC)OC,0.445,0.603,0.645
C/C(=C\C(=O)OC(C)c1ccccc1)/OP(=O)(OC)OC,0.313,0.423,0.496
CC(Cl)C(C)Cl,1.304,1.32,0
CCc1cc(C=C)ccc1,0.653,0.817,0.707
O=C[C@@H]1C[C@@H]2[C@@H]3[C@H]1[C@]1(Cl)[C@]4(Cl)[C@H]2[C@]4(Cl)[C@@]3(Cl)C1(Cl)Cl,0.767,1.388,1.167
CSc1ccc(cc1)OP(=O)(OCCC)OCCC,0.356,0.494,0.58
CSc1[n]c(NC(C)C)[n]c(NC(C)C)[n]1,0.412,0.528,0.728
Cc1cc(O)c(cc1Cl)[N+]([O-])=O,0.622,0.866,0.739
CC(C)=C(C)CCC,0.719,0.838,0.561
CCCCCCCCCCCCCCC(=O)OC,0.27,0.351,0.387
Cc1cc(Cl)ccc1O[C@H](C)C(O)=O,0.503,0.646,0.611
CC(CC)C1CCCCC1,0.676,0.785,0.635
Clc1cc(Cl)ccc1-c1ccc(Cl)cc1,0.576,0.774,0.789
CNC(=O)Oc1ccccc1C1OCCO1,0.402,0.498,0.623
CCCCCCCCC(C)C,0.461,0.526,0.609
C/C(=C\C(=O)NC)/OP(=O)(OC)OC,0.442,0.594,0.639
Clc1ccc(cc1)Oc1ccccc1Cl,0.515,0.64,0.545
CC(CC)OC(C)CC,0.58,0.739,0.704
Clc1ccc(cc1)Oc1cc(Cl)ccc1,0.514,0.606,0.563
CCCCCCCCCCCCCCCC=C,0.281,0.357,0.416
CCCCCCCCCCCc1ccccc1,0.33,0.399,0.414
CC1=CC[C@H](CC1=O)C(C)=C,0.667,0.839,0.639
CC(CO[N+]([O-])=O)O[N+]([O-])=O,0.419,0.463,0.595
OC(=O)COc1ccc(Cl)cc1CO,0.475,0.613,0.672
CCCCCCCCCCC(C)=O,0.379,0.442,0.508
Cc1cc(Cl)ccc1N=CN(C)C,0.549,0.664,0.657
CC(C)(C)OC(C)(C)C,0.838,0.561,1.013
CCCCC(C)=C,0.723,0.632,0.526
CCCCC(O)C(O)=O,0.56,0.635,0.526
CCCC(C)O,0.793,0.638,0.508
CCCCCCCCCCCCCC1CCCCC1,0.298,0.362,0.382
CCNc1[n]c(Cl)[n]c(NC(C)(C)C)[n]1,0.466,0.535,0.73
CC1NC(=O)N(C(=O)C=1Cl)C(C)(C)C,0.58,0.847,0.914
CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.355,0.516,0.619
CCCCCCCC1CCCCC1,0.455,0.526,0.536
COP(=S)(Oc1[n]c(Cl)c(Cl)cc1Cl)OC,0.556,0.802,0.788
CCCCCCCC(=O)OC(C)C,0.387,0.443,0.541
Brc1cc(Br)c(cc1)Oc1ccc(Br)cc1Br,0.555,0.757,0.813
CC(Br)C(C)Br,1.547,1.583,0
Cc1ccc(cc1)C(=O)CC,0.612,0.761,0.606
Oc1ccc2ccc3cccc4ccc1c2c34,0.533,0.807,0.878
CC1OCCSC=1C(=O)Nc1ccccc1,0.461,0.598,0.584
Cc1[n]c([n]c(O)c1CCCC)N(C)C,0.439,0.635,0.71
ClC1(Cl)C2(Cl)C3C(C(Cl)C(Cl)C3Cl)C1(Cl)C(Cl)=C2Cl,0.72,1.394,1.343
CC(C)CCCC=C,0.631,0.642,0.64
CCOC(=O)C(=O)Cl,0.678,0.793,0.667
CS(=O)(=O)c1cc(c(c(c1)[N+]([O-])=O)N(CCC)CCC)[N+]([O-])=O,0.308,0.47,0.681
CC(CCC#N)C#N,0.615,0.723,0.616
COC1CCC=CO1,0.718,0.687,0.382
OCCC1CCCCC1,0.69,0.707,0.555
CCCCCCCCCCCCCCCCCCCBr,0.252,0.336,0.41
CCCCCC1CCCCC1,0.552,0.612,0.572
CCCCCCCCCCCI,0.433,0.525,0.616
CCCCCCCCCI,0.521,0.631,0.718
CCCCCCCCCCCCCCCCCCCCBr,0.241,0.305,0.369
Cc1cc2ccccc2o1,0.766,0.809,0.592
CN(C)[N+]([O-])=O,0.81,0.699,0
CCSc1[n]c(NC(C)C)[n]c(NC(C)C)[n]1,0.392,0.491,0.696
O=C(OC(=O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,0.861,0.75,0.642
CCSCCC,0.861,0.855,0.681
CC(C)(C)NCCNC(C)(C)C,0.58,0.462,0.551
NCCCCCCO,0.52,0.638,0.666
CCOC(=O)C(C)(C)C,0.702,0.727,0.6
CCCSC,0.908,0.988,0.526
CC(C)C1CCCC1,0.889,0.733,0.605
CC[C@H](C)CC=C,0.723,0.794,0.585
CCC(C)c1ccccc1OC(=O)NC,0.419,0.59,0.682
CC(=O)CC(C)=C,0.792,0.592,0.684
CC1CCC(C1)CC,0.889,0.791,0.519
CC1CCC(C)C(C)C1C,0.788,1.043,0.564
CCN(O)CC,0.738,0.838,0.291
CCOP(=S)(OP(=S)(OCC)OCC)OCC,0.458,0.712,0.954
CCCCC(COP(=O)OCC(CCCC)CC)CC,0.279,0.395,0.488
C=CC[Si](Cl)(Cl)CC=C,1.1,1.081,1.086
CCCCCCCCSCCO,0.421,0.531,0.598
CC(C)CCC(C)(C)C,0.771,0.578,0.606
CCc1ccc(C=C)cc1,0.653,0.817,0.598
CC(CCO)CC(C)(C)C,0.669,0.613,0.819
CCCCCCCC#C,0.499,0.571,0.561
Ic1ccc[s]1,1.88,1.076,0
ClC(Cl)=C(c1ccccc1Cl)c1ccc(Cl)cc1,0.478,0.673,0.843
CC(C)CC=C(C)C,0.717,0.614,0.611
CCC(C)C(C)=C,0.839,0.964,0.444
CC(CC)=CCC,0.716,0.809,0.632
CCCC(C)C=C,0.719,0.816,0.571
CCCCCCCCCCCCCCCCCCCl,0.261,0.322,0.379
CCCCC(C)Br,0.914,0.773,0.747
CCCCCCC(C)C,0.566,0.568,0.632
CCCCc1ccccc1O,0.567,0.697,0.578
CC(C)(C)C1CCCCC1,0.784,0.817,0.72
O=C=Nc1cccc2c1cccc2N=C=O,0.431,0.648,0.775
Clc1ccc(Cl)[s]1,1.556,1.034,0.494
CC1CC(C)(C)CCC1,0.913,0.825,0.558
CN(OC)C(=O)Nc1ccc(Br)cc1,0.494,0.637,0.552
[O-][N+](=O)c1cc(ccc1O)C=O,0.543,0.727,0.674
CCCCCC[C@H](C)S,0.634,0.665,0.739
C=CCOC(=O)Cl,0.691,0.655,0.683
CCCCCCCCCCCCCCCCS,0.292,0.366,0.432
O=C=Nc1cccc(Cl)c1,0.677,0.792,0.74
CC(=C)c1ccc(cc1)C(C)(C)N=C=O,0.482,0.66,0.691
CCCCCCCCCC1CCCCC1,0.387,0.457,0.474
O=C(Cl)CCCC(=O)Cl,0.694,0.6,0.575
FC(Cl)C(F)(F)F,0.808,0.721,0
Cc1cc(/N=N/c2ccc(cc2)NC(C)=O)c(O)cc1,0.34,0.431,0.447
CC#CCCCCC,0.549,0.659,0.65
CCCOCCO,0.531,0.611,0.635
NC1=C(Cl)C(=O)c2ccccc2C1=O,0.596,0.926,0.89
CCCC=C(C)C,0.717,0.69,0.669
Clc1ccccc1Oc1ccccc1,0.514,0.621,0.562
Cc1cccc(N)c1N,0.793,0.968,0.464
COc1cc(Cl)c(cc1Cl)OC,0.636,0.94,0.919
COc1cc(Cl)c(Cl)c(Cl)c1O,0.71,1.156,0.99
CNC(=O)Oc1cc(cc(c1)C(C)(C)C)C(C)(C)C,0.403,0.512,0.634
CCOP(=S)(OCC)SCN1N=Nc2ccccc2C1=O,0.397,0.562,0.621
COP(=S)(Oc1ccc(cc1)C#N)OC,0.51,0.682,0.671
CNC(=O)Oc1ccccc1C(C)C,0.454,0.612,0.709
C=Cc1ccc(O)cc1,0.723,0.803,0.477
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,0.434,0.608,0.713
CCOc1[n]c([n][s]1)C(Cl)(Cl)Cl,0.81,0.78,1.003
CN(C=O)C(=O)CSP(=S)(OC)OC,0.586,0.745,0.594
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,0.694,1.234,1.174
CCCCCCC(=O)Cl,0.595,0.59,0.655
CCCCCCCCOC(=O)C=C,0.36,0.45,0.487
CN(C)c1ccc(cc1)N=Nc1ccc(cc1)[N+]([O-])=O,0.338,0.439,0.437
[O-][N+](=O)c1ccc(cc1)N=Nc1ccccc1,0.385,0.464,0.428
CCN(CC)c1ccc(cc1)/N=N/c1ccccc1,0.343,0.461,0.486
CCCCCCCCCCl,0.476,0.61,0.673
COP(=S)(Oc1ccc(cc1Cl)[N+]([O-])=O)OC,0.468,0.656,0.703
COc1cc(Cl)c(Cl)cc1O,0.72,1.029,0.795
CC1CCCC1C,1.066,0.804,0
Clc1ccc(cc1)Oc1ccc(Cl)cc1,0.514,0.607,0.507
Cc1cc2[n]c3SC(=O)Sc3[n]c2cc1,0.658,0.756,0.744
Clc1cc(Cl)c(cc1)-c1ccc(Cl)cc1Cl,0.564,0.8,0.902
CCCCCCCCCCCC=C,0.358,0.457,0.536
CCCCCCCCCCCC#N,0.358,0.452,0.509
C=C(Cl)C(Cl)CCl,1.101,1.474,0.731
CCCCOCC1CO1,0.454,0.532,0.606
CC(C)(C)NC=O,0.89,0.587,0.436
Cc1cc(ccc1C)OC(=O)NC,0.498,0.648,0.571
Cc1ccc(C)c(O)c1C,0.748,1.006,0.572
Cc1ccc(O)c(c1)C(C)(C)C,0.662,0.794,0.813
Fc1cc(F)c(F)c(F)c1,0.634,0.735,0.45
CCCCF,0.687,0.594,0.33
CCCOC(=O)c1ccccc1,0.488,0.596,0.611
CC(C)(C)c1ccc(cc1)OC1CCCCC1OS(=O)OCC#C,0.297,0.387,0.46
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,0.491,0.713,0.807
CC(=O)OO[N+]([O-])=O,0.526,0.442,0.448
C=CC(=O)OCCOC(=O)C=C,0.385,0.492,0.488
Clc1c2c(c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c2Cl,0.602,1.143,1.333
ClC1(C(Cl)=C(Cl)C(Cl)=C1Cl)C1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,0.603,1.244,1.325
CC(CCC)CCCC,0.565,0.701,0.759
CCSC(=O)N1CCCCCC1,0.564,0.805,0.678
CCCCCCCCc1ccccc1,0.41,0.471,0.48
CN(C)C(=O)Nc1cc(ccc1)C(F)(F)F,0.404,0.51,0.546
[Na+].C[As]([O-])(O)=O,0.929,0,0
CC(CO)CO,0.78,0.77,0.208
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,0.509,0.891,1.043
Clc1ccccc1C(Cl)(Cl)Cl,0.967,1.072,1.242
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)OC,0.58,0.85,0.84
CCN(Cc1c[n]ccc1)CC,0.501,0.633,0.611
Clc1cc(ccc1)-c1ccccc1,0.59,0.714,0.746
Clc1ccccc1-c1ccccc1,0.59,0.768,0.783
CC(C)CCCC(C)CC,0.563,0.646,0.619
CCCCCNCCCCC,0.405,0.508,0.582
CCCCCCCCCCI,0.477,0.558,0.575
Clc1ccc2ccccc2c1Cl,0.735,1.065,0.885
Clc1cc(ccc1)-c1cc(Cl)ccc1,0.585,0.729,0.782
Cc1cc(CC)cc(CC)c1,0.627,0.806,0.836
CCOC(=O)CCCCCC(=O)OCC,0.316,0.419,0.505
CCCCC1CCCC1,0.691,0.603,0.66
Cc1cc(C=C)c(C)cc1,0.71,0.906,0.672
C=Cc1ccccc1Cl,0.809,1.042,0.661
C=Cc1ccc(Br)cc1,0.858,0.99,0.582
CC(C)c1cc2ccccc2cc1,0.597,0.769,0.693
CCSC(=O)N(CC(C)C)CC(C)C,0.463,0.562,0.806
CC1CCCCC1NC(=O)Nc1ccccc1,0.4,0.484,0.501
CCCCCC(C)Br,0.779,0.704,0.736
CC(C#C)OC(=O)Nc1cccc(Cl)c1,0.434,0.543,0.605
CCCC#CCCC,0.546,0.641,0.66
CCCSC(=O)N(CCC)CCC,0.442,0.65,0.807
CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,0.313,0.411,0.438
CCCCC(COC(=O)COc1cc(Cl)c(Cl)cc1Cl)CC,0.316,0.463,0.484
CC(C)N(C(=O)CCl)c1ccccc1,0.475,0.678,0.853
NC(=S)c1c(Cl)cccc1Cl,0.787,1.114,1.28
CCNc1[n]c(Cl)[n]c(NC(C)C)[n]1,0.457,0.583,0.766
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,0.638,1.169,1.28
ClC(Cl)=C(Cl)C(Cl)(Cl)Cl,1.349,1.575,1.309
O=C(Cl)Oc1ccccc1,0.635,0.641,0.698
Cc1cc(c(O)c(C)c1)C(C)(C)C,0.625,0.801,0.871
CCC(C)CS,0.931,1.168,0.303
CCCCN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0.278,0.439,0.617
COC(=O)c1c(Cl)c(Cl)c(c(Cl)c1Cl)C(=O)OC,0.456,0.837,1.055
CCO[Si](C)(C)C,1.093,0.816,0.705
CC(F)(F)C(F)(F)F,0.709,0.619,0
CCCCCCCCCCC1CCCCC1,0.36,0.42,0.444
CCCCCCCCC1CCCCC1,0.418,0.492,0.506
CCc1cc(C)ccc1C,0.711,0.904,0.679
Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,0.517,0.772,0.698
Cc1cccc2c1Cc1ccccc-21,0.615,0.827,0.806
CC(F)(Cl)Cl,1.942,0,0
CC(C)O[N+]([O-])=O,0.658,0.55,0.65
OC(=O)c1[n]c(Cl)ccc1Cl,0.702,0.929,0.846
NC1C=NN(C(=O)C=1Cl)c1ccccc1,0.504,0.718,0.689
O=C1C(Cl)=C(Cl)C=NN1c1ccccc1,0.53,0.772,0.727
CC1(C)C2CC1CC1OC12C,0.844,0.922,0.501
SC1CCCC1,1.326,0.752,0
CC(C)CC1CCCCC1,0.674,0.669,0.699
CCCCC1CCCCC1,0.62,0.668,0.576
CCC1CCCCC1,0.812,0.81,0.481
N#CCCOCCC#N,0.45,0.522,0.53
CCCCCCCCCC(C)O,0.412,0.456,0.508
CNC(=O)O/N=C/C(C)(C)S(C)(=O)=O,0.515,0.615,0.445
CNC(=O)O/N=C/C(C)(C)S(C)=O,0.519,0.6,0.48
CCC1CCCC1,0.942,0.698,0.454
CCCCc1ccc(O)cc1,0.566,0.666,0.57
CCOC(=O)C(CC(=O)OCC)SP(=O)(OC)OC,0.357,0.513,0.611
CCCCC(=C)CC,0.629,0.756,0.645
C1CCCCS1,1.195,0.7,0
CCNc1[n]c(NC(C)C)[n]c([n]1)OC,0.392,0.519,0.675
CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0.278,0.442,0.639
Cc1cc(Cl)ccc1O,0.856,0.981,0.581
SC1CCCCC1,1.085,0.913,0.295
CC1(C)Cc2cccc(OC(=O)NC)c2O1,0.47,0.579,0.657
CSC(C)C,1.292,0.755,0
CC(C)(C)C(=O)OC(=O)C(C)(C)C,0.566,0.582,0.522
COc1c(cccc1OC)C(O)=O,0.493,0.737,0.829
c1cccc2c(c3ccccc3c(c21)-c1ccccc1)-c1ccccc1,0.315,0.478,0.673
CCCOCC=C,0.547,0.627,0.663
C1OC1C1CO1,0.629,0.86,0
CCCCCCCCCCCCCCCCc1ccccc1,0.25,0.3,0.332
CCCCCCCCCS,0.482,0.598,0.649
Cc1cc(ccc1)Nc1ccccc1,0.499,0.565,0.569
C/C(=C\c1ccccc1)/C(O)=O,0.533,0.616,0.58
CC1(C)C2CC(C)(CC2)C1=O,0.927,0.995,0.379
N#Cc1c(Cl)cccc1Cl,0.805,1.148,0.978
C=C1CCCCC1,0.951,0.755,0.197
O=C1CCC1,0.865,0.289,0
CC=CC#N,0.728,0.703,0.458
CCC(=O)NC,0.742,0.799,0.293
CCN(C1CCCCC1)C(=O)SCC,0.487,0.664,0.833
Cc1cc(ccc1)OC(O)=NC,0.511,0.608,0.603
CCCCOc1ccccc1,0.511,0.567,0.553
CC(CO)c1ccccc1,0.646,0.763,0.639
CCCCCCCCCCCCC=C,0.336,0.418,0.488
N#CCC=CCC#N,0.523,0.585,0.574
COC(=O)CCCC(=O)OC,0.433,0.558,0.536
CNOC,0.706,0.545,0
CNC(=O)CSP(=O)(OC)OC,0.61,0.796,0.687
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,0.526,0.613,0.831
CCCCCCCCCc1ccccc1,0.38,0.437,0.438
Cc1ccc(CCC)cc1,0.655,0.755,0.6
Cc1cccc(CCC)c1,0.655,0.755,0.71
C=Cc1ccc(Cl)cc1,0.809,0.924,0.545
OC(=O)CNCP(O)(O)=O,0.598,0.502,0.598
CC(C)(C)CCC(C)(C)C,0.783,0.537,0.627
CC(C)(C)CC(C)(C)C,0.912,0.589,1.052
CC(C)C(C)CC(C)C,0.701,0.78,0.759
CCC(C(C)C)C(C)C,0.711,0.934,0.913
CC(CC)(CC)CC,0.819,1.086,0.46
O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,0.612,1.158,1.019
ClC1(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C(Cl)=C2Cl,0.739,1.381,1.286
Brc1ccc[s]1,1.706,0.885,0
CCCCCCCCCCCCCCC(O)=O,0.287,0.334,0.384
CCCCCCCCCCCl,0.436,0.548,0.638
C[Si](C)(C)N[Si](C)(C)C,1.171,1.012,1.242
[Cl-].C[N+](C)(C)CCCl,0.68,0.384,0.475
C=CCOC(=O)/C=C\C(=O)OCC=C,0.334,0.42,0.484
CC[Si](Cl)(CC)CC,1.251,1.385,0.511
[O-][N+](=O)c1cc(ccc1Nc1ccccc1)[N+]([O-])=O,0.355,0.479,0.554
COP(=O)(OC(=CCl)c1cc(Cl)c(Cl)cc1Cl)OC,0.431,0.67,0.763
CN(C)C(=O)C(c1ccccc1)c1ccccc1,0.392,0.536,0.692
C(Oc1ccccc1)c1ccccc1,0.466,0.508,0.466
CCP(=S)(OCC)Sc1ccccc1,0.668,0.822,0.876
CC(=O)c1cccc2ccccc21,0.586,0.795,0.821
CCc1cc(C)c(C)cc1,0.711,0.902,0.598
CCc1cc(C)cc(C)c1,0.71,0.838,0.82
Oc1cc(Cl)cc(Cl)c1Cl,0.895,1.242,0.959
[C-]#[N+]c1ccccc1,0.764,0.785,0.477
C[C@@H]1CCC[C@H]1CC,0.89,0.909,0.503
NCCOCCO,0.526,0.57,0.583
CCCCO[N+]([O-])=O,0.51,0.513,0.525
CCCCCC(=O)CCCCC,0.41,0.487,0.542
CCCCN(CCCC)N=O,0.427,0.571,0.645
CCC(C)=CC,0.835,0.905,0.247
CC(C)C(C)C(C)CC,0.709,0.956,0.709
CC(C)(CC)OCC,0.746,0.818,0.606
CCSCCSP(=O)(OC)OC,0.636,0.812,0.759
CCNc1[n]c(NC(C)(C)C)[n]c([n]1)SC,0.433,0.522,0.715
O=C1CCCCCCCCCC1,0.492,0.663,0.815
Cc1cc2ccc(C)[n]c2cc1,0.651,0.803,0.67
CCc1ccc(C)cc1C,0.711,0.904,0.679
CCc1ccc[s]1,1.1,0.757,0.439
CN1CCCC1=O,0.979,0.767,0
Brc1c[s]cc1,1.551,1.068,0
CCCCCCCC(C)C,0.506,0.589,0.663
C=CCS,1.044,0.86,0
COP(=O)OC,0.875,0.759,0.296
COCCCNc1[n]c([n]c(NC(C)C)[n]1)SC,0.338,0.449,0.584
CCNc1[n]c(NC(C)C)[n]c([n]1)SC,0.426,0.569,0.755
Cc1cccc2c3ccccc3ccc21,0.558,0.796,0.814
Cc1c(N)cccc1N,0.792,0.974,0.453
CCCCCCCCCC=C,0.415,0.503,0.577
CCCCCCCC(C)=O,0.486,0.551,0.63
CCOC(=O)CCCC(=O)OCC,0.361,0.456,0.509
CCCCCCCC(=O)CCCCCCC,0.311,0.389,0.455
CC=C(CC)CC,0.716,0.963,0.609
FCC(F)(F)F,0.717,0.343,0
O=P(c1ccccc1)(c1ccccc1)c1ccccc1,0.435,0.642,0.815
Clc1ccc(cc1)C(c1ccccc1Cl)C(Cl)(Cl)Cl,0.512,0.659,0.876
Cc1c2ccccc2cc2ccccc21,0.558,0.795,0.818
C1Cc2ccccc2-c2ccccc21,0.591,0.804,0.787
Oc1c(F)c(F)c(F)c(F)c1F,0.55,0.782,0.543
C[Si](C)(Cl)c1ccccc1,1.001,1.038,0.916
COc1ccccc1Cl,0.783,0.977,0.676
CCCCCCCCCCCCCBr,0.36,0.44,0.489
CC(=C)CCO,0.805,0.617,0.426
CCCC(C)=C,0.835,0.7,0.621
CCOP(O)OCC,0.617,0.804,0.678
CCC(=C)CC,0.833,0.885,0.292
CCC(C)C=C,0.835,0.931,0.244
CCSC(=O)N(CCC)CCC,0.485,0.683,0.87
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.251,0.401,0.436
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,0.366,0.476,0.617
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,0.462,0.6,0.772
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccc(C)cc1,0.5,0.596,0.76
Nc1ccc(cc1)N=Nc1ccc(cc1)[N+]([O-])=O,0.371,0.458,0.422
Cc1c(C)c(C)cc(C)c1C,0.72,1.054,0.755
Cc1cc(CC)cc(O)c1,0.691,0.81,0.771
Cc1cc(O)c(C)c(C)c1,0.748,0.953,0.666
Cl[As](Cl)c1ccccc1,1.047,1.166,0.948
CCCCCCCCCCCBr,0.416,0.531,0.611
CCCCCOCCCCC,0.397,0.487,0.535
CCCCCCCCC(C)=O,0.444,0.52,0.575
[O-][N+](=O)OCCOCCO[N+]([O-])=O,0.319,0.372,0.418
CCSCCCl,0.945,0.968,0.638
C=COC=O,0.607,0.59,0.351
C=CC#C,0.837,0.587,0
O=C(C(F)(F)F)C(F)(F)F,0.552,0.594,0.425
CN(C)P(=O)(N(C)C)N(C)C,0.789,1.036,0.923
C=CC(F)(F)F,0.761,0.475,0
O=C1CCCCN1,0.88,0.701,0.169
C=C1CC(=O)O1,0.834,0.403,0.258
CC(Cl)c1ccccc1,0.811,0.886,0.721
CCCCCCCF,0.519,0.588,0.589
CC(C)CC(=O)OCCC(C)C,0.461,0.483,0.583
C1OCCO1,1.023,0,0
CCCC=C(CC)C=O,0.544,0.734,0.665
CCCc1ccc(O)cc1,0.636,0.727,0.584
CCCOC(=O)C(C)C,0.563,0.648,0.604
CCCc1ccccc1O,0.636,0.782,0.65
CCSCCSP(=S)(OC)OC,0.736,0.888,0.728
CCCCCCCCCCCCC(O)=O,0.321,0.402,0.481
CCCCCCI,0.754,0.824,0.823
Cc1ccc(C)[s]1,1.289,0.735,0.255
CCCC(C)I,1.254,0.9,0.828
CCOC(C)(C)C,0.872,0.637,0.634
CCC(=O)OC(C)C,0.621,0.652,0.709
CC(C)c1cc(C(C)C)c(cc1C(C)C)C(C)C,0.424,0.644,0.861
OC(=O)c1ccc[nH]1,0.766,0.649,0.542
Clc1ccc(Cl)c(Cl)c1Cl,0.965,1.511,0.967
CC[Si](CC)(CC)CC,0.992,1.297,0.773
ClCC(Cl)(Cl)Cl,2.009,1.293,0
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.15,0.201,0.243
CCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.176,0.229,0.277
CCCCCCCCCCCCCCCCCCCCO,0.229,0.293,0.347
CCCCCCCCCCCCCCCCCCI,0.272,0.353,0.414
CCCCCCCCCCCCCCCCC,0.281,0.37,0.445
CCCCCCCCCCCCCCCO,0.294,0.38,0.444
CCCCCCCCCCCCCCC=C,0.297,0.381,0.456
CCCCCCCCCCCCCCC,0.317,0.398,0.457
CCCCCCCCCCCCCC,0.336,0.427,0.497
CCCCCCCCCCCCC,0.359,0.466,0.534
CCCCCCCCI,0.583,0.698,0.721
C1C=CC=CC=CC=1,0.71,0.891,0.474
CCCSSCCC,0.751,0.94,0.83
OCCCCCCO,0.517,0.557,0.566
CCCCCCCCl,0.588,0.627,0.614
CCCCCCC#C,0.547,0.624,0.637
CCCCCCC[C@H](C)O,0.489,0.526,0.58
CCCCCCCCCCCCCCCC(=O)OCC,0.242,0.318,0.391
[O-][N+](=O)OCCO[N+]([O-])=O,0.408,0.443,0.501
CCCCOCC,0.554,0.664,0.633
ClCCCCCCl,0.71,0.781,0.828
CCCCCC#N,0.599,0.609,0.516
CCCCCCC(C)Cl,0.633,0.566,0.544
CC(C)COCC(C)C,0.599,0.526,0.636
O=CNNC=O,0.539,0.534,0.47
CCOCCC,0.601,0.707,0.642
CCCCSC,0.78,0.866,0.804
CCCCCI,0.886,0.896,0.818
CCCCC=C(C)C,0.63,0.629,0.658
COC(=O)CCCCC(=O)OC,0.4,0.512,0.508
O=C(Cl)/C=C/C(=O)Cl,0.796,0.671,0.746
CC(C)CCC(C)O,0.695,0.597,0.643
CC#CCC,0.776,0.76,0.486
CCCO[N+]([O-])=O,0.557,0.565,0.572
CCCOC(N)=O,0.585,0.596,0.608
CCCCC(C)O,0.685,0.615,0.535
CN1CCCCC1,0.915,0.758,0.203
Brc1c[n]ccc1,1.091,0.981,0.346
Cc1ccc(C)[nH]1,0.986,0.701,0.237
CC(C)SC(C)C,1.099,0.728,0.905
CC(=O)NC(C)=O,0.708,0.598,0.688
CCO[N+]([O-])=O,0.612,0.575,0.496
CC(C)OC=O,0.718,0.604,0.429
COCC(O)=O,0.689,0.527,0.425
CCCC(C)Cl,0.991,0.805,0.745
CCC=C(C)C,0.835,0.71,0.616
CCCCC(C)(C)O,0.77,0.572,0.53
CC(=O)CC(C)(C)N,0.844,0.569,0.777
CC(C)(C)CCO,0.943,0.616,0.471
CSSC,1.385,0.631,0
CN=C=O,0.732,0.529,0
FCCF,0.59,0.332,0
CCCCCOC(=O)CC,0.454,0.557,0.557
CCCCC(=O)OC,0.562,0.66,0.543
CCOC(=O)CI,0.749,1,0.787
CC[C@H](O)CCC,0.683,0.8,0.661
Cc1ccc(C=C)cc1,0.748,0.837,0.497
Cc1ccc(CC)cc1,0.749,0.836,0.49
CCc1cccc(O)c1,0.724,0.801,0.588
Cc1cccc(CC)c1,0.748,0.836,0.628
CCCC(CC)CC,0.637,0.864,0.8
Cc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,0.509,0.658,0.719
O=C(Cl)c1cc(Cl)ccc1,0.785,0.923,0.841
O=C(Br)c1ccccc1,0.827,0.918,0.766
CCN(CC)C=O,0.657,0.889,0.537
CCC(CC)CC,0.73,0.962,0.6
CC(C)C(O)CCC,0.695,0.783,0.596
O=C1CCCN1,1.039,0.413,0
Cc1c[s]cc1,1.283,0.619,0
CCC(Cl)CCl,1.068,1.226,0.412
CCC(Cl)CC,0.992,1.087,0.338
CN1C=CC(=O)NC1=O,0.728,0.825,0.401
Cc1ccccc1I,1.092,1.352,0.472
CCOC(=O)c1ccco1,0.564,0.595,0.68
Cc1cc2cc3ccccc3cc2cc1,0.558,0.738,0.688
Cc1cc2[n]cccc2cc1,0.695,0.829,0.631
