중간집결 기한,최종도착 기한,mid_lat,mid_lng,end_lat,end_lng
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
0+8일 12시,0+8일 14시,35.167285,126.8052879,35.2493425,126.6150541
