0,1,2,3,4
"127.1683094,36.8371271","128.4842003,35.8559052","127.1308346,37.5200254","128.5879815,35.8822599","126.7331755,37.4341334"
"127.1682824,36.8371396","128.4841995,35.8553976","127.1308244,37.5200244","128.5880467,35.8822467","126.7331185,37.4341763"
"127.1682397,36.8371602","128.4842222,35.8552576","127.1306366,37.5200076","128.5891631,35.8819859","126.7331151,37.4341781"
"127.1680845,36.8372571","128.4842579,35.8551906","127.1305869,37.5199994","128.5894172,35.881934","126.7330245,37.4341973"
"127.1679013,36.8373675","128.4843244,35.8551081","127.1305621,37.5199831","128.5896702,35.8818831","126.7329512,37.434186"
"127.16778,36.837405","128.4845744,35.8549077","127.1305498,37.5199578","128.5896169,35.8817086","126.7329099,37.4341317"
"127.1676297,36.8373983","128.4847817,35.854741","127.13055,37.5199163","128.5894143,35.8810722","126.7329037,37.4340703"
"127.1674637,36.837396","128.4848563,35.8546809","127.1305582,37.5198451","128.5893853,35.8809814","126.7329178,37.4340253"
"127.1672934,36.8373649","128.4849591,35.8545835","127.1305865,37.5196244","128.5892567,35.8805651","126.7329521,37.4339859"
"127.1670808,36.8372561","128.4849624,35.8544889","127.1304485,37.5196059","128.5892232,35.8804654","126.7330269,37.4339666"
"127.1669546,36.8371233","128.4849663,35.854359","127.1302122,37.5195745","128.5891443,35.8802082","126.7331287,37.4339546"
"127.1669011,36.837051","128.4849761,35.8540731","127.1304948,37.5182468","128.5890529,35.8799251","126.7331933,37.4339442"
"127.1668489,36.8369409","128.4849642,35.8540101","127.1305365,37.5180496","128.5890285,35.8798414","126.7333329,37.433882"
"127.1668429,36.8367777","128.4849581,35.8539651","127.1306117,37.5179497","128.5889995,35.8797416","126.7333828,37.4338697"
"127.1668849,36.8366597","128.4848447,35.8537496","127.1306992,37.5178743","128.5890285,35.8798414","126.7335255,37.4338418"
"127.1669571,36.8365481","128.4847843,35.8536969","127.1308342,37.5178152","128.5890529,35.8799251","126.7335708,37.4338358"
"127.1670822,36.8364151","128.4844358,35.8535465","127.1311835,37.5176631","128.5891443,35.8802082","126.7336126,37.4338334"
"127.1672195,36.8363064","128.4843924,35.853527","127.1314726,37.5175378","128.5892232,35.8804654","126.733798,37.4338337"
"127.1674072,36.8362069","128.4839236,35.853319","127.1315384,37.5175092","128.5892567,35.8805651","126.7338579,37.4338367"
"127.1676365,36.8360894","128.4837911,35.8532687","127.1317573,37.5174134","128.5893853,35.8809814","126.7339425,37.4338463"
"127.1689387,36.8355359","128.4837928,35.853046","127.1318629,37.5175616","128.5894143,35.8810722","126.7340959,37.4338825"
"127.1689132,36.8354646","128.483782,35.8527089","127.1325244,37.5185948","128.5896169,35.8817086","126.7341916,37.4339218"
"127.1688163,36.8353057","128.4837603,35.8524783","127.1330196,37.5193679","128.5896226,35.8817257","126.7343232,37.4339858"
"127.1687203,36.8352099","128.4835191,35.852492","127.1330309,37.5193859","128.5896702,35.8818831","126.7343949,37.4340448"
"127.1681731,36.8346603","128.4834737,35.8524959","127.1331431,37.5195648","128.5897109,35.8820224","126.734405,37.4340557"
"127.167685,36.8342226","128.482841,35.8526409","127.1331689,37.5196153","128.5897306,35.8820881","126.7344924,37.4341275"
"127.167609,36.8341593","128.4820992,35.8527497","127.133262,37.5197977","128.5897632,35.8821996","126.7345436,37.4342098"
"127.167353,36.8339575","128.4813299,35.8528669","127.1333941,37.5200811","128.5899243,35.8827165","126.7345754,37.4343002"
"127.166659,36.8334111","128.4812127,35.852885","127.1334902,37.5203392","128.5899869,35.8829233","126.7346413,37.4344899"
"127.1665785,36.8333478","128.4810624,35.8529078","127.1335738,37.5206018","128.5901371,35.8833745","126.7346588,37.4345495"
"127.1665573,36.8333333","128.4809386,35.8529251","127.1335882,37.5206487","128.5902063,35.8835713","126.7346683,37.4347244"
"127.166127,36.8329868","128.4797325,35.853099","127.1338467,37.5207964","128.590325,35.8839047","126.7346434,37.4348405"
"127.1660577,36.8329353","128.4792967,35.8531449","127.1339223,37.5208399","128.5904697,35.8844417","126.7346002,37.4349746"
"127.1659605,36.8328611","128.4789008,35.853186","127.1340849,37.5209161","128.5904999,35.8845451","126.7345667,37.4350419"
"127.1655078,36.8325154","128.4785025,35.8532172","127.1342262,37.5209454","128.5905466,35.8847177","126.7344321,37.4352772"
"127.1654172,36.8324566","128.4783718,35.8532174","127.1343653,37.5209602","128.5905478,35.8847213","126.7343447,37.4354173"
"127.1652461,36.8323425","128.478167,35.8532236","127.1346867,37.5209666","128.5906857,35.8851691","126.7342822,37.4356765"
"127.1651712,36.8322963","128.4780796,35.8532279","127.1355997,37.5205467","128.5907182,35.885276","126.7342759,37.4360748"
"127.1649788,36.8321696","128.4777009,35.8532337","127.1367486,37.5200293","128.5907622,35.8854145","126.7340656,37.4360762"
"127.1645324,36.8319312","128.4774994,35.8532353","127.1381117,37.5194242","128.5908249,35.8856249","126.7339017,37.4360769"
"127.1638399,36.8315705","128.476411,35.8532577","127.1385653,37.5192299","128.5908712,35.8857651","126.7335196,37.4360771"
