0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"127.1688163,36.8353057","129.1884176,35.8406041","127.1355276,37.4340821","127.3409638,36.363467","126.9257239,35.1698898","127.5211465,34.9339482","129.358599,36.0090576","128.8002893,35.904019","127.3409638,36.363467","126.7343232,37.4339858","127.1330196,37.5193679","129.3564248,35.5607333","128.5579373,35.8570248","128.5579373,35.8570248","126.7343232,37.4339858","128.5652614,35.8580492","129.3564248,35.5607333","126.9167969,37.5136723"
"127.1687203,36.8352099","129.1887663,35.8403891","127.1352396,37.4340227","127.3409159,36.3634687","126.9257541,35.1699684","127.521303,34.9338436","129.3581784,36.0089578","128.8001911,35.9038425","127.3409159,36.3634687","126.7343949,37.4340448","127.1330309,37.5193859","129.3570425,35.560776","128.5576245,35.857491","128.5576245,35.857491","126.7343949,37.4340448","128.5652123,35.8581831","129.3570425,35.560776","126.9168247,37.5137283"
"127.1681731,36.8346603","129.1890119,35.8402243","127.1352114,37.4340163","127.3408835,36.3634804","126.9258036,35.1701084","127.5215702,34.9336614","129.3580367,36.0089248","128.800156,35.9037266","127.3408835,36.3634804","126.734405,37.4340557","127.1331431,37.5195648","129.3571773,35.5607848","128.5574621,35.8577728","128.5574621,35.8577728","126.734405,37.4340557","128.5650999,35.8585582","129.3571773,35.5607848","126.9169283,37.5139433"
"127.167685,36.8342226","129.1890763,35.8401828","127.1351369,37.4339998","127.3403737,36.3636681","126.9258165,35.1701463","127.5217498,34.9339346","129.3578615,36.0088825","128.8001289,35.9036259","127.3403737,36.3636681","126.7344924,37.4341275","127.1331689,37.5196153","129.3573663,35.5607981","128.5574372,35.8578163","128.5574372,35.8578163","126.7344924,37.4341275","128.5650583,35.8586749","129.3573663,35.5607981","126.9170339,37.5141782"
"127.167609,36.8341593","129.1891504,35.8401286","127.1350861,37.4339888","127.3402488,36.363713","126.925823,35.1701635","127.5217619,34.9339581","129.3577689,36.0088586","128.8001309,35.9034789","127.3402488,36.363713","126.7345436,37.4342098","127.133262,37.5197977","129.3574061,35.5608011","128.5573823,35.857934","128.5573823,35.857934","126.7345436,37.4342098","128.5649623,35.8589498","129.3574061,35.5608011","126.9170873,37.5142957"
"127.167353,36.8339575","129.1894343,35.8399416","127.1349867,37.433966","127.339691,36.3639178","126.9259902,35.1701282","127.5218528,34.9341303","129.3574801,36.0087973","128.8001498,35.9032813","127.339691,36.3639178","126.7345754,37.4343002","127.1333941,37.5200811","129.3577071,35.5608415","128.5573748,35.8579494","128.5573748,35.8579494","126.7345754,37.4343002","128.5648525,35.859269","129.3577071,35.5608415","126.9171007,37.5143228"
"127.166659,36.8334111","129.1895877,35.8398141","127.1349122,37.4339495","127.3388399,36.3642232","126.9264257,35.1700266","127.5219229,34.934307","129.357277,36.0087509","128.8001665,35.9032171","127.3388399,36.3642232","126.7346413,37.4344899","127.1334902,37.5203392","129.357831,35.5608558","128.5572045,35.8578905","128.5572045,35.8578905","126.7346413,37.4344899","128.5647866,35.8594743","129.357831,35.5608558","126.9171431,37.5144068"
"127.1665785,36.8333478","129.1897346,35.8396904","127.134876,37.4339449","127.3386425,36.3642897","126.9265544,35.1699974","127.52197,34.9344774","129.3571087,36.0087165","128.8001782,35.9031863","127.3386425,36.3642897","126.7346588,37.4345495","127.1335738,37.5206018","129.3582867,35.5609083","128.5571878,35.8578852","128.5571878,35.8578852","126.7346588,37.4345495","128.5646618,35.8599208","129.3582867,35.5609083","126.917212,37.5145658"
"127.1665573,36.8333333","129.1898465,35.8395887","127.1348478,37.4339412","127.3383379,36.3643884","126.9269921,35.1699021","127.5220633,34.9351195","129.3570229,36.0086998","128.8002037,35.9031184","127.3383379,36.3643884","126.7346683,37.4347244","127.1335882,37.5206487","129.35898,35.5610689","128.5570299,35.8578307","128.5570299,35.8578307","126.7346683,37.4347244","128.5646249,35.8600581","129.35898,35.5610689","126.9172927,37.5146626"
"127.166127,36.8329868","129.1901763,35.8393749","127.1337489,37.4337494","127.3383034,36.3644001","126.9270615,35.1698826","127.5220721,34.9351907","129.3567891,36.0086647","128.8002452,35.9030143","127.3383034,36.3644001","126.7346434,37.4348405","127.1338467,37.5207964","129.3591608,35.5611112","128.5565879,35.8576606","128.5565879,35.8576606","126.7346434,37.4348405","128.5645993,35.8602161","129.3591608,35.5611112","126.9173353,37.5147142"
"127.1660577,36.8329353","129.1904912,35.8391875","127.1336416,37.4337284","127.3382253,36.3644252","126.9273892,35.1698138","127.5221379,34.9357471","129.3566056,36.0086459","128.8003814,35.9027387","127.3382253,36.3644252","126.7346002,37.4349746","127.1339223,37.5208399","129.3598241,35.5612659","128.5564321,35.8576033","128.5564321,35.8576033","126.7346002,37.4349746","128.5642992,35.8601358","129.3598241,35.5612659","126.9175442,37.5149162"
"127.1659605,36.8328611","129.1907994,35.8390497","127.133173,37.4336368","127.3379698,36.3645196","126.927619,35.1697662","127.522184,34.9362475","129.3564134,36.0086353","128.8004286,35.9026427","127.3379698,36.3645196","126.7345667,37.4350419","127.1340849,37.5209161","129.3604824,35.5614397","128.556244,35.8575302","128.556244,35.8575302","126.7345667,37.4350419","128.563542,35.859909","129.3604824,35.5614397","126.9176083,37.514967"
"127.1655078,36.8325154","129.1920113,35.838563","127.1329437,37.4335919","127.3379642,36.3645214","126.9277741,35.1697327","127.5222467,34.9369509","129.3562904,36.0086418","128.8005005,35.9024994","127.3379642,36.3645214","126.7344321,37.4352772","127.1342262,37.5209454","129.3608562,35.5615268","128.5554959,35.8572383","128.5554959,35.8572383","126.7344321,37.4352772","128.5633997,35.8598661","129.3608562,35.5615268","126.917714,37.5150505"
"127.1654172,36.8324566","129.1930103,35.8381649","127.1328094,37.4335654","127.3377924,36.3645842","126.9278489,35.1697195","127.522262,34.9370825","129.3558115,36.0087078","128.8005829,35.9023886","127.3377924,36.3645842","126.7343447,37.4354173","127.1343653,37.5209602","129.3610377,35.561551","128.5549527,35.857033","128.5549527,35.857033","126.7343447,37.4354173","128.5633418,35.8598495","129.3610377,35.561551","126.9176523,37.515125"
"127.1652461,36.8323425","129.1934891,35.8379787","127.1327247,37.4335498","127.3375314,36.3646758","126.928248,35.1696438","127.522262,34.9370834","129.3555871,36.008741","128.8005991,35.9023659","127.3375314,36.3646758","126.7342822,37.4356765","127.1346867,37.5209666","129.361263,35.5615629","128.5546967,35.856937","128.5546967,35.856937","126.7342822,37.4356765","128.563184,35.859804","129.361263,35.5615629","126.9173644,37.5156247"
"127.1651712,36.8322963","129.1949197,35.8374159","127.1325993,37.4335241","127.33687,36.364894","126.9283888,35.1696129","127.5222873,34.9373242","129.3545742,36.0089333","128.800635,35.9023249","127.33687,36.364894","126.7342759,37.4360748","127.1355997,37.5205467","129.3613293,35.5615663","128.5545119,35.8568665","128.5545119,35.8568665","126.7342759,37.4360748","128.5628982,35.8597218","129.3613293,35.5615663","126.917315,37.515729"
"127.1649788,36.8321696","129.1954368,35.837212","127.1323926,37.4334856","127.3352246,36.3654579","126.9289607,35.1694876","127.5223235,34.937656","129.3541797,36.0090034","128.8009787,35.9019948","127.3352246,36.3654579","126.7340656,37.4360762","127.1367486,37.5200293","129.3616019,35.561572","128.5544273,35.8568348","128.5544273,35.8568348","126.7340656,37.4360762","128.5621222,35.859497","129.3616019,35.561572","126.9170733,37.5162479"
"127.1645324,36.8319312","129.1955951,35.8371584","127.1313402,37.4332759","127.3347706,36.3656223","126.9292181,35.1694302","127.5223641,34.9380528","129.3540118,36.0090331","128.8010647,35.9019028","127.3347706,36.3656223","126.7339017,37.4360769","127.1381117,37.5194242","129.3615828,35.5619834","128.55405,35.8566939","128.55405,35.8566939","126.7339017,37.4360769","128.5619865,35.8594576","129.361678,35.5615709","126.9167888,37.5168883"
"127.1638399,36.8315705","129.1960223,35.8370469","127.1311087,37.4332284","127.3346746,36.3656537","126.9295986,35.1693472","127.5223927,34.9383504","129.3537079,36.0090838","128.8011453,35.9018163","127.3346746,36.3656537","126.7335196,37.4360771","127.1385653,37.5192299","129.3615585,35.5623165","128.5538864,35.8566331","128.5538864,35.8566331","126.7335196,37.4360771","128.5606375,35.8590331","129.3623788,35.561579","126.9165483,37.5174045"
"127.1636742,36.8314871","129.1964003,35.8369668","127.1310522,37.4332192","127.3332958,36.3661485","126.9296624,35.1693331","127.5224355,34.9388842","129.3536614,36.0090908","128.8014138,35.9015691","127.3332958,36.3661485","126.7327295,37.4360774","127.1388193,37.519119","129.3614798,35.5633986","128.553016,35.8563044","128.553016,35.8563044","126.7327295,37.4360774","128.5606041,35.8590226","129.3624538,35.5615778","126.9167132,37.5174431"
"127.1634068,36.8313466","129.1967416,35.8369295","127.1309845,37.4332072","127.3328708,36.3663012","126.9297866,35.1693075","127.522452,34.9390303","129.3534958,36.009124","128.8016758,35.9013264","127.3328708,36.3663012","126.7324209,37.4360772","127.139087,37.5190017","129.3614398,35.5639581","128.552356,35.8560551","128.552356,35.8560551","126.7324209,37.4360772","128.5597867,35.8587666","129.3626478,35.5615694","126.9168353,37.5174591"
"127.1632166,36.8312478","129.1969274,35.8369215","127.130849,37.4331816","127.3328049,36.3663254","126.9300088,35.1692581","127.5225025,34.9396435","129.3533366,36.0091499","128.8018526,35.9011631","127.3328049,36.3663254","126.7323339,37.4360766","127.1400078,37.5185899","129.3612978,35.5642578","128.5520087,35.8559175","128.5520087,35.8559175","126.7323339,37.4360766","128.5595742,35.8586936","129.3641858,35.5613816","126.9169145,37.5174567"
"127.1632515,36.8312173","129.1970402,35.8369163","127.1306322,37.433134","127.3325484,36.3664161","126.9303156,35.1691919","127.522597,34.9406264","129.3529874,36.0092076","128.8019604,35.9010448","127.3325484,36.3664161","126.73217,37.4360729","127.1421602,37.5176383","129.3612799,35.5645358","128.5519084,35.855876","128.5519084,35.855876","126.73217,37.4360729","128.5586875,35.8583913","129.3644068,35.5613475","126.9169995,37.5174482"
"127.163605,36.8309064","129.197306,35.8369206","127.1304109,37.4330829","127.3324792,36.3664413","126.9305136,35.1691495","127.522608,34.9407147","129.3525995,36.0092749","128.8019756,35.9010266","127.3324792,36.3664413","126.732172,37.4359909","127.1433813,37.5171498","129.3612615,35.5646911","128.5518661,35.8558583","128.5518661,35.8558583","126.732172,37.4359909","128.558574,35.8583499","129.3649962,35.5612644","126.9170504,37.5174403"
"127.1636906,36.83083","129.1974169,35.8369263","127.1294307,37.4328914","127.3321367,36.3665562","126.930628,35.1691239","127.5226848,34.9412927","129.3523851,36.0093079","128.8020092,35.9009838","127.3321367,36.3665562","126.732174,37.4357917","127.1435456,37.517089","129.3613238,35.5653356","128.5517559,35.8558133","128.5517559,35.8558133","126.732174,37.4357917","128.5585428,35.8583385","129.3653371,35.5612159","126.9171162,37.5174244"
"127.1639867,36.8305685","129.1976574,35.8369391","127.1293697,37.4328786","127.3320375,36.3665912","126.9309744,35.1690498","127.5226991,34.9415065","129.3511621,36.0095332","128.8020287,35.9009566","127.3320375,36.3665912","126.7321795,37.4357016","127.1437836,37.5170276","129.3613122,35.5660245","128.5504321,35.8552848","128.5504321,35.8552848","126.7321795,37.4357016","128.558426,35.8582989","129.3655241,35.5611941","126.9171843,37.5174004"
"127.1646835,36.8299521","129.1979438,35.8369765","127.1293629,37.4328768","127.3317519,36.3666972","126.9319533,35.16882","127.5227101,34.9419474","129.3497743,36.0097746","128.8021032,35.9008377","127.3317519,36.3666972","126.7321872,37.4348327","127.1438153,37.5170195","129.3611622,35.5680327","128.5503999,35.8552716","128.5503999,35.8552716","126.7321872,37.4348327","128.5581036,35.8582901","129.3663942,35.5610823","126.9172127,37.5173897"
"127.1650269,36.8296474","129.1982773,35.8370403","127.1290581,37.4328109","127.3314596,36.366805","126.932348,35.1687506","127.5227058,34.942282","129.3481742,36.0100508","128.8021694,35.9006801","127.3314596,36.366805","126.7321914,37.4335384","127.1438912,37.5170044","129.3611119,35.5689079","128.5503242,35.8552416","128.5503242,35.8552416","126.7321914,37.4335384","128.5579552,35.8582932","129.3665691,35.561058","126.9172886,37.5173694"
"127.1650708,36.8296088","129.1985813,35.8371244","127.1290129,37.4328009","127.331338,36.3668409","126.9326371,35.1687159","127.5227048,34.9423325","129.3480427,36.0100736","128.8022342,35.9005144","127.331338,36.3668409","126.7321922,37.4333482","127.144215,37.5169531","129.3610115,35.57015","128.5485867,35.8545833","128.5485867,35.8545833","126.7321922,37.4333482","128.5578004,35.8583144","129.3677049,35.5609385","126.9179405,37.5172112"
"127.1651225,36.8295711","129.1987762,35.8371775","127.1290375,37.4326351","127.3312075,36.3668731","126.9326404,35.1685554","127.5226896,34.943089","129.3479874,36.0100825","128.8022874,35.9003786","127.3312075,36.3668731","126.7321958,37.4332175","127.1446001,37.5168975","129.3609924,35.5705172","128.5483697,35.8545014","128.5483697,35.8545014","126.7321958,37.4332175","128.5576505,35.8583671","129.3679019,35.5609183","126.9182115,37.517145"
"127.1653623,36.8293581","129.1988498,35.8371999","127.129041,37.4326117","127.331067,36.3668937","126.9326443,35.1684652","127.5226919,34.9431666","129.3477675,36.0101229","128.802314,35.9003107","127.331067,36.3668937","126.7322039,37.4329787","127.145224,37.5168075","129.3609865,35.5706444","128.5482195,35.854445","128.5482195,35.854445","126.7322039,37.4329787","128.5575723,35.8583993","129.3690767,35.5607676","126.9186504,37.5170236"
"127.1654129,36.8293177","129.1990213,35.837248","127.1290527,37.4325297","127.3310246,36.3668999","126.9326527,35.1680505","127.5226451,34.9444354","129.3470993,36.0102495","128.8023566,35.9002075","127.3310246,36.3668999","126.7322061,37.4328778","127.145831,37.5167101","129.3609849,35.5706714","128.5481872,35.8544335","128.5481872,35.8544335","126.7322061,37.4328778","128.5570912,35.8586948","129.3695947,35.5606983","126.9187071,37.5170077"
"127.1660961,36.8287409","129.1994222,35.8373595","127.1290866,37.432308","127.3308964,36.3669051","126.9326618,35.1676917","127.5226397,34.9448222","129.3467493,36.0103243","128.8025915,35.9002734","127.3308964,36.3669051","126.7322064,37.4328409","127.1463689,37.5166234","129.3609661,35.5708574","128.5481627,35.8544238","128.5481627,35.8544238","126.7322064,37.4328409","128.5570639,35.8588104","129.3704614,35.5605821","126.9188249,37.5169875"
"127.1661929,36.8286546","129.1994634,35.8373706","127.1291866,37.4315079","127.330669,36.3669192","126.9326497,35.1672164","127.5226409,34.9449981","129.3461491,36.0105165","128.8026772,35.9002977","127.330669,36.3669192","126.7322147,37.4326976","127.1470866,37.5165588","129.3609584,35.5709549","128.5480993,35.8543991","128.5480993,35.8543991","126.7322147,37.4326976","128.5570212,35.8590136","129.3710212,35.5605076","126.9189732,37.5169739"
"127.1662965,36.828562","129.2000396,35.8375473","127.1292242,37.4312079","127.3301036,36.3669969","126.9326296,35.167109","127.5226367,34.9457492","129.3460797,36.0105365","128.8038482,35.9006898","127.3301036,36.3669969","126.7322184,37.4325579","127.1471693,37.5165519","129.3609491,35.5711246","128.5477843,35.8542838","128.5477843,35.8542838","126.7322184,37.4325579","128.5570087,35.8590732","129.3710872,35.5605011","126.9193311,37.5169378"
"127.166346,36.8285198","129.2007747,35.8377568","127.1292871,37.4306078","127.3294248,36.3669977","126.9326285,35.1671036","127.5226302,34.9460017","129.3459499,36.0105863","128.8040053,35.9007422","127.3294248,36.3669977","126.7322358,37.4322885","127.1475564,37.516517","129.3608741,35.5728909","128.547633,35.8542256","128.547633,35.8542256","126.7322358,37.4322885","128.5569869,35.8591825","129.3714999,35.5604569","126.9195754,37.5169498"
"127.1663812,36.8284252","129.2020791,35.8381287","127.1292942,37.4305375","127.3278039,36.3670071","126.9325659,35.166785","127.5226053,34.9468908","129.3453748,36.0108079","128.8041068,35.9007799","127.3294034,36.3670716","126.7322359,37.4322831","127.1478351,37.5164556","129.3606132,35.5760195","128.5472367,35.8540749","128.5472367,35.8540749","126.7322359,37.4322831","128.5569528,35.8593712","129.3715615,35.5604496","126.9196969,37.5168972"
"127.1663892,36.8283946","129.2023751,35.8382507","127.1293038,37.4304366","127.3276579,36.3670105","126.9325382,35.1666658","127.5225977,34.9471587","129.3441379,36.0113894","128.8043954,35.9008768","127.3293754,36.3671509","126.7322383,37.4322723","127.1485499,37.5162829","129.3606679,35.5762386","128.546628,35.8538521","128.546628,35.8538521","126.7322383,37.4322723","128.5569498,35.8593911","129.3719609,35.5604028","126.919832,37.5168438"
"127.1663849,36.8283459","129.2024142,35.8382664","127.1293205,37.4302545","127.3273213,36.3670136","126.9325284,35.1666487","127.5225912,34.9473913","129.3440622,36.0114248","128.8051167,35.9011448","127.3283994,36.3694511","126.7322599,37.4321472","127.1487742,37.5162331","129.3605853,35.577246","128.5458246,35.853558","128.5458246,35.853558","126.7322599,37.4321472","128.5568784,35.8597695","129.3721798,35.5603751","126.9203188,37.5166704"
"127.166366,36.8282999","129.2024905,35.838314","127.1293252,37.4302077","127.3270994,36.367016","126.9324754,35.1665402","127.5225749,34.9478215","129.3435752,36.0116676","128.8055847,35.9013742","127.3282134,36.3698827","126.7323098,37.4320141","127.1489068,37.5162064","129.3605596,35.5777079","128.545809,35.8535518","128.545809,35.8535518","126.7323098,37.4320141","128.5568243,35.8600332","129.3723108,35.5603604","126.9206773,37.5165496"
"127.1663437,36.828271","129.2025995,35.8383368","127.1293299,37.4301798","127.3269601,36.3670158","126.9324635,35.166514","127.5225749,34.9479775","129.343459,36.0117253","128.8059484,35.9015893","127.3281383,36.3700566","126.7324261,37.4316958","127.1490302,37.5161789","129.3605549,35.5777937","128.5456821,35.8535024","128.5456821,35.8535024","126.7324261,37.4316958","128.5568038,35.8601587","129.3724493,35.5603411","126.9227025,37.5158645"
"127.1663136,36.8282439","129.2026643,35.8381574","127.1293543,37.4300392","127.3268885,36.3666389","126.932418,35.16642","127.5225749,34.948","129.3431069,36.0119019","128.8063891,35.9019072","127.3281148,36.3701125","126.7324652,37.4316329","127.1491027,37.5161628","129.3604993,35.5787744","128.5447549,35.8531399","128.5447549,35.8531399","126.7324652,37.4316329","128.5567285,35.8605723","129.3726496,35.5603164","126.9235809,37.515529"
