0,1,2,3,4,5,6,7,8,9
"129.13722,35.1696018","127.1233212,35.8320108","127.4214415,36.3541052","127.2079065,37.5429608","128.5646434,35.855231","128.6124293,35.8903564","127.8717722,36.9697338","128.7569862,35.8326784","127.4214415,36.3541052","129.13722,35.1696018"
"129.1375598,35.1691888","127.1233249,35.8321658","127.4214085,36.3547795","127.2081068,37.5429712","128.5651939,35.8554019","128.6119341,35.8898075","127.8717035,36.9692301","128.7569252,35.8325321","127.4214085,36.3547795","129.1375598,35.1691888"
"129.1377523,35.1688805","127.1233241,35.8323326","127.4214049,36.3550283","127.2086489,37.5429996","128.5654608,35.8554843","128.6118346,35.8898201","127.8716813,36.9690661","128.7567814,35.8321865","127.4214049,36.3550283","129.1377523,35.1688805"
"129.1377753,35.1688207","127.1233293,35.8323994","127.4214027,36.3550382","127.2086407,37.5430807","128.5650176,35.8562924","128.6116593,35.8898028","127.8716669,36.9688787","128.7566076,35.8317682","127.4214027,36.3550382","129.1377753,35.1688207"
"129.1377736,35.1687369","127.1233366,35.8324914","127.4213915,36.3550752","127.2086172,37.5432951","128.5649711,35.8563776","128.6116283,35.8898022","127.8716541,36.9687895","128.7565041,35.8315204","127.4213915,36.3550752","129.1377736,35.1687369"
"129.1377591,35.1686722","127.1233374,35.8325662","127.4213524,36.3551689","127.2085527,37.5438691","128.564864,35.8565705","128.6109224,35.8897952","127.8716227,36.9685615","128.7557899,35.8317226","127.4213524,36.3551689","129.1377591,35.1686722"
"129.1379036,35.1685386","127.1233369,35.8326744","127.4213524,36.3552329","127.2085401,37.5439034","128.5648262,35.8566403","128.6103117,35.8898531","127.871597,36.9683588","128.7554868,35.8318078","127.4213524,36.3552329","129.1379036,35.1685386"
"129.1380748,35.1684245","127.1229117,35.8326658","127.4214549,36.3552321","127.2085173,37.5439421","128.5649453,35.8566843","128.6103094,35.8898531","127.8715917,36.9681875","128.755264,35.8314387","127.4212063,36.3552734","129.1380748,35.1684245"
"129.1379587,35.1683296","127.1227866,35.8326664","127.4215028,36.3552357","127.2083493,37.5440624","128.5650109,35.8567063","128.6101473,35.8899033","127.8716126,36.9680991","128.7550389,35.831561","127.4211305,36.3552842","129.1379587,35.1683296"
"129.1378051,35.1682289","127.1227973,35.8329747","127.421553,36.3552403","127.2082539,37.5441307","128.5651923,35.8567687","128.610022,35.8899784","127.8716181,36.9680802","128.7549436,35.8316251","127.4210436,36.3552841","129.1378051,35.1682289"
"129.1374633,35.168046","127.1227992,35.8330388","127.4224299,36.3554185","127.2083791,37.5442581","128.5653347,35.8568188","128.6098972,35.8900869","127.871659,36.9679475","128.7546993,35.8317908","127.4207683,36.3552425","129.1374633,35.168046"
"129.1367996,35.1676916","127.1228178,35.8333327","127.42282,36.3554908","127.2084298,37.5443123","128.5656696,35.8569339","128.6098547,35.8901341","127.8717186,36.9677283","128.7544345,35.8315637","127.4204162,36.3551935","129.1367996,35.1676916"
"129.1360773,35.1673146","127.1228787,35.8337882","127.4235276,36.3556193","127.2088854,37.5447641","128.5656818,35.8569383","128.6097499,35.8902496","127.8717325,36.9675759","128.7543344,35.8315359","127.42021,36.3551655","129.1360773,35.1673146"
"129.1367996,35.1676916","127.1229256,35.8339498","127.4235476,36.3556608","127.2092451,37.5451291","128.5657375,35.8569577","128.6098978,35.8906828","127.8717161,36.9674452","128.7541893,35.8315284","127.4201287,36.3551492","129.1367996,35.1676916"
"129.1374633,35.168046","127.1229649,35.8340698","127.4235554,36.3557032","127.2092846,37.5451671","128.5656755,35.857043","128.6100191,35.8910387","127.8716783,36.9672885","128.7540729,35.8315224","127.4200306,36.3551167","129.1374633,35.168046"
"129.1378051,35.1682289","127.1230734,35.8342911","127.4235493,36.356181","127.2096285,37.5455186","128.5655743,35.8571827","128.6100491,35.8911249","127.8716313,36.9670912","128.7536908,35.8315137","127.4199315,36.3550571","129.1378051,35.1682289"
"129.1379587,35.1683296","127.1231008,35.8343579","127.4235162,36.3570176","127.2102159,37.5461401","128.565474,35.8573829","128.6100742,35.8912581","127.871545,36.966675","128.7532731,35.8314892","127.4199292,36.3550535","129.1379587,35.1683296"
"129.1380748,35.1684245","127.1231534,35.8344698","127.4235116,36.3571231","127.2105665,37.5465115","128.5654624,35.8574253","128.6100069,35.8914337","127.8715233,36.9665904","128.7531767,35.8314848","127.4198833,36.3552563","129.1380748,35.1684245"
"129.1381294,35.1684679","127.1232291,35.8346306","127.4235093,36.3572024","127.2107086,37.5466605","128.5654539,35.8574543","128.609724,35.8919664","127.8713159,36.9655399","128.7529673,35.831478","127.4203213,36.3553332","129.1381294,35.1684679"
"129.1386777,35.1689257","127.1233235,35.8347976","127.4235001,36.3575513","127.2108145,37.5467762","128.5654307,35.8575401","128.6096357,35.8920664","127.8712987,36.9654616","128.7525076,35.8314621","127.4203536,36.3553378","129.1386777,35.1689257"
"129.1387916,35.1690188","127.1236102,35.8352836","127.4235001,36.3575585","127.2108495,37.5468141","128.565399,35.8576495","128.6091999,35.8924409","127.8712745,36.9653291","128.7520011,35.8314259","127.4203859,36.3553161","129.1387916,35.1690188"
"129.1389194,35.1690424","127.1237114,35.8354174","127.4234977,36.3576423","127.2113061,37.5472974","128.5653564,35.8577806","128.6089653,35.8922998","127.8712583,36.9652444","128.7499991,35.8312574","127.4204162,36.3551935","129.1389194,35.1690424"
