0,1,2,3
"128.5879815,35.8822599","128.5646434,35.855231","127.1308346,37.5200254","126.7331755,37.4341334"
"128.5880467,35.8822467","128.5651939,35.8554019","127.1308244,37.5200244","126.7331185,37.4341763"
"128.5891631,35.8819859","128.5654608,35.8554843","127.1306366,37.5200076","126.7331151,37.4341781"
"128.5894172,35.881934","128.5650176,35.8562924","127.1305869,37.5199994","126.7330245,37.4341973"
"128.5896702,35.8818831","128.5649711,35.8563776","127.1305621,37.5199831","126.7329512,37.434186"
"128.5896169,35.8817086","128.564864,35.8565705","127.1305498,37.5199578","126.7329099,37.4341317"
"128.5894143,35.8810722","128.5648262,35.8566403","127.13055,37.5199163","126.7329037,37.4340703"
"128.5893853,35.8809814","128.5649453,35.8566843","127.1305582,37.5198451","126.7329178,37.4340253"
"128.5892567,35.8805651","128.5650109,35.8567063","127.1305865,37.5196244","126.7329521,37.4339859"
"128.5892232,35.8804654","128.5651923,35.8567687","127.1304485,37.5196059","126.7330269,37.4339666"
"128.5891443,35.8802082","128.5653347,35.8568188","127.1302122,37.5195745","126.7331287,37.4339546"
"128.5890529,35.8799251","128.5656696,35.8569339","127.1304948,37.5182468","126.7331933,37.4339442"
"128.5890285,35.8798414","128.5656818,35.8569383","127.1305365,37.5180496","126.7333329,37.433882"
"128.5889995,35.8797416","128.5657375,35.8569577","127.1306117,37.5179497","126.7333828,37.4338697"
"128.5890285,35.8798414","128.5656755,35.857043","127.1306992,37.5178743","126.7335255,37.4338418"
"128.5890529,35.8799251","128.5655743,35.8571827","127.1308342,37.5178152","126.7335708,37.4338358"
"128.5891443,35.8802082","128.565474,35.8573829","127.1311835,37.5176631","126.7336126,37.4338334"
"128.5892232,35.8804654","128.5654624,35.8574253","127.1314726,37.5175378","126.733798,37.4338337"
"128.5892567,35.8805651","128.5654539,35.8574543","127.1315384,37.5175092","126.7338579,37.4338367"
"128.5893853,35.8809814","128.5654307,35.8575401","127.1317573,37.5174134","126.7339425,37.4338463"
"128.5894143,35.8810722","128.565399,35.8576495","127.1318629,37.5175616","126.7340959,37.4338825"
"128.5896169,35.8817086","128.5653564,35.8577806","127.1325244,37.5185948","126.7341916,37.4339218"
"128.5896226,35.8817257","128.5652614,35.8580492","127.1330196,37.5193679","126.7343232,37.4339858"
"128.5896702,35.8818831","128.5652123,35.8581831","127.1330309,37.5193859","126.7343949,37.4340448"
"128.5897109,35.8820224","128.5650999,35.8585582","127.1331431,37.5195648","126.734405,37.4340557"
"128.5897306,35.8820881","128.5650583,35.8586749","127.1331689,37.5196153","126.7344924,37.4341275"
"128.5897632,35.8821996","128.5649623,35.8589498","127.133262,37.5197977","126.7345436,37.4342098"
"128.5899243,35.8827165","128.5648525,35.859269","127.1333941,37.5200811","126.7345754,37.4343002"
"128.5899869,35.8829233","128.5647866,35.8594743","127.1334902,37.5203392","126.7346413,37.4344899"
"128.5901371,35.8833745","128.5646618,35.8599208","127.1335738,37.5206018","126.7346588,37.4345495"
"128.5902063,35.8835713","128.5646249,35.8600581","127.1335882,37.5206487","126.7346683,37.4347244"
"128.590325,35.8839047","128.5645993,35.8602161","127.1338467,37.5207964","126.7346434,37.4348405"
"128.5904697,35.8844417","128.5642992,35.8601358","127.1339223,37.5208399","126.7346002,37.4349746"
"128.5904999,35.8845451","128.563542,35.859909","127.1340849,37.5209161","126.7345667,37.4350419"
"128.5905466,35.8847177","128.5633997,35.8598661","127.1342262,37.5209454","126.7344321,37.4352772"
"128.5905478,35.8847213","128.5633418,35.8598495","127.1343653,37.5209602","126.7343447,37.4354173"
"128.5906857,35.8851691","128.563184,35.859804","127.1346867,37.5209666","126.7342822,37.4356765"
"128.5907182,35.885276","128.5628982,35.8597218","127.1355997,37.5205467","126.7342759,37.4360748"
"128.5907622,35.8854145","128.5621222,35.859497","127.1367486,37.5200293","126.7340656,37.4360762"
"128.5908249,35.8856249","128.5619865,35.8594576","127.1381117,37.5194242","126.7339017,37.4360769"
