0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"127.0449497,37.2905956","127.1266964,35.8375644","127.1329437,37.4335919","127.1266964,35.8375644","127.4289492,36.358916","129.1396678,35.1696201","126.8014996,35.1624834","128.7487073,35.8330406","128.6053261,35.8904996","127.4213262,36.3534984","127.8708355,36.963305","126.7955522,37.4949475","129.1396678,35.1696201","128.5633997,35.8598661","129.1396678,35.1696201"
"127.0450957,37.290708","127.1268609,35.8376839","127.1328094,37.4335654","127.1268609,35.8376839","127.4295544,36.3589353","129.1397319,35.1697499","126.8014489,35.1622496","128.7486015,35.8331381","128.6051922,35.8904314","127.4213029,36.3534749","127.8708397,36.9632319","126.7955805,37.4945826","129.1397319,35.1697499","128.5633418,35.8598495","129.1397319,35.1697499"
"127.0455706,37.2910793","127.1274921,35.8381313","127.1327247,37.4335498","127.1274921,35.8381313","127.430455,36.3589646","129.1398612,35.1700123","126.8015873,35.1622414","128.7484999,35.8332248","128.6049244,35.8902995","127.4212895,36.3534442","127.8707927,36.9630446","126.7955737,37.4943446","129.1398612,35.1700123","128.563184,35.859804","129.1398612,35.1700123"
"127.0466093,37.2918991","127.1283793,35.8387805","127.1325993,37.4335241","127.1283793,35.8387805","127.4306645,36.3589711","129.1400247,35.1703347","126.8019416,35.1620225","128.7483742,35.8333325","128.6044243,35.8900246","127.4212873,36.3534055","127.8707059,36.962979","126.7955381,37.4941632","129.1400247,35.1703347","128.5628982,35.8597218","129.1400247,35.1703347"
"127.0466621,37.2919381","127.1289752,35.839225","127.1323926,37.4334856","127.1289752,35.839225","127.4313388,36.358985","129.1402352,35.1706465","126.8020395,35.1620051","128.7477309,35.8338909","128.6040747,35.889825","127.4212929,36.3533667","127.8706349,36.9629432","126.7953132,37.49353","129.1402352,35.1706465","128.5621222,35.859497","129.1402352,35.1706465"
"127.0468474,37.2920758","127.1290304,35.8392631","127.1313402,37.4332759","127.1290304,35.8392631","127.4315662,36.3589923","129.1404625,35.170922","126.8024177,35.1619459","128.7476478,35.8339594","128.6037616,35.889616","127.4213153,36.3533225","127.8706181,36.9629387","126.795196,37.4932499","129.1404625,35.170922","128.5619865,35.8594576","129.1404625,35.170922"
"127.0472112,37.2923737","127.1292412,35.8394035","127.1311087,37.4332284","127.1292412,35.8394035","127.4318092,36.3589952","129.1404692,35.1709282","126.8036805,35.1618089","128.7473887,35.8341713","128.6035275,35.8894342","127.4213387,36.3532946","127.8705528,36.9629209","126.7951384,37.4931135","129.1404692,35.1709282","128.5606375,35.8590331","129.1404692,35.1709282"
"127.047547,37.2926301","127.1294266,35.8395456","127.1310522,37.4332192","127.1294266,35.8395456","127.4321336,36.3589909","129.1406087,35.1710364","126.8059212,35.1615927","128.7471761,35.8341645","128.6034995,35.8894128","127.4213755,36.3532793","127.8704404,36.9628996","126.7947872,37.4923326","129.1406087,35.1710364","128.5606041,35.8590226","129.1406087,35.1710364"
"127.0478209,37.2928682","127.1294994,35.8395963","127.1309845,37.4332072","127.1294994,35.8395963","127.432157,36.3589891","129.1406443,35.171062","126.8063234,35.1615518","128.747093,35.8341626","128.6034244,35.8893495","127.4214413,36.3532658","127.8702204,36.9629364","126.7947274,37.4921907","129.1406443,35.171062","128.5597867,35.8587666","129.1406443,35.171062"
"127.0479274,37.2929705","127.1295403,35.8396217","127.130849,37.4331816","127.1295403,35.8396217","127.4322383,36.3589819","129.1406866,35.1710912","126.806853,35.1615106","128.7465936,35.8341552","128.6033325,35.8892719","127.4214458,36.3531613","127.8698118,36.963008","126.7946776,37.4920796","129.1406866,35.1710912","128.5595742,35.8586936","129.1406866,35.1710912"
"127.0479824,37.2930266","127.1296066,35.8396552","127.1306322,37.433134","127.1296066,35.8396552","127.4322506,36.3589801","129.1407701,35.1711478","126.8075101,35.1615829","128.7461373,35.83415","128.603097,35.8890667","127.4214721,36.3525753","127.8679138,36.9633185","126.7942782,37.491247","129.1407701,35.1711478","128.5586875,35.8583913","129.1407701,35.1711478"
"127.0480104,37.2930546","127.1297369,35.839716","127.1304109,37.4330829","127.1297369,35.839716","127.4322851,36.3589774","129.140838,35.171191","126.8079441,35.1615448","128.7459569,35.8341501","128.6030869,35.8890578","127.4214993,36.3520731","127.8662233,36.9635978","126.7939675,37.4905971","129.140838,35.171191","128.558574,35.8583499","129.140838,35.171191"
"127.0482213,37.2932673","127.129895,35.8397769","127.1294307,37.4328914","127.129895,35.8397769","127.4324312,36.3589414","129.1408802,35.1712166","126.8126376,35.1610864","128.745474,35.8341415","128.6030015,35.8889766","127.4215027,36.3520082","127.8654859,36.9637245","126.7939176,37.4904923","129.1408802,35.1712166","128.5585428,35.8583385","129.1408802,35.1712166"
"127.0483914,37.2934987","127.1300641,35.839846","127.1293697,37.4328786","127.1300641,35.839846","127.4324992,36.3589171","129.1412246,35.1714166","126.8126749,35.161083","128.7452514,35.8341384","128.6025746,35.8885504","127.4213825,36.3518666","127.8639436,36.9639861","126.7939032,37.4904615","129.1412246,35.1714166","128.558426,35.8582989","129.1412246,35.1714166"
"127.0485477,37.2937688","127.1301769,35.8398824","127.1293629,37.4328768","127.1301769,35.8398824","127.432613,36.3588478","129.1412535,35.1714324","126.8145371,35.1609502","128.7448428,35.8341328","128.6023282,35.8882786","127.4212499,36.3517908","127.863736,36.9640219","126.7937972,37.4901869","129.1412535,35.1714324","128.5581036,35.8582901","129.1412535,35.1714324"
"127.0486759,37.2940235","127.1306733,35.8400444","127.1290581,37.4328109","127.1306733,35.8400444","127.4327167,36.3587739","129.1420493,35.171858","126.8152372,35.1608793","128.7444154,35.8341309","128.6021126,35.8880723","127.4211775,36.3517556","127.8635205,36.9640641","126.7936647,37.490077","129.1420493,35.171858","128.5579552,35.8582932","129.1420493,35.171858"
"127.0487987,37.2944304","127.1308535,35.8401","127.1290129,37.4328009","127.1308535,35.8401","127.4328829,36.3586451","129.142587,35.1721158","126.815536,35.1608548","128.74407,35.834129","128.6020869,35.8880527","127.4211118,36.3517357","127.8632028,36.9641137","126.7935784,37.489761","129.142587,35.1721158","128.5578004,35.8583144","129.142587,35.1721158"
"127.0488542,37.2945902","127.1314219,35.8402721","127.1290375,37.4326351","127.1314219,35.8402721","127.4329286,36.3586109","129.1429995,35.1722581","126.8156844,35.1608422","128.7430081,35.8341229","128.6019603,35.8879502","127.4209647,36.3516995","127.8623745,36.9642659","126.7935586,37.4896924","129.1429995,35.1722581","128.5576505,35.8583671","129.1429995,35.1722581"
"127.0488763,37.2946651","127.1315623,35.8403149","127.129041,37.4326117","127.1315623,35.8403149","127.4330245,36.3585379","129.1432996,35.1723333","126.8163743,35.1607965","128.7430059,35.8341229","128.6018711,35.8882269","127.4208878,36.351713","127.8618873,36.9643368","126.7935193,37.4895489","129.1432996,35.1723333","128.5575723,35.8583993","129.1432996,35.1723333"
"127.0489006,37.294749","127.131705,35.8403568","127.1290527,37.4325297","127.131705,35.8403568","127.4331885,36.3584018","129.1439741,35.1724576","126.816852,35.1607811","128.7422009,35.8341177","128.6018372,35.8883408","127.4205623,36.3517633","127.8605997,36.964539","126.7935124,37.4894407","129.1439741,35.1724576","128.5570912,35.8586948","129.1439741,35.1724576"
"127.0490244,37.2951759","127.1318056,35.840386","127.1290866,37.432308","127.1318056,35.840386","127.4334618,36.3581658","129.146245,35.1727351","126.8179248,35.1607809","128.7412786,35.8341128","128.6017367,35.8886825","127.4204642,36.3517686","127.8605358,36.9645491","126.7934946,37.4891665","129.146245,35.1727351","128.5570639,35.8588104","129.146245,35.1727351"
"127.0490466,37.2952526","127.1319759,35.8404361","127.1291866,37.4315079","127.1319759,35.8404361","127.4342124,36.3575414","129.1466234,35.1727687","126.8186176,35.1607848","128.7411324,35.8341098","128.6016495,35.8888664","127.4203773,36.3517668","127.8604549,36.9645575","126.7934877,37.4890592","129.1466234,35.1727687","128.5570212,35.8590136","129.1466234,35.1727687"
"127.0488196,37.2952887","127.1320356,35.8404534","127.1292242,37.4312079","127.1320356,35.8404534","127.4346441,36.3571585","129.1466365,35.1727694","126.8188744,35.1607943","128.7410915,35.8341094","128.6015801,35.8889743","127.4203238,36.3517586","127.8604179,36.9645612","126.7934671,37.4886012","129.1466365,35.1727694","128.5570087,35.8590732","129.1466365,35.1727694"
"127.04871,37.2953036","127.1321849,35.840498","127.1292871,37.4306078","127.1321849,35.840498","127.4347545,36.3570648","129.1469226,35.1727953","126.8205756,35.1608778","128.7408622,35.8341063","128.6015116,35.889075","127.4202737,36.3517487","127.8602483,36.9645788","126.7934719,37.4883345","129.1469226,35.1727953","128.5569869,35.8591825","129.1469226,35.1727953"
"127.0483453,37.2953517","127.13228,35.8405272","127.1292942,37.4305375","127.13228,35.8405272","127.4348091,36.357018","129.1473166,35.1728413","126.8208895,35.160894","128.7403019,35.8341013","128.6013371,35.8892749","127.4201912,36.3517261","127.8601888,36.9645817","126.7934981,37.4881913","129.1473166,35.1728413","128.5569528,35.8593712","129.1473166,35.1728413"
"127.048238,37.2953667","127.133064,35.8407541","127.1293038,37.4304366","127.133064,35.8407541","127.4348493,36.3569828","129.1475775,35.1728225","126.8211332,35.1609062","128.7396354,35.8340973","128.601173,35.8894252","127.4201054,36.3516954","127.8599271,36.9646023","126.793517,37.4881049","129.1475775,35.1728225","128.5569498,35.8593911","129.1475775,35.1728225"
"127.0479704,37.2954035","127.1332675,35.8408142","127.1293205,37.4302545","127.1332675,35.8408142","127.4359992,36.356008","129.1476137,35.1728202","126.8216172,35.1609296","128.7390696,35.8340933","128.6010746,35.8895162","127.4200386,36.3516575","127.859798,36.9646108","126.7935557,37.4879672","129.1476137,35.1728202","128.5568784,35.8597695","129.1476137,35.1728202"
"127.0479332,37.2954079","127.1337729,35.8409591","127.1293252,37.4302077","127.1337729,35.8409591","127.4361141,36.3559107","129.1480747,35.1727553","126.8237213,35.1610253","128.7388492,35.834091","128.6008401,35.8897014","127.4199785,36.3516205","127.8592701,36.9646359","126.7935996,37.4878629","129.1480747,35.1727553","128.5568243,35.8600332","129.1480747,35.1727553"
"127.0474261,37.2954771","127.1342694,35.8410986","127.1293299,37.4301798","127.1342694,35.8410986","127.4363617,36.3557008","129.1485087,35.172661","126.8261361,35.1611244","128.7377596,35.8340824","128.6004958,35.8898867","127.4199072,36.3515699","127.859269,36.9646359","126.7937663,37.4875764","129.1485087,35.172661","128.5568038,35.8601587","129.1485087,35.172661"
"127.0468279,37.2957155","127.1343689,35.8411259","127.1293543,37.4300392","127.1343689,35.8411259","127.4370733,36.355098","129.1491843,35.1725139","126.8266332,35.1611497","128.7375991,35.8340832","128.6003847,35.8899409","127.419592,36.3513101","127.8586243,36.9646613","126.7937686,37.4875728","129.1491843,35.1725139","128.5567285,35.8605723","129.1491843,35.1725139"
"127.045828,37.2959361","127.1344552,35.8411514","127.1293543,37.4300383","127.1344552,35.8411514","127.4371491,36.3550331","129.1510329,35.17211","126.8272545,35.1611802","128.7371894,35.8340802","128.600093,35.890077","127.4193805,36.351135","127.8571505,36.9646774","126.7939503,37.4875054","129.1510329,35.17211","128.5566915,35.8607926","129.1510329,35.17211"
"127.0456991,37.2959816","127.1345901,35.8411906","127.1293708,37.4298996","127.1345901,35.8411906","127.4376443,36.3545979","129.1521188,35.1718897","126.8274575,35.1611912","128.7359992,35.8340744","128.5994724,35.890391","127.4189072,36.3507479","127.856699,36.9646833","126.7939929,37.4874227","129.1521188,35.1718897","128.5566737,35.8608721","129.1521188,35.1718897"
"127.0455701,37.2960406","127.1347737,35.8412453","127.129372,37.4298951","127.1347737,35.8412453","127.4380269,36.3542952","129.1531709,35.1717383","126.8276775,35.1611438","128.7355201,35.8342362","128.5991037,35.8905639","127.4179707,36.3499855","127.8565967,36.9646845","126.7941368,37.4871496","129.1531709,35.1717383","128.5566603,35.8609434","129.1531709,35.1717383"
"127.0454863,37.2960944","127.135237,35.8413792","127.1293732,37.4298815","127.135237,35.8413792","127.4380994,36.3542331","129.1542472,35.1716442","126.8278016,35.1611372","128.7353186,35.8343077","128.5990091,35.8902943","127.4179418,36.3499638","127.8552972,36.9647281","126.7941567,37.4870839","129.1542472,35.1716442","128.5566363,35.8610518","129.1542472,35.1716442"
"127.0454137,37.2961662","127.1359138,35.8415751","127.1293791,37.4298311","127.1359138,35.8415751","127.4382934,36.3540718","129.1543723,35.1716362","126.8279424,35.1611128","128.735225,35.8343411","128.5989963,35.890252","127.417826,36.3498646","127.8546413,36.9647598","126.7941746,37.486983","129.1543723,35.1716362","128.556599,35.8612496","129.1543723,35.1716362"
"127.0453624,37.2962534","127.1364268,35.8417426","127.1294133,37.4295409","127.1364268,35.8417426","127.4383581,36.3540204","129.1549367,35.1716411","126.8281624,35.1610581","128.7349873,35.8344328","128.5988977,35.8899347","127.417699,36.3497644","127.8534061,36.9648644","126.7941865,37.486801","129.1549367,35.1716411","128.5565784,35.8613643","129.1549367,35.1716411"
"127.0453393,37.2963327","127.136544,35.8417763","127.1294452,37.4292688","127.136544,35.8417763","127.4385689,36.353842","129.1560327,35.1717046","126.8283617,35.1609916","128.734962,35.8344466","128.5987366,35.8894159","127.4172224,36.3493945","127.8529109,36.9649191","126.794187,37.4866298","129.1560327,35.1717046","128.5564446,35.8620534","129.1560327,35.1717046"
"127.0453355,37.2964093","127.1367287,35.8418345","127.1294476,37.42924","127.1367287,35.8418345","127.4389748,36.3535159","129.1562372,35.1717162","126.8284866,35.1608949","128.7348588,35.8345035","128.5985616,35.8888577","127.417071,36.3492763","127.8527324,36.9649385","126.7941691,37.4858879","129.1562372,35.1717162","128.5563983,35.8623179","129.1562372,35.1717162"
"127.0453497,37.2964814","127.1368791,35.8418828","127.1294488,37.4292121","127.1368791,35.8418828","127.4407436,36.3520491","129.1567594,35.1718001","126.8285622,35.1607826","128.7347593,35.8345857","128.5985499,35.8888163","127.4169997,36.3492158","127.852217,36.9649915","126.7941696,37.4858365","129.1567594,35.1718001","128.5563674,35.8624931","129.1567594,35.1718001"
"127.0454896,37.2968624","127.136941,35.8419028","127.1292725,37.4289907","127.136941,35.8419028","127.4409756,36.3518608","129.1569235,35.1718285","126.8285924,35.1607079","128.7346371,35.8346996","128.5984374,35.8887741","127.4164318,36.3487655","127.8518891,36.9650303","126.7941514,37.4853641","129.1569235,35.1718285","128.5563241,35.8627333","129.1569235,35.1718285"
"127.045628,37.2969314","127.1372782,35.8420102","127.1291613,37.4288362","127.1372782,35.8420102","127.441299,36.3516013","129.1571847,35.1718745","126.8285869,35.1605825","128.7345695,35.834768","128.5983664,35.888763","127.4161924,36.3485706","127.8508865,36.9651495","126.794137,37.4849746","129.1571847,35.1718745","128.5563032,35.8628282","129.1571847,35.1718745"
"127.0474585,37.2976045","127.1380898,35.8422696","127.129077,37.428744","127.1380898,35.8422696","127.44159,36.351395","129.1582432,35.1720386","126.8285365,35.1604272","128.7344967,35.8348589","128.5983176,35.8887643","127.416149,36.3485328","127.8504037,36.9652069","126.79413,37.4848718","129.1582432,35.1720386","128.5562616,35.8630332","129.1582432,35.1720386"
"127.0475846,37.2976474","127.1386118,35.8424353","127.1289689,37.4286616","127.1386118,35.8424353","127.4416491,36.351367","129.1589339,35.1721472","126.8284375,35.1603247","128.7343866,35.8350412","128.5981709,35.8888063","127.4158907,36.3483","127.8502477,36.9652262","126.7941271,37.4848204","129.1589339,35.1721472","128.5562039,35.8633564","129.1589339,35.1721472"
