0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"127.1263086,37.4138202","128.5799994,35.22514","128.5799994,35.22514","128.5586875,35.8583913","128.8337235,35.9009423","127.6404222,34.7849273","128.4740761,35.85331","127.3701081,36.3225199","128.5799994,35.22514","126.7638499,37.5081022","128.5519084,35.855876","128.5519084,35.855876","128.5586875,35.8583913","126.4135097,34.8281136","126.749766,37.328855","126.73217,37.4360729","128.5519084,35.855876"
"127.1266193,37.4138221","128.5797356,35.2252181","128.5797356,35.2252181","128.558574,35.8583499","128.8332862,35.9010292","127.6398733,34.7854473","128.4739798,35.8533126","127.3701671,36.32252","128.5797356,35.2252181","126.7636443,37.5070265","128.5518661,35.8558583","128.5518661,35.8558583","128.558574,35.8583499","126.4136624,34.8281492","126.7497671,37.328855","126.732172,37.4359909","128.5518661,35.8558583"
"127.1267741,37.4138244","128.5790153,35.2254247","128.5790153,35.2254247","128.5585428,35.8583385","128.8331494,35.9010686","127.6395263,34.7858039","128.4738846,35.853317","127.3702295,36.3225192","128.5790153,35.2254247","126.7636389,37.5069995","128.5517559,35.8558133","128.5517559,35.8558133","128.5585428,35.8583385","126.4137432,34.8281536","126.7499749,37.3287329","126.732174,37.4357917","128.5517559,35.8558133"
"127.1269719,37.4138241","128.578924,35.2254995","128.578924,35.2254995","128.558426,35.8582989","128.8330338,35.9011113","127.6392416,34.7861469","128.4738591,35.8533181","127.3702393,36.3226823","128.578924,35.2254995","126.763528,37.5065436","128.5504321,35.8552848","128.5504321,35.8552848","128.558426,35.8582989","126.4138329,34.8281498","126.7499999,37.3287159","126.7321795,37.4357016","128.5504321,35.8552848"
"127.1273685,37.4138245","128.5787662,35.2256163","128.5787662,35.2256163","128.557764,35.8580722","128.8329315,35.9011575","127.6390289,34.7864033","128.4735105,35.8533335","127.3702743,36.3237579","128.5787662,35.2256163","126.7634429,37.5061104","128.5503999,35.8552716","128.5503999,35.8552716","128.557764,35.8580722","126.4138603,34.8281483","126.7505712,37.3283563","126.7321872,37.4348327","128.5503999,35.8552716"
"127.1275493,37.4138241","128.5782167,35.2260242","128.5782167,35.2260242","128.5574826,35.8579836","128.8327943,35.9012366","127.6382511,34.7873402","128.4734618,35.8533393","127.3702786,36.3238346","128.5782167,35.2260242","126.7633814,37.5058045","128.5503242,35.8552416","128.5503242,35.8552416","128.5574826,35.8579836","126.4143991,34.8280052","126.7507983,37.3282207","126.7321914,37.4335384","128.5503242,35.8552416"
"127.1280771,37.4138195","128.5776999,35.2264075","128.5776999,35.2264075","128.557466,35.8579783","128.832277,35.9015759","127.6372313,34.7886787","128.4732914,35.8533506","127.3702829,36.3239256","128.5776999,35.2264075","126.7633663,37.505726","128.5485867,35.8545833","128.5485867,35.8545833","128.557466,35.8579783","126.4144735,34.8279987","126.7508597,37.3281805","126.7321922,37.4333482","128.5485867,35.8545833"
"127.1283777,37.4138177","128.577374,35.2266909","128.577374,35.2266909","128.5574459,35.8579722","128.832037,35.9017354","127.6367755,34.7893357","128.4730505,35.8533931","127.3702851,36.3239563","128.577374,35.2266909","126.7633394,37.5055861","128.5483697,35.8545014","128.5483697,35.8545014","128.5574459,35.8579722","126.4145315,34.8279992","126.7509074,37.3281502","126.7321958,37.4332175","128.5483697,35.8545014"
"127.1284342,37.4138188","128.577199,35.2268412","128.577199,35.2268412","128.5573748,35.8579494","128.8319297,35.9018096","127.636357,34.7900828","128.4729235,35.8534239","127.3703218,36.3246631","128.577199,35.2268412","126.763321,37.5055012","128.5482195,35.854445","128.5482195,35.854445","128.5573748,35.8579494","126.4146485,34.8280002","126.7510573,37.3280538","126.7322039,37.4329787","128.5482195,35.854445"
"127.1284783,37.413819","128.5767208,35.2272377","128.5767208,35.2272377","128.5572045,35.8578905","128.8317524,35.9019432","127.6362546,34.790303","128.4710894,35.8538616","127.3703413,36.324976","128.5767208,35.2272377","126.7632128,37.5050048","128.5481872,35.8544335","128.5481872,35.8544335","128.5572045,35.8578905","126.4151755,34.8280013","126.7511228,37.3281696","126.7322061,37.4328778","128.5481872,35.8544335"
"127.1285992,37.4138157","128.5766371,35.2273078","128.5766371,35.2273078","128.5571878,35.8578852","128.8316231,35.9020312","127.6361326,34.7905637","128.4706135,35.8539754","127.3703466,36.3251302","128.5766371,35.2273078","126.7631621,37.5047503","128.5481627,35.8544238","128.5481627,35.8544238","128.5571878,35.8578852","126.4153057,34.8280025","126.751156,37.3282302","126.7322064,37.4328409","128.5481627,35.8544238"
"127.1287551,37.4138162","128.5763714,35.2275744","128.5763714,35.2275744","128.5570299,35.8578307","128.8315563,35.9020761","127.6359202,34.7910212","128.470247,35.8540703","127.3703684,36.325407","128.5763714,35.2275744","126.7629627,37.5047797","128.5480993,35.8543991","128.5480993,35.8543991","128.5570299,35.8578307","126.4156283,34.8279954","126.7511694,37.3282537","126.7322147,37.4326976","128.5480993,35.8543991"
"127.1287868,37.4138163","128.5761301,35.2277758","128.5761301,35.2277758","128.5565879,35.8576606","128.8313185,35.9022356","127.6357505,34.7914813","128.4701367,35.8541091","127.3703739,36.3254827","128.5761301,35.2277758","126.7621844,37.5048866","128.5477843,35.8542838","128.5477843,35.8542838","128.5565879,35.8576606","126.4157466,34.8279848","126.751447,37.3287152","126.7322184,37.4325579","128.5477843,35.8542838"
"127.1287872,37.4139488","128.5758734,35.2279737","128.5758734,35.2279737","128.5564321,35.8576033","128.8311016,35.9023823","127.6356494,34.7918213","128.4700333,35.8541685","127.3703792,36.3256351","128.5758734,35.2279737","126.7616405,37.5049662","128.547633,35.8542256","128.547633,35.8542256","128.5564321,35.8576033","126.4160306,34.827926","126.7516281,37.3290002","126.7322358,37.4322885","128.547633,35.8542256"
"127.1287859,37.4139975","128.5755992,35.228179","128.5755992,35.228179","128.556244,35.8575302","128.8309422,35.9024634","127.6354461,34.7925493","128.4700419,35.8542361","127.3703888,36.3259218","128.5755992,35.228179","126.7602516,37.505154","128.5472367,35.8540749","128.5472367,35.8540749","128.556244,35.8575302","126.4161862,34.8278985","126.7520927,37.3297333","126.7322359,37.4322831","128.5472367,35.8540749"
"127.1287856,37.414057","128.5753954,35.228308","128.5753954,35.228308","128.5554959,35.8572383","128.8307243,35.9025496","127.6352967,34.7933926","128.4700516,35.854309","127.3703909,36.3259578","128.5753954,35.228308","126.7591004,37.5053216","128.546628,35.8538521","128.546628,35.8538521","128.5554959,35.8572383","126.4164427,34.8278521","126.7523061,37.3300672","126.7322383,37.4322723","128.546628,35.8538521"
"127.1287864,37.4143553","128.5752928,35.2283621","128.5752928,35.2283621","128.5549527,35.857033","128.830412,35.9026243","127.6352119,34.7943693","128.4700648,35.8543874","127.3703994,36.3262328","128.5752928,35.2283621","126.7586936,37.5053804","128.5458246,35.853558","128.5458246,35.853558","128.5549527,35.857033","126.4165587,34.8278459","126.7524802,37.3302675","126.7322599,37.4321472","128.5458246,35.853558"
"127.1288362,37.4166243","128.5752732,35.2283731","128.5752732,35.2283731","128.5546967,35.856937","128.8301243,35.9026491","127.6351982,34.7953252","128.4702792,35.8557164","127.3704034,36.3264762","128.5752732,35.2283731","126.7582745,37.50543","128.545809,35.8535518","128.545809,35.8535518","128.5546967,35.856937","126.4166899,34.827848","126.7531464,37.3309279","126.7323098,37.4320141","128.545809,35.8535518"
"127.1288371,37.4166666","128.5748204,35.2286224","128.5748204,35.2286224","128.5545119,35.8568665","128.8300478,35.9026491","127.6352802,34.7967256","128.4704755,35.8569157","127.3704034,36.3264807","128.5748204,35.2286224","126.7579426,37.5054694","128.5456821,35.8535024","128.5456821,35.8535024","128.5545119,35.8568665","126.4168012,34.8278679","126.7533264,37.3311067","126.7324261,37.4316958","128.5456821,35.8535024"
"127.128837,37.4166991","128.5739476,35.2290133","128.5739476,35.2290133","128.5544273,35.8568348","128.8298572,35.9026494","127.6352937,34.796951","128.4705477,35.8576598","127.370412,36.3267079","128.5739476,35.2290133","126.7556344,37.5057144","128.5447549,35.8531399","128.5447549,35.8531399","128.5544273,35.8568348","126.4169929,34.8279246","126.7539983,37.3318753","126.7324652,37.4316329","128.5447549,35.8531399"
"127.1288367,37.4167432","128.5738984,35.2290354","128.5738984,35.2290354","128.55405,35.8566939","128.8295719,35.9026183","127.635296,34.7969952","128.470677,35.8585513","127.3704141,36.3267431","128.5738984,35.2290354","126.7554328,37.5057348","128.5446658,35.8531046","128.5446658,35.8531046","128.55405,35.8566939","126.4170679,34.8279578","126.7544234,37.3322673","126.7326813,37.4312819","128.5446658,35.8531046"
"127.1288376,37.4167955","128.5734199,35.2292497","128.5734199,35.2292497","128.5538864,35.8566331","128.8294741,35.9026023","127.6353117,34.7972666","128.4706517,35.8588364","127.3704185,36.3268134","128.5734199,35.2292497","126.7551723,37.5057647","128.5443742,35.8529909","128.5443742,35.8529909","128.5538864,35.8566331","126.4173319,34.82809","126.7544915,37.3323363","126.7327617,37.431158","128.5443742,35.8529909"
"127.1288386,37.4168226","128.5724181,35.2296887","128.5724181,35.2296887","128.553016,35.8563044","128.8292639,35.902555","127.6355588,34.8013081","128.4706791,35.8589976","127.3704902,36.3279368","128.5724181,35.2296887","126.7551428,37.5057681","128.5439244,35.8528081","128.5439244,35.8528081","128.553016,35.8563044","126.4177447,34.8282974","126.7545508,37.3323907","126.7328981,37.4309696","128.5439244,35.8528081"
"127.1288395,37.4168604","128.5721089,35.2298267","128.5721089,35.2298267","128.552356,35.8560551","128.8290122,35.9024748","127.6355927,34.8019609","128.4707364,35.8593352","127.3704999,36.328091","128.5721089,35.2298267","126.7546924,37.5057815","128.5438086,35.8527614","128.5438086,35.8527614","128.552356,35.8560551","126.4178259,34.8283613","126.7547109,37.3325242","126.7332248,37.4305166","128.5438086,35.8527614"
