0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"127.1524787,35.8259802","127.2025978,37.2948042","127.1570592,35.8539236","128.1618481,35.1574188","128.4842003,35.8559052","128.5820368,35.848358","127.1659575,37.250629","128.1618481,35.1574188","127.1487315,35.8379437","127.0133776,37.5059758","127.2079065,37.5429608","127.4954564,36.6532258","128.1618481,35.1574188","128.1618481,35.1574188","128.1618481,35.1574188","128.1618481,35.1574188","128.3442375,36.1198162","128.7279772,36.5603377","128.6635186,35.2337774","128.7279772,36.5603377","128.6635186,35.2337774","128.6635186,35.2337774","128.1618481,35.1574188","128.6635186,35.2337774","128.6635186,35.2337774","129.3648165,36.0089169"
"127.152472,35.8259874","127.2026521,37.2953388","127.1571875,35.8539663","128.1618266,35.1574667","128.4841995,35.8553976","128.5829881,35.8482827","127.1660675,37.2507456","128.1618266,35.1574667","127.1482685,35.8379982","127.0136273,37.5053189","127.2081068,37.5429712","127.4953121,36.652666","128.1618266,35.1574667","128.1618266,35.1574667","128.1618266,35.1574667","128.1618266,35.1574667","128.3440997,36.1198163","128.7269844,36.560164","128.6634978,35.2338579","128.7282819,36.5603904","128.6634978,35.2338579","128.6634978,35.2338579","128.1618266,35.1574667","128.6634978,35.2338579","128.6634978,35.2338579","129.3648366,36.0088742"
"127.152462,35.8259973","127.2027488,37.2954139","127.1575999,35.8541081","128.1617873,35.1574994","128.4842222,35.8552576","128.5832307,35.8482932","127.1666183,37.2506074","128.1617873,35.1574994","127.1481555,35.8379961","127.0136526,37.5052586","127.2086489,37.5429996","127.4949564,36.6513471","128.1617873,35.1574994","128.1617873,35.1574994","128.1617873,35.1574994","128.1617873,35.1574994","128.3439118,36.1198077","128.7267693,36.5601284","128.6634766,35.2339888","128.7283346,36.5603998","128.6634766,35.2339888","128.6634766,35.2339888","128.1617873,35.1574994","128.6634766,35.2339888","128.6634766,35.2339888","129.3651248,36.0089581"
"127.1524609,35.8259991","127.2027533,37.2954373","127.1577692,35.8541627","128.1617414,35.157524","128.4842579,35.8551906","128.5834343,35.8477125","127.1666332,37.2505561","128.1617414,35.157524","127.1481989,35.8374408","127.0135156,37.5052797","127.2087971,37.5430089","127.4954106,36.6513778","128.1617414,35.157524","128.1617414,35.157524","128.1617414,35.157524","128.1617414,35.157524","128.3438493,36.1197829","128.7266494,36.5601062","128.6633667,35.2339926","128.7287915,36.5604618","128.6633667,35.2339926","128.6633667,35.2339926","128.1617414,35.157524","128.6633667,35.2339926","128.6633667,35.2339926","129.3650633,36.0091231"
"127.1524508,35.8260117","127.2027931,37.2956249","127.157924,35.8542155","128.1617431,35.1576024","128.4843244,35.8551081","128.583499,35.847583","127.1667079,37.2505022","128.1617431,35.1576024","127.1485084,35.8355637","127.0130774,37.5053373","127.209045,37.5430258","127.4964623,36.6514499","128.1617431,35.1576024","128.1617431,35.1576024","128.1617431,35.1576024","128.1617431,35.1576024","128.3438244,36.1197416","128.726516,36.5600823","128.6633129,35.233994","128.7288508,36.5604702","128.6633129,35.233994","128.6633129,35.233994","128.1617431,35.1576024","128.6633129,35.233994","128.6633129,35.233994","129.3650393,36.0091875"
"127.1524486,35.8260297","127.2027931,37.2956258","127.1579563,35.8541624","128.161799,35.1581332","128.4845744,35.8549077","128.5831891,35.8475966","127.1668207,37.2504908","128.161799,35.1581332","127.1486123,35.8353575","127.0127841,37.5053767","127.2093845,37.5430482","127.4968729,36.6514436","128.161799,35.1581332","128.161799,35.1581332","128.161799,35.1581332","128.161799,35.1581332","128.3438189,36.1193287","128.7265003,36.5600797","128.6632121,35.2340166","128.7292271,36.5605213","128.6632121,35.2340166","128.6632121,35.2340166","128.161799,35.1581332","128.6632121,35.2340166","128.6632121,35.2340166","129.3649402,36.009455"
"127.1524573,35.826055","127.2027613,37.2956861","127.1580256,35.8540174","128.1618381,35.158344","128.4847817,35.854741","128.5830254,35.8476044","127.1669107,37.2505424","128.1618381,35.158344","127.1488057,35.8354392","127.0126131,37.5053985","127.2099458,37.543083","127.4970586,36.6514274","128.1618381,35.158344","128.1618381,35.158344","128.1618381,35.158344","128.1618381,35.158344","128.3438878,36.1193273","128.7263266,36.5600446","128.6630965,35.2340736","128.7293223,36.5605339","128.6630965,35.2340736","128.6630965,35.2340736","128.1618381,35.158344","128.6630965,35.2340736","128.6630965,35.2340736","129.3645794,36.0103909"
"127.1524639,35.8260659","127.202742,37.2957248","127.1585697,35.8529154","128.161931,35.1586997","128.4848563,35.8546809","128.5829888,35.8476056","127.1673409,37.2504066","128.161931,35.1586997","127.1490853,35.8355509","127.0122518,37.5054457","127.2099922,37.5430858","127.4973764,36.6514031","128.161931,35.1586997","128.161931,35.1586997","128.161931,35.1586997","128.161931,35.1586997","128.3438884,36.1188676","128.7261965,36.560018","128.6627135,35.2342657","128.7295888,36.560569","128.6627135,35.2342657","128.6627135,35.2342657","128.161931,35.1586997","128.6627135,35.2342657","128.6627135,35.2342657","129.3645345,36.0105087"
"127.1525321,35.8261571","127.2027356,37.2959033","127.1586166,35.852819","128.1620604,35.1586836","128.4849591,35.8545835","128.5827609,35.8476158","127.1675159,37.250344","128.1620604,35.1586836","127.1491251,35.8355691","127.0121839,37.5054526","127.2101552,37.543097","127.4975599,36.6513661","128.1620604,35.1586836","128.1620604,35.1586836","128.1620604,35.1586836","128.1620604,35.1586836","128.343919,36.1188196","128.7259558,36.5599907","128.662895,35.2345092","128.7301453,36.5606426","128.662895,35.2345092","128.662895,35.2345092","128.1620604,35.1586836","128.662895,35.2345092","128.662895,35.2345092","129.3644807,36.010625"
"127.1525817,35.8262249","127.2028028,37.2960252","127.1591416,35.8517701","128.1628235,35.1585523","128.4849624,35.8544889","128.5823315,35.847635","127.1675886,37.2502343","128.1628235,35.1585523","127.1492975,35.8356399","127.0120458,37.5054674","127.2102061,37.5430998","127.4977154,36.651312","128.1628235,35.1585523","128.1628235,35.1585523","128.1628235,35.1585523","128.1628235,35.1585523","128.3439788,36.1187993","128.7259469,36.5599899","128.6635239,35.2353769","128.7302853,36.5606609","128.6635239,35.2353769","128.6635239,35.2353769","128.1628235,35.1585523","128.6635239,35.2353769","128.6635239,35.2353769","129.3642499,36.0111911"
