0,1,2,3,4,5,6,7,8,9
"128.5831474,35.2240507","128.556244,35.8575302","127.0080869,35.9707408","128.563542,35.859909","128.563542,35.859909","128.8382452,35.900269","127.367599,36.3225749","128.4789008,35.853186","128.5831474,35.2240507","128.556244,35.8575302"
"128.5829008,35.2241016","128.5554959,35.8572383","127.008999,35.9704993","128.5633997,35.8598661","128.5633997,35.8598661","128.8380187,35.900304","127.3677584,36.3225696","128.4785025,35.8532172","128.5829008,35.2241016","128.5554959,35.8572383"
"128.5826235,35.2241545","128.5549527,35.857033","127.0096,35.9703413","128.5633418,35.8598495","128.5633418,35.8598495","128.8374097,35.9003946","127.367862,36.3225661","128.4783718,35.8532174","128.5826235,35.2241545","128.5549527,35.857033"
"128.581448,35.2243382","128.5546967,35.856937","127.0100749,35.9701241","128.563184,35.859804","128.563184,35.859804","128.8369675,35.900459","127.3679188,36.3225644","128.478167,35.8532236","128.581448,35.2243382","128.5546967,35.856937"
"128.5813001,35.2243701","128.5545119,35.8568665","127.0101128,35.9700999","128.5628982,35.8597218","128.5628982,35.8597218","128.8361067,35.9005984","127.3680403,36.3225609","128.4780796,35.8532279","128.5813001,35.2243701","128.5545119,35.8568665"
"128.5811688,35.224411","128.5544273,35.8568348","127.0103599,35.9699459","128.5621222,35.859497","128.5621222,35.859497","128.8359299,35.9006275","127.3683177,36.3225495","128.4777009,35.8532337","128.5811688,35.224411","128.5544273,35.8568348"
"128.5810421,35.2244698","128.55405,35.8566939","127.0105672,35.9697926","128.5619865,35.8594576","128.5619865,35.8594576","128.8351859,35.9007286","127.3687165,36.3225409","128.4774994,35.8532353","128.5810421,35.2244698","128.55405,35.8566939"
"128.5808872,35.2245515","128.5538864,35.8566331","127.0107099,35.9696768","128.5606375,35.8590331","128.5606375,35.8590331","128.8348577,35.9007827","127.3688202,36.3225383","128.476411,35.8532577","128.5808872,35.2245515","128.5538864,35.8566331"
"128.5808121,35.2246098","128.553016,35.8563044","127.0107848,35.9695735","128.5606041,35.8590226","128.5606041,35.8590226","128.8348234,35.9007885","127.369668,36.3225221","128.4758242,35.8532661","128.5808121,35.2246098","128.553016,35.8563044"
"128.5802851,35.2249734","128.552356,35.8560551","127.0108509,35.9694764","128.5597867,35.8587666","128.5597867,35.8587666","128.8347085,35.900806","127.3700312,36.3225198","128.4754092,35.8532857","128.5802851,35.2249734","128.552356,35.8560551"
"128.5800977,35.2250968","128.5520087,35.8559175","127.0108654,35.9694548","128.5595742,35.8586936","128.5595742,35.8586936","128.8340454,35.900909","127.3701047,36.3225199","128.4752187,35.853289","128.5800977,35.2250968","128.5520087,35.8559175"
"128.5799994,35.22514","128.5519084,35.855876","127.0110114,35.9691642","128.5586875,35.8583913","128.5586875,35.8583913","128.8337235,35.9009423","127.3701081,36.3225199","128.4740761,35.85331","128.5799994,35.22514","128.5519084,35.855876"
"128.5797356,35.2252181","128.5518661,35.8558583","127.0112618,35.9686666","128.558574,35.8583499","128.558574,35.8583499","128.8332862,35.9010292","127.3701671,36.32252","128.4739798,35.8533126","128.5797356,35.2252181","128.5518661,35.8558583"
"128.5790153,35.2254247","128.5517559,35.8558133","127.0114749,35.9682744","128.5585428,35.8583385","128.5585428,35.8583385","128.8331494,35.9010686","127.3702295,36.3225192","128.4738846,35.853317","128.5790153,35.2254247","128.5517559,35.8558133"
"128.578924,35.2254995","128.5504321,35.8552848","127.0115366,35.9681583","128.558426,35.8582989","128.558426,35.8582989","128.8330338,35.9011113","127.3702393,36.3226823","128.4738591,35.8533181","128.578924,35.2254995","128.5504321,35.8552848"
"128.5787662,35.2256163","128.5503999,35.8552716","127.011749,35.9677075","128.557764,35.8580722","128.557764,35.8580722","128.8329315,35.9011575","127.3702743,36.3237579","128.4735105,35.8533335","128.5787662,35.2256163","128.5503999,35.8552716"
"128.5782167,35.2260242","128.5503242,35.8552416","127.0117873,35.9676184","128.5574826,35.8579836","128.5574826,35.8579836","128.8327943,35.9012366","127.3702786,36.3238346","128.4734618,35.8533393","128.5782167,35.2260242","128.5503242,35.8552416"
"128.5776999,35.2264075","128.5485867,35.8545833","127.0120091,35.9670711","128.557466,35.8579783","128.557466,35.8579783","128.832277,35.9015759","127.3702829,36.3239256","128.4732914,35.8533506","128.5776999,35.2264075","128.5485867,35.8545833"
"128.577374,35.2266909","128.5483697,35.8545014","127.012062,35.9669424","128.5574459,35.8579722","128.5574459,35.8579722","128.832037,35.9017354","127.3702851,36.3239563","128.4730505,35.8533931","128.577374,35.2266909","128.5483697,35.8545014"
"128.577199,35.2268412","128.5482195,35.854445","127.0120913,35.9668704","128.5573748,35.8579494","128.5573748,35.8579494","128.8319297,35.9018096","127.3703218,36.3246631","128.4729235,35.8534239","128.577199,35.2268412","128.5482195,35.854445"
"128.5767208,35.2272377","128.5481872,35.8544335","127.0120981,35.9668524","128.5572045,35.8578905","128.5572045,35.8578905","128.8317524,35.9019432","127.3703413,36.324976","128.4710894,35.8538616","128.5767208,35.2272377","128.5481872,35.8544335"
"128.5766371,35.2273078","128.5481627,35.8544238","127.0121286,35.9667624","128.5571878,35.8578852","128.5571878,35.8578852","128.8316231,35.9020312","127.3703466,36.3251302","128.4706135,35.8539754","128.5766371,35.2273078","128.5481627,35.8544238"
"128.5763714,35.2275744","128.5480993,35.8543991","127.0121376,35.9667345","128.5570299,35.8578307","128.5570299,35.8578307","128.8315563,35.9020761","127.3703684,36.325407","128.470247,35.8540703","128.5763714,35.2275744","128.5480993,35.8543991"
"128.5761301,35.2277758","128.5477843,35.8542838","127.0121862,35.9665904","128.5565879,35.8576606","128.5565879,35.8576606","128.8313185,35.9022356","127.3703739,36.3254827","128.4701367,35.8541091","128.5761301,35.2277758","128.5477843,35.8542838"
"128.5758734,35.2279737","128.547633,35.8542256","127.0122845,35.9663023","128.5564321,35.8576033","128.5564321,35.8576033","128.8311016,35.9023823","127.3703792,36.3256351","128.4700333,35.8541685","128.5758734,35.2279737","128.547633,35.8542256"
"128.5755992,35.228179","128.5472367,35.8540749","127.0123037,35.9662465","128.556244,35.8575302","128.556244,35.8575302","128.8309422,35.9024634","127.3703888,36.3259218","128.4700419,35.8542361","128.5755992,35.228179","128.5472367,35.8540749"
"128.5753954,35.228308","128.546628,35.8538521","127.0123138,35.966214","128.5554959,35.8572383","128.5554959,35.8572383","128.8307243,35.9025496","127.3703909,36.3259578","128.4700516,35.854309","128.5753954,35.228308","128.546628,35.8538521"
"128.5752928,35.2283621","128.5458246,35.853558","127.012324,35.9661852","128.5549527,35.857033","128.5549527,35.857033","128.830412,35.9026243","127.3703994,36.3262328","128.4700648,35.8543874","128.5752928,35.2283621","128.5458246,35.853558"
"128.5752732,35.2283731","128.545809,35.8535518","127.0123791,35.9660565","128.5546967,35.856937","128.5546967,35.856937","128.8301243,35.9026491","127.3704034,36.3264762","128.4702792,35.8557164","128.5752732,35.2283731","128.545809,35.8535518"
"128.5748204,35.2286224","128.5456821,35.8535024","127.0125871,35.9661502","128.5545119,35.8568665","128.5545119,35.8568665","128.8300478,35.9026491","127.3704034,36.3264807","128.4704755,35.8569157","128.5748204,35.2286224","128.5456821,35.8535024"
"128.5739476,35.2290133","128.5447549,35.8531399","127.0127076,35.966203","128.5544273,35.8568348","128.5544273,35.8568348","128.8298572,35.9026494","127.370412,36.3267079","128.4705477,35.8576598","128.5739476,35.2290133","128.5447549,35.8531399"
"128.5738984,35.2290354","128.5446658,35.8531046","127.0133158,35.9664904","128.55405,35.8566939","128.55405,35.8566939","128.8295719,35.9026183","127.3704141,36.3267431","128.470677,35.8585513","128.5738984,35.2290354","128.5446658,35.8531046"
"128.5734199,35.2292497","128.5443742,35.8529909","127.0135149,35.9665841","128.5538864,35.8566331","128.5538864,35.8566331","128.8294741,35.9026023","127.3704185,36.3268134","128.4706517,35.8588364","128.5734199,35.2292497","128.5443742,35.8529909"
"128.5724181,35.2296887","128.5439244,35.8528081","127.0136012,35.9666241","128.553016,35.8563044","128.553016,35.8563044","128.8292639,35.902555","127.3704902,36.3279368","128.4706791,35.8589976","128.5724181,35.2296887","128.5439244,35.8528081"
"128.5721089,35.2298267","128.5438086,35.8527614","127.0140767,35.9668451","128.552356,35.8560551","128.552356,35.8560551","128.8290122,35.9024748","127.3704999,36.328091","128.4707364,35.8593352","128.5721089,35.2298267","128.5438086,35.8527614"
"128.5710348,35.2302897","128.5428868,35.8523916","127.0147525,35.9671499","128.5520087,35.8559175","128.5520087,35.8559175","128.8276492,35.9019409","127.3705365,36.3289087","128.470789,35.8596467","128.5710348,35.2302897","128.5428868,35.8523916"
"128.5705278,35.2305133","128.5421889,35.8521227","127.0148465,35.9671944","128.5519084,35.855876","128.5519084,35.855876","128.8275265,35.9018945","127.3705638,36.3292027","128.4708351,35.8600746","128.5705278,35.2305133","128.5421889,35.8521227"
"128.5704535,35.2305437","128.54151,35.8518608","127.0149338,35.9672363","128.5518661,35.8558583","128.5518661,35.8558583","128.8258126,35.9012481","127.3705649,36.3292081","128.4708376,35.860455","128.5704535,35.2305437","128.54151,35.8518608"
"128.5703988,35.2305658","128.5413397,35.8517974","127.0151174,35.9673208","128.5517559,35.8558133","128.5517559,35.8558133","128.8257066,35.9012024","127.3705748,36.3293163","128.4708157,35.8607545","128.5703988,35.2305658","128.5413397,35.8517974"
"128.5703562,35.2305824","128.5411249,35.8517163","127.0158393,35.9677006","128.5504321,35.8552848","128.5504321,35.8552848","128.8254529,35.9012755","127.3705901,36.3294614","128.4707751,35.861056","128.5703562,35.2305824","128.5411249,35.8517163"
"128.569637,35.23088","128.5410392,35.8516837","127.0166794,35.968162","128.5503999,35.8552716","128.5503999,35.8552716","128.8252448,35.9013499","127.3705978,36.32953","128.4707228,35.861308","128.569637,35.23088","128.5410392,35.8516837"
"128.5695419,35.230916","128.540525,35.8514826","127.0169403,35.9682974","128.5503242,35.8552416","128.5503242,35.8552416","128.8250375,35.9014802","127.3706286,36.3297978","128.4706563,35.861579","128.5695419,35.230916","128.540525,35.8514826"
"128.5694676,35.2309474","128.5396156,35.8511289","127.0170885,35.9683755","128.5485867,35.8545833","128.5485867,35.8545833","128.8249228,35.9015806","127.370675,36.3300493","128.4705213,35.8619515","128.5694676,35.2309474","128.5396156,35.8511289"
"128.5693987,35.2309759","128.5394119,35.8510495","127.0171471,35.9684064","128.5483697,35.8545014","128.5483697,35.8545014","128.8246527,35.9018586","127.3709951,36.3311865","128.4703291,35.8623543","128.5693987,35.2309759","128.5394119,35.8510495"
"128.5692053,35.2311426","128.5381122,35.8505658","127.0172455,35.9684573","128.5482195,35.854445","128.5482195,35.854445","128.8246246,35.9020329","127.3711491,36.3317312","128.4700589,35.862809","128.5692053,35.2311426","128.5381122,35.8505658"
"128.5691303,35.2312064","128.5377218,35.8504421","127.0172786,35.9684746","128.5481872,35.8544335","128.5481872,35.8544335","128.8245615,35.9025078","127.3711867,36.3318665","128.4697797,35.8631674","128.5691303,35.2312064","128.5377218,35.8504421"
"128.5689523,35.2312936","128.5373468,35.8503029","127.0185164,35.9691972","128.5481627,35.8544238","128.5481627,35.8544238","128.8245121,35.9027995","127.3712477,36.3320685","128.4694803,35.8635007","128.5689523,35.2312936","128.5373468,35.8503029"
"128.5688477,35.2313613","128.5373301,35.8502958","127.0186678,35.9692898","128.5480993,35.8543991","128.5480993,35.8543991","128.8244173,35.9033622","127.3712632,36.3321145","128.4691659,35.8637863","128.5688477,35.2313613","128.5373301,35.8502958"
"128.5687154,35.2314932","128.5373057,35.850287","127.0187683,35.9693524","128.5477843,35.8542838","128.5477843,35.8542838","128.8243991,35.9034661","127.3712754,36.3321479","128.4688456,35.864045","128.5687154,35.2314932","128.5373057,35.850287"
"128.5685417,35.2316588","128.5372356,35.8502605","127.0193707,35.9696956","128.547633,35.8542256","128.547633,35.8542256","128.8242975,35.9042173","127.3712976,36.3322173","128.4684097,35.864355","128.5685417,35.2316588","128.5372356,35.8502605"
"128.5683123,35.2318412","128.5368055,35.850147","127.0194172,35.9697138","128.5472367,35.8540749","128.5472367,35.8540749","128.8241992,35.9049","127.3713895,36.3325321","128.4673527,35.8650586","128.5683123,35.2318412","128.5368055,35.850147"
"128.5676368,35.2322917","128.5367234,35.8501369","127.0197591,35.9698477","128.546628,35.8538521","128.546628,35.8538521","128.8241983,35.9049117","127.3714394,36.3327007","128.4672527,35.8651253","128.5676368,35.2322917","128.5367234,35.8501369"
"128.5673745,35.2324833","128.5367035,35.8501344","127.019852,35.9698833","128.5458246,35.853558","128.5458246,35.853558","128.8240873,35.9056999","127.3715114,36.3329325","128.4667803,35.8654401","128.5673745,35.2324833","128.5367035,35.8501344"
"128.5665241,35.2330832","128.5364506,35.8501059","127.020625,35.970082","128.545809,35.8535518","128.545809,35.8535518","128.8240305,35.9062821","127.371599,36.3332409","128.465154,35.8665134","128.5665241,35.2330832","128.5364506,35.8501059"
"128.5663624,35.2332415","128.5359827,35.8500631","127.0206782,35.970093","128.5456821,35.8535024","128.5456821,35.8535024","128.8239491,35.9069158","127.3716244,36.3333329","128.4633511,35.8678217","128.5663624,35.2332415","128.5359827,35.8500631"
"128.5660875,35.2333909","128.5350991,35.8499833","127.020896,35.9702003","128.5447549,35.8531399","128.5447549,35.8531399","128.823927,35.9071189","127.3716632,36.3334555","128.4633149,35.8678481","128.5660875,35.2333909","128.5350991,35.8499833"
"128.5659727,35.2334424","128.5346002,35.8499416","127.0210754,35.9702452","128.5446658,35.8531046","128.5446658,35.8531046","128.823918,35.9072452","127.3718085,36.3339128","128.4626505,35.8683222","128.5659727,35.2334424","128.5346002,35.8499416"
"128.5657794,35.2335289","128.5343996,35.8499244","127.0212272,35.9702719","128.5443742,35.8529909","128.5443742,35.8529909","128.8239101,35.9073012","127.3719994,36.3343574","128.4626264,35.8683396","128.5657794,35.2335289","128.5343996,35.8499244"
"128.5656308,35.2335951","128.5334118,35.8498409","127.0213601,35.9702968","128.5439244,35.8528081","128.5439244,35.8528081","128.8238991,35.9073744","127.3720394,36.3344386","128.461816,35.8689285","128.5656308,35.2335951","128.5334118,35.8498409"
"128.5656122,35.2336034","128.5324977,35.849718","127.0214632,35.9703161","128.5438086,35.8527614","128.5438086,35.8527614","128.8238942,35.9075439","127.372237,36.3348409","128.4612681,35.8693268","128.5656122,35.2336034","128.5324977,35.849718"
"128.5655991,35.2336098","128.5322249,35.8496816","127.0218288,35.9703852","128.5428868,35.8523916","128.5428868,35.8523916","128.82372,35.9098601","127.3723014,36.3349789","128.4609475,35.8695629","128.5655991,35.2336098","128.5322249,35.8496816"
"128.5650744,35.2338272","128.5321117,35.8496664","127.0221423,35.9704379","128.5421889,35.8521227","128.5421889,35.8521227","128.8236892,35.9100091","127.3726368,36.3356996","128.4604298,35.8699845","128.5650744,35.2338272","128.5321117,35.8496664"
"128.5645512,35.2340681","128.5310708,35.8495004","127.0222863,35.9704691","128.54151,35.8518608","128.54151,35.8518608","128.823571,35.910363","127.3728379,36.3360731","128.460022,35.8703385","128.5645512,35.2340681","128.5310708,35.8495004"
"128.5639274,35.2343476","128.5309421,35.8494808","127.0227161,35.9705601","128.5413397,35.8517974","128.5413397,35.8517974","128.8234267,35.9106134","127.3728701,36.3361326","128.4596165,35.870696","128.5639274,35.2343476","128.5309421,35.8494808"
"128.5636191,35.234473","128.5307291,35.8494501","127.0231349,35.9706293","128.5411249,35.8517163","128.5411249,35.8517163","128.823212,35.9109637","127.3728745,36.3361416","128.4593002,35.871015","128.5636191,35.234473","128.5307291,35.8494501"
"128.5635395,35.2345224","128.5307136,35.8494476","127.0233566,35.9706618","128.5410392,35.8516837","128.5410392,35.8516837","128.8226996,35.9118078","127.3729045,36.3362093","128.4592783,35.8710368","128.5635395,35.2345224","128.5307136,35.8494476"
"128.563483,35.2345743","128.530677,35.8494425","127.0235184,35.970685","128.540525,35.8514826","128.540525,35.8514826","128.8226813,35.9118377","127.373,36.3364248","128.4592554,35.8710604","128.563483,35.2345743","128.530677,35.8494425"
"128.5634021,35.2346886","128.5306115,35.8494331","127.0237412,35.970694","128.5396156,35.8511289","128.5396156,35.8511289","128.8225562,35.9120474","127.3730676,36.3366395","128.4592192,35.871095","128.5634021,35.2346886","128.5306115,35.8494331"
"128.5633634,35.2347574","128.5303319,35.8493895","127.0240151,35.9707059","128.5394119,35.8510495","128.5394119,35.8510495","128.8224387,35.9122425","127.3730864,36.3366999","128.4591656,35.8711504","128.5633634,35.2347574","128.5303319,35.8493895"
"128.5633372,35.2348496","128.5302808,35.8493818","127.0242003,35.9707084","128.5381122,35.8505658","128.5381122,35.8505658","128.8223956,35.912316","127.3731872,36.3370994","128.4588738,35.8714764","128.5633372,35.2348496","128.5302808,35.8493818"
"128.5633384,35.2349461","128.5300978,35.8493537","127.0244133,35.9707111","128.5377218,35.8504421","128.5377218,35.8504421","128.8223816,35.9124063","127.3732369,36.3373636","128.4587397,35.871656","128.5633384,35.2349461","128.5300978,35.8493537"
"128.5633618,35.2350496","128.5294742,35.8492589","127.0245652,35.9707117","128.5373468,35.8503029","128.5373468,35.8503029","128.822386,35.9124748","127.3733262,36.3379614","128.4585021,35.8719761","128.5633618,35.2350496","128.5294742,35.8492589"
"128.5634148,35.2351528","128.52853,35.8491165","127.0246606,35.970712","128.5373301,35.8502958","128.5373301,35.8502958","128.8224069,35.9125295","127.3734331,36.3386864","128.4582662,35.8723504","128.5634148,35.2351528","128.52853,35.8491165"
"128.5634773,35.2352289","128.527922,35.8490279","127.0252754,35.9706441","128.5373057,35.850287","128.5373057,35.850287","128.8224423,35.9125959","127.3735621,36.3395529","128.4581053,35.8726041","128.5634773,35.2352289","128.527922,35.8490279"
"128.5635564,35.2353121","128.5271453,35.848911","127.0258316,35.970567","128.5372356,35.8502605","128.5372356,35.8502605","128.8224618,35.9126344","127.373637,36.3400578","128.4579093,35.872978","128.5635564,35.2353121","128.5271453,35.848911"
"128.5636999,35.2354443","128.5262944,35.8487867","127.0265039,35.9705372","128.5368055,35.850147","128.5368055,35.850147","128.8224697,35.9126397","127.3736867,36.3403915","128.4576422,35.8736978","128.5636999,35.2354443","128.5262944,35.8487867"
"128.5638077,35.2355353","128.525914,35.8487484","127.026812,35.9705763","128.5367234,35.8501369","128.5367234,35.8501369","128.8225379,35.9126796","127.3738373,36.3409497","128.4576369,35.8737159","128.5638077,35.2355353","128.525914,35.8487484"
"128.5639696,35.2356484","128.525717,35.8487537","127.026853,35.9705819","128.5367035,35.8501344","128.5367035,35.8501344","128.8226397,35.9127361","127.3741622,36.3419615","128.45753,35.8740386","128.5639696,35.2356484","128.525717,35.8487537"
"128.5642865,35.2358494","128.5256407,35.8487607","127.0271222,35.9706352","128.5364506,35.8501059","128.5364506,35.8501059","128.8229777,35.9129362","127.3742343,36.3421879","128.4573804,35.8747746","128.5642865,35.2358494","128.5256407,35.8487607"
"128.5648178,35.2361368","128.5254593,35.8487776","127.0273559,35.970692","128.5359827,35.8500631","128.5359827,35.8500631","128.8231121,35.9130158","127.3743695,36.3426073","128.4573387,35.8750805","128.5648178,35.2361368","128.5254593,35.8487776"
"128.565006,35.2362434","128.5252962,35.8488421","127.0277679,35.9707919","128.5350991,35.8499833","128.5350991,35.8499833","128.8237194,35.913349","127.3743961,36.3426902","128.4573073,35.8756947","128.565006,35.2362434","128.5252962,35.8488421"
"128.5652122,35.2363777","128.5251902,35.8488673","127.0284988,35.9709688","128.5346002,35.8499416","128.5346002,35.8499416","128.8248672,35.9139935","127.3744106,36.3427335","128.4573227,35.8762347","128.5652122,35.2363777","128.5251902,35.8488673"
"128.5654152,35.2365247","128.5249617,35.8489216","127.0286118,35.9709999","128.5343996,35.8499244","128.5343996,35.8499244","128.8250529,35.9140988","127.3744449,36.3428354","128.4573897,35.8767417","128.5654152,35.2365247","128.5249617,35.8489216"
