0,1,2,3,4,5,6,7,8,9,10,11,12,13
"127.1364586,37.5646013","127.1642216,36.7757409","127.0107064,35.9648434","127.139087,37.5190017","127.2659676,37.0124458","127.0115745,37.508165","128.3288496,36.1245576","128.5597867,35.8587666","128.5912315,35.8868383","126.7325762,37.4361512","126.7324209,37.4360772","127.382952,36.3793708","126.7325762,37.4361512","127.0554999,37.5808496"
"127.1366173,37.5652634","127.1642086,36.7756508","127.0110199,35.9650809","127.1400078,37.5185899","127.2659674,37.0125368","127.0116479,37.5081851","128.3288873,36.1246493","128.5595742,35.8586936","128.5912547,35.8869084","126.7324681,37.4362181","126.7323339,37.4360766","127.382934,36.3794997","126.7324681,37.4362181","127.0555547,37.580766"
"127.1366941,37.5655449","127.1641618,36.7753261","127.0112538,35.965282","127.1421602,37.5176383","127.265976,37.0126468","127.0118422,37.5082337","128.3290666,36.1250087","128.5586875,35.8583913","128.5912812,35.8869857","126.7324567,37.4362253","126.73217,37.4360729","127.3828293,36.3794636","126.7324567,37.4362253","127.0557089,37.5805475"
"127.1368132,37.5659806","127.1641456,36.7749231","127.0115188,35.9654787","127.1433813,37.5171498","127.2660738,37.0130058","127.0120229,37.508284","128.329162,36.1251992","128.558574,35.8583499","128.5914314,35.8874351","126.7323713,37.436286","126.732172,37.4359909","127.382778,36.3794464","126.7323713,37.436286","127.0560914,37.5800235"
"127.1369119,37.5661594","127.1641731,36.7745265","127.0117186,35.9656247","127.1435456,37.517089","127.2661819,37.0133233","127.012425,37.508402","128.3292494,36.1253744","128.5585428,35.8583385","128.5915023,35.8876761","126.7323209,37.4363524","126.732174,37.4357917","127.3826175,36.37943","126.7323209,37.4363524","127.0562193,37.5798464"
"127.1370617,37.5663257","127.164226,36.7742274","127.0121935,35.9659494","127.1437836,37.5170276","127.2663678,37.0139078","127.0129286,37.5085483","128.3293171,36.1254686","128.558426,35.8582989","128.5915558,35.8878622","126.7322742,37.4373832","126.7321795,37.4357016","127.3825216,36.3794209","126.7322742,37.4373832","127.0562696,37.5797727"
"127.1372694,37.5664606","127.1642885,36.7740166","127.0122476,35.9659839","127.1438153,37.5170195","127.266409,37.0140602","127.0130551,37.5085848","128.3294626,36.1256731","128.557764,35.8580722","128.5915927,35.8880458","126.7322597,37.4385855","126.7321872,37.4348327","127.3817881,36.3793526","126.7322597,37.4385855","127.0563748,37.579609"
"127.1376628,37.566597","127.1644202,36.7736248","127.0122686,35.9659957","127.1438912,37.5170044","127.2664433,37.0142171","127.0144215,37.5090042","128.3294998,36.1257242","128.5574826,35.8579836","128.5915869,35.888191","126.7322646,37.4390975","126.7321914,37.4335384","127.3812096,36.3792979","126.7322646,37.4390975","127.0564935,37.5794472"
"127.138164,37.5666968","127.1646376,36.7731098","127.0123206,35.9660238","127.144215,37.5169531","127.2666395,37.0147656","127.0154748,37.5091915","128.3298914,36.1262913","128.557466,35.8579783","128.5915335,35.8884124","126.7322628,37.4391642","126.7321922,37.4333482","127.3811059,36.3792852","126.7322628,37.4391642","127.0569365,37.5788414"
"127.1385475,37.5667575","127.1647372,36.772891","127.0123394,35.9660338","127.1446001,37.5168975","127.2667174,37.0150182","127.0155811,37.5091955","128.3300302,36.1264995","128.5574459,35.8579722","128.5914312,35.8886297","126.7322639,37.4392769","126.7321958,37.4332175","127.3810412,36.3792671","126.7322639,37.4392769","127.0570039,37.578747"
"127.1388995,37.5667955","127.164865,36.7726083","127.0123791,35.9660565","127.145224,37.5168075","127.2667374,37.0150831","127.0156026,37.5091965","128.3300933,36.1265829","128.5573748,35.8579494","128.5913329,35.8888163","126.7322662,37.4394959","126.7322039,37.4329787","127.3809699,36.3792391","126.7322662,37.4394959","127.0571981,37.5784737"
"127.1392867,37.5668048","127.164882,36.7725714","127.0125871,35.9661502","127.145831,37.5167101","127.2668298,37.0153799","127.0156695,37.5091878","128.3304771,36.1271473","128.5572045,35.8578905","128.591266,35.8889449","126.7322668,37.4395464","126.7322061,37.4328778","127.3809254,36.3792129","126.7322668,37.4395464","127.0572175,37.5784422"
"127.139991,37.5668105","127.1649397,36.7724373","127.0127076,35.966203","127.1463689,37.5166234","127.2669111,37.0156297","127.0157556,37.5091647","128.3305054,36.1271895","128.5571878,35.8578852","128.591157,35.8891533","126.7322642,37.4396951","126.7322064,37.4328409","127.3808942,36.3791948","126.7322642,37.4396951","127.0572689,37.578364"
"127.1404007,37.566856","127.1649488,36.7724148","127.0133158,35.9664904","127.1470866,37.5165588","127.2670035,37.0159364","127.0158373,37.5091209","128.3305313,36.1272281","128.5570299,35.8578307","128.591063,35.8893335","126.7322642,37.4398015","126.7322147,37.4326976","127.3804265,36.378822","126.7322642,37.4398015","127.0574892,37.578071"
"127.1408029,37.5668211","127.1652976,36.7715674","127.0135149,35.9665841","127.1471693,37.5165519","127.2670892,37.0162187","127.0159262,37.509032","128.330476,36.1272501","128.5565879,35.8576606","128.5907867,35.8898626","126.7322643,37.4400133","126.7322184,37.4325579","127.3803107,36.3787344","126.7322643,37.4400133","127.0577383,37.5777078"
"127.1416219,37.5667488","127.1654296,36.7711009","127.0136012,35.9666241","127.1475564,37.516517","127.2671905,37.0165542","127.0160037,37.5089359","128.3299759,36.1274636","128.5564321,35.8576033","128.590737,35.8899577","126.7322563,37.4405784","126.7322358,37.4322885","127.3802606,36.3787118","126.7322563,37.4405784","127.0578114,37.5775999"
"127.1418179,37.5667314","127.1654885,36.7707017","127.0140767,35.9668451","127.1478351,37.5164556","127.2672728,37.0168239","127.0160496,37.5088351","128.3296296,36.1276022","128.556244,35.8575302","128.5906754,35.8900736","126.7321721,37.4424013","126.7322359,37.4322831","127.3801803,36.3786847","126.7321721,37.4424013","127.0578263,37.5775621"
"127.1429111,37.5666346","127.165652,36.7691804","127.0147525,35.9671499","127.1485499,37.5162829","127.2673652,37.0171207","127.0162999,37.5082827","128.3294193,36.1276893","128.5554959,35.8572383","128.5904407,35.8904869","126.7320894,37.4428559","126.7322383,37.4322723","127.3801135,36.3786666","126.7320894,37.4428559","127.0578367,37.5775333"
"127.1430697,37.5666207","127.16568,36.7689218","127.0148465,35.9671944","127.1487742,37.5162331","127.2674231,37.0173074","127.016441,37.5079804","128.3292832,36.1277443","128.5549527,35.857033","128.5903618,35.8906327","126.7320747,37.4434156","126.7322599,37.4321472","127.3800923,36.3786612","126.7320747,37.4434156","127.0584738,37.5776285"
"127.1443373,37.5665091","127.1657113,36.7686902","127.0149338,35.9672363","127.1489068,37.5162064","127.2675055,37.0175825","127.0166786,37.5074568","128.3292057,36.1277746","128.5546967,35.856937","128.5902625,35.8908212","126.7320746,37.4435319","126.7323098,37.4320141","127.379973,36.3786476","126.7320746,37.4435319","127.0586027,37.5776488"
"127.1459085,37.566366","127.1657298,36.7685496","127.0151174,35.9673208","127.1490302,37.5161789","127.2675623,37.0177521","127.0175154,37.5052447","128.3291327,36.127803","128.5545119,35.8568665","128.5900536,35.8912666","126.7320694,37.4438221","126.7324261,37.4316958","127.3799708,36.3786475","126.7320694,37.4438221","127.0586616,37.5776581"
"127.1467218,37.566309","127.1657779,36.7683046","127.0158393,35.9677006","127.1491027,37.5161628","127.2675821,37.0179081","127.0177058,37.5050138","128.3288682,36.1279058","128.5544273,35.8568348","128.5900288,35.8913173","126.7320625,37.4444944","126.7324652,37.4316329","127.3797891,36.3786438","126.7320625,37.4444944","127.0593894,37.5777248"
"127.1471783,37.566286","127.1658031,36.7681793","127.0166794,35.968162","127.1492749,37.5161228","127.2675831,37.0179306","127.0181718,37.503798","128.3287066,36.1279692","128.55405,35.8566939","128.5898445,35.8916914","126.7320781,37.4446279","126.7326813,37.4312819","127.3794813,36.3786453","126.7320781,37.4446279","127.0596293,37.5777473"
"127.1474444,37.5662814","127.1658226,36.7680811","127.0169403,35.9682974","127.1493225,37.5161121","127.2675862,37.0180208","127.0183893,37.5032301","128.3284996,36.1280499","128.5538864,35.8566331","128.5898114,35.8917827","126.7321186,37.4447544","126.7327617,37.431158","127.3787834,36.3786482","126.7321186,37.4447544","127.0600051,37.5777875"
"127.1479336,37.5662874","127.165884,36.7678731","127.0170885,35.9683755","127.1494449,37.51608","127.2675589,37.0184813","127.0185171,37.5028944","128.3282694,36.1281399","128.553016,35.8563044","128.5897943,35.8918316","126.7321867,37.4449567","126.7328981,37.4309696","127.3786351,36.3786444","126.7321867,37.4449567","127.0602258,37.5778153"
"127.1482981,37.5663011","127.1659193,36.7677524","127.0171471,35.9684064","127.1503195,37.5158519","127.2675416,37.01863","127.0185343,37.5028503","128.3281643,36.1281812","128.552356,35.8560551","128.5899869,35.891892","126.7322586,37.4451032","126.7332248,37.4305166","127.3786125,36.3788481","126.7322586,37.4451032","127.0605075,37.577856"
"127.1484758,37.5663079","127.1659986,36.7675488","127.0172455,35.9684573","127.1505155,37.5158011","127.2675251,37.0188941","127.0185355,37.5028485","128.3280591,36.1282198","128.5520087,35.8559175","128.5904364,35.8920331","126.732283,37.4451539","126.7335413,37.4300733","127.378599,36.3789581","126.732283,37.4451539","127.0605834,37.5778671"
"127.1488086,37.5663369","127.1661592,36.767195","127.0172786,35.9684746","127.1509659,37.5155581","127.2675214,37.0189852","127.0187173,37.5023734","128.3279518,36.1282647","128.5519084,35.855876","128.5909138,35.8921856","126.7324402,37.4454785","126.7335998,37.4299908","127.3785898,36.3791113","126.7324402,37.4454785","127.0607406,37.5778903"
"127.1492047,37.5663948","127.1662326,36.7670717","127.0185164,35.9691972","127.151186,37.5154389","127.2675168,37.019041","127.0193449,37.5008328","128.3278832,36.1282931","128.5518661,35.8558583","128.5912366,35.8922918","126.7325033,37.4456078","126.7336767,37.4298777","127.3785872,36.3793836","126.7325033,37.4456078","127.0610824,37.5779411"
"127.1494943,37.5664425","127.1663892,36.7668657","127.0186678,35.9692898","127.1512723,37.5153644","127.2675131,37.019133","127.0196365,37.4999993","128.3277593,36.1283445","128.5517559,35.8558133","128.5912455,35.8922953","126.7327779,37.4461702","126.7337352,37.4297907","127.378587,36.3794738","126.7327779,37.4461702","127.0610846,37.577942"
"127.1496572,37.5664746","127.166572,36.7665814","127.0187683,35.9693524","127.1513121,37.5153248","127.2675107,37.0191988","127.0197491,37.4997158","128.3270622,36.1286333","128.5504321,35.8552848","128.5913624,35.892333","126.7328079,37.4462299","126.7338373,37.4296408","127.3785903,36.3795297","126.7328079,37.4462299","127.0612498,37.5779661"
"127.1498213,37.5665066","127.16666,36.7664437","127.0193707,35.9696956","127.1514283,37.5151647","127.267507,37.0192898","127.0203423,37.4982499","128.3269747,36.1286681","128.5503999,35.8552716","128.5914058,35.8923488","126.733141,37.4469297","126.7339448,37.4294089","127.3785878,36.3797163","126.733141,37.4469297","127.0615871,37.5780079"
"127.1498937,37.5665212","127.166758,36.7663169","127.0194172,35.9697138","127.1515322,37.5149496","127.2674953,37.019453","127.0207059,37.4972942","128.3267778,36.128747","128.5503242,35.8552416","128.5915583,35.8924034","126.7332029,37.4470662","126.7340487,37.4290851","127.378592,36.379874","126.7332029,37.4470662","127.0619017,37.5780496"
"127.1499582,37.5665341","127.1668391,36.7662206","127.0197591,35.9698477","127.1516681,37.5144425","127.2674789,37.0196666","127.0211282,37.4961836","128.3267324,36.1287654","128.5485867,35.8545833","128.591899,35.8925247","126.7334237,37.4474813","126.7341422,37.4286756","127.378612,36.3813246","126.7334237,37.4474813","127.0620239,37.5780663"
"127.150242,37.5666088","127.167007,36.7660111","127.019852,35.9698833","127.1517411,37.5140696","127.2674542,37.0200172","127.0212789,37.4957876","128.3266295,36.1288066","128.5483697,35.8545014","128.5921441,35.8926225","126.7336531,37.4479281","126.7342327,37.4282156","127.3786119,36.3814175","126.7336531,37.4479281","127.0634216,37.5782346"
"127.1507079,37.5667598","127.1675262,36.7653869","127.020625,35.970082","127.1517118,37.5138081","127.2674381,37.0201461","127.0221844,37.493409","128.3262244,36.1289699","128.5482195,35.854445","128.5923435,35.8926973","126.733714,37.4480574","126.7344127,37.4273046","127.3786063,36.382127","126.733714,37.4480574","127.0637215,37.5782709"
"127.151151,37.5669243","127.1677897,36.7650712","127.0206782,35.970093","127.1516247,37.512591","127.26731,37.0212383","127.0230472,37.4911402","128.3258172,36.1291341","128.5481872,35.8544335","128.5923613,35.8927044","126.7338059,37.4482491","126.7344363,37.427202","127.3786084,36.3822208","126.7338059,37.4482491","127.0649245,37.5784159"
"127.1520742,37.5673326","127.1679204,36.7649147","127.020896,35.9702003","127.1515866,37.5120077","127.2673312,37.0212708","127.0231738,37.4908072","128.3256744,36.129191","128.5481627,35.8544238","128.5922741,35.8928125","126.7338402,37.4483196","126.7344562,37.4271426","127.3786123,36.3826075","126.7338402,37.4483196","127.0649947,37.5784243"
"127.1521115,37.5673498","127.1680701,36.764752","127.0210754,35.9702452","127.1516116,37.5117581","127.2673502,37.0213078","127.0231784,37.4907964","128.3255848,36.1292277","128.5480993,35.8543991","128.5922372,35.8928669","126.7339272,37.4483184","126.7344496,37.4268938","127.3786241,36.3828744","126.7339272,37.4483184","127.0652867,37.5784578"
"127.1533647,37.567916","127.1680994,36.7647169","127.0212272,35.9702719","127.1517122,37.511525","127.2673749,37.0213349","127.0235385,37.4898388","128.325535,36.1292478","128.5477843,35.8542838","128.5921732,35.892963","126.7347054,37.4482828","126.7344472,37.4268028","127.3786249,36.3830998","126.7347054,37.4482828","127.0659997,37.5785325"
